Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
IDALEE,61.44,165.14,1.61,6.09,9.5,30.1,23.8,14.5,571.18,-4.2809,-1.203,1.87,2.42,1.83,-0.0481,-0.1274,0.154,0.1369,1.9522,3.0477,3.3353,2.7421,29.2424,7.2935,7.048,7.3475,0.9576,0.6967,0.1323,3.0187,3.8667,1.2954,1.215,6.4737,12.4371,4.137,4.1859,4.1142,10.1368,1.9838,2.0248,2.0257,2.0445,2.058,1.2359,0.2519,0.0351,0.0441,0.0619,0.0363,1.2662,1.1823,0.2053,0.0342,0.039,0.0476,0.0286,30
IDOQIE,82.71,228.53,2.26,7.81,9.74,40.1,30.9,18.8,660.37,-4.3293,-2.3737,2.07,1.97,1.83,-0.1115,-0.0975,0.1713,0.2514,2.1814,3.0943,2.1219,3.3406,29.1611,7.2826,8.3767,7.0712,0.957,0.3032,0.6309,3.0154,3.836,1.2284,1.3655,6.3897,12.4932,4.1498,4.2038,4.1397,10.2282,1.981,2.0682,2.0662,2.0399,2.073,1.4816,0.0748,0.0179,0.0077,0.0176,0.0099,1.1364,1.2852,0.2454,0.0393,0.0465,0.0591,0.0382,18.8
IDUQEF,67.89,154.18,1.69,4.78,7.13,25.3,18,9,435.8,-4.4239,-1.3016,3.29,1.82,1.82,0.0018,-0.1303,0.0166,0.027,1.8834,3.0504,2.9621,3.3493,29.2441,7.2673,7.1847,6.8949,0.9464,0,0.743,3.0155,3.8735,1.3647,1.2017,6.5191,12.4092,4.1495,4.1305,4.1292,10.0694,2.0117,1.9877,2.0035,2.0345,2.032,1.1717,0.2644,0.0268,0.0786,0.0595,0.0423,1.2429,1.1915,0.316,0.0399,0.0782,0.0615,0.0661,28.7
IFEREQ,87.97,212.5,2.62,8.4,7.76,35.9,29.7,21,661.12,-3.9908,-1.9435,2.05,1.96,1.85,-0.0936,-0.1032,0.1127,0.0993,2.0419,3.0311,2.01,3.1397,29.0657,7.3112,8.4733,7.0446,0.9256,0.2967,0.5829,3.0135,3.8479,1.2713,1.4219,6.4008,12.4622,4.0724,4.2165,4.1733,10.2303,2.0068,2.0235,2.0585,2.0291,2.1123,1.501,0.0755,0.0219,0.0151,0.0087,0.0202,1.2145,1.2154,0.3162,0.0566,0.081,0.0485,0.0713,15.7
IFIZIG07,42.34,176.46,1.73,8.08,7.32,25.4,24.4,16.8,561.33,-4.3667,-0.2688,3.25,1.84,1.82,-0.0084,-0.1367,0.0135,0.1222,1.6449,3.0235,2.0117,2.1581,29.1089,7.3147,8.4582,8.4057,0.9352,0,0.6109,3.0164,3.8762,1.1906,1.3718,6.5338,12.3686,4.124,4.1206,4.124,10.1055,1.9833,2.0115,2.0149,2.055,2.0407,1.5313,0.0701,0.0229,0.0078,0.0109,0.0119,1.4332,1.6007,0.0816,0.02,0.0205,0.0078,0.0262,29.4
IFOYIM,90.07,223.99,2.11,8.33,7.09,47.9,38.5,25,695.88,-5.032,-1.1922,2.08,2.02,1.98,-0.0717,0.0596,0.1989,0.1983,1.6508,3.2582,2.1388,2.1432,28.8605,7.2297,8.3574,8.3603,0.6395,0.3148,0.3812,2.9611,3.7236,1.1678,1.3919,6.3217,12.3837,4.0588,4.1432,4.1817,10.3661,2.0482,2.0584,2.0673,2.0745,2.1178,1.5629,0.0755,0.0186,0.0183,0.0056,0.0263,1.4129,1.445,0.077,0.0231,0.0165,0.0087,0.0192,27.8
IGAJOQ,81.24,233.8,1.73,7.61,8.67,37.4,26.4,15.8,577.32,-4.1907,-2.14,2.01,2.02,1.85,-0.1132,-0.1063,0.1312,0.1247,2.1231,3.0663,2.0797,3.1908,29.1078,7.3332,8.4496,7.0366,0.934,0.4042,0.5431,3.0187,3.8455,1.2463,1.4235,6.3947,12.4827,4.1388,4.2056,4.1383,10.2354,1.9914,2.0644,2.0477,2.0605,2.0714,1.4878,0.0771,0.0161,0.0085,0.0207,0.0106,1.1333,1.3465,0.3026,0.0391,0.064,0.0596,0.0526,18.3
IGEGEI,89.98,190.57,1.68,13.82,13.34,29.9,20.6,13,789.77,-4.1278,-3.0219,1.96,1.99,1.85,-0.0943,-0.0956,0.1646,0.1611,1.9063,3.0916,2.1077,2.1369,28.9805,7.3169,8.4012,8.3748,0.9538,0.3534,0.3851,3.0175,3.8332,1.2435,1.3611,6.3875,12.4687,4.1391,4.1794,4.1503,10.2378,2.0359,2.0284,2.0291,2.056,2.0884,1.4543,0.08,0.0236,0.0144,0.0088,0.0233,1.4168,1.4951,0.0763,0.0234,0.0123,0.0122,0.0148,14.3
IGOVAC,87.63,185.04,1.58,6.29,11.2,30.4,21.7,13.7,584.89,-4.1529,-1.476,1.97,2.08,1.84,-0.0481,-0.1224,0.1547,0.1551,1.8578,3.0319,2.1224,2.0766,28.9816,7.349,8.3855,8.3825,0.95,0.4516,0.2641,3.0205,3.8598,1.3129,1.4299,6.4078,12.4059,4.0418,4.1879,4.1761,10.2341,2.0431,2.0337,2.0442,2.0034,2.1098,1.492,0.0781,0.0194,0.0176,0.0099,0.0215,1.4793,1.5691,0.0762,0.0222,0.0151,0.0092,0.0174,13.8
IHINAQ,81.37,179.89,1.67,5.1,7.5,30,18.7,9.8,450.03,-4.3486,-1.465,1.86,2.28,1.82,-0.0762,-0.1166,0.0918,0.1257,2.0537,3.066,3.3563,2.1034,29.1514,7.295,6.9046,8.3749,0.9773,0.7085,0.1916,3.0145,3.8572,1.2407,1.4259,6.4469,12.4884,4.1418,4.2063,4.1403,10.1405,2.0121,2.03,2.0042,2.0778,2.0164,1.2102,0.3286,0.095,0.0508,0.0535,0.0756,1.5409,1.4985,0.0673,0.017,0.0075,0.0165,0.0117,25.8
IHIPOG,88.86,192.58,1.59,10.58,10.12,31.7,22.4,15.1,677.57,-4.1722,-2.9131,2.01,1.95,1.83,-0.0954,-0.0931,0.1617,0.1793,1.909,3.0829,2.1318,2.1223,28.9615,7.3185,8.3748,8.3919,0.9543,0.3505,0.3836,3.0123,3.8336,1.3671,1.1298,6.3867,12.479,4.19,4.1764,4.1126,10.2294,2.0318,2.0627,2.0489,2.0416,2.0444,1.5139,0.0757,0.0233,0.014,0.011,0.0158,1.4126,1.5207,0.0815,0.0196,0.0143,0.0197,0.0126,12.9
IJAJUB,99.18,203.77,3.49,7.18,12,37.2,27.8,19.6,744.39,-4.3535,-3.3066,1.88,1.97,1.85,-0.0029,-0.048,0.1081,0.2056,2.2532,3.1824,1.991,2.1249,28.8978,7.2554,8.5207,8.3839,0.9459,0.5618,0.3622,3.0269,3.7767,1.2973,1.2554,6.3501,12.4876,4.1316,4.1862,4.1697,10.1647,2.0045,2.0632,2.0794,2.0666,1.951,1.5267,0.0822,0.0179,0.0142,0.0197,0.0128,1.4649,1.3578,0.0803,0.0143,0.0244,0.0065,0.0273,-0.1
IJUTEO,83.99,194.28,1.81,5.66,7.91,32.9,21.5,11.8,472.23,-3.8795,-0.9338,2.05,1.92,1.87,-0.1501,-0.1219,0.0289,0.1899,2.0977,3.0249,1.9528,3.3255,29.1777,7.3324,8.4566,7.0905,0.9056,0.3505,0.6088,3.0241,3.8597,1.3444,1.1787,6.4171,12.5063,4.1841,4.1476,4.1746,10.2263,1.9807,2.0654,2.0506,2.0646,2.065,1.5069,0.0696,0.0204,0.0145,0.0065,0.0189,1.1421,1.2653,0.2617,0.0268,0.0612,0.0698,0.0355,7.4
IJUVIS,90.52,188.8,1.55,9.27,8.65,30.8,23.1,16.5,701.8,-3.8926,-2.3779,1.99,2.03,1.85,-0.0992,-0.1165,0.1125,0.1365,1.7801,3.0159,2.0382,2.0581,28.9826,7.345,8.4879,8.435,0.9229,0.4031,0.2966,3.0179,3.8565,1.2897,1.2941,6.4027,12.4249,4.1736,4.1416,4.1097,10.2712,2.0276,2.0961,2.0584,2.0621,2.0271,1.5337,0.076,0.0131,0.0162,0.0193,0.0114,1.3934,1.5041,0.0753,0.0147,0.014,0.0205,0.0106,14.2
IKATIY,46.64,131.8,1.75,5.95,9.21,19.6,14.4,10.7,534.52,-4.4034,0.5515,3.04,1.85,1.82,-0.0128,-0.1389,0.0244,0.0894,1.6419,3.0111,1.9459,2.1511,29.0977,7.3285,8.481,8.4166,0.9101,0,0.6469,3.0156,3.8782,1.2219,1.3636,6.5393,12.3698,4.126,4.1351,4.1087,10.1033,1.9742,2.0228,2.0189,2.0532,2.0342,1.5109,0.0682,0.0152,0.0073,0.0134,0.0131,1.4346,1.6294,0.0801,0.0181,0.022,0.011,0.0194,28.1
