Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
OKIFUL,84.98,226.04,2,12.93,7.49,36.3,26.3,17.2,737.01,-3.9431,-2.3244,1.99,1.95,1.84,-0.1337,-0.1041,0.0256,0.2451,2.27,3.0887,2.0283,3.3379,29.1563,7.295,8.5019,7.0876,0.9387,0.432,0.6268,3.0176,3.8403,1.3326,1.1404,6.3907,12.5302,4.1733,4.1911,4.1659,10.2123,1.997,2.0726,2.0545,2.0431,2.0451,1.4827,0.0723,0.0214,0.0123,0.0109,0.0145,1.1431,1.2642,0.2576,0.034,0.059,0.0633,0.0394,21.3
OLOBIA,62.27,182.43,1.71,4.78,5.95,30,22.1,9.5,429.63,-4.0995,-2.0256,2.01,2.22,1.86,-0.0819,-0.1253,0.0773,0.0675,1.8487,3.0367,2.9317,2.7495,29.1448,7.3233,7.1194,7.2309,0.9525,0.5108,0.2242,3.0214,3.8645,1.283,1.3913,6.4517,12.4103,4.1147,4.1691,4.1265,10.2195,2.0133,2.0531,2.0347,2.045,2.0734,1.0914,0.2616,0.0479,0.0332,0.0674,0.0357,1.265,1.1384,0.2547,0.0442,0.0335,0.0757,0.0307,22.7
OLUTAS,65.96,170.99,1.97,7.8,10.17,27.7,20.2,15,680.92,-3.4866,-2.4396,2.03,1.99,1.84,-0.1492,-0.1331,0.13,0.04,1.9217,3.0175,2.8543,1.9554,29.1865,7.3356,7.3669,8.5228,0.9245,0.4151,0.4925,3.0177,3.8692,1.2933,1.2911,6.441,12.4402,4.1417,4.1658,4.1327,10.2676,2.0026,2.0743,2.0501,2.0574,2.0831,1.2043,0.2173,0.0306,0.0444,0.055,0.0292,1.4597,1.6025,0.0702,0.0091,0.0207,0.0135,0.011,19.6
OLUVIC,84.56,204.65,2.71,7.42,7.33,41.2,30.6,17.1,558.16,-3.9352,-1.058,1.92,2.16,1.87,-0.1386,-0.1099,0.0165,0.0946,1.971,3.0012,1.9831,2.9099,29.0696,7.3343,8.5246,7.152,0.8802,0.5983,0.2934,3.0182,3.8497,1.4268,1.1658,6.4254,12.4411,4.1559,4.168,4.1172,10.2717,2.0539,2.0037,2.0494,2.0628,2.1019,1.584,0.0739,0.0174,0.0235,0.0042,0.0255,1.1791,1.1039,0.2972,0.0737,0.0871,0.0356,0.0653,25.7
OMIGIA,82.08,180.37,2.89,7.72,9.59,29.2,23.2,20.5,724.34,-4.1974,-2.192,2.02,2,1.81,-0.1197,-0.1092,0.1296,0.1522,1.9351,3.1141,2.065,2.1226,29.0584,7.286,8.452,8.4026,1.0178,0.3712,0.3898,3.0099,3.8464,1.2909,1.17,6.4065,12.4827,4.1777,4.1815,4.1235,10.2302,2.0085,2.0453,2.0484,2.0583,2.0698,1.5667,0.0748,0.0128,0.0204,0.0136,0.0135,1.4746,1.4539,0.0761,0.0218,0.0082,0.0142,0.0123,16.6
OMODAV,62.64,237.37,3.24,8.35,6.84,42.6,36.8,23.1,623.35,-4.0396,-0.6752,1.98,2.23,1.9,-0.1404,-0.1152,0.2053,0.1303,1.9537,2.9713,3.1295,2.7392,29.175,7.3258,7.1935,7.3831,0.8521,0.5328,0.3278,3.0229,3.8542,1.3494,1.2207,6.4265,12.4362,4.137,4.1816,4.1177,10.2775,2.014,2.0788,2.0447,2.0504,2.0896,1.2371,0.2411,0.0381,0.0457,0.0609,0.0319,1.2742,1.1863,0.2116,0.0308,0.0394,0.058,0.0271,26.8
ONEXOV,89.8,189.02,2.38,5.55,7.46,34.7,25.8,16.1,511.3,-3.7793,-0.0752,2.03,1.96,1.9,-0.1599,-0.1325,0.142,-0.0215,1.9029,2.9657,2.0601,1.9253,29.0905,7.3852,8.3995,8.5737,0.8801,0.2655,0.5927,3.031,3.8668,1.2665,1.3271,6.4355,12.4361,4.161,4.1858,4.0893,10.288,2.0324,2.07,2.0521,2.0809,2.0526,1.554,0.0779,0.0068,0.018,0.0247,0.0102,1.5811,1.5428,0.0718,0.0081,0.0142,0.0194,0.0079,19.5
OPATUV,76.1,184.72,3.74,7.93,9.79,36.8,30.2,18.1,656.32,-4.263,-1.1512,1.96,2.25,1.84,-0.1098,-0.1117,0.171,0.2084,1.8369,3.065,2.1276,3.0052,29.0793,7.3129,8.4095,7.1368,0.9938,0.4348,0.2532,3.0122,3.8541,1.3389,1.1298,6.4229,12.4497,4.1754,4.1717,4.1026,10.2369,2.0046,2.0575,2.0416,2.078,2.0552,1.5023,0.0808,0.0125,0.0157,0.0206,0.0112,1.2112,1.0956,0.2893,0.0676,0.0426,0.0627,0.0474,14.9
OPUPIA,63.96,159.44,1.74,3.88,9.9,24.4,15.2,9.3,490.32,-4.0706,-1.2898,2.07,2.04,1.82,-0.116,-0.1295,0.0573,0.0604,1.8172,3.0333,1.9777,1.9907,29.1011,7.3405,8.4806,8.4783,0.9314,0.3701,0.4165,3.0149,3.8647,1.3522,1.1705,6.4524,12.4308,4.1626,4.1476,4.1206,10.2325,1.9886,2.0641,2.0541,2.0756,2.05,1.4581,0.0686,0.0121,0.0212,0.011,0.0135,1.5465,1.4755,0.0692,0.0042,0.016,0.0162,0.0106,19.5
OPUREY,81.51,219.4,2.14,9.08,8.29,37.2,27.7,18.6,679.44,-4.3757,-1.9635,1.93,2.15,1.83,-0.1087,-0.1065,0.1743,0.1449,2.1145,3.0878,3.1688,2.1139,29.1496,7.285,7.0742,8.3588,0.9619,0.646,0.261,3.0148,3.8461,1.2312,1.321,6.4044,12.4922,4.1401,4.2066,4.1455,10.2117,1.9868,2.0533,2.057,2.0357,2.0789,1.165,0.2944,0.0487,0.0485,0.0789,0.0398,1.3894,1.4763,0.0711,0.0177,0.007,0.0167,0.0088,14.5
OQODOP,82.68,218.47,1.69,8.21,11.53,35.2,25.5,16.2,646.71,-4.1882,-2.5794,2.03,2.06,1.85,-0.1339,-0.1083,0.1534,0.1667,2.0017,3.0525,2.1303,3.0664,29.0974,7.3294,8.4037,7.1901,0.9351,0.3639,0.4907,3.014,3.85,1.336,1.1588,6.3996,12.4837,4.1522,4.1914,4.1401,10.2503,2.0058,2.0578,2.0445,2.0549,2.0873,1.4404,0.0755,0.0242,0.012,0.0107,0.0158,1.2133,1.2788,0.2802,0.0377,0.0731,0.0587,0.0379,19.7
OREKAY,80.83,233.2,2.02,11.22,7.34,39.5,33.2,20.8,701.34,-4.4637,-2.6695,2.01,1.94,1.82,-0.0256,-0.0675,0.1558,0.1097,2.4789,3.1453,3.1371,3.2523,29.1144,7.2678,7.0947,7.0853,0.9438,0.5234,0.6587,3.0153,3.8021,1.2203,1.3348,6.3744,12.5401,4.2048,4.1874,4.1479,10.1107,2.0314,1.9711,2.0259,2.0699,2.0124,1.2984,0.2872,0.0456,0.0638,0.0541,0.0585,1.1137,1.141,0.3163,0.0584,0.0467,0.0824,0.0407,23.2
OSIDAX,96.38,202.05,3.39,8.37,8.49,38.1,29.7,19.9,655.14,-4.2781,-2.8186,1.89,2.03,1.84,-0.1041,-0.0971,0.17,0.2001,2.0915,3.0848,2.1632,2.0759,29.0034,7.2999,8.3803,8.3838,0.9695,0.511,0.2881,3.0144,3.8377,1.1859,1.4233,6.3763,12.4892,4.1943,4.1683,4.1266,10.2381,1.9909,2.0541,2.0614,2.0686,2.0631,1.394,0.0839,0.0173,0.0217,0.0117,0.0201,1.3704,1.5688,0.0778,0.0035,0.0199,0.0188,0.0108,13.6
OTAWAJ,87.01,185.3,2.78,9.38,11.14,35.2,26.8,16.2,706.44,-4.341,-1.8923,2.01,2.01,1.83,-0.1321,-0.108,0.1945,0.1995,1.8689,3.0804,2.1588,2.1583,28.9781,7.3221,8.351,8.3575,0.9992,0.3198,0.3158,3.012,3.8496,1.1444,1.3399,6.3838,12.4762,4.1594,4.1441,4.1727,10.2717,2.0466,2.0154,2.0422,2.0891,2.0785,1.4032,0.0789,0.0228,0.0176,0.0086,0.0215,1.4399,1.5693,0.079,0.0199,0.019,0.0052,0.029,15.1
OTOFEK,76.35,167.61,2.27,9.37,8.72,30.9,24,18.1,665.88,-4.0371,0.0432,1.92,2.43,1.89,-0.1334,-0.1404,-0.071,0.1414,1.7422,2.9869,1.8268,2.0903,29.1565,7.365,8.6555,8.3702,0.8884,0.7069,0,3.0284,3.8743,1.2743,1.4527,6.5095,12.3856,4.0696,4.1988,4.1172,10.2381,2.0113,2.0461,2.0829,2.045,2.0528,1.6096,0.0677,0.0139,0.0192,0.0073,0.0189,1.4472,1.4358,0.0701,0.0244,0.0106,0.0101,0.0134,24.7
OTUBEM,93.38,200.69,2.73,7.99,5.93,46.2,39.7,25.3,664.3,-4.3111,-0.6861,2.22,2.4,1.87,-0.4789,-0.1034,0.7951,0.2462,2.4458,3.03,3.8774,2.0274,29.3099,7.2986,14.5795,16.5804,0.92,0.8169,0.489,3.0174,3.8444,1.2951,1.1696,6.4795,12.6866,4.2281,4.2547,4.2038,10.3125,2.0516,2.0876,2.0436,2.0615,2.0681,3.0162,0.6732,0.1466,0.185,0.1074,0.0838,3.5927,3.2093,0.2037,0.0371,0.0292,0.0618,0.0259,29.3
OXABOG,80.06,225.72,2.55,7.86,8.55,39,31.8,21.8,769.95,-4.2831,-2.1813,2,2.07,1.85,-0.1311,-0.1065,0.1441,0.1413,2.0346,3.0272,2.1073,3.1734,29.1021,7.3391,8.4303,7.0035,0.9039,0.411,0.476,3.0144,3.8462,1.209,1.3901,6.3933,12.4934,4.1652,4.1853,4.1429,10.244,1.9877,2.0632,2.0619,2.0474,2.0839,1.4796,0.0778,0.0167,0.0078,0.02,0.0106,1.0931,1.3847,0.3053,0.0372,0.0661,0.0613,0.0504,15.3
OXANEI,99.13,195.92,2.49,8.98,9.18,34.9,25.3,17.3,705.64,-3.9766,-0.2422,2.01,2.06,1.9,-0.1969,-0.1176,0.05,0.1386,1.7753,2.9925,1.9811,2.0646,29.0029,7.3901,8.5468,8.4335,0.8871,0.4166,0.2948,3.025,3.8542,1.1434,1.448,6.388,12.4749,4.2099,4.1598,4.1052,10.3337,2.0801,2.055,2.0507,2.0679,2.08,1.5524,0.0731,0.0168,0.0177,0.0112,0.0182,1.4112,1.5396,0.0761,0.0079,0.0152,0.0204,0.0092,20.1
OXEGEF,94.24,197.41,3.31,10.98,7.92,43.1,36.1,27.1,793.28,-3.6834,-0.1685,1.91,1.97,1.89,-0.2084,-0.1129,-0.1081,0.1603,2.0868,3.019,1.8089,1.9671,29.1078,7.3004,8.6096,8.4516,0.8928,0.6171,0.3415,3.0198,3.8538,1.4303,1.1999,6.4202,12.4932,4.1657,4.1599,4.1677,10.2946,2.0504,2.0239,2.0567,2.0833,2.0803,1.5757,0.0723,0.021,0.0144,0.0087,0.0192,1.5001,1.5001,0.0855,0.0205,0.0122,0.0227,0.0112,24.8
OXOBUA,92.04,221.53,2.89,7.63,7.8,44.2,33.7,18.6,606.94,-3.7317,-2.0331,1.99,1.94,1.91,-0.1613,-0.1141,0.0764,0.1499,2.1312,2.9637,3.0633,2.0951,29.1581,7.3393,7.2034,8.3862,0.8203,0.651,0.3333,3.0308,3.8513,1.2329,1.3313,6.3992,12.4832,4.1939,4.2048,4.0845,10.2786,2.0047,2.0769,2.0439,2.097,2.056,1.291,0.2157,0.0313,0.0495,0.0502,0.0391,1.3641,1.5555,0.082,0.0105,0.0181,0.0248,0.0127,22.8
OXOFMB,99.08,192.99,1.97,6.47,8.71,32.8,24.2,16.3,569.29,-4.129,-0.7879,2.05,2.2,1.91,-0.1267,-0.1232,0.0666,0.0444,1.6334,2.9815,2.0122,1.9089,28.9769,7.397,8.495,8.4828,0.8882,0.3896,0.2246,3.0262,3.8609,1.1902,1.2348,6.4086,12.4268,4.1072,4.1737,4.1459,10.2911,2.0543,2.0406,2.0517,2.0477,2.0967,1.5381,0.0723,0.0148,0.0182,0.0125,0.0151,1.5126,1.341,0.0737,0.0212,0.0112,0.0071,0.0184,17.1
OXOPUN,85.19,194.47,1.55,6.88,7.06,33.9,23.7,13.6,514.35,-3.8968,-1.2045,1.98,2.03,1.88,-0.1249,-0.1155,0.0441,0.1061,1.982,3.0017,1.9785,3.0781,29.0626,7.3585,8.5239,7.1418,0.9053,0.4291,0.4334,3.0205,3.8566,1.2848,1.321,6.4067,12.4543,4.181,4.1465,4.1268,10.2636,2.0507,2.072,2.0517,2.0575,2.0317,1.5619,0.0734,0.0092,0.0142,0.0218,0.0093,1.169,1.279,0.2738,0.0414,0.0513,0.0894,0.036,17.6
OXUDUI,81.52,233.54,2.51,8.02,11.87,37.9,28.3,18.6,754.36,-4.2134,-2.617,1.97,2.05,1.85,-0.1107,-0.0975,0.1485,0.1321,2.1673,3.0799,2.0641,3.1605,29.1126,7.3224,8.4479,7.0148,0.9587,0.4192,0.5137,3.0174,3.8375,1.311,1.2207,6.3864,12.4826,4.1319,4.1954,4.1552,10.2414,2.0129,2.0644,2.0681,2.0383,2.0577,1.4606,0.0805,0.0241,0.0138,0.0115,0.0178,1.1113,1.3697,0.303,0.0422,0.0731,0.0629,0.0486,10.5
OXUMAW,65.83,214.29,2.29,8.24,5.83,36.4,27.8,16.6,613.39,-3.7771,-1.4428,1.99,2.03,1.84,-0.1249,-0.1107,0.1542,0.1528,2.1914,3.0593,3.0217,2.949,29.2269,7.303,7.2045,7.2483,0.9427,0.5188,0.4436,3.0131,3.8512,1.3107,1.3127,6.4133,12.4868,4.1277,4.1859,4.1733,10.2244,1.9917,2.0585,2.0582,2.047,2.069,1.286,0.229,0.0301,0.0428,0.0591,0.0256,1.2971,1.1696,0.2279,0.0378,0.0456,0.0578,0.0309,23.3
OYIFOS,81.86,211.22,2.5,9.18,7.99,37.2,33.8,25.8,809.38,-4.0065,-2.0142,2.12,1.92,1.85,-0.112,-0.1197,0.1383,0.154,1.7897,2.9848,2.0521,2.0574,29.0162,7.3782,8.4159,8.4737,0.9097,0.2479,0.4697,3.0183,3.8598,1.2398,1.438,6.4191,12.4269,4.0976,4.1677,4.1615,10.2658,1.9988,2.0407,2.0482,2.054,2.1241,1.478,0.072,0.0192,0.0183,0.005,0.024,1.4177,1.4798,0.0811,0.0216,0.0182,0.005,0.0309,14.8
OYIVOJ,93.77,231.88,1.59,8.11,8.03,50,40,21.8,610.34,-3.6819,-0.3355,2.04,1.93,1.92,-0.1949,-0.1226,0.1505,-0.0889,1.9493,2.9006,2.0826,1.9039,29.0492,7.4162,8.3566,8.5775,0.7624,0.2608,0.6616,3.0333,3.8557,1.2578,1.3847,6.4133,12.4478,4.0651,4.2155,4.1672,10.3336,2.0642,2.0613,2.0701,2.0351,2.1029,1.5784,0.0786,0.0177,0.0158,0.0139,0.0158,1.5416,1.5608,0.0717,0.012,0.0168,0.0139,0.0137,24.6
OYOHAN,94.01,211.88,1.67,7.63,8.02,46,36.2,19.6,574.24,-3.697,-0.4541,2.04,1.94,1.91,-0.192,-0.1245,0.1506,-0.0613,2.0354,2.9387,2.0847,1.8858,29.097,7.3844,8.353,8.5816,0.8379,0.2532,0.6646,3.0284,3.861,1.2492,1.4085,6.4121,12.4561,4.078,4.2101,4.168,10.3235,2.0427,2.0606,2.081,2.0568,2.0823,1.585,0.079,0.0185,0.017,0.0116,0.018,1.527,1.5537,0.0701,0.0122,0.0168,0.0125,0.0141,25.8
OYUKAW,82.69,192.08,1.73,6.12,10.05,30.7,21.8,12.6,570.27,-4.1828,-2.0094,2.13,2.01,1.85,-0.134,-0.119,0.1213,0.0939,1.9432,3.0326,2.0774,2.9988,29.1426,7.3336,8.4553,7.2575,0.9409,0.2993,0.5764,3.015,3.8611,1.3265,1.1237,6.4258,12.491,4.1747,4.1872,4.129,10.2169,1.991,2.0538,2.0351,2.0719,2.0651,1.4485,0.072,0.0239,0.0105,0.0102,0.0145,1.2633,1.3023,0.2636,0.0358,0.069,0.0569,0.0378,26.9
OZIZEE,85.83,184.49,1.55,6.68,7.41,30.5,22.3,15.8,569.49,-4.2255,-2.7402,1.92,2.1,1.83,-0.0258,-0.0997,0.1345,0.1434,1.9483,3.0936,2.0992,2.0573,28.9649,7.3127,8.4245,8.42,0.9537,0.5096,0.2419,3.0197,3.8346,1.2946,1.2255,6.4039,12.4205,4.1958,4.1296,4.0951,10.201,2.0028,2.0931,2.0509,2.0554,1.9987,1.5407,0.0797,0.0136,0.0145,0.0219,0.0127,1.3834,1.5097,0.0741,0.014,0.0139,0.0213,0.0101,14.9
OZUCUJ,45.43,158.77,1.81,9.4,7.52,27,23.4,16.4,596.38,-4.4221,-0.536,1.87,3.11,1.82,-0.0396,-0.1361,0.0356,0.0039,1.6597,3.0282,1.9585,2.04,29.1356,7.2826,8.5182,8.4584,0.9396,0.5881,0,3.0171,3.874,1.359,1.1488,6.5453,12.366,4.1337,4.1777,4.0547,10.1278,1.9892,2.0228,2.0241,2.0625,2.0293,1.4353,0.077,0.0168,0.0053,0.0232,0.0108,1.4585,1.6021,0.0638,0.0053,0.019,0.0157,0.0083,25.9
OZUPEG,83.2,182.62,1.74,8.66,6.86,31.5,24.1,16,601.54,-3.9659,-2.3616,1.97,2.01,1.84,-0.0839,-0.1074,0.1255,0.13,1.8548,3.0597,2.0179,2.0266,28.9764,7.3317,8.4696,8.4432,0.9569,0.3822,0.3118,3.0151,3.8479,1.3126,1.3698,6.406,12.4273,4.0771,4.1882,4.1621,10.2503,2.0089,2.0255,2.0511,2.0363,2.1285,1.4881,0.0783,0.0213,0.0159,0.0059,0.029,1.4451,1.5413,0.0757,0.0206,0.0185,0.0054,0.025,13.9
PABSOC,80.18,211.97,1.55,8.23,6.74,43.9,37.5,26,626.86,-4.2906,-1.7159,1.93,2.07,1.83,-0.0472,-0.1179,0.1889,0.1975,1.9666,3.0204,2.1359,2.1089,28.9816,7.3536,8.3417,8.3364,0.9427,0.4587,0.2743,3.0208,3.8545,1.2922,1.4339,6.393,12.398,4.0369,4.1979,4.1632,10.2558,2.0486,2.0516,2.0745,2.0164,2.0647,1.3925,0.0816,0.017,0.0208,0.0092,0.0256,1.4214,1.486,0.078,0.0176,0.0194,0.0092,0.0223,12.6
PADXUP,93.99,196.51,2.16,8.18,7.83,32.6,23.9,16.2,591.25,-3.5423,-2.6552,1.88,2.03,1.87,-0.1906,-0.13,-0.1215,0.1771,2.0568,2.9934,1.8927,2.0557,29.159,7.3208,8.596,8.3688,0.8918,0.7524,0.2464,3.0255,3.8655,1.3847,1.297,6.4489,12.4738,4.1223,4.1656,4.1858,10.2676,2.0436,2.0004,2.0435,2.0652,2.1149,1.4161,0.07,0.017,0.0073,0.0155,0.0088,1.4534,1.2918,0.0825,0.0205,0.0224,0.0058,0.0275,18.5
PADYEY,93.45,194.27,4.34,7.71,10.61,30.4,23.6,19.3,800.41,-4.2121,-2.669,1.92,2.03,1.84,-0.0969,-0.1047,0.2123,0.1782,1.9505,3.0825,2.1923,2.1204,29.0105,7.3234,8.363,8.3804,0.9688,0.4822,0.301,3.0168,3.8424,1.3164,1.143,6.3863,12.4824,4.1571,4.1889,4.1365,10.2278,2.0108,2.0491,2.0527,2.0592,2.0561,1.5249,0.0843,0.0197,0.0198,0.0141,0.0158,1.4232,1.5147,0.0768,0.0219,0.0172,0.0086,0.0199,14.1
PAGNIX,91.36,192.95,1.61,6.86,10.13,30.4,21.1,12.9,568.74,-4.1608,-3.0141,1.97,1.96,1.85,-0.0624,-0.0807,0.1238,0.1594,2.0032,3.1233,2.087,2.0842,28.9544,7.3011,8.4377,8.4061,0.9427,0.436,0.3644,3.0208,3.8143,1.3132,1.1809,6.3807,12.4672,4.1281,4.2031,4.1361,10.2141,2.0345,2.0272,2.0451,2.0309,2.0763,1.5363,0.0767,0.0175,0.0159,0.0153,0.0134,1.4722,1.5536,0.0809,0.024,0.017,0.0104,0.0184,13.7
PALQUQ,80.61,214.71,2.82,11.15,6.61,41.8,34.3,21.4,720.34,-4.2664,-1.6373,2.18,1.97,1.87,-0.1116,-0.1202,0.1857,0.1618,1.9874,3.0083,2.1246,3.1708,29.1238,7.3465,8.3521,7.2571,0.9312,0.2214,0.5742,3.0198,3.8614,1.3609,1.1387,6.4065,12.4444,4.2185,4.1358,4.0901,10.2604,2.012,2.0988,2.0398,2.0572,2.0526,1.4716,0.0739,0.0258,0.0121,0.0088,0.0159,1.1537,1.3267,0.225,0.0411,0.0453,0.0506,0.0406,19.1
PAMRIF,81.57,232.98,1.99,8.65,8.62,37.7,27.1,17.8,674.15,-4.1829,-2.1012,2,2.03,1.86,-0.1282,-0.1084,0.1334,0.1298,2.1178,3.0587,2.0769,3.1878,29.1144,7.34,8.4448,7.0245,0.9377,0.3983,0.5217,3.0196,3.848,1.3129,1.1999,6.3915,12.4827,4.141,4.1874,4.1543,10.2537,2.0106,2.0724,2.0607,2.0468,2.0632,1.4636,0.0775,0.0236,0.0144,0.0097,0.0187,1.1409,1.3434,0.3024,0.044,0.074,0.0634,0.0445,15.3
PANHUK,84.41,188.24,1.69,6.18,8.29,34.5,26.5,16.1,515.21,-3.5335,-1.8011,1.93,1.98,1.84,-0.1571,-0.1156,0.1403,-0.1092,2.0631,3.0404,2.1048,1.803,29.0684,7.319,8.3891,8.6609,0.9188,0.4532,0.4679,3.0159,3.8523,1.3416,1.1603,6.4106,12.4846,4.1832,4.1813,4.12,10.2615,2.049,2.0561,2.0566,2.0801,2.0197,1.6197,0.0808,0.0132,0.0201,0.0165,0.0105,1.5604,1.47,0.068,0.0195,0.0081,0.0126,0.0114,9.2
PANLEV,84.02,193.3,2.52,8.84,12.93,31.6,22.5,16.3,803.87,-4.4745,-3.1095,1.91,2.05,1.81,-0.0566,-0.0642,0.1545,0.2254,2.2664,3.1936,2.1215,3.1787,29.083,7.243,8.4365,7.1359,0.9802,0.5523,0.5013,3.015,3.793,1.2242,1.2957,6.375,12.5385,4.157,4.1969,4.1846,10.1428,1.9868,2.0388,2.0111,2.0164,2.0897,1.5437,0.0814,0.0149,0.0187,0.0162,0.0146,1.1386,1.1526,0.247,0.0489,0.0323,0.0643,0.0282,16.5
PAPBIU,88.81,217.21,1.55,8.85,10.54,36.3,28,20.1,715.05,-3.9021,-2.2566,1.98,1.96,1.87,-0.1354,-0.0929,0.1493,-0.0747,2.098,3.0238,2.0733,3.1068,29.11,7.2908,8.4234,7.4441,0.8688,0.3188,0.6537,3.0214,3.8326,1.3345,1.3356,6.4306,12.4982,4.0879,4.1883,4.2219,10.2064,2.0312,1.9967,2.0382,2.0364,2.1039,1.376,0.0807,0.0219,0.0158,0.0067,0.0272,1.3286,1.2322,0.1435,0.0295,0.0254,0.0383,0.0316,23.1
PAPREE,89.96,189.21,3.06,6.88,12.18,29.8,20.8,14.2,669.4,-4.1228,-2.1877,2.03,1.96,1.85,-0.1242,-0.1138,0.1569,0.1723,1.8119,3.0431,2.1205,2.1288,28.998,7.3365,8.4016,8.3921,0.9602,0.3389,0.354,3.0145,3.8553,1.1832,1.4237,6.3952,12.4733,4.1599,4.1613,4.1522,10.2553,2.009,2.0522,2.0658,2.0596,2.0688,1.5068,0.076,0.0179,0.0157,0.0153,0.0127,1.3793,1.5004,0.0799,0.0168,0.013,0.0205,0.0119,16.9
PARLIE,82.77,189.71,1.66,6.39,7.58,32.4,24.2,14.6,515.41,-3.8587,-1.1851,1.93,2.04,1.87,-0.1107,-0.122,0.1212,0.0915,1.8756,2.9992,2.0668,1.9294,29.0125,7.3625,8.4087,8.5128,0.9033,0.4472,0.3332,3.0217,3.8613,1.3243,1.23,6.4155,12.4352,4.1804,4.1402,4.1145,10.2597,2.0133,2.0919,2.0512,2.0697,2.0335,1.5285,0.08,0.014,0.0097,0.0242,0.0099,1.419,1.5192,0.0733,0.0133,0.0129,0.0193,0.0093,17.9
PARLOK,82.04,189.33,1.68,6.39,8.35,32.7,24.4,14.8,542.13,-3.8477,-1.1807,1.93,2.04,1.87,-0.1065,-0.122,0.1161,0.088,1.8912,2.9981,2.0557,1.9246,29.0155,7.3615,8.4104,8.514,0.906,0.4508,0.3346,3.0222,3.8609,1.288,1.2881,6.4157,12.4302,4.1827,4.1261,4.1213,10.2603,2.0087,2.0994,2.0497,2.0641,2.0383,1.5207,0.0801,0.0143,0.0092,0.0244,0.0101,1.4225,1.5142,0.0732,0.0131,0.0125,0.0196,0.0091,17.6
PATBEU,81.97,180.9,1.55,6.01,6.45,32.9,26.5,14.9,518.64,-4.1245,-1.3321,1.98,2.03,1.83,-0.0632,-0.1109,0.1658,0.1625,1.8898,3.0629,2.1007,2.0777,28.9771,7.3409,8.3854,8.3979,0.9784,0.3857,0.3156,3.0156,3.8509,1.309,1.3973,6.4053,12.416,4.0587,4.1875,4.1698,10.2416,2.0126,2.0229,2.0505,2.0282,2.1275,1.4256,0.0792,0.021,0.0178,0.005,0.0295,1.4429,1.5302,0.0779,0.0198,0.0196,0.0053,0.0271,14.1
PATHID,82.29,193.8,1.57,5.88,11.47,30.7,21.1,12.6,594.64,-4.1092,-2.4927,2.04,2.08,1.86,-0.1204,-0.1148,0.1463,0.1284,1.9432,3.0534,2.1198,3.0024,29.1002,7.327,8.4134,7.2054,0.9637,0.3511,0.4452,3.0152,3.8573,1.3424,1.2083,6.412,12.4666,4.1367,4.184,4.1459,10.2416,2.0017,2.0574,2.0349,2.0495,2.0982,1.4495,0.0753,0.0241,0.0124,0.0101,0.0164,1.2462,1.2797,0.2699,0.0367,0.0714,0.0571,0.0358,22.5
PATTEJ,47.51,133.12,2.56,4.87,8.93,19.7,13.7,10.5,504.7,-4.3598,0.4909,3.01,1.85,1.83,-0.0176,-0.1414,0.0169,0.0753,1.6351,3.0013,1.9495,2.1357,29.1041,7.3328,8.5126,8.4319,0.899,0,0.6546,3.0204,3.8784,1.3436,1.1252,6.5411,12.3639,4.1741,4.144,4.0459,10.1122,1.9776,2.0142,2.0129,2.0683,2.0392,1.5042,0.0663,0.0087,0.0187,0.0149,0.0087,1.5268,1.5207,0.0788,0.0065,0.0195,0.0167,0.0131,25.8
PAWRIR,78.46,226.11,3.83,8.84,8.03,50.2,44,27.1,677.96,-4.0963,0.1519,1.94,2.22,1.91,-0.1388,-0.12,0.1576,0.1608,1.9213,2.939,3.2416,2.0578,29.1557,7.3799,7.2791,8.3998,0.8168,0.6107,0.1956,3.0334,3.8528,1.2582,1.3514,6.4261,12.4231,4.0803,4.2074,4.1354,10.2894,2.0288,2.0582,2.0658,2.0548,2.0818,1.2939,0.2296,0.0579,0.0395,0.0398,0.0456,1.4465,1.4624,0.0717,0.0244,0.0126,0.0078,0.0167,24.4
