Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
ACYTID,0,-16.1,10.2,4.7,-61.4,26.3,20.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ADABIQ,0,-18.5,8.2,24.1,-61.4,26.7,42.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADAFEQ,0,-19,-4.4,18.5,-61.4,14.7,37.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ADAGAQ,0,-21.5,5.5,15.6,-61.4,27,37.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADAKEW,0,-23.3,2.2,25.7,-61.4,25.6,49,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
ADALAS,0,-29.4,-12.2,11.6,-61.4,17.3,41,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADANIF,0,-20.6,-0.2,17.1,-61.4,20.4,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADANOL,0,-21.3,-1.3,16.5,-61.4,20,37.8,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADANUR,0,-20.7,-0.9,16.9,-61.4,19.7,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADAQEC,0,-18.9,-0.7,18.3,-61.4,18.2,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADAWAF01,0,-10,2.7,16.5,-61.4,12.7,26.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ADEKOK,0,-20.1,5.1,12.7,-61.4,25.2,32.8,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADENCH01,0,-27.3,-5.9,16.3,-61.4,21.4,43.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADENIC,0,-32.6,-2.5,19,-61.4,30.1,51.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADENOS01,0,-33.1,-2.2,-3.5,-61.4,30.9,29.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ADERIL,0,-17.7,4.4,26.3,-61.4,22.1,44,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADESOS,0,-20.9,9.1,18.8,-61.4,30,39.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADEWOW,0,-10.9,-3.9,20.8,-61.4,7.1,31.8,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ADIBAR,0,-20.4,-5,18.1,-61.4,15.4,38.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADIHOK,0,-29.4,-3.9,15.8,-61.4,25.5,45.2,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADIJAB,0,-23.4,1.4,20.4,-61.4,24.8,43.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
