Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
LAWGAU,0,-21.6,-17.2,12.8,-61.4,4.4,34.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAWJOI,0,-17.7,-4.8,18.6,-61.4,12.9,36.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAWTOV,0,-17.9,0.7,20.5,-61.4,18.6,38.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAWVUC,0,-27.5,6.3,16.2,-61.4,33.8,43.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LAWWUC,0,-10.7,9.8,29.7,-61.4,20.5,40.4,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LAWWUD,0,-9.1,8.7,20.9,-61.4,17.9,30,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LAWXEO,0,-19.9,2.9,18.6,-61.4,22.8,38.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAXGEZ,0,-20.9,5.7,20.5,-61.4,26.6,41.4,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LAXJIE,0,-20.3,12.2,21.8,-61.4,32.5,42.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LAXJOM,0,-20.3,-0.8,19.8,-61.4,19.6,40.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAXPAD,0,-12.4,-0.9,13.6,-61.4,11.5,26,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
LAXQUZ,0,-25,1.4,27.9,-61.4,26.4,53,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAXREJ,0,-16.2,1.4,20.9,-61.4,17.7,37.1,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LAXXIU,0,-21.9,-13.2,14.4,-61.4,8.8,36.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LAXYIT,0,-14.7,6.2,28.1,-61.4,20.9,42.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LAYCET,0,-21.1,1.2,18.4,-61.4,22.3,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAYDIB,0,-23.3,-5.2,25.5,-61.4,18.2,48.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAYSEL,0,-17.9,0.9,18.7,-61.4,18.7,36.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAZZIV,0,-20.2,2.5,18.8,-61.4,22.6,39,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LAZZOB,0,-19.6,4.6,19.4,-61.4,24.3,39,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LCHOLA,0,-20.6,-4.8,18.5,-61.4,15.8,39.2,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LCITHC,0,-24,6.1,20.5,-61.4,30.1,44.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LCYLCY10,0,-15.6,11.4,23.7,-61.4,27,39.3,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LCYSTN22,0,-20.7,-3.6,13,-61.4,17.1,33.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LDOPAC01,0,-21.2,-4.7,16.2,-61.4,16.5,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LDOPAS03,0,-15.2,2.7,3.1,-61.4,17.9,18.3,Not Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
LEBBID,0,-19.8,1,17.5,-61.4,20.8,37.3,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEBGIK,0,-20.4,-0.5,13.9,-61.4,19.8,34.3,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEBHUV,0,-19.4,12.1,24.2,-61.4,31.4,43.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEBJAD,0,-9.1,-2.8,20.8,-61.4,6.2,29.9,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEBLOW,0,-58.1,-28.6,-30.3,-61.4,29.6,27.8,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
LEBLUA,0,-17.4,91.3,23.4,-61.4,108.7,40.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEBSUG,0,-11.5,-1.2,15.2,-61.4,10.3,26.8,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEBTOD,0,-15.5,9.4,21,-61.4,24.9,36.5,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEBWEV,0,-66.7,-48.1,-6.3,-61.4,18.6,60.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail,,,,,,,,,
LECDIH,0,-18.2,5.7,20.2,-61.4,23.9,38.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LECFAD,0,-19.9,3.7,21.1,-61.4,23.7,41.1,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LECHIN,0,-16.4,-1.1,18.6,-61.4,15.3,34.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LECKUA,0,-19.8,-12.6,16.7,-61.4,7.2,36.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LECNIR,0,-14.5,6.1,30.2,-61.4,20.7,44.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEDKUC,0,-21.7,-6.2,12.7,-61.4,15.4,34.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEDPUF,0,-14.5,8.4,30.9,-61.4,22.8,45.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LEDQES,0,-16.9,9.5,16.9,-61.4,26.4,33.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEDVOH,0,-20.5,-4.8,18.6,-61.4,15.7,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEDXOJ,0,-10.3,-2.5,15,-61.4,7.7,25.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LEFKEO,0,-19.1,-0.6,16.7,-61.4,18.6,35.8,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEFNER,0,-18.7,1.8,18.9,-61.4,20.5,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEFNIV,0,-17.6,3.8,19.1,-61.4,21.4,36.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEFPUI,0,-19.6,-4.1,19.2,-61.4,15.5,38.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEFQUK,0,-21.3,2.9,13.4,-61.4,24.2,34.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEFRET,0,-10431.1,-10408.4,-10339.2,-61.4,22.7,91.9,Not Minimum,Minimum,Correct TS,Calc Fail,,,,,,,,,
LEFSAS,0,-20.1,5.5,19,-61.4,25.6,39.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEFYAY,0,-10.2,-1.5,19.7,-61.4,8.8,30,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEGHAI,0,-17.2,1.7,14.8,-61.4,18.9,32,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEGJIQ,0,-21.2,7.3,16.2,-61.4,28.6,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEGPEU,0,-20.1,7.3,19.9,-61.4,27.3,40,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEGPIY,0,-20.1,-4.9,18,-61.4,15.3,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEGVID,0,-19.1,2.6,22.7,-61.4,21.7,41.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEGVIE,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEGVOJ,0,-20.3,-6,15.7,-61.4,14.3,36,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEGWOM,0,-19.7,4.1,28.1,-61.4,23.8,47.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEGYUT,0,-20.8,-7.8,No Value,-61.4,13,No Value,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEHBEG,0,-20.1,8.6,17.6,-61.4,28.7,37.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEHMOB,0,-20.1,9.8,19.6,-61.4,29.9,39.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEHPOE,0,-23.4,-9.2,9.7,-61.4,14.1,33,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LEJCAH,0,-20.7,-0.5,13.1,-61.4,20.2,33.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEJMAP,0,-20.4,-5.1,18,-61.4,15.3,38.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEJRUN,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEJTOK,0,-21.5,6.5,19.2,-61.4,28,40.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEJYEF,0,-26.7,-5.2,28,-61.4,21.5,54.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEKCUC,0,-22,0.5,17.1,-61.4,22.5,39.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEKJIU,0,-9.5,3.4,32.5,-61.4,12.9,42,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEKSOK,0,-21.4,9.1,24.5,-61.4,30.5,46,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEKTAZ,0,-18.7,4.7,21.7,-61.4,23.4,40.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEKTEA,0,-19.1,5.5,21,-61.4,24.6,40.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEKTIE,0,-19.8,2.9,22.4,-61.4,22.7,42.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEKZUX,0,-19.8,7.9,15,-61.4,27.7,34.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LELKAQ,0,-16.9,0.6,19.9,-61.4,17.5,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LELQUQ,0,-20.5,-7.3,17.4,-61.4,13.2,37.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LELRAX,0,-19.5,-4.9,18.8,-61.4,14.6,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LELROJ,0,-24.8,-4,12.7,-61.4,20.7,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LENBEO,0,-19.6,0.9,17.1,-61.4,20.5,36.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LENHOE,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Not Minimum,Not Minimum,Calc Fail,Calc Fail,,,,,,,,,
LENLOF,0,-18.2,4,17.8,-61.4,22.2,36.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LENMAT,0,-17.1,-2.1,15.9,-61.4,15.1,33,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LENMEX,0,-2,0.3,1.1,-61.4,2.3,3,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
LENNOH,0,-27.1,6.3,23.5,-61.4,33.3,50.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LENPEZ,0,-1,-2.7,18.9,-61.4,-1.6,19.9,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LENQEA,0,-2.4,2.8,19.6,-61.4,5.1,21.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LENRIF,0,-11.7,-16.8,11.2,-61.4,-5.1,22.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LENROO,0,-12.9,6.5,25.9,-61.4,19.4,38.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LENYUZ,0,-22.1,3.9,14.4,-61.4,26,36.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPBOZ,0,-18.3,0.5,19.8,-61.4,18.7,38.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEPFES,0,-19.5,0.7,19.9,-61.4,20.2,39.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEPFIX,0,-21.5,3,10.9,-61.4,24.5,32.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPHIZ,0,-15.4,8.2,41.5,-61.4,23.6,57,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEPLEY,0,-18.6,9.4,18.8,-61.4,28,37.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEPLOI,0,-20,1,17.8,-61.4,20.9,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPLUN,0,-23.4,5.1,22.8,-61.4,28.5,46.2,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
LEPLUP,0,-19.1,-2.2,20.9,-61.4,17,40,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPMEZ02,0,-23,-20.1,11,-61.4,2.9,34,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEPMOK,0,-19.1,9.2,18.8,-61.4,28.2,37.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPMUQ,0,-19.2,9.3,18.3,-61.4,28.4,37.5,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEPPII,0,-84138193.6,-84138173.3,-84138150.6,-61.4,20.3,43,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEPQEE,0,-27,4.6,21.9,-61.4,31.6,48.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPQOO,0,-5168.3,-5145.8,-5132,-61.4,22.6,36.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LEPQUU,0,-19.3,-0.2,17.8,-61.4,19,37,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPRAB,0,-18.4,0.6,21.1,-61.4,19,39.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEPVEK,0,-95.4,-96.1,-62.9,-61.4,-0.8,32.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LEQFES,0,-11,-3.4,15.7,-61.4,7.6,26.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEQJAT,0,-18.1,-5.4,11,-61.4,12.8,29.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEQNIH,0,-17.8,5.9,23.8,-61.4,23.7,41.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEQNOL,0,-11.3,4,24.5,-61.4,15.3,35.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEQPON,0,-22,-1,19.5,-61.4,21,41.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEQTEG,0,-17.2,0.9,6.2,-61.4,18.1,23.4,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LEQVEI,0,-47.4,-11.5,-11.8,-61.4,36,35.6,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
LERBEP,0,-11.8,1.1,13.5,-61.4,12.8,25.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LERNAA,0,-3620.7,-3585.7,-3591.7,-61.4,35,29,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LERNEE,0,-41.2,-14.8,-14.1,-61.4,26.5,27.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail,,,,,,,,,
LERTAE,0,-23,-0.7,16.7,-61.4,22.3,39.8,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LERTEI,0,-24.3,0.3,18,-61.4,24.6,42.4,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LERWEN,0,-21.9,-3.6,19.1,-61.4,18.2,41,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LERWOX,0,-19.9,1.1,522.3,-61.4,20.9,542.2,Minimum,Minimum,Correct TS,Calc Fail,,,,,,,,,
LESHIB,0,-194.9,-172,-153.2,-61.4,22.9,41.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LESHOI,0,-28.6,3.4,17.7,-61.4,31.9,46.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LESJOK,0,-23.9,-7,15.5,-61.4,16.9,39.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LESJUP,0,-16,6.6,6.8,-61.4,22.7,22.8,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
LESKOL,0,-18.4,9.3,18.6,-61.4,27.7,37,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LESKUP,0,-15403657384,-15403657527,-15403657504,-61.4,-143.3,-119.7,Not Minimum,Not Minimum,Correct TS,Incorrect TS,,,,,,,,,
LESMED,0,-14.6,4.1,15.2,-61.4,18.7,29.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LESNUU,0,-16,13.2,25.6,-61.4,29.1,41.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LESPEG,0,-18.9,3,18.2,-61.4,21.9,37.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LESPUW,0,-25.5,-5.6,18.1,-61.4,19.9,43.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LESQOQ,0,-12,7.7,20.5,-61.4,19.7,32.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LESQUX,0,-9.3,-1.9,16.6,-61.4,7.4,25.9,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LESQUY,0,-21.1,-2.8,17.3,-61.4,18.3,38.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LESVAI,0,-20.8,-7.5,19.1,-61.4,13.3,39.9,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LESVEM,0,-20.2,2.4,25.4,-61.4,22.6,45.6,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LESWEN,0,-16.1,8.4,17.2,-61.4,24.5,33.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LESYAL,0,-11.4,1.4,14,-61.4,12.8,25.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LESZOA,0,-20.3,3.2,21.5,-61.4,23.5,41.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETBIV,0,-19.9,-4,18.6,-61.4,15.9,38.5,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LETBIX,0,-14.2,-14.2,11,-61.4,0,25.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETCAR,0,-21.6,31.3,19.5,-61.4,52.9,41.1,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LETDIX,0,-21,0.5,19.8,-61.4,21.5,40.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETDUJ,0,-18.4,7.5,27.4,-61.4,25.9,45.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETGIA02,0,-24,-3,22.1,-61.4,21,46.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETMAA,0,-17.5,6.1,29.8,-61.4,23.6,47.3,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LETNII,0,-19.9,3.4,22.3,-61.4,23.4,42.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETPIK,0,-21.4,-2.2,17.7,-61.4,19.2,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETTUA,0,-13,3.8,19.9,-61.4,16.8,32.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LETWAJ,0,-18.9,2.6,20.2,-61.4,21.5,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LETXEN10,0,-16.9,7.4,7.7,-61.4,24.3,24.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LEUCHI,0,-23.9,3.4,16.8,-61.4,27.3,40.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEVHAX,0,-25.3,-11.1,8.4,-61.4,14.2,33.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEVPIM10,0,-19.9,-5,17.6,-61.4,15,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEVQIP,0,-20.5,14.2,23.2,-61.4,34.7,43.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEVSEN,0,-7.7,10.1,16.1,-61.4,17.8,23.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEVSUA,0,-19.8,3.6,19,-61.4,23.4,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEVWEO,0,-12.3,1.8,19.7,-61.4,14.1,32,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEVXIT,0,-21.4,3.9,15.9,-61.4,25.3,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWCEX,0,-17.2,4.8,20,-61.4,22,37.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEWCUO,0,-29.1,-24,5.9,-61.4,5.1,35,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWHEB,0,-14,7.7,9.3,-61.4,21.7,23.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LEWHOK,0,-10.9,-7.8,13.3,-61.4,3.1,24.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWJAB,0,-21.4,-1,14,-61.4,20.5,35.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEWJIG,0,-17.6,4.1,24.2,-61.4,21.7,41.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWJOM,0,-20.1,3.5,18.6,-61.4,23.6,38.6,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWJUS,0,-20.5,-3.5,16.5,-61.4,17.1,37,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEWQIO,0,-15,8,8,-61.4,23,23,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LEWRAG,0,-21.1,2.9,19.1,-61.4,24,40.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWSAJ,0,-21.6,7.5,12.2,-61.4,29,33.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWSEN,0,-21,5.7,14.3,-61.4,26.7,35.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEWSIR,0,-470.4,-451.1,-452.5,-61.4,19.4,17.9,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LEWTOW11,0,-9.1,7.4,7.3,-61.4,16.5,16.4,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LEWVAN,0,-6064.7,-6043.9,-6022.9,-61.4,20.8,41.8,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LEXCOI,0,-20.4,2.7,18.5,-61.4,23.1,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEXMEI,0,-21.8,-1.1,19.9,-61.4,20.7,41.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEXPOW,0,-20.4,-4.8,18.3,-61.4,15.5,38.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEXPUA02,0,-19.1,3.8,15.7,-61.4,23,34.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEXZOG,0,-19.7,5.7,14.1,-61.4,25.4,33.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEYFEC,0,-12.4,8.9,13.1,-61.4,21.3,25.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LEYHOO,0,-17.6,-12.9,8.7,-61.4,4.6,26.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEYLAD,0,-29,-7.1,15.4,-61.4,21.9,44.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LEYNUZ,0,-22,-2.4,18.3,-61.4,19.6,40.3,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LEYPEL,0,-16.8,-7.3,16.8,-61.4,9.6,33.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEYQIR,0,-18.9,10.9,15.5,-61.4,29.8,34.4,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEYQOW,0,-20.8,-4.8,19.5,-61.4,16,40.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEYVES,0,-21.3,-0.5,17.2,-61.4,20.8,38.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEYXIW,0,-21,4.8,16.9,-61.4,25.9,37.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEYXUK,0,-20.9,-1.4,21.9,-61.4,19.4,42.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LEYYIY,0,-20.2,17.4,29.8,-61.4,37.6,49.9,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LEYZIZ,0,-26.2,-10.2,35.1,-61.4,16,61.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEZKAD,0,-22.1,-1.9,20,-61.4,20.2,42.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LEZYOF,0,-14.1,-1.3,-6.1,-61.4,12.8,7.9,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LHLASP01,0,-17.4,-0.6,18.8,-61.4,16.8,36.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIBJEL,0,-21.4,9.4,16.8,-61.4,30.8,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
