Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
AFEBOC,Minimum,Minimum,Correct TS,Correct TS
AFEMIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFENOP,Minimum,Minimum,Incorrect TS,Correct TS
AFEQEJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEQIN,Not Minimum,Minimum,Correct TS,Correct TS
AFEQOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEQOT,Minimum,Minimum,Correct TS,Correct TS
AFEQUZ,Minimum,Minimum,Correct TS,Correct TS
AFEREJ,Minimum,Minimum,Incorrect TS,Correct TS
AFERUY,Minimum,Minimum,Correct TS,Correct TS
AFESUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEVIR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AFEWIS,Minimum,Minimum,Correct TS,Correct TS
AFEZER,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEZES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFICUP,Not Minimum,Not Minimum,Correct TS,Incorrect TS
AFIDOK,Minimum,Minimum,Incorrect TS,Incorrect TS
AFIGOO,Minimum,Minimum,Correct TS,Correct TS
AFILIM,Minimum,Minimum,Correct TS,Correct TS
AFILIN,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AFIMAD,Not Minimum,Minimum,Correct TS,Correct TS
AFIMAE,Not Minimum,Not Minimum,Correct TS,Correct TS
AFINEJ01,Minimum,Minimum,Correct TS,Correct TS
AFIQEN,Minimum,Minimum,Correct TS,Correct TS
AFIRAK,Minimum,Minimum,Correct TS,Correct TS
AFIYOF,Minimum,Minimum,Incorrect TS,Correct TS
AFLATC,Minimum,Minimum,Correct TS,Correct TS
AFOCUV,Minimum,Minimum,Incorrect TS,Correct TS
AFOFEG,Minimum,Minimum,Correct TS,Correct TS
AFOKOY,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AFOLUD,Minimum,Minimum,Correct TS,Correct TS
AFONOA01,Minimum,Minimum,Correct TS,Correct TS
AFUFIS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AFUHUG,Minimum,Minimum,Correct TS,Correct TS
AFUJAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUJUJ,Minimum,Minimum,Correct TS,Correct TS
AFUMUM,Minimum,Minimum,Correct TS,Correct TS
AFUQAU,Minimum,Minimum,Incorrect TS,Correct TS
AFUROL,Minimum,Minimum,Correct TS,Correct TS
AFUVEC,Minimum,Minimum,Correct TS,Correct TS
AFUVEE,Minimum,Minimum,Correct TS,Correct TS
AFUVOM,Minimum,Minimum,Correct TS,Correct TS
AFUVUS,Minimum,Minimum,Correct TS,Correct TS
AFUWED,Minimum,Minimum,Correct TS,Correct TS
AFUXOR,Minimum,Minimum,Correct TS,Correct TS
AGADIX,Minimum,Minimum,Correct TS,Correct TS
AGAKIE,Minimum,Minimum,Correct TS,Correct TS
AGALIF,Not Minimum,Minimum,Correct TS,Correct TS
AGAMUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEFUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEMIK,Minimum,Minimum,Correct TS,Correct TS
AGENAC,Minimum,Minimum,Incorrect TS,Correct TS
AGENOS,Minimum,Minimum,Correct TS,Correct TS
AGEPEK,Minimum,Minimum,Correct TS,Correct TS
AGEQAE,Minimum,Minimum,Incorrect TS,Correct TS
AGESEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGESOX,Minimum,Minimum,Correct TS,Correct TS
AGEXER,Minimum,Minimum,Incorrect TS,Correct TS
AGEXOB,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGEYER,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
