Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
QIVYAY,Minimum,Minimum,Correct TS,Correct TS
QIVZIH,Minimum,Minimum,Correct TS,Correct TS
QIWGAE,Minimum,Not Minimum,Correct TS,Correct TS
QIWLAM,Minimum,Minimum,Correct TS,Correct TS
QIWLEQ,Minimum,Minimum,Correct TS,Correct TS
QIWLIU,Minimum,Minimum,Correct TS,Correct TS
QIWMOA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QIXBEE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIXBEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIXBUW,Minimum,Minimum,Correct TS,Correct TS
QIXLUE,Minimum,Minimum,Correct TS,Correct TS
QIXMIU,Minimum,Minimum,Correct TS,Correct TS
QIXMOA,Minimum,Not Minimum,Correct TS,Correct TS
QIXYOL,Not Minimum,Minimum,Incorrect TS,Correct TS
QIYGEN,Minimum,Not Minimum,Correct TS,Correct TS
QIYGOX,Minimum,Minimum,Correct TS,Correct TS
QIYHEO,Minimum,Minimum,Correct TS,Correct TS
QIYJOY,Minimum,Not Minimum,Correct TS,Correct TS
QIYLAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIYPOF,Minimum,Minimum,Incorrect TS,Correct TS
QIZBAD,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QIZGOY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIZLET,Minimum,Minimum,Correct TS,Correct TS
QIZNAP,Minimum,Minimum,Correct TS,Correct TS
QIZRAU,Minimum,Minimum,Correct TS,Correct TS
QIZYAA,Not Minimum,Minimum,Incorrect TS,Incorrect TS
QOBJUO01,Minimum,Not Minimum,Correct TS,Correct TS
QOBPOM,Minimum,Minimum,Correct TS,Correct TS
QOBYEO,Minimum,Minimum,Correct TS,Correct TS
QOCDET,Minimum,Minimum,Correct TS,Correct TS
QOCFEV,Minimum,Minimum,Correct TS,Correct TS
QOCFUM,Minimum,Minimum,Incorrect TS,Correct TS
QOCGEX,Not Minimum,Not Minimum,Incorrect TS,Correct TS
QOCGIA,Minimum,Minimum,Correct TS,Correct TS
QOCHIC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QOCHOI,Minimum,Minimum,Correct TS,Correct TS
QOCMEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOCNIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOCPOP,Minimum,Not Minimum,Incorrect TS,Incorrect TS
QOCWOW,Minimum,Minimum,Correct TS,Correct TS
QODBOC,Minimum,Minimum,Correct TS,Correct TS
QODBUI,Minimum,Not Minimum,Correct TS,Correct TS
QODCAP,Minimum,Minimum,Correct TS,Correct TS
QODCET,Not Minimum,Not Minimum,Incorrect TS,Correct TS
QODCIX,Minimum,Minimum,Correct TS,Correct TS
QODHEY,Minimum,Minimum,Correct TS,Correct TS
QODYAJ,Minimum,Minimum,Correct TS,Correct TS
QODZUG01,Not Minimum,Minimum,Incorrect TS,Correct TS
QOFDUM,Minimum,Minimum,Correct TS,Correct TS
QOFHOJ,Minimum,Minimum,Correct TS,Correct TS
QOFXUF,Minimum,Minimum,Correct TS,Correct TS
QOGBOD,Minimum,Minimum,Correct TS,Correct TS
QOGDUN,Not Minimum,Minimum,Correct TS,Correct TS
QOGMAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QOGROT,Minimum,Minimum,Incorrect TS,Correct TS
QOGSOV,Minimum,Minimum,Correct TS,Correct TS
QOGYUI,Minimum,Minimum,Correct TS,Correct TS
QOHCOG,Minimum,Not Minimum,Correct TS,Correct TS
QOHJOO,Minimum,Minimum,Correct TS,Correct TS
QOHLEE,Minimum,Minimum,Correct TS,Correct TS
QOHNOS,Minimum,Minimum,Correct TS,Correct TS
QOHSAJ,Minimum,Minimum,Correct TS,Correct TS
QOHSOX,Minimum,Minimum,Correct TS,Correct TS
QOJMEJ,Not Minimum,Minimum,Correct TS,Correct TS
QOJVER,Minimum,Minimum,Incorrect TS,Correct TS
QOJVIV,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
QOKQEN,Minimum,Minimum,Correct TS,Correct TS
QOKTES,Minimum,Minimum,Correct TS,Correct TS
QOKVOE,Minimum,Not Minimum,Correct TS,Correct TS
QOKXUK,Not Minimum,Not Minimum,Correct TS,Correct TS
QOLBUP,Minimum,Minimum,Correct TS,Correct TS
QOLCOM,Minimum,Minimum,Correct TS,Correct TS
QOLHAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QOLKUA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QOLLAH,Not Minimum,Minimum,Incorrect TS,Correct TS
QOLRIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOMHAE,Minimum,Not Minimum,Correct TS,Correct TS
QOMHEI,Minimum,Minimum,Correct TS,Correct TS
QOMVAS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QOMWUN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QOMXAU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QONYIC,Minimum,Minimum,Correct TS,Correct TS
QONZAV,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QOPFAC,Minimum,Minimum,Incorrect TS,Correct TS
QOPQOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOPXOI,Minimum,Minimum,Correct TS,Correct TS
QOQDEG,Minimum,Minimum,Correct TS,Correct TS
QOQGOT,Minimum,Minimum,Correct TS,Correct TS
QOQHUB,Not Minimum,Minimum,Correct TS,Correct TS
QOQJAJ,Minimum,Minimum,Incorrect TS,Correct TS
QOQJEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOQKEO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOQNIU,Minimum,Minimum,Correct TS,Correct TS
QOQTAT,Not Minimum,Minimum,Correct TS,Correct TS
QOQTOH,Minimum,Minimum,Correct TS,Correct TS
QOQVAT,Minimum,Minimum,Correct TS,Correct TS
QORMOZ,Minimum,Minimum,Correct TS,Correct TS
QOSCAC,Minimum,Minimum,Correct TS,Correct TS
QOSCEG,Minimum,Minimum,Correct TS,Correct TS
QOSRUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOSWED,Minimum,Minimum,Correct TS,Correct TS
QOSWUS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QOTGOW,Minimum,Minimum,Incorrect TS,Correct TS
QOTZUX,Minimum,Minimum,Correct TS,Correct TS
QOVLIZ,Minimum,Minimum,Correct TS,Correct TS
QOVZEG,Minimum,Not Minimum,Correct TS,Correct TS
QOWGUH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOWHAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOWMAQ,Minimum,Minimum,Correct TS,Correct TS
QOWMEU,Minimum,Not Minimum,Correct TS,Correct TS
QOWPIE,Minimum,Minimum,Correct TS,Correct TS
QOWZUA,Not Minimum,Minimum,Correct TS,Correct TS
QOXLAT,Minimum,Minimum,Correct TS,Correct TS
QOXPEZ,Minimum,Minimum,Correct TS,Correct TS
QOYGOB,Minimum,Minimum,Correct TS,Correct TS
QOZNAX,Not Minimum,Minimum,Correct TS,Correct TS
QOZWUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QOZXAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QQQAFV01,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QQQAMS02,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QQQAQS01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QQQAUY01,Minimum,Minimum,Correct TS,Correct TS
QQQBTY01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QQQCHJ01,Minimum,Not Minimum,Correct TS,Correct TS
QQQCOY10,Minimum,Minimum,Correct TS,Correct TS
QQQFDJ04,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QQQFGS10,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QQQGEJ01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QQQGEM01,Minimum,Minimum,Correct TS,Correct TS
QUBFID,Minimum,Minimum,Correct TS,Correct TS
QUBKUV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
QUBSIR,Minimum,Minimum,Correct TS,Correct TS
QUBYUK,Minimum,Minimum,Correct TS,Correct TS
QUCJAC,Minimum,Minimum,Correct TS,Correct TS
QUCKEF,Minimum,Minimum,Correct TS,Correct TS
QUCKOP,Minimum,Not Minimum,Correct TS,Correct TS
QUCKUV,Minimum,Minimum,Correct TS,Correct TS
QUCLAC,Minimum,Not Minimum,Correct TS,Correct TS
QUCXIW,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUCXMA11,Not Minimum,Minimum,Incorrect TS,Correct TS
QUDJOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUDKIM,Minimum,Minimum,Correct TS,Correct TS
QUDNAG,Minimum,Minimum,Correct TS,Correct TS
QUDNIO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUDNOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUDPOW,Minimum,Minimum,Correct TS,Correct TS
QUDSIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUDVES,Minimum,Minimum,Correct TS,Correct TS
QUDWAP,Minimum,Minimum,Correct TS,Correct TS
QUDXAR,Minimum,Minimum,Correct TS,Correct TS
QUFCOK,Minimum,Minimum,Correct TS,Correct TS
QUFHAA,Minimum,Minimum,Correct TS,Correct TS
QUFJOS,Not Minimum,Minimum,Correct TS,Correct TS
QUFJUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUFKAE,Minimum,Minimum,Correct TS,Correct TS
QUFRIV,Minimum,Not Minimum,Incorrect TS,Correct TS
QUFXOE,Minimum,Minimum,Correct TS,Correct TS
QUFXUK,Minimum,Minimum,Correct TS,Correct TS
QUFYAR,Minimum,Minimum,Correct TS,Correct TS
QUGLEL,Minimum,Minimum,Correct TS,Correct TS
QUGLIP,Minimum,Minimum,Correct TS,Correct TS
QUGLUB,Minimum,Minimum,Correct TS,Correct TS
QUGPEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUGVEW,Minimum,Minimum,Correct TS,Correct TS
QUGVIA,Minimum,Minimum,Incorrect TS,Correct TS
QUGWAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUHFEG,Minimum,Minimum,Correct TS,Correct TS
QUHGAD,Minimum,Minimum,Correct TS,Incorrect TS
QUHZEB,Minimum,Minimum,Correct TS,Correct TS
QUHZIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUIASP10,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QUICNA01,Minimum,Not Minimum,Correct TS,Correct TS
QUINCX,Minimum,Minimum,Incorrect TS,Correct TS
QUINOA,Minimum,Minimum,Correct TS,Correct TS
QUINTG,Minimum,Minimum,Incorrect TS,Correct TS
QUJDAB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QUJHEL,Minimum,Minimum,Correct TS,Correct TS
QUJKOV,Minimum,Minimum,Correct TS,Correct TS
QUJWOH,Minimum,Minimum,Correct TS,Correct TS
QUJXOJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUJXOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUJXUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUJZIF,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QUJZOL,Minimum,Minimum,Correct TS,Correct TS
QUKCEF,Minimum,Minimum,Correct TS,Correct TS
QUKMAN,Minimum,Minimum,Correct TS,Correct TS
QUKPIW,Not Minimum,Not Minimum,Correct TS,Correct TS
QUKTOG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QUKYIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUKZOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUKZON,Minimum,Minimum,Correct TS,Correct TS
QULVOK,Minimum,Minimum,Correct TS,Correct TS
QULXIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QULXUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QULZAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUMBOP,Minimum,Minimum,Correct TS,Correct TS
QUMBUV,Minimum,Minimum,Incorrect TS,Correct TS
QUMDIN,Minimum,Minimum,Correct TS,Correct TS
QUMJIU,Minimum,Minimum,Correct TS,Correct TS
QUMKUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUMLAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QUMLIU,Minimum,Minimum,Incorrect TS,Correct TS
QUMLOA,Minimum,Minimum,Incorrect TS,Correct TS
QUMMAN,Minimum,Minimum,Correct TS,Correct TS
QUMNUH,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QUNCEI,Minimum,Minimum,Correct TS,Correct TS
QUNGAK,Not Minimum,Minimum,Correct TS,Correct TS
QUNKAN,Minimum,Minimum,Correct TS,Correct TS
QUNLUI,Minimum,Minimum,Correct TS,Correct TS
QUNXAB,Minimum,Minimum,Correct TS,Correct TS
QUOLSA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUPDOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUPKIV,Minimum,Minimum,Incorrect TS,Correct TS
QUPSUQ,Not Minimum,Not Minimum,Correct TS,Correct TS
QUQHAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUQTAY,Minimum,Minimum,Correct TS,Correct TS
QUQWUV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QUQYIM,Minimum,Minimum,Correct TS,Correct TS
QUQZIL,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QURQID,Not Minimum,Minimum,Correct TS,Correct TS
QURVUU,Minimum,Minimum,Correct TS,Correct TS
QURVUW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QURWOQ02,Minimum,Minimum,Correct TS,Correct TS
QURZUY,Not Minimum,Minimum,Correct TS,Correct TS
QUSBOV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QUSKOG,Minimum,Minimum,Correct TS,Correct TS
QUSVAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUSZEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QUSZIN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QUVGUL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUWBER,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QUWBUH,Minimum,Minimum,Correct TS,Correct TS
QUWDOD,Minimum,Minimum,Correct TS,Correct TS
QUWQIK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QUWQOQ,Not Minimum,Minimum,Incorrect TS,Incorrect TS
QUWWUB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QUXBOB,Minimum,Minimum,Correct TS,Correct TS
QUYDUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUYFOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUYHAU,Not Minimum,Minimum,Correct TS,Calc Fail
QUYJAW,Minimum,Minimum,Correct TS,Correct TS
QUYMED,Not Minimum,Minimum,Correct TS,Correct TS
QUYMUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QUYQUY,Minimum,Minimum,Correct TS,Correct TS
QUYRUY,Minimum,Minimum,Correct TS,Correct TS
QUYZUG,Minimum,Minimum,Correct TS,Correct TS
QUZBAP01,Minimum,Minimum,Correct TS,Correct TS
QUZBET,Minimum,Not Minimum,Correct TS,Correct TS
QUZBOE,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QUZFAT,Minimum,Minimum,Correct TS,Correct TS
QUZHET,Minimum,Minimum,Incorrect TS,Correct TS
QUZJEB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QUZNIJ,Not Minimum,Minimum,Correct TS,Correct TS
QUZNOP,Minimum,Minimum,Correct TS,Correct TS
QUZPOR,Minimum,Minimum,Incorrect TS,Incorrect TS
QUZQIM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QUZTOV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RABBAA,Minimum,Minimum,Correct TS,Correct TS
RABBED,Not Minimum,Minimum,Correct TS,Correct TS
RABBII,Not Minimum,Not Minimum,Calc Fail,Incorrect Imaginary Frequencies
RABPEP,Minimum,Minimum,Correct TS,Correct TS
RABQUC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RABSOY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RABTUL01,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RABXEA,Minimum,Minimum,Incorrect TS,Correct TS
RABZUR,Minimum,Minimum,Correct TS,Correct TS
RACCEE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RACLOW,Not Minimum,Not Minimum,Correct TS,Correct TS
RACVEY,Not Minimum,Not Minimum,Correct TS,Correct TS
RADFAH,Minimum,Minimum,Correct TS,Correct TS
RADHEM,Minimum,Minimum,Correct TS,Correct TS
RADKOZ,Not Minimum,Not Minimum,Correct TS,Correct TS
RADXUP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RAFBAB,Minimum,Minimum,Correct TS,Correct TS
RAFDAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAFMOC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAFQUM,Minimum,Minimum,Correct TS,Correct TS
RAFSAU,Minimum,Minimum,Correct TS,Correct TS
RAFTEY,Minimum,Minimum,Correct TS,Correct TS
RAFTOI,Minimum,Minimum,Incorrect TS,Correct TS
RAFVOM,Minimum,Minimum,Correct TS,Correct TS
RAFWAW,Minimum,Not Minimum,Correct TS,Correct TS
RAFWEB,Minimum,Minimum,Correct TS,Correct TS
RAFXUT,Minimum,Not Minimum,Correct TS,Correct TS
RAGGEN,Not Minimum,Minimum,Correct TS,Correct TS
RAGLOB,Minimum,Minimum,Correct TS,Correct TS
RAGMOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RAGMUJ,Minimum,Minimum,Correct TS,Correct TS
RAGPEV,Minimum,Minimum,Correct TS,Correct TS
RAGTEB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
RAHDUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAHGIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAHHIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAHJAO,Minimum,Minimum,Correct TS,Correct TS
RAHRAV,Minimum,Minimum,Correct TS,Correct TS
RAHXOP,Minimum,Minimum,Correct TS,Correct TS
RAHYEF,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RAHYIJ,Not Minimum,Minimum,Correct TS,Incorrect TS
RAKHOB,Minimum,Minimum,Correct TS,Correct TS
RAKHUH,Not Minimum,Minimum,Correct TS,Correct TS
RAKKUL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RAKLAS,Minimum,Minimum,Correct TS,Correct TS
RAKQEB,Minimum,Minimum,Correct TS,Correct TS
RAKRAY,Minimum,Minimum,Correct TS,Correct TS
RAKRIG,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RAKTOO,Not Minimum,Not Minimum,Correct TS,Incorrect TS
RAKXAE,Minimum,Minimum,Correct TS,Correct TS
RAKXUX,Minimum,Minimum,Correct TS,Correct TS
RAKYOS,Minimum,Minimum,Correct TS,Correct TS
RAKYUA,Minimum,Minimum,Correct TS,Correct TS
RALFAO,Minimum,Minimum,Correct TS,Incorrect TS
RALJEV,Not Minimum,Minimum,Correct TS,Correct TS
RALNIC,Minimum,Minimum,Correct TS,Correct TS
RALPEC,Minimum,Minimum,Correct TS,Correct TS
RALQUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RALSIJ,Not Minimum,Minimum,Correct TS,Correct TS
RALSOP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RALTEE,Minimum,Minimum,Correct TS,Correct TS
RAMGOC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RAMNOJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RANCOS10,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RAPLAW01,Minimum,Minimum,Incorrect TS,Incorrect TS
RAPLOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAPPIK,Minimum,Minimum,Incorrect TS,Correct TS
RAPPUW,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RAQDUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAQKUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAQLED,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RAQLIH,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
RAQNAB,Minimum,Minimum,Correct TS,Correct TS
RAQRIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAQROR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAQRUX,Minimum,Minimum,Incorrect TS,Correct TS
RAQSAE,Not Minimum,Minimum,Correct TS,Correct TS
RAQSIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RAQWEN,Minimum,Minimum,Correct TS,Correct TS
RARMII,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RARNAA,Minimum,Minimum,Correct TS,Correct TS
RARRIN,Not Minimum,Minimum,Correct TS,Correct TS
RARXUD,Minimum,Minimum,Incorrect TS,Correct TS
RASDEU,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RASFEW,Minimum,Not Minimum,Correct TS,Correct TS
RASMIK,Minimum,Minimum,Correct TS,Correct TS
RASTEK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RASTUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RASVAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RASXUE,Minimum,Minimum,Incorrect TS,Correct TS
RATJAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RATMAB,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
RATWEP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RATWOY,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RAVFIE,Minimum,Not Minimum,Correct TS,Correct TS
RAVMAC,Minimum,Minimum,Correct TS,Correct TS
RAVMIK,Minimum,Minimum,Correct TS,Correct TS
RAVNAG,Minimum,Minimum,Correct TS,Correct TS
RAVNEI01,Minimum,Minimum,Correct TS,Correct TS
RAVPIN,Minimum,Minimum,Correct TS,Correct TS
RAVSIT,Minimum,Minimum,Correct TS,Correct TS
RAVZOE,Not Minimum,Minimum,Incorrect TS,Correct TS
RAVZUK,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
RAWGON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAWKAD,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
RAWLOS,Not Minimum,Minimum,Correct TS,Correct TS
RAWMIN,Minimum,Minimum,Incorrect TS,Correct TS
RAWQIR,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
RAWTIU,Minimum,Minimum,Correct TS,Correct TS
RAWTOA,Minimum,Minimum,Correct TS,Correct TS
RAXDAW,Minimum,Minimum,Correct TS,Correct TS
RAXGEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RAXGUV,Not Minimum,Minimum,Correct TS,Correct TS
RAXHUU,Minimum,Minimum,Correct TS,Calc Fail
RAXRAK01,Minimum,Minimum,Correct TS,Correct TS
RAXVOB,Minimum,Minimum,Correct TS,Correct TS
RAYWAR,Minimum,Minimum,Incorrect TS,Correct TS
RAZROC,Minimum,Minimum,Correct TS,Correct TS
RAZXOF,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RAZZAW,Minimum,Minimum,Correct TS,Correct TS
RBFLAV10,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RBFURC10,Minimum,Minimum,Correct TS,Correct TS
RBHHPL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RBHPTH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
REBDOS,Minimum,Minimum,Correct TS,Correct TS
REBGAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REBGEM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
REBHEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REBHUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
REBLER,Minimum,Minimum,Correct TS,Correct TS
REBNUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
REBPET,Minimum,Minimum,Incorrect TS,Correct TS
REBPOF,Minimum,Minimum,Correct TS,Correct TS
REBTOI,Minimum,Minimum,Correct TS,Correct TS
REBTUO,Minimum,Minimum,Incorrect TS,Correct TS
REBZUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RECCAF,Minimum,Minimum,Correct TS,Correct TS
RECDEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RECGEL,Minimum,Minimum,Correct TS,Correct TS
RECHOW,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RECLER,Minimum,Minimum,Correct TS,Correct TS
RECNOF,Minimum,Not Minimum,Correct TS,Correct TS
RECNUL,Minimum,Minimum,Correct TS,Correct TS
RECZAA,Minimum,Minimum,Correct TS,Correct TS
REDBEH,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
REDBIL,Minimum,Minimum,Correct TS,Correct TS
REDBOR,Minimum,Minimum,Correct TS,Correct TS
REDKOB,Minimum,Minimum,Correct TS,Correct TS
REFNAR,Minimum,Minimum,Correct TS,Correct TS
REFNIA,Not Minimum,Minimum,Correct TS,Correct TS
REFPAV,Not Minimum,Minimum,Correct TS,Correct TS
REFTAY,Not Minimum,Minimum,Incorrect TS,Incorrect TS
REFTIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REFXAE,Minimum,Minimum,Correct TS,Correct TS
REGBIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REGCIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REGCOV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
REGLUL,Minimum,Minimum,Correct TS,Correct TS
REGMAT,Minimum,Minimum,Correct TS,Correct TS
