Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
ETATEA,181.52,32.8,-1.7999,0.7252,1.94,-0.4792,2.7109,28.9334,7.417,0.7042,9.8024,1.9715,0.0782,1.696,21.6
RICDAJ,194.44,36.8,-2.1452,-1.0339,1.93,-0.4734,2.7397,28.9065,7.3632,0.6997,9.8245,1.9812,0.0224,1.6303,18.1
BENMEO,188.74,32.1,-2.3808,-2.1638,1.89,-0.4574,2.7398,28.7907,7.3898,0.7468,9.7899,1.9892,0.0625,1.7258,14.6
HUQJEK,221.3,32.8,-2.4784,-1.8129,1.89,-0.4552,2.7443,28.7931,7.3766,0.7559,9.7835,1.9772,0.0634,1.7158,19.5
FATZOP,198.37,34.6,-2.6117,-1.9222,1.86,-0.4125,2.8055,28.7597,7.345,0.7463,9.7487,1.9427,0.0796,1.7023,17.5
TOXZOX,231.04,36.7,-2.9524,-2.557,1.85,-0.4074,2.8553,28.841,7.3297,0.8017,9.7517,1.9796,0.0257,1.6892,15.4
BINVIF,153.79,23.8,-2.5756,-2.3203,1.85,-0.4686,2.7536,28.9397,7.4004,0.8098,9.8077,1.9647,0.0734,1.508,20.5
VUNTON,222.42,37.2,-3.0269,-2.2256,1.99,-0.4001,3.054,28.7984,7.5497,0.4754,9.7754,1.9759,0.0219,1.4756,20
BEJTAL,193.88,42.1,-2.519,-1.1837,1.9,-0.4588,2.7501,28.8348,7.3766,0.7691,9.8008,1.9716,0.0529,1.4863,27.6
JAPZUW,219.22,42.7,-2.7034,-2.1482,1.89,-0.4586,2.7642,28.8097,7.3627,0.7703,9.7671,1.945,0.0342,1.6135,13.5
UPAYAM,199.63,36.5,-2.6786,-1.9538,1.86,-0.4427,2.7931,28.8454,7.3651,0.7674,9.7925,1.9833,0.0217,1.3707,18
BACJEX,203.15,31.6,-3.1343,-3.0525,1.85,-0.3254,2.9075,28.6187,7.2944,0.7408,9.7095,1.9891,0.0843,1.5834,20.3
VEXZII,198.66,37.8,-2.8221,-1.8498,1.87,-0.4378,2.7914,28.8163,7.3706,0.8009,9.7448,1.9426,0.0827,1.5485,15.9
YOJDEH,237.54,42.5,-3.531,-3.0453,1.82,-0.3421,2.9778,28.7294,7.2891,0.8196,9.733,1.9695,0.0227,1.4111,16.7
HOSBIB,182.78,30,-1.9479,0.6088,1.93,-0.4751,2.7266,28.9525,7.3712,0.6802,9.808,1.9729,0.1085,1.6745,21.4
BOYMAD,202.48,33.3,-3.1379,-2.5334,1.85,-0.3943,2.8827,28.8068,7.3394,0.8201,9.7461,1.979,0.0182,1.6326,17.2
DIHKOX,182.94,28.2,-2.2398,-0.8123,1.9,-0.4694,2.739,28.902,7.3955,0.7543,9.804,1.9778,0.077,1.6994,22.1
HUFDUI,204.08,35.7,-3.3612,-2.5946,1.83,-0.4063,2.8663,28.7958,7.3488,0.8245,9.7795,1.9663,0.0271,1.3625,17.6
CAPURP,220.17,38.4,-3.611,-3.009,1.84,-0.3457,2.9507,28.7838,7.3019,0.8532,9.6897,1.967,0.0224,1.6276,19.6
IDASUB,219.1,39.5,-3.3714,-2.7584,1.84,-0.3874,2.8874,28.7419,7.3231,0.8349,9.7486,1.9747,0.0693,1.2673,17.2
CINMER02,191.3,34.2,-3.4029,-2.9379,1.84,-0.3584,2.9044,28.6549,7.3075,0.7724,9.7185,1.9492,0.0833,1.4966,15.7
AFABIT,259.8,43.9,-3.8725,-1.8677,2.02,-0.2967,2.9371,28.6888,7.4486,0.4873,9.864,1.9746,0.107,1.1886,44.6
VUZHOO,197.81,34.4,-2.5283,-1.88,1.86,-0.4045,2.829,28.7388,7.3295,0.7429,9.7464,1.945,0.0818,1.7012,15.2
UHUWEA,240.41,47.8,-2.267,-1.8971,1.95,-0.3814,2.7844,28.9078,7.24,0.6725,9.6867,1.9942,0.0898,1.3497,20.4
CEWXUY,204.4,35.7,-3.3425,-2.6636,1.84,-0.4091,2.8662,28.8003,7.3485,0.8252,9.7807,1.966,0.0222,1.209,17.2
ASEFOU,157.61,24.2,-2.8703,-2.8327,1.83,-0.4109,2.8466,28.8309,7.3637,0.8017,9.7649,1.9754,0.0817,1.4996,16.1
VACYEE,181.2,32.7,-2.5139,-0.9183,1.88,-0.4623,2.7554,28.8633,7.3876,0.7789,9.8071,1.9527,0.0861,1.5173,20.7
JEWTEK,193.03,31,-3.2288,-2.691,1.82,-0.3629,2.8846,28.6638,7.3401,0.7948,9.7369,1.9854,0.0869,1.6607,16.8
FIZQEK,180.95,28.1,-2.3113,0.2662,1.9,-0.4687,2.7494,28.9249,7.3666,0.7084,9.8061,1.9739,0.0932,1.7127,19.8
IBUMAT,185.28,30.5,-2.6693,-2.0323,1.89,-0.4439,2.7794,28.7858,7.3741,0.7799,9.7723,1.9756,0.0927,1.5988,18.1
OSUWAB,186.75,33.3,-2.4856,-1.8374,1.86,-0.436,2.7585,28.8377,7.3579,0.7356,9.7531,1.9811,0.1033,1.5694,14.3
HEKVOI,194.26,31.2,-3.0694,-2.6564,1.87,-0.3845,2.8819,28.7197,7.3274,0.8008,9.7218,1.9698,0.0744,1.5308,21.5
DAPTIY,192.87,37.7,-1.5044,0.683,1.98,-0.4806,2.7155,28.9566,7.4377,0.6906,9.8158,1.9877,0.1147,1.6332,23.5
FERTEE,227.87,40.2,-2.7882,-2.2535,1.89,-0.4272,2.8097,28.8136,7.3434,0.7949,9.7384,1.9821,0.0303,1.6364,18.4
IYAZEN,203.15,34.3,-2.5984,-1.5519,1.9,-0.466,2.7468,28.8184,7.3799,0.7648,9.804,1.9573,0.0659,1.2264,13.2
PIGROM01,202.86,34,-2.6514,-2.1139,1.87,-0.437,2.801,28.7737,7.3743,0.7597,9.7798,1.972,0.0216,1.6363,13.6
GOHYOT,204.06,35.7,-3.3579,-2.5693,1.83,-0.4076,2.8644,28.7982,7.3488,0.8249,9.7805,1.9682,0.0271,1.3681,17.4
HUBSIG,186.73,28.8,-3.4861,-2.9958,1.8,-0.3473,2.9392,28.741,7.3172,0.8424,9.7317,1.9587,0.0651,1.704,23
LOZHAM,184.63,32.1,-2.5975,-2.074,1.87,-0.4474,2.7722,28.8181,7.3835,0.786,9.7565,1.9531,0.0655,1.5772,17.2
QAVNAD,209,36.7,-2.888,-2.3941,1.84,-0.3925,2.8922,28.7534,7.2963,0.7811,9.7293,1.916,0.0711,1.3217,19.5
HOTZIA,158.25,25.1,-2.8505,-2.1713,1.84,-0.4461,2.7919,28.8975,7.3819,0.8185,9.7836,1.9792,0.0775,1.4993,19.9
VIXWOR,223.12,39.2,-3.1944,-2.4822,1.85,-0.4144,2.86,28.8035,7.3418,0.8077,9.7877,1.9604,0.0233,1.3357,16.7
QAHTUO,184.4,30.1,-1.905,-0.6411,1.92,-0.4736,2.7196,28.9502,7.367,0.6809,9.8073,1.9726,0.1178,1.6672,11.3
FATLAQ,221.61,39.5,-2.8207,-2.3545,1.84,-0.3878,2.8434,28.6976,7.353,0.719,9.7352,1.9828,0.072,1.3791,17.8
HIFFAD,196.24,32.5,-2.7896,-1.9841,1.87,-0.4139,2.817,28.7291,7.3251,0.7455,9.7266,1.9647,0.0805,1.7832,25.7
NAMQIE,259.15,43.4,-3.0912,-1.2397,1.98,-0.3306,2.9186,28.7247,7.3739,0.4771,9.8451,1.9813,0.1101,1.0973,30.8
KOJVUC,219.85,44.6,-2.4582,-1.7589,1.9,-0.4473,2.7632,28.813,7.3403,0.7306,9.7932,1.9857,0.0158,1.3101,14.4
JAYLAX,226.68,39.5,-3.3588,-2.7527,1.84,-0.3853,2.8868,28.7644,7.3268,0.8369,9.7517,1.9705,0.0347,1.6786,23.1
LAPVEF,239.95,42,-2.6055,-2.1755,1.88,-0.3703,2.8395,28.757,7.2787,0.7246,9.7802,1.9782,0.0885,1.1251,13
GORPOV,200.7,31.3,-2.7974,-2.926,1.85,-0.3543,2.8959,28.6117,7.3041,0.7286,9.7006,1.9277,0.0967,1.6356,10.1
PAJDAH,182.13,29.8,-1.9317,0.6677,1.94,-0.4777,2.7152,28.9431,7.4205,0.716,9.8066,1.9757,0.0836,1.6594,23.7
OPULUI,162.78,23.7,-3.69,-2.9523,1.79,-0.4009,2.9273,28.568,7.2829,0.8745,9.7205,1.9557,0.0384,1.5062,20.5
DOXLEH,203.76,35.7,-3.3813,-2.5825,1.84,-0.4077,2.8731,28.8018,7.3462,0.8331,9.7799,1.9487,0.0249,1.3536,17.7
DUXGAE,181.33,28.1,-2.2465,0.4742,1.9,-0.4689,2.748,28.9288,7.367,0.7032,9.8051,1.9771,0.0914,1.7152,20.1
SOHRIQ01,212.87,38.9,-2.5748,-1.0837,1.91,-0.459,2.7496,28.8433,7.3504,0.7505,9.8118,1.9765,0.0576,1.2224,13.9
PIQFEC,190.09,29.7,-1.9814,0.448,1.92,-0.4757,2.729,28.941,7.3663,0.6826,9.8032,1.9825,0.0676,1.6741,25.2
UVOJOG02,200.36,37.6,-2.8005,-1.5275,1.88,-0.4511,2.7945,28.8584,7.3618,0.7761,9.8184,1.9857,0.0381,1.3997,16.4
XEGJOI,201.18,34.7,-2.7768,-2.1247,1.86,-0.4326,2.7955,28.776,7.3678,0.7924,9.7436,1.9413,0.0809,1.577,16.6
WASJEI,234.26,41.2,-3.1258,-2.3185,1.87,-0.4252,2.8394,28.831,7.3708,0.811,9.8045,1.9703,0.0305,1.1208,15.2
FINWAA,184.83,31.4,-1.9152,-0.497,1.92,-0.4767,2.7296,28.957,7.3706,0.6908,9.8049,1.9791,0.0723,1.7665,23.3
XOCFAW,199.27,35.8,-2.9686,-2.156,1.84,-0.4147,2.8425,28.7974,7.3561,0.7779,9.753,1.98,0.0319,1.1863,11.3
UGICOD,182.91,31.7,-2.6041,-1.582,1.87,-0.4477,2.7737,28.8232,7.3626,0.7735,9.7825,1.9697,0.0794,1.6819,13.5
QOYGOB,234.98,39.7,-2.628,-2.2297,1.9,-0.4336,2.8153,28.8488,7.3421,0.7586,9.7753,1.9819,0.0347,1.6522,13.8
TOZJID,156.27,24,-2.8008,-2.7586,1.84,-0.4318,2.8121,28.8658,7.3733,0.8063,9.7787,1.9553,0.0703,1.5158,19.1
VUZHUU,231.54,37.3,-3.1795,-2.6773,1.87,-0.4028,2.8554,28.8406,7.346,0.8118,9.7809,1.9774,0.0229,1.6876,16.4
VUBVAR,196.07,33.6,-2.7501,-1.8827,1.86,-0.4387,2.7842,28.8202,7.3564,0.7488,9.7805,1.9858,0.0175,1.2001,19
ZAXBIM,183.76,31.6,-2.5176,-1.326,1.89,-0.4725,2.7513,28.8923,7.3836,0.755,9.8365,1.9841,0.0176,1.2169,17.6
RIHGIZ,193.42,32.2,-2.7977,-2.1502,1.86,-0.4396,2.8055,28.8654,7.3634,0.8022,9.783,1.9479,0.0889,1.2154,19.1
QERCEW,160.43,24.5,-3.4173,-3.0178,1.8,-0.3704,2.9094,28.8083,7.3385,0.8273,9.7381,1.982,0.0676,1.4868,20.6
BOLBAH,203.71,33.7,-2.5059,-1.6314,1.87,-0.4254,2.7797,28.7808,7.3514,0.7393,9.7649,1.9693,0.1145,1.6554,13.6
OGARAR,225.55,39.5,-2.5574,-1.9043,1.9,-0.4474,2.7738,28.8699,7.3516,0.7493,9.7805,1.9614,0.1051,1.1132,14.8
AFAPIH,194.38,32.9,-2.0205,-1.352,1.88,-0.4485,2.7619,28.9239,7.3248,0.7114,9.7212,1.9677,0.1138,1.5835,21.4
DUBFOX,203.2,35.6,-3.3337,-2.6015,1.83,-0.4044,2.8723,28.7967,7.3507,0.8215,9.7761,1.9605,0.024,1.3158,17.1
UQEXOE,216.81,39.5,-3.1425,-2.4466,1.84,-0.4007,2.8741,28.7839,7.3222,0.8278,9.7779,1.9631,0.088,1.3846,18.6
GENZEF,195.64,35.7,-2.9622,-2.1339,1.84,-0.4193,2.8393,28.8072,7.3579,0.7923,9.7556,1.9864,0.0307,1.289,18.5
NOFMOL,240.99,44.4,-2.6032,-1.5463,1.88,-0.4363,2.7914,28.846,7.2978,0.8173,9.8197,1.96,0.0861,1.181,10.7
VOGSEP,182.23,28.2,-2.3258,-0.5894,1.9,-0.4693,2.7442,28.914,7.3668,0.7158,9.8063,1.9676,0.0788,1.594,21.5
TIPVAR01,213.64,33.6,-2.1327,-1.0803,1.91,-0.4658,2.7625,28.9309,7.4116,0.7461,9.8083,1.9461,0.0676,1.4128,20.6
OZOPOK,245.11,38.8,-4.1151,-3.7671,1.84,-0.3122,2.9986,28.7694,7.3102,0.8526,9.7219,1.991,0.0258,1.6285,24.1
VOHDAZ,209.75,40.4,-3.0233,-2.4367,1.85,-0.422,2.8472,28.7441,7.3239,0.8432,9.7617,1.9646,0.0787,1.5626,12.6
DAYYUA,230.42,40.8,-2.9039,-1.9107,1.88,-0.447,2.8112,28.8544,7.3575,0.7805,9.8348,1.9643,0.0246,1.2053,15.5
RUGGIK,272.07,49.1,-3.7225,-2.7647,2.06,-0.2907,2.9119,28.7064,7.4607,0.4293,9.8231,1.9371,0.083,1.1601,47.3
GEQXOS,180.77,28.2,-3.342,-2.8862,1.81,-0.3823,2.8898,28.7366,7.3361,0.8397,9.7703,1.96,0.0669,1.6454,20.1
GUZMUK,190.46,36.3,-3.8313,-3.3951,1.83,-0.3315,2.9807,28.724,7.2834,0.8612,9.7191,1.8947,0.0813,1.6654,21.6
DITLIE,184.74,31.1,-2.5439,-1.7089,1.87,-0.4523,2.766,28.8577,7.3789,0.7766,9.7687,1.9762,0.0989,1.5629,18.2
RIZGUE,187.67,33.7,-2.3539,-1.8359,1.86,-0.4394,2.7645,28.8278,7.3459,0.725,9.7579,1.9337,0.1103,1.5545,17.8
MOKHIE,225.51,39.6,-3.277,-2.562,1.84,-0.4004,2.8719,28.7394,7.3369,0.8351,9.7557,1.9789,0.0809,1.1076,24.5
SEJCIV,244.47,39.5,-2.5818,-2.3043,1.89,-0.4158,2.8405,28.8392,7.3055,0.7643,9.7726,1.9699,0.0225,1.707,12.9
HUKNIL01,262.69,42.3,-3.1542,-2.052,2.01,-0.3214,2.826,28.7367,7.4215,0.4827,9.8396,1.9838,0.0848,1.2114,52.1
PIJHOG,184.1,28.4,-2.2869,-0.8171,1.89,-0.4678,2.7417,28.9163,7.3685,0.7087,9.803,1.9488,0.0696,1.6698,20.6
VIMPEN,194.05,32.2,-2.9128,-2.4411,1.85,-0.422,2.8278,28.8385,7.3528,0.8047,9.7718,1.9748,0.0813,1.2054,18.9
HILLOE,235.16,37.8,-3.3448,-2.8315,1.85,-0.3867,2.8817,28.7845,7.3496,0.8106,9.7652,1.9717,0.0788,1.1209,17.1
BEBKAV,228.01,48.4,-2.6136,-1.5282,1.9,-0.4411,2.7768,28.8708,7.3435,0.7416,9.7879,1.9853,0.121,1.4419,14.7
IVAVUY,212.49,41.6,-2.5011,-1.7288,1.9,-0.4662,2.7421,28.8394,7.3838,0.7634,9.7932,1.9437,0.0265,1.67,13.4
IMUFEC,222.33,36.4,-2.8939,-2.3486,1.85,-0.4152,2.8474,28.835,7.3369,0.7958,9.7522,1.9761,0.0252,1.6799,17.7
KIZNUE,157.05,24.2,-2.8777,-2.3561,1.83,-0.4423,2.7986,28.9234,7.375,0.8237,9.7867,1.9415,0.062,1.5284,18.9
NIYKAK,198.37,35.7,-3.3114,-2.914,1.86,-0.3958,2.8765,28.6933,7.3421,0.8395,9.7572,1.989,0.0675,1.5062,15.7
BABXUA,196.28,30.5,-2.258,-1.2335,1.93,-0.4636,2.7312,28.8291,7.3495,0.6901,9.8002,1.9815,0.1013,1.7126,19.7
GOLNAW,185.2,31.9,-1.7322,-0.8693,1.92,-0.4784,2.7187,28.9455,7.4167,0.7102,9.8002,1.9481,0.0473,1.6241,20.5
IYOXUR,205.2,35.8,-3.4508,-2.8094,1.82,-0.3911,2.8892,28.7604,7.3464,0.8233,9.7655,1.9758,0.0271,1.3433,18.6
EQUSOZ,239.54,40.6,-2.8939,-2.2677,1.86,-0.3845,2.8699,28.6836,7.3148,0.7883,9.7099,1.9792,0.1339,1.5643,14.9
ROMQIW01,215.6,38.9,-3.4008,-2.8089,1.84,-0.3839,2.8938,28.7578,7.3253,0.8336,9.7504,1.9768,0.0327,1.6795,24.7
IFOPUQ,229.07,38.5,-2.7452,-2.0053,1.87,-0.4356,2.8315,28.8353,7.3487,0.7575,9.7943,1.9569,0.0361,1.442,14.5
IWUQUO,183.13,29.5,-2.6339,-1.9768,1.87,-0.4444,2.7779,28.8121,7.3746,0.7806,9.769,1.9189,0.0654,1.7114,19.2
VUHKIV,240.31,40.5,-3.1958,-2.6911,1.88,-0.3624,2.8793,28.8368,7.2952,0.818,9.7506,1.989,0.1058,1.1321,13.4
RAFTUO,154.28,25.1,-2.6458,-2.0284,1.86,-0.469,2.7534,28.9392,7.3981,0.8129,9.8051,1.9589,0.0744,1.5056,20.5
SAZBIE,198.05,34.5,-2.6066,-1.897,1.86,-0.4135,2.8047,28.7576,7.3468,0.7446,9.7516,1.9452,0.0717,1.6152,16.4
VASQAH,186.2,33.3,-2.3181,-1.6392,1.87,-0.4502,2.7395,28.8548,7.3649,0.7038,9.7714,1.9665,0.1027,1.5798,14.7
FORHID,198.03,35.8,-2.5666,-1.8902,1.86,-0.411,2.8099,28.7649,7.3388,0.7443,9.7504,1.9678,0.107,1.6545,14.8
LEJROH,197.35,32.8,-3.8307,-3.5315,1.82,-0.3013,3.0153,28.6269,7.2864,0.8502,9.6709,1.9165,0.0177,1.6156,25.9
LOMCEX,182.74,33.3,-2.4744,-1.6001,1.86,-0.447,2.7678,28.8278,7.3626,0.7612,9.7682,1.9792,0.1072,1.7115,15.9
FIHVAU,206.83,37.8,-2.7297,-1.9043,1.87,-0.4293,2.7983,28.7981,7.3554,0.7887,9.7539,1.9572,0.0731,1.5654,17.1
JOFMUN,186.4,29.6,-2.2759,-1.8607,1.87,-0.4547,2.7551,28.8509,7.3622,0.7136,9.7864,1.9758,0.0958,1.7265,21.5
LOSSUK,189.88,32.5,-3.5618,-3.5436,1.83,-0.3527,2.9276,28.7099,7.3236,0.7989,9.7575,1.9371,0.0718,1.2186,22
NUKCOL,164.46,27.3,-2.7829,-2.7239,1.84,-0.4334,2.8116,28.8532,7.3777,0.8013,9.7702,1.9433,0.0773,1.6095,18.8
KITZUL,233.29,40.4,-3.3484,-2.2412,1.85,-0.39,2.8038,28.77,7.3484,0.7639,9.7941,1.9763,0.0765,1.1665,13
AQIDIO,196.31,30.1,-2.8411,-2.4844,1.87,-0.4156,2.8219,28.7277,7.3391,0.7682,9.7528,1.9578,0.0747,1.6622,18.1
BAZZUZ,202.69,40.3,-2.7203,-1.8857,1.9,-0.4526,2.7798,28.8855,7.3644,0.7883,9.7853,1.9762,0.0945,1.1678,13.9
RUYYER,197.17,34.4,-2.6678,-1.7179,1.9,-0.4526,2.7724,28.8504,7.3769,0.771,9.7701,1.9809,0.0403,1.6176,20
NILQUW,221.56,36.1,-2.7105,-1.6891,1.87,-0.446,2.7987,28.8879,7.3558,0.7875,9.7906,1.9764,0.076,1.1934,18.2
QUINCX,222.56,37.2,-2.734,-2.2138,1.86,-0.4258,2.83,28.8016,7.347,0.7633,9.7702,1.978,0.0239,1.4654,17.4
BOKLIZ,220.45,38.8,-3.2198,-2.7865,1.84,-0.4017,2.8809,28.7509,7.3516,0.8365,9.7707,1.9514,0.0181,1.6805,18.5
PIRWIZ,226.67,43.2,-2.5407,-1.6222,1.91,-0.452,2.7667,28.8739,7.3488,0.7513,9.8053,1.9763,0.0763,1.2366,14.2
UMIRAL,195.54,32.5,-2.8834,-2.2379,1.86,-0.3951,2.8456,28.7062,7.3263,0.7528,9.7141,1.9056,0.0795,1.661,20.8
CIFDON,198.21,34.1,-2.282,-1.3406,1.9,-0.4476,2.7455,28.881,7.3353,0.6987,9.7606,1.9366,0.088,1.6072,14.6
SAPGAS,192.91,31,-3.0562,-2.9015,1.86,-0.3922,2.8701,28.6901,7.3321,0.794,9.7453,1.9783,0.0646,1.6209,19.5
NILVEL,244.28,41.7,-2.9541,-2.3927,1.87,-0.3927,2.8666,28.8244,7.3248,0.821,9.7801,1.9693,0.0264,1.1305,15.2
IMAFIN,258.9,43.7,-3.1975,-1.5491,1.99,-0.3315,2.8769,28.7544,7.3832,0.4885,9.845,1.9629,0.1032,1.1026,33.3
UMEZAP,185.66,32.1,-2.8877,-2.5637,1.85,-0.423,2.8335,28.8217,7.37,0.7849,9.8008,1.9699,0.0297,1.1673,18.5
YOWNOQ,186.19,29.3,-2.2373,-1.6382,1.87,-0.4537,2.7526,28.8172,7.3753,0.7439,9.7715,1.9667,0.1117,1.7046,15.2
BAXNAP,182.23,30.5,-1.8257,0.6227,1.93,-0.4765,2.728,28.9556,7.375,0.6781,9.8055,1.9872,0.0477,1.751,30
ZILMEO,239.27,37.3,-3.4337,-2.9009,1.82,-0.3559,2.935,28.7445,7.365,0.7974,9.7582,1.9837,0.0253,1.6375,21.6
ZUMBIS,185.61,31.5,-1.5913,-0.6324,1.94,-0.4795,2.6892,28.9034,7.3386,0.6427,9.7981,1.9728,0.1008,1.6031,24
HODLOC,211.15,39.8,-2.5899,-1.6388,1.9,-0.4541,2.7562,28.8394,7.3817,0.7839,9.7841,1.9788,0.0935,1.0989,17.7
PEZCON,182.87,32.6,-2.5235,-1.6988,1.85,-0.4435,2.7649,28.8091,7.37,0.7637,9.7661,1.9822,0.1016,1.7055,17.7
TSBNON,206.89,37.2,-2.9416,-1.7922,1.9,-0.4477,2.7526,28.8224,7.3779,0.793,9.7866,1.9137,0.0602,1.5389,15.8
DACHQO,191.59,30.8,-2.9767,-2.458,1.85,-0.3868,2.8537,28.7238,7.329,0.7648,9.711,1.949,0.0974,1.5744,20.2
KEPNOI,189.32,33.9,-2.8075,-2.0742,1.87,-0.4238,2.7964,28.7427,7.338,0.7456,9.7619,1.9695,0.0801,1.5377,16
FAFBOG,234.06,37.7,-3.4477,-2.9947,1.85,-0.3711,2.9068,28.808,7.3405,0.8244,9.7614,1.974,0.1004,1.1284,16.8
LEYNUZ,183,31.8,-2.4811,-1.5123,1.88,-0.4563,2.7596,28.8176,7.3724,0.756,9.779,1.921,0.1076,1.7081,17.1
REVMUB,208.93,40.3,-2.3894,-0.7468,1.92,-0.4757,2.7351,28.9366,7.3644,0.6991,9.816,1.9849,0.1045,1.2598,23.5
GEVBIT,233.04,37.5,-3.3341,-2.8033,1.85,-0.386,2.8861,28.8037,7.3466,0.8198,9.7669,1.9733,0.0228,1.6564,15.8
ULEKAY,204.03,35.4,-2.8032,-2.0381,1.88,-0.4348,2.7789,28.7612,7.3453,0.751,9.7686,1.9651,0.0904,1.4896,17
LEPFES,185.87,28.7,-3.0403,-2.4585,1.81,-0.3918,2.8652,28.7866,7.3428,0.8295,9.7535,1.9582,0.0669,1.7123,24
SIYCOV,183.66,31.1,-2.5717,-1.4021,1.88,-0.4579,2.7565,28.8265,7.3887,0.7848,9.77,1.9771,0.1089,1.5601,25.9
CIFPAK,231.54,38.1,-2.532,-0.9651,1.93,-0.4498,2.7231,28.871,7.367,0.7319,9.841,1.9714,0.0263,1.4091,18.3
ANONAL11,183.51,28.9,-2.3801,-1.4078,1.88,-0.4559,2.7559,28.8308,7.3704,0.7496,9.7815,1.9733,0.1072,1.7342,14.8
LUKZOH,223.83,39.6,-3.3217,-2.6454,1.84,-0.3977,2.8776,28.7499,7.3325,0.8401,9.7541,1.972,0.0735,1.2579,16.8
PATQOQ,182.48,30.4,-2.0106,0.3859,1.92,-0.4737,2.7216,28.9269,7.3653,0.6818,9.8069,1.9764,0.0782,1.6683,22.4
DAFVEN,197.99,35.8,-2.5727,-1.8973,1.86,-0.411,2.8109,28.7678,7.3377,0.7463,9.7505,1.9676,0.096,1.623,14.8
WOMXOM,183.17,30.5,-2.6172,-1.5448,1.88,-0.4539,2.7522,28.8107,7.3868,0.7745,9.7765,1.9916,0.0864,1.6454,15.5
EJENOW,185.66,32.4,-2.5898,-2.049,1.87,-0.4281,2.8066,28.792,7.3525,0.7712,9.7413,1.936,0.1072,1.6297,32.1
GOTSEN,188.32,30.6,-1.4879,-1.4794,1.91,-0.4768,2.695,28.9467,7.4062,0.6895,9.7784,1.9729,0.1006,1.6662,24.8
VOYTIP,189.63,30.7,-3.113,-2.2197,1.84,-0.4278,2.8256,28.7379,7.3612,0.8363,9.7706,1.9563,0.0493,1.7029,16.6
PEXDAA,189.94,32.3,-2.604,-1.5615,1.87,-0.4496,2.7781,28.8455,7.348,0.7547,9.7833,1.9806,0.1102,1.7052,12
IHUGUP,193.71,34,-3.1502,-2.6188,1.86,-0.4185,2.8377,28.7424,7.3618,0.8386,9.7646,1.9799,0.0808,1.5095,13.9
ANONIC,183.83,31,-2.4937,-1.5333,1.87,-0.4518,2.7575,28.8216,7.3609,0.7557,9.7736,1.9737,0.1135,1.7013,13.9
GUWCIL,209.06,34.8,-2.4583,-1.2195,1.93,-0.4633,2.7344,28.8121,7.3641,0.7187,9.7986,1.9728,0.0389,1.6178,19.9
GUVQOE,231.91,39.8,-2.7892,-2.1957,1.89,-0.4214,2.8381,28.8325,7.3373,0.7755,9.761,1.9725,0.0243,1.6951,13.1
IGEFEH,181.27,28.2,-2.0995,0.4716,1.93,-0.4717,2.7337,28.9196,7.3937,0.7277,9.7997,1.9729,0.1046,1.5827,21.8
SELKUR,182.91,30.4,-1.7699,0.6655,1.93,-0.4757,2.7228,28.9695,7.3638,0.667,9.8019,1.9709,0.1249,1.6969,21.5
MIZHEK,204.38,41.7,-3.376,-2.7911,1.83,-0.3645,2.9124,28.7338,7.3052,0.828,9.7173,1.9652,0.0682,1.6556,20.5
AYOZUK,210.59,32.5,-2.8866,-2.2766,1.86,-0.3926,2.8509,28.7045,7.3197,0.7516,9.7103,1.9108,0.0815,1.6166,17.6
EJEXAT,204.74,38.2,-2.9816,-2.059,1.84,-0.4267,2.8287,28.8495,7.3625,0.8016,9.7888,1.9773,0.0211,1.2104,20.9
XICDEV,237.34,40.9,-2.3658,-1.5876,1.93,-0.4611,2.7437,28.879,7.3709,0.7417,9.8202,1.9591,0.1012,1.1712,15
EGECUR,232.71,37.5,-3.3672,-3.0865,1.86,-0.3743,2.9015,28.815,7.335,0.8175,9.7677,1.9682,0.1009,1.1358,16.7
GAQBIL,213.99,43,-3.8658,-3.5144,1.86,-0.305,2.9709,28.7037,7.2626,0.8378,9.7371,1.9504,0.0173,1.5914,11
NEZKAH,159.73,24.4,-2.9439,-2.36,1.82,-0.4286,2.822,28.8852,7.3714,0.8228,9.7722,1.9836,0.0622,1.4956,20.4
RIGMUQ,220.48,49.1,-2.616,-1.6549,1.92,-0.4567,2.7673,28.8713,7.3605,0.7351,9.7926,1.9566,0.0292,1.5808,15.7
YORBAL,230.33,42.9,-2.61,-2.0359,1.9,-0.4431,2.8007,28.8176,7.3486,0.735,9.8089,1.9808,0.0202,1.2048,15.6
BAPRAL,182.94,28.6,-2.1862,-0.6413,1.89,-0.4663,2.7397,28.8807,7.3489,0.7051,9.7976,1.9824,0.0902,1.7079,22.8
HIJBEK,190.87,32.4,-3.1421,-2.8254,1.84,-0.3483,2.898,28.7545,7.292,0.7661,9.6814,1.9773,0.0786,1.5121,22.8
CIWXAK,184.5,32.2,-3.5981,-2.7037,1.83,-0.3762,2.9221,28.7218,7.3296,0.8851,9.721,1.9742,0.0689,1.6542,20.5
JOCSOM,203.95,40.4,-2.2699,-1.245,1.91,-0.4657,2.7482,28.9021,7.3745,0.7172,9.8121,1.9618,0.0196,1.7541,19
