Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
BECVEK,168.56,31.8,-3.1475,-2.8287,1.86,-0.4117,2.8517,28.6018,7.3608,0.76,9.8122,1.9851,0.0174,1.3836,16.4
TUCZID,226.34,42.4,-2.8,-1.9748,1.86,-0.4344,2.8398,28.7955,7.3428,0.7907,9.7824,1.9514,0.0694,1.3311,16.9
PUBLUU,195.76,36.7,-2.5668,-1.7371,1.89,-0.4552,2.754,28.8562,7.3528,0.7439,9.7828,1.9176,0.0558,1.7515,12.6
CEBGAT,194.4,36.8,-2.7397,-2.1809,1.88,-0.4435,2.7624,28.8536,7.3323,0.7505,9.7635,1.9643,0.0559,1.6448,17.4
TEZBIJ,189.07,32,-3.5155,-2.7353,1.83,-0.3914,2.8951,28.7162,7.3405,0.8571,9.7477,1.9451,0.0595,1.6605,16.9
IGAJEG,153.62,24.2,-2.6306,-2.01,1.86,-0.4693,2.7491,28.9239,7.4013,0.8076,9.807,1.9724,0.0779,1.636,24.3
ZAXVAY,180.39,29.9,-3.3791,-2.911,1.83,-0.3991,2.8811,28.773,7.3493,0.8444,9.7719,1.953,0.0323,1.5595,17
VIXMUL,222.44,39.7,-2.7728,-1.9067,1.84,-0.4321,2.8308,28.8606,7.3277,0.7651,9.7989,1.9664,0.0183,1.2088,16.9
ZIBYUE,191.02,30.1,-3.0442,-2.5463,1.84,-0.4101,2.8463,28.7165,7.3391,0.8107,9.7622,1.9355,0.0836,1.5904,16
RICGIU,178.3,30.2,-2.175,0.5478,1.9,-0.471,2.7366,28.9416,7.3516,0.7082,9.79,1.9799,0.0931,1.622,23.5
AMHPYR,172.2,26.7,-2.6987,-0.1882,1.89,-0.4658,2.743,28.8613,7.3783,0.7881,9.8121,1.9501,0.09,1.5379,21.1
TOHGAY01,266.52,50.3,-3.5549,-2.2234,2.09,-0.2994,2.8468,28.6795,7.4285,0.3729,9.8516,1.9325,0.0177,1.1481,34.8
WIXLIA,183.27,30.9,-3.7377,-2.857,1.8,-0.3691,2.9235,28.7544,7.3227,0.8673,9.7314,1.9655,0.038,1.6503,22.4
TEDGUH,179.43,33.4,-2.1687,-0.4642,1.91,-0.4705,2.7439,28.9471,7.3514,0.7084,9.7917,1.9619,0.05,1.5919,23.5
FETYAH,183.16,28.8,-3.6846,-3.1912,1.79,-0.3423,2.9586,28.6881,7.2931,0.8469,9.7235,1.9333,0.0831,1.6434,21.9
GEQWIL,180.16,28.2,-3.2122,-2.6917,1.81,-0.4004,2.8641,28.7623,7.3419,0.8449,9.7764,1.9552,0.0733,1.6098,18
QUZTOV,183.29,28.4,-3.4542,-3.0088,1.8,-0.3622,2.9405,28.6672,7.3054,0.8307,9.7377,1.9489,0.099,1.5769,21.4
BARKIO10,257.45,59.2,-2.7659,-0.9784,2.1,-0.286,2.8425,28.775,7.472,0.3679,9.8776,1.9682,0.0225,1.5359,68.8
QIQTIT,196.32,39.6,-2.4455,-0.9697,1.88,-0.44,2.7573,28.8488,7.3289,0.7256,9.7887,1.9706,0.085,1.5433,20.2
WIKTUF,245.73,44.2,-3.8989,-1.5337,2,-0.3287,2.9706,28.7746,7.4407,0.5351,9.8878,1.953,0.0089,1.3378,56
WUGDAE,201.57,32.6,-2.8986,-2.5374,1.86,-0.4112,2.8224,28.7222,7.3301,0.7624,9.7646,1.9602,0.075,1.6938,22.5
YEYXEH,211.54,38,-2.4669,-1.4115,1.94,-0.4297,2.7333,28.9253,7.3036,0.7322,9.7827,1.978,0.1016,1.6184,13.9
YIVSUU,180.89,34.4,-3.1651,-2.3796,1.84,-0.4151,2.8263,28.6653,7.3633,0.7942,9.7803,1.9763,0.1196,1.3867,19
AQINAP,217.68,40.6,-3.5609,-3.1451,1.86,-0.3666,2.9381,28.7445,7.3055,0.8439,9.7408,1.9828,0.0371,1.558,16.7
XEJLON,180.06,33.7,-2.1634,-0.6641,1.9,-0.4706,2.7476,28.9469,7.3592,0.7124,9.7924,1.9684,0.0542,1.6035,23.3
BEDGIA,184.72,31.7,-3.7416,-2.9005,1.8,-0.3646,2.9417,28.769,7.319,0.8704,9.7298,1.9332,0.0336,1.6524,21
GEYMOM,179.27,30.2,-2.7406,-0.6817,1.88,-0.4632,2.7625,28.9404,7.3733,0.7878,9.8167,1.978,0.0223,1.7295,19.3
GUACET,216.16,35,-2.387,0.3263,1.94,-0.4829,2.7218,28.8638,7.3925,0.7322,9.8302,1.9821,0.021,1.6351,15.9
RIHCER,191.85,30.2,-2.9328,-2.5548,1.87,-0.4179,2.8374,28.744,7.3472,0.7977,9.7583,1.9714,0.0801,1.573,19.2
YABRUO,205.27,34.6,-2.8554,-0.9591,1.89,-0.4678,2.7584,28.9516,7.3637,0.792,9.8006,1.9691,0.0195,1.5413,19.1
PEZPOB,235.42,40.5,-3.1003,-2.2915,1.91,-0.4341,2.727,28.7841,7.4294,0.7788,9.8102,1.9793,0.0398,1.5919,20.7
LICLOZ,180.39,32.1,-2.789,-1.8786,1.88,-0.4603,2.7631,28.8377,7.3866,0.8283,9.808,1.9055,0.08,1.5048,15
PIDBEM,217.23,35.8,-3.4899,-2.9014,1.83,-0.3793,2.9245,28.7815,7.3149,0.8503,9.7464,1.9661,0.025,1.6102,18.7
BINLOC,182.1,31.1,-2.7164,-1.5975,1.88,-0.456,2.7812,28.8525,7.3792,0.8179,9.7776,1.9783,0.1116,1.6166,16
