Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
QUYGOH,96.78,-2.8576,0.4645,2.1131,6.3499,12.4373,9.7483,1.8873,1.422,0.1166,16.2
QUZFAT,82.61,-3.5311,0.3597,2.1761,6.3779,12.5042,9.7582,1.9188,1.5606,0.0847,12.5
QUZNOP,82.17,-3.2809,0.3356,2.1034,6.3881,12.4995,9.7767,1.9135,1.5669,0.0829,12.4
QUZQIM,82.65,-3.2202,0.3633,2.2324,6.3733,12.5432,9.7203,1.9642,1.2326,0.0205,27.3
QUZTOV,82.07,-3.4542,0.409,1.9375,6.3776,12.4757,9.7377,1.9189,1.5014,0.0795,20.4
RABDAV,79.79,-3.0022,0.3006,1.9434,6.4127,12.4931,9.7936,1.9207,1.5569,0.0874,17.5
RABXEA,82.99,-2.5601,0.2037,2.0524,6.4319,12.5584,9.8059,1.936,1.2206,0.0201,7.5
RAKHUH,79.98,-3.0738,0.3023,1.9452,6.4123,12.4961,9.7893,1.9209,1.4986,0.0863,17.8
RAKRAY,85.16,-2.7869,0.4437,2.1203,6.3676,12.459,9.7297,1.9561,1.5474,0.1065,65
RAKXAE,81.34,-3.4109,0.3196,2.0186,6.4018,12.4995,9.779,1.907,1.2301,0.0163,12.7
RARMII,93.36,-3.4309,0.4436,1.9651,6.3391,12.4602,9.7571,1.9303,1.5786,0.0799,12.8
RAWTIU,80.81,-3.6914,0.2929,2.3391,6.4063,12.5804,9.7203,1.9516,1.1601,0.0315,23.2
RBFURC10,63.19,-3.179,0.4485,1.9429,6.4164,12.3774,9.7577,1.9051,1.6097,0.0498,20.8
RECNOF,71.2,-3.6161,0.2852,1.9471,6.5312,12.4539,9.7297,1.9015,1.2063,0.0174,23.7
RECNUL,85.53,-3.1029,0.3689,2.1133,6.4094,12.463,9.7587,1.9192,1.0929,0.0181,19
REJNAY,66.53,-3.2466,0.1581,1.7217,6.5814,12.4765,9.784,1.9128,1.37,0.0089,-5.8
RELZEN,62.65,-2.5126,0.2921,1.8035,6.4727,12.4152,9.82,1.9142,1.3389,0.0113,22.5
REQHOM,88.66,-3.2378,0.4749,2.0994,6.3601,12.4314,9.7336,1.9683,1.6799,0.0667,27.1
RETJEG,91.16,-3.0208,0.3872,2.0839,6.377,12.4602,9.7756,1.9745,1.5541,0.0771,-19.7
REXDUW,77.6,-3.064,0.5169,2.4766,6.3034,12.4968,9.6829,1.8426,1.6588,0.0741,23.8
REYNEQ,94.41,-3.0783,0.4782,2.229,6.3326,12.4822,9.707,1.9125,1.7233,0.0966,22.4
REZJAK,99.35,-2.6305,0.4251,1.9884,6.3571,12.4556,9.7623,1.9681,1.5565,0.0763,16
REZJEO,88.43,-2.6851,0.3855,1.9328,6.4029,12.4379,9.7737,1.8954,1.6148,0.0833,21.2
RIFHOG,81.71,-3.0884,0.2973,1.9499,6.4155,12.4988,9.7884,1.9113,1.3771,0.0107,-3.6
RIGDIW01,69.5,-3.2075,0.2414,1.8117,6.5557,12.4404,9.7626,1.9555,1.2344,0.0229,28.2
RIJHUN01,84.62,-2.7312,0.3809,1.9155,6.4143,12.4335,9.7713,1.8993,1.596,0.0848,21.8
RIKVEP,69.25,-3.24,0.2298,1.8423,6.5621,12.4523,9.7559,1.9467,1.1963,0.0328,28
RIPZOF,43.84,-3.1161,0.3143,1.582,6.5405,12.3802,9.765,1.8811,1.593,0.0585,23.7
RIRMAH,63.49,-3.7278,0.4084,1.9226,6.4213,12.4382,9.732,1.9197,1.5114,0.0659,18.6
RITLAJ,85.86,-2.5544,0.3996,1.9672,6.3829,12.4496,9.7679,1.9359,1.5506,0.085,18.3
RIVGUZ,85.25,-2.5167,0.4098,1.9537,6.3787,12.4461,9.7654,1.9403,1.5506,0.084,16.7
RIWCOR,91.93,-3.3347,0.4208,1.8822,6.349,12.4624,9.7679,1.9208,1.6141,0.0882,12.7
RIWGAI14,83.35,-3.462,0.2661,2.1142,6.4698,12.4976,9.7665,1.9647,1.4222,0.0122,30.9
RIWJEM,63.48,-3.2346,0.3826,1.9319,6.4343,12.4204,9.7627,1.9117,1.4949,0.0743,21.5
RIXGOW,102.72,-3.4064,0.4254,2.1763,6.318,12.5237,9.7328,1.9703,1.6534,0.0765,14.5
RIZZEH,76.23,-2.9598,0.2668,1.5708,6.4662,12.4465,9.8206,1.9207,1.6878,0.1292,17
ROFGUP,82.74,-2.7716,0.195,2.0855,6.4315,12.577,9.7965,1.9364,1.3088,0.0158,24.3
ROFLIJ,93.6,-2.6054,0.4327,2.1177,6.3604,12.4747,9.7322,1.9517,1.4709,0.1049,18
ROFYUH,81.81,-3.2287,0.3619,1.9527,6.3852,12.4589,9.7941,1.9309,1.5306,0.0769,9.2
ROJDAY,99.5,-2.618,0.336,1.7823,6.3826,12.4676,9.8139,1.9025,1.5502,0.0745,20.5
ROKPAK,81.98,-3.9421,0.3266,2.5075,6.3943,12.5977,9.6814,1.9464,1.4315,0.0199,23.8
ROLTUJ,83.56,-3.0159,0.2438,2.0079,6.4335,12.5514,9.7713,1.931,1.3916,0.0245,24.2
ROMKAG,64.87,-3.0125,0.2602,2.0079,6.4411,12.4954,9.8033,1.9349,1.3463,0.0115,22.5
ROXMID,85.31,-2.564,0.4031,1.9361,6.3883,12.4347,9.774,1.9306,1.6101,0.0827,17.6
RUBFUS02,84.28,-2.6346,0.4199,1.9682,6.3806,12.4311,9.7684,1.9203,1.5401,0.0763,17.5
RUFJOS,79.69,-3.5459,0.4703,2.2636,6.3381,12.4605,9.7312,1.9683,1.5641,0.0874,16.5
RUGCII,82.17,-3.1002,0.2506,1.9819,6.4466,12.5159,9.7868,1.8992,1.3666,0.0142,28.3
RUGGIK,80.14,-3.7225,0.3707,1.9575,6.335,12.4712,9.8231,1.9892,1.35,0.0175,46.9
RUJHOU,63.81,-3.2558,0.4681,2.0535,6.4098,12.397,9.7252,1.9275,1.6702,0.0539,20.5
RULTAV,84.31,-2.6961,0.3857,1.8623,6.417,12.4196,9.7777,1.9681,1.602,0.0806,18.6
RUQWEG,83.03,-3.6584,0.3922,2.25,6.3594,12.5032,9.7452,1.9175,1.5708,0.0907,17.7
RUSLOJ,82.99,-2.8027,0.3534,1.8639,6.4182,12.4463,9.7821,1.9618,1.5602,0.092,22.6
RUTFET,93.49,-3.2667,0.4124,2.3755,6.3529,12.5432,9.6915,1.946,1.3603,0.0225,27
RUTTAD,91.5,-2.88,0.3595,2.1356,6.3792,12.4877,9.7736,1.904,1.3724,0.0087,17.9
RUWNAY,92.77,-2.619,0.3828,1.9643,6.397,12.4521,9.7681,1.9572,1.5587,0.0734,26
RUXJEZ,83.99,-3.3459,0.5068,2.2035,6.3464,12.4279,9.7189,1.9676,1.6409,0.0791,15.8
RUZSIQ,84.04,-2.8937,0.2368,2.0191,6.4277,12.5509,9.7846,1.9153,1.3754,0.0134,22.2
SABQAP,87.05,-2.9676,0.5041,2.4146,6.335,12.4924,9.6684,1.8892,1.4723,0.073,15.7
SABZEA,62.96,-2.6368,0.3808,1.8658,6.4564,12.3884,9.7744,1.8916,1.6425,0.0517,17.4
SAFBAG,84.47,-2.585,0.3731,1.8082,6.4269,12.4107,9.7893,1.8987,1.6104,0.0774,19.5
SAGBEJ,84.54,-3.7437,0.3388,2.5569,6.3826,12.6277,9.6509,1.8867,1.4104,0.013,24.5
SANVUY,91.99,-3.4431,0.5313,2.4005,6.32,12.4893,9.6594,1.9699,1.5238,0.0769,23
SAPGAS,90.74,-3.0562,0.4404,2.0076,6.3514,12.4628,9.7453,1.9062,1.5727,0.0972,17.3
SAQJOL,77.85,-2.8839,0.308,1.8599,6.4274,12.4511,9.8136,1.9338,1.5667,0.0833,14.9
SASZUI,83.78,-2.7333,0.4008,1.7594,6.4025,12.3881,9.8086,1.9775,1.5906,0.0769,14.2
SEBPIY01,91.19,-3.0301,0.3989,1.9057,6.3627,12.4691,9.7692,1.9092,1.5723,0.094,16.4
SECDAI,87.71,-3.6158,0.4276,2.0097,6.3403,12.4752,9.7568,1.9515,1.5692,0.0676,12.1
SECDEM,87.92,-3.6163,0.4259,2.0111,6.3402,12.4762,9.7577,1.9718,1.5039,0.0869,11.3
SECDIQ,87.8,-3.6467,0.4299,2.0376,6.3384,12.4758,9.7559,1.9702,1.4971,0.0854,12.2
SECHUG01,98.95,-2.614,0.3339,1.7796,6.3832,12.4675,9.8154,1.9518,1.5765,0.0664,19.9
SEDJIX,89.72,-3.2991,0.4426,1.9189,6.3471,12.4545,9.7557,1.9095,1.5325,0.0731,14.2
SEFLUN,84.97,-3.7292,0.5097,2.1276,6.3568,12.4208,9.7126,1.9791,1.527,0.0737,18.5
SEJCIV,90.63,-2.5818,0.3505,2.1138,6.3883,12.4886,9.7726,1.9576,1.5562,0.0973,19.7
SEMHAU,86.34,-2.6723,0.4306,2.046,6.3761,12.4421,9.7512,1.9594,1.5484,0.0944,17.7
SENKIR10,79.79,-2.5452,0.2982,1.7136,6.4893,12.4293,9.7833,1.925,1.6496,0.0773,22.1
SENPAD,88.5,-2.5551,0.3792,1.9457,6.4078,12.4352,9.7778,1.9394,1.6961,0.1019,23.3
SERLEJ,82.33,-3.5655,0.309,2.3105,6.3895,12.5707,9.7309,1.9279,1.2199,0.0229,11.9
SESYEV,89.89,-2.9284,0.3922,2.171,6.3711,12.4894,9.7473,1.9225,1.3623,0.0192,21.5
SETGUU,81.88,-3.2881,0.3406,2.1441,6.3848,12.5065,9.7681,1.9236,1.4354,0.0166,12
SEVKEK,83.98,-2.9399,0.2239,2.2776,6.4196,12.6084,9.7482,1.9238,1.2434,0.0179,23.8
SEVQEQ,85.29,-2.5722,0.4299,2.0293,6.3787,12.4277,9.7637,1.9221,1.6116,0.0816,16.2
SEVYIC,83.71,-3.2689,0.4697,2.0767,6.3671,12.4204,9.7428,1.9046,1.5319,0.065,15.1
SEWROD,90.35,-2.6813,0.3985,1.9768,6.4034,12.4451,9.753,1.8745,1.508,0.0795,22.6
SICREC,83.83,-2.8866,0.368,2.1996,6.3848,12.5003,9.7469,1.9507,1.2173,0.0168,27.5
SIFBEP,48.23,-3.0858,0.3205,1.6424,6.5413,12.3863,9.7519,1.8733,1.7034,0.0949,24.2
SIFCAM,88.19,-3.2672,0.4131,1.9585,6.3706,12.4647,9.7516,1.9287,1.498,0.0768,16.7
SIGDIY,84.92,-3.3813,0.4755,2.1159,6.3551,12.4332,9.7361,1.9245,1.6707,0.0752,19.3
SIHPAC,77.4,-3.7393,0.456,2.0593,6.3715,12.4562,9.7162,1.8819,1.2758,0.0073,14
SIJWOA,80.69,-2.5408,0.451,2.4071,6.3314,12.5056,9.7119,1.9363,1.65,0.0837,18.5
SIKTIS,81.71,-3.457,0.3747,2.144,6.3766,12.5045,9.7442,1.9234,1.5572,0.0889,19.8
