Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
GEXTOU,63.05,156.78,1.69,4.34,11.41,24.1,14.1,8.6,521.59,-2.8304,-1.9933,2.06,2.1,1.84,0.3235,-0.4532,-0.5968,-0.5956,1.7869,2.7803,1.9484,1.9371,28.9085,7.3846,8.5343,8.5327,0.8191,0.4468,0.3969,3.2049,4.1718,1.257,1.2903,1.6245,6.4667,12.4143,4.1316,4.1711,4.1116,9.7955,1.9254,1.9638,1.9427,1.9982,1.9655,3.5362,4.7176,1.4747,1.6976,1.5453,0.343,0.0847,0.0677,0.0509,0.0843,0.0554,3.54,4.7195,1.6679,1.4626,1.5891,0.336,0.0876,0.0474,0.0632,0.067,0.0707,21.1
GEYMOM,83.69,179.27,1.69,4.94,7.66,30.2,19.9,10.5,450.17,-2.7406,-0.6817,1.95,2.22,1.88,0.2029,-0.4632,-0.1731,-0.7115,1.8385,2.7625,3.2481,1.9699,28.9404,7.3733,7.1254,8.5455,0.7878,0.5495,0.31,3.2076,4.1806,1.5268,1.4684,1.1855,6.4766,12.5039,4.2008,4.1552,4.1479,9.8167,1.8907,1.9763,1.978,1.9753,1.9964,3.1574,3.9209,1.377,1.3477,1.1963,0.0947,0.0112,0.0286,0.0223,0.015,0.0176,3.5597,4.7966,1.5078,1.5593,1.7295,0.3552,0.0767,0.0812,0.0568,0.0832,0.0572,19.3
GEYRIL,83.17,223.83,3.45,8.52,7.19,38.8,31.1,21.1,667.25,-3.4,-2.734,1.99,2,1.85,0.3602,-0.3795,-0.5779,-0.0312,2.1383,2.9115,2.0548,3.2185,28.7733,7.3134,8.5069,7.0346,0.8306,0.4274,0.545,3.2116,4.0932,1.2285,1.3318,1.5329,6.3714,12.5098,4.1352,4.2158,4.1589,9.7585,1.9114,1.9698,1.9625,1.9787,1.9362,3.5076,4.6648,1.4965,1.5026,1.6657,0.4055,0.081,0.0715,0.0914,0.0546,0.107,3.1575,3.7533,1.3356,1.2855,1.1322,0.1204,0.0127,0.0202,0.0347,0.0212,0.0316,11.8
GIBXOH,82.06,218.4,2.28,9.32,8.57,39.3,28.7,17.2,629.93,-3.2446,-2.6067,2.04,1.98,1.84,0.3628,-0.403,-0.099,-0.6553,2.1023,2.8649,3.0284,2.0893,28.7705,7.3402,7.202,8.5427,0.8325,0.4723,0.4687,3.2027,4.1253,1.3804,1.4325,1.3124,6.3783,12.4986,4.1661,4.1702,4.1623,9.7603,1.8972,1.9569,1.9774,1.9873,1.9415,3.1748,3.8113,1.2675,1.4466,1.0971,0.1129,0.0145,0.0277,0.0299,0.0134,0.0274,3.5199,4.7164,1.4998,1.5417,1.6749,0.4189,0.0826,0.0841,0.0817,0.0833,0.0873,23.1
GICQAN,87.6,203.92,1.83,5.59,7.57,34.9,24.6,12.7,493.27,-3.7231,-3.6515,2.04,2,1.85,0.3933,-0.342,-0.4741,-0.1205,2.0498,2.9703,1.8553,3.2029,28.7533,7.306,8.3457,7.1946,0.8418,0.3379,0.5073,3.2161,4.0505,1.34,1.4057,1.3048,6.3947,12.4528,4.1801,4.1847,4.088,9.7592,1.901,1.966,1.9646,1.9775,1.9501,3.5436,4.5305,1.5509,1.5756,1.404,0.4,0.0624,0.0893,0.0984,0.0679,0.0821,3.1554,3.8798,1.3517,1.3432,1.185,0.0853,0.0104,0.0196,0.0257,0.0129,0.0166,23.6
GIDFAD,86.85,187.51,1.55,5.73,7.04,31.5,20.9,10.9,471.5,-3.7719,-3.65,2.06,1.97,1.85,0.4096,-0.3253,-0.6042,0.1387,2.092,2.9835,2.066,3.1877,28.691,7.3028,8.526,7.0687,0.8115,0.3303,0.5608,3.2127,4.0369,1.3502,1.4001,1.2866,6.3747,12.4717,4.1742,4.1555,4.142,9.744,1.9084,1.9669,1.9751,1.9677,1.926,3.5087,4.7252,1.5258,1.6098,1.5895,0.3704,0.061,0.0853,0.0793,0.0589,0.0858,3.1553,3.5821,1.2636,1.2765,1.0419,0.1239,0.0138,0.0231,0.0478,0.0178,0.0213,22.3
GIDSIY,84.78,243.35,2.33,9.02,6.38,48.6,39.7,24.7,718.74,-2.815,-2.1516,1.98,1.99,1.89,0.1926,-0.4293,-0.2047,-0.1299,2.2014,2.8158,2.898,3.1785,28.9414,7.3842,7.3022,7.0949,0.7999,0.5029,0.5314,3.2174,4.1382,1.5028,1.3868,1.2486,6.4139,12.5867,4.1644,4.2207,4.2016,9.8069,1.9291,1.9857,1.9844,1.9741,1.9336,3.1503,3.9721,1.387,1.2709,1.3142,0.0823,0.0195,0.0129,0.0177,0.0181,0.0141,3.1586,3.8802,1.2791,1.3907,1.2104,0.0911,0.0155,0.0189,0.0227,0.0175,0.0165,15
GIDZIC10,85.9,163.81,2.01,6.61,9.11,28.4,24.2,15.2,570.39,-2.8049,-1.6803,3.86,1.86,1.84,0.2827,-0.4657,-0.5771,-0.8352,1.636,2.7859,2.0304,1.984,28.8241,7.3447,8.5134,8.6345,0.8066,0,0.631,3.2021,4.1892,1.4774,1.1702,1.5416,6.5602,12.3873,4.1598,4.0384,4.1891,9.7697,1.9818,1.8545,1.9804,2.0005,1.9526,3.5496,4.7353,1.4787,1.6138,1.6428,0.2921,0.0694,0.0695,0.0419,0.0784,0.0329,3.5137,4.848,1.5802,1.562,1.7058,0.4735,0.1032,0.1233,0.0688,0.0861,0.0921,29
GIFBOP,48.4,136.26,2.66,8.72,9.54,23.7,21.9,18.6,700.14,-2.9475,-0.9527,2.96,1.86,1.84,0.3059,-0.4656,-0.584,-0.6565,1.6225,2.7827,2.0389,2.0511,28.8271,7.338,8.4056,8.5151,0.8169,0,0.6192,3.2052,4.1857,1.4287,1.369,1.388,6.5591,12.3716,4.1449,4.1459,4.0807,9.7634,1.8857,1.9593,1.9637,1.9894,1.9653,3.5383,4.7179,1.5297,1.7054,1.4828,0.3278,0.0537,0.0829,0.0645,0.0492,0.0775,3.486,4.7399,1.6346,1.4461,1.6592,0.4305,0.1052,0.0631,0.1018,0.0599,0.1005,25.5
GIGHUB,48.08,134.67,1.65,6.48,10.47,20.2,13.4,8.2,505.83,-2.9133,-1.3845,1.83,2.99,1.84,0.3055,-0.466,-0.6342,-0.5588,1.5693,2.7783,2.0435,2.0138,28.7538,7.3412,8.5721,8.4517,0.8128,0.5576,0,3.2052,4.1865,1.479,1.4575,1.25,6.5576,12.3793,4.1571,4.1547,4.0676,9.7576,1.8855,1.9571,1.9566,1.9806,1.9778,3.4824,4.7576,1.4789,1.6062,1.6725,0.3942,0.095,0.0917,0.0573,0.0928,0.0575,3.5502,4.7378,1.6846,1.5723,1.4809,0.2707,0.031,0.0665,0.0658,0.0468,0.0606,28.4
