Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
EVIQAB,53.49,136.33,1.96,4.28,5.98,26.4,19,8.1,422.64,-3.0055,-0.4276,3.52,1.91,1.88,0.2001,-0.4771,-0.4425,-0.2673,1.6663,2.7843,2.0988,2.905,28.8963,7.3607,8.4084,7.2573,0.8055,0,0.6296,3.2099,1.3426,1.4034,1.449,6.6049,12.4095,4.1474,4.1665,4.0956,9.7855,1.8908,1.9676,1.9651,1.9831,1.9789,1.4903,1.497,0.0541,0.0772,0.0167,0.0735,0.0283,1.366,1.2954,1.3504,0.0791,0.0154,0.0139,0.0145,0.0127,0.0226,26.8
EVOJIJ,89.96,192.27,1.55,7.93,7.78,33,24.2,16.1,595.39,-2.9077,-2.0941,1.96,1.94,1.86,0.4468,-0.4068,-0.6727,-0.698,2.0853,2.8276,1.9872,2.0639,28.7023,7.3345,8.587,8.5363,0.7506,0.43,0.521,3.2035,1.2866,1.5315,1.311,6.3621,12.4623,4.1091,4.1979,4.1553,9.7288,1.9591,1.9166,1.9495,1.9405,1.9632,1.4722,1.4529,0.1037,0.0944,0.0713,0.1157,0.0741,1.55,1.5761,1.6594,0.3966,0.0856,0.0837,0.0787,0.0815,0.0671,20.3
EVOXOE,73.25,262.39,1.81,7.3,9.64,45,28.3,15.1,576.84,-3.2973,-2.2227,2.15,2.13,2.06,0.4372,-0.283,-0.0081,-0.6557,1.7241,2.8815,3.0443,2.0444,28.6706,7.4567,7.0557,8.5269,0.4309,0.3362,0.3473,3.1843,1.3905,1.3628,1.2641,6.3048,12.4106,4.1179,4.173,4.1198,9.8474,1.9451,1.9663,1.9914,1.9757,1.969,1.1958,1.4319,0.013,0.0317,0.0229,0.0208,0.0329,1.5275,1.5709,1.6075,0.4253,0.0814,0.0689,0.1099,0.0665,0.0984,40.5
EVUYIF,92.03,203.51,2.98,10.47,10,36.9,29,20.1,808.39,-2.9514,-2.4529,1.98,1.95,1.85,0.4423,-0.3901,-0.6403,-0.769,2.1446,2.8413,1.9876,1.8975,28.7517,7.3261,8.5194,8.5616,0.7528,0.4744,0.5515,3.2072,1.2834,1.5294,1.2954,6.3651,12.4687,4.1517,4.1707,4.1463,9.7239,1.9685,1.899,1.9739,1.957,1.9255,1.6026,1.5218,0.0917,0.0536,0.109,0.069,0.1142,1.5659,1.5579,1.7043,0.4069,0.0906,0.0896,0.0683,0.0764,0.0822,20.3
EWEVIM02,63.83,159.59,1.7,4.2,10.66,24.3,15.1,9.2,508.16,-3.1263,-2.9527,2.02,2.08,1.82,0.4147,-0.3862,-0.5964,-0.6335,1.9979,2.8919,1.9992,1.9314,28.8282,7.3458,8.5471,8.6012,0.8113,0.4974,0.4381,3.2054,1.2517,1.3396,1.5125,6.4243,12.4152,4.1228,4.176,4.1164,9.7457,1.9189,1.9472,1.9573,1.993,1.9293,1.4966,1.6948,0.0792,0.0697,0.0616,0.072,0.07,1.6351,1.452,1.6413,0.3669,0.0827,0.0644,0.0691,0.0641,0.0866,20.3
EWIREJ,87.48,191.84,3.89,6.72,9.93,36.2,26.1,18.8,664.22,-3.2698,-2.9795,1.93,1.92,1.82,0.5146,-0.3303,-0.7273,-0.6175,2.4688,2.9723,1.7859,2.1231,28.8022,7.2818,8.558,8.4971,0.8686,0.6275,0.6035,3.2148,1.2852,1.3763,1.3762,6.3264,12.4967,4.1382,4.1684,4.1901,9.6624,1.8935,1.961,1.9901,1.9898,1.828,1.4821,1.6818,0.0851,0.0803,0.0598,0.1002,0.0767,1.4728,1.7144,1.5112,0.4,0.0703,0.0749,0.1044,0.0614,0.0892,28.3
EYIPUZ,88.61,193.08,1.55,6.76,8.93,32.6,22.9,13.2,547.48,-3.2875,-2.5033,1.92,1.93,1.85,0.4934,-0.3734,-0.6899,-0.6172,2.2828,2.8821,2.0307,2.0261,28.7509,7.2992,8.5231,8.3856,0.7983,0.5581,0.5443,3.2128,1.3045,1.41,1.3721,6.3498,12.4607,4.1828,4.1467,4.1312,9.696,1.9697,1.9193,1.9274,1.9385,1.9412,1.5848,1.521,0.0791,0.0642,0.0929,0.0624,0.093,1.6547,1.4648,1.5374,0.4311,0.1043,0.0493,0.1198,0.0471,0.1106,21.1
EZAFAM,82.18,181.63,2.64,9.29,9.09,34.8,28.6,20.2,744.69,-2.6077,-2.347,2.11,1.92,1.85,0.3567,-0.4385,-0.5548,-0.8026,1.9272,2.795,2.028,1.851,28.8321,7.354,8.4639,8.5484,0.7575,0.3123,0.6099,3.2035,1.4556,1.2715,1.4324,6.4186,12.4646,4.1299,4.1634,4.1713,9.7601,1.9383,1.9353,1.9249,1.9719,1.9898,1.4532,1.6213,0.0834,0.0883,0.0729,0.0855,0.0738,1.5687,1.5499,1.7203,0.4225,0.0999,0.0728,0.0887,0.0902,0.0709,22
EZAFEQ,74.77,206.82,1.55,8.35,9.03,44.4,33,23.6,745.54,-3.0669,-1.9794,2.38,1.91,1.85,0.5018,-0.3795,-0.5369,-0.7882,2.5441,2.8517,2.0097,1.7623,28.8899,7.2633,8.3867,8.5215,0.814,0.1444,0.6586,3.2169,1.476,1.2286,1.3828,6.3277,12.4994,4.1846,4.1422,4.1725,9.6712,1.9587,1.8664,1.9231,1.9259,1.9971,1.4723,1.6307,0.0761,0.0849,0.0699,0.0746,0.0673,1.646,1.4963,1.6628,0.4428,0.0986,0.0802,0.1019,0.0765,0.0856,26.7
EZAYAF,66.8,210.83,1.91,9.94,5.87,37.1,28.6,17,631.58,-2.6483,-1.9678,1.92,2.05,1.85,0.2443,-0.4471,-0.2253,-0.2142,2.1749,2.8436,3.0228,2.9204,28.876,7.3631,7.241,7.2336,0.7877,0.5529,0.3872,3.211,1.454,1.3811,1.3257,6.4643,12.5246,4.1965,4.2185,4.1096,9.7668,1.913,1.9545,1.9853,1.9854,1.9286,1.3681,1.3492,0.0111,0.0173,0.0182,0.0124,0.0217,1.3365,1.2735,1.352,0.0817,0.0084,0.015,0.0166,0.0107,0.0309,30.7
EZOMEM,83.69,233.98,1.74,8.7,8.14,40.1,30,18.2,573.84,-3.6142,-3.0632,2.17,1.92,1.83,0.3435,-0.3469,-0.5938,-0.1007,2.1544,2.9597,2.0435,3.3421,28.7808,7.2991,8.4817,7.1151,0.8529,0.2848,0.6698,3.2105,1.32,1.3341,1.4061,6.4127,12.5125,4.1323,4.2249,4.1554,9.7313,1.8764,1.9841,1.9533,1.9419,1.9756,1.5056,1.5203,0.0721,0.0555,0.0807,0.0568,0.0928,1.3166,1.342,1.196,0.0915,0.0118,0.0198,0.023,0.014,0.0229,19.1
EZUKEQ,85.27,192.65,1.55,9.35,8.11,33.2,25.1,17.1,680.52,-2.5742,-1.8195,2.02,1.95,1.86,0.4205,-0.4345,-0.6809,-0.6441,2.0039,2.8004,1.942,2.0456,28.7999,7.3724,8.5129,8.5006,0.7839,0.4317,0.5196,3.2041,1.2037,1.398,1.5544,6.3781,12.442,4.0708,4.2019,4.1692,9.7595,1.9519,1.9472,1.9472,1.9557,1.9574,1.4921,1.6673,0.0971,0.0944,0.0683,0.0936,0.0649,1.4798,1.5621,1.6798,0.4113,0.0983,0.0742,0.0719,0.1065,0.0603,16.9
FABRAD,95.91,230.92,2.2,5.43,9.2,43.1,30.8,14.8,544.34,-2.6751,-2.3578,1.96,1.94,1.9,0.3217,-0.424,-0.1453,-0.6702,2.1572,2.8188,2.9886,1.9769,28.8284,7.3408,7.0755,8.5123,0.733,0.5411,0.4932,3.2185,1.2483,1.3069,1.5767,6.3788,12.5307,4.1578,4.2232,4.1497,9.7688,1.916,1.9608,1.9633,1.9806,1.9482,1.261,1.4145,0.0146,0.0154,0.0255,0.0169,0.0154,1.5046,1.6604,1.5703,0.4228,0.0648,0.0915,0.0914,0.0708,0.1043,22.6
FADHOJ,79.76,214.92,1.79,6.2,8.53,34.8,26.3,15.1,558.12,-3.2245,-2.6927,2.1,1.96,1.84,0.343,-0.3976,-0.0572,-0.642,2.0199,2.8736,3.155,2.1022,28.7469,7.3422,7.1249,8.525,0.798,0.414,0.4938,3.2033,1.3799,1.4515,1.2875,6.3973,12.4921,4.1584,4.1753,4.1584,9.7676,1.9165,1.9391,1.9774,1.9709,1.9636,1.2511,1.4069,0.0157,0.0335,0.0273,0.0156,0.0259,1.4957,1.5575,1.6528,0.4225,0.0882,0.092,0.0759,0.0995,0.0668,16.3
FAJXIX,92.55,197.1,1.55,10.2,7.88,32.6,22.6,14.5,614.97,-2.9887,-2.4095,1.93,1.92,1.85,0.4708,-0.381,-0.6607,-0.7029,2.2084,2.8642,2.0169,2.0362,28.6764,7.3167,8.4654,8.5566,0.7544,0.4995,0.5254,3.2081,1.3417,1.2609,1.4956,6.346,12.4801,4.1763,4.1125,4.1913,9.7032,1.9448,1.9029,1.9104,1.9897,1.9554,1.5553,1.5289,0.1006,0.0553,0.1098,0.0567,0.1043,1.5445,1.5489,1.6971,0.3981,0.0778,0.0795,0.0797,0.0763,0.0849,21.1
FAKTUH,97.23,214.61,2.18,6.07,8.53,37.8,27.6,17.3,604.05,-2.8293,-2.4344,1.94,1.91,1.88,0.3673,-0.4008,-0.731,-0.1844,2.2917,2.8389,1.9907,3.1319,28.7867,7.3367,8.5433,7.1579,0.759,0.5343,0.6448,3.2137,1.2817,1.3495,1.4821,6.366,12.54,4.1626,4.2287,4.1488,9.7267,1.9229,1.933,1.9654,1.9677,1.9377,1.5733,1.6307,0.0803,0.0882,0.0787,0.0786,0.0861,1.3264,1.2799,1.2962,0.0881,0.0166,0.0157,0.0159,0.0265,0.0135,18.6
FAKVOD,97.63,238.93,2.58,7.34,9.78,41.8,32.5,22.6,718.33,-2.8175,-2.4166,1.94,1.92,1.89,0.3987,-0.4116,-0.6859,-0.136,2.3218,2.8311,1.9756,3.2988,28.8222,7.3247,8.56,7.2082,0.7657,0.5265,0.6264,3.2213,1.2554,1.3676,1.4943,6.3522,12.5232,4.1099,4.2123,4.2009,9.7259,1.9492,1.9837,1.9814,1.971,1.8406,1.5266,1.6175,0.081,0.0862,0.0872,0.0833,0.0885,1.2707,1.4199,1.1899,0.0911,0.0146,0.0163,0.0313,0.0106,0.0182,15.6
FAPLUD,49.25,160.77,1.64,5.45,7.28,27,18.9,10.6,470.22,-2.8471,-0.0129,1.92,2.98,1.87,0.2479,-0.4831,-0.1888,-0.6265,1.5965,2.7579,3.0203,2.0303,28.8773,7.3812,7.4189,8.505,0.8137,0.5944,0,3.215,1.2696,1.3039,1.6221,6.5804,12.3848,4.1144,4.1076,4.1629,9.7868,1.9562,1.9155,1.9311,1.9879,1.9961,1.3562,1.2196,0.0174,0.0121,0.0155,0.0143,0.021,1.5187,1.7004,1.5648,0.2845,0.0643,0.0629,0.0447,0.0622,0.0503,11.3
FAQSEV,80.63,178.68,1.95,5.18,7.76,30.1,20.6,12.1,507,-3.2904,-2.1824,1.9,2.21,1.82,0.2485,-0.4223,-0.0591,-0.5295,1.9771,2.8403,3.3187,2.018,28.828,7.3496,6.9544,8.4788,0.8497,0.625,0.2388,3.1959,1.5141,1.4369,1.2,6.4535,12.5274,4.2033,4.1963,4.1278,9.7705,1.896,1.9877,1.9731,1.9332,1.9806,1.3586,1.2984,0.0134,0.0325,0.035,0.0166,0.022,1.4701,1.4971,1.6781,0.3582,0.079,0.0747,0.0619,0.0683,0.0743,26.4
FARXOO,79.53,180.76,3.07,9.24,7.99,38.4,31.3,23,710.05,-2.6784,-1.6937,1.93,2.32,1.87,0.3333,-0.4571,-0.8062,-0.4714,1.7571,2.7747,1.8965,2.0198,28.9371,7.3377,8.5989,8.412,0.7914,0.631,0.1696,3.2132,1.5355,1.3659,1.2677,6.4647,12.417,4.1564,4.1774,4.0832,9.785,1.8692,1.9949,1.9789,1.9906,1.9515,1.6764,1.6364,0.0932,0.0886,0.1019,0.0774,0.0797,1.5248,1.4948,1.5853,0.3492,0.0767,0.0633,0.069,0.0567,0.0834,23.9
FAWKAR,79.5,173.33,1.85,9.48,7.83,31.3,25.1,16.5,648.18,-2.5742,-0.8577,1.97,2.23,1.88,0.2855,-0.466,-0.836,-0.5107,1.684,2.7519,1.8235,2.0698,28.9069,7.3633,8.5683,8.4651,0.7384,0.6116,0.212,3.2026,1.6079,1.3316,1.2492,6.4858,12.4354,4.1342,4.1914,4.1097,9.7933,1.8961,1.9727,1.9727,1.992,1.9598,1.4726,1.7048,0.0882,0.0968,0.0666,0.1107,0.0486,1.5117,1.5269,1.5858,0.3694,0.095,0.072,0.0589,0.0723,0.0714,24.1
FAXRII,91.56,253.08,2.25,8.48,8.39,50.5,32.9,20.1,662.14,-2.7581,-2.2475,1.85,2.01,1.95,0.1804,-0.3826,-0.565,-0.0627,2.8874,2.7822,2.143,3.1784,29.0009,7.1995,8.4388,6.9941,0.643,0.5821,0.488,3.2379,1.2556,1.3333,1.4836,6.3453,12.7173,4.1993,4.2608,4.2572,9.7571,1.9913,1.9808,1.9941,1.9698,1.821,1.4679,1.5755,0.0796,0.0967,0.0801,0.1091,0.0852,1.2283,1.421,1.1263,0.1221,0.0164,0.0244,0.0361,0.0214,0.0238,29.8
FAXWIL,83.99,184.64,1.55,8.93,8.49,32.7,23.7,14.8,584.9,-2.8398,-1.6196,1.97,1.98,1.87,0.4313,-0.4406,-0.7137,-0.6265,2.0267,2.8113,1.9732,1.9901,28.8126,7.3665,8.6508,8.4102,0.8091,0.5007,0.4327,3.2113,1.2252,1.5533,1.3765,6.3813,12.432,4.0706,4.2032,4.1581,9.7554,1.9542,1.9394,1.9269,1.9532,1.9817,1.5243,1.581,0.086,0.0913,0.0982,0.1036,0.077,1.4876,1.4154,1.7905,0.407,0.0897,0.0955,0.0534,0.1106,0.0579,20.4
FEBDOH,79.82,175.65,2.14,7.61,7.57,35.3,27.6,16.6,580.53,-2.559,-1.2531,1.96,2.2,1.88,0.302,-0.4624,-0.834,-0.4808,1.7322,2.7538,1.8163,2.0385,28.8856,7.3585,8.5641,8.421,0.7444,0.5803,0.2382,3.2017,1.5837,1.3177,1.2843,6.4621,12.4428,4.1334,4.1989,4.1105,9.7931,1.8998,1.9767,1.9747,1.9878,1.9541,1.4588,1.6878,0.0976,0.0958,0.0793,0.1165,0.0588,1.5319,1.5132,1.5683,0.3521,0.0857,0.079,0.0591,0.0733,0.0549,21.4
FEHBIG,88.65,222.74,2.18,8.13,10.15,53,43.3,29.4,812.7,-2.5448,-1.3593,2.23,1.98,1.89,0.4743,-0.4244,-0.5815,-0.6884,2.3579,2.7996,2.0498,1.8015,28.9234,7.285,8.4272,8.4595,0.7752,0.2426,0.5548,3.2114,1.3253,1.4247,1.3881,6.2983,12.4717,4.2132,4.1402,4.1183,9.7557,1.9771,1.9428,1.9762,1.9013,1.9583,1.5585,1.5209,0.084,0.0589,0.1019,0.0509,0.0826,1.5749,1.6049,1.5853,0.4144,0.068,0.0767,0.0745,0.1041,0.0911,13.7
FERFOZ,72.57,168.73,1.67,5.98,6.71,27.4,19.8,10.8,466.31,-3.5961,-2.4558,1.81,2.9,1.79,0.2747,-0.432,-0.1019,-0.0606,1.9802,2.9025,3.3745,2.8007,28.7856,7.3461,6.9348,7.1089,0.9056,0.7483,0,3.1955,1.5204,1.4382,1.2041,6.5285,12.4665,4.215,4.199,4.0525,9.7303,1.8961,1.9748,1.9704,1.9252,1.9638,1.3523,1.2957,0.0152,0.032,0.0313,0.0191,0.0274,1.327,1.2022,1.1749,0.1142,0.0197,0.0176,0.0198,0.0204,0.0367,26.9
FESYIM,83.57,235.79,1.72,6.83,7.73,39.4,25.8,13.2,505.26,-3.2582,-2.7885,1.93,2.01,1.86,0.4214,-0.3485,-0.0926,-0.6076,2.2611,2.9261,3.187,1.9187,28.7474,7.2974,7.1217,8.4654,0.8271,0.6167,0.383,3.2192,1.3918,1.4268,1.2358,6.3615,12.5087,4.1841,4.1669,4.1577,9.7083,1.8738,1.9775,1.9737,1.9996,1.8837,1.2601,1.3874,0.011,0.0176,0.0264,0.0127,0.0218,1.4954,1.604,1.6133,0.3722,0.0772,0.0819,0.0635,0.0765,0.0731,26
FEXGUL,65.68,148.36,2.26,5.2,6.75,28.9,23.2,12.3,461.41,-2.8864,-0.4847,3.37,1.87,1.86,0.3213,-0.4754,-0.4267,-0.8342,1.5859,2.7659,2.1679,1.8023,28.7981,7.3532,8.3938,8.7203,0.8107,0,0.6092,3.2106,1.3834,1.4232,1.3836,6.5456,12.3638,4.1325,4.1409,4.0904,9.7694,1.8977,1.9525,1.9511,1.9787,1.9894,1.438,1.4949,0.0497,0.0206,0.0709,0.0367,0.0713,1.3943,1.7176,1.7204,0.4726,0.1254,0.1097,0.0605,0.1206,0.0564,36
FEZXOA,84.71,221.19,2.42,7.85,10.55,38.5,27.9,17.2,629.97,-3.537,-2.7379,1.99,2.1,1.83,0.3142,-0.3829,-0.02,-0.5154,2.1063,2.8922,3.2728,2.0683,28.8381,7.3244,7.0251,8.488,0.8626,0.5735,0.3665,3.2055,1.3659,1.3166,1.4187,6.3921,12.5177,4.1708,4.2061,4.1407,9.776,1.9046,1.979,1.9656,1.9436,1.9831,1.2137,1.2848,0.0246,0.0177,0.027,0.0229,0.0305,1.5488,1.5333,1.5759,0.338,0.0683,0.0537,0.0743,0.0517,0.0901,14.8
FICPIR,93.3,192.91,3.61,6.94,10.13,30.3,24.1,18.5,677.3,-3.381,-2.9964,2,1.98,1.84,0.4358,-0.3675,-0.4592,-0.4995,1.9484,2.9072,2.1449,2.0849,28.6859,7.3202,8.4849,8.4815,0.8219,0.4023,0.4175,3.2057,1.2972,1.2708,1.5178,6.342,12.4608,4.1483,4.1694,4.1431,9.7614,1.924,1.9398,1.9664,1.9748,1.9564,1.4863,1.6038,0.0726,0.0646,0.0635,0.0645,0.0775,1.4585,1.6217,1.5476,0.3841,0.069,0.079,0.0854,0.0675,0.0832,12.4
FIFKUD,81.23,214.79,3.33,7.34,11.44,37,30.9,22,773.56,-3.2877,-3.1065,1.97,2.06,1.84,0.2564,-0.378,-0.1553,-0.1373,2.139,2.9111,3.2978,3.1001,28.7592,7.3362,7.1688,7.0758,0.7875,0.5234,0.4084,3.2059,1.3702,1.4426,1.2836,6.4194,12.5532,4.1576,4.215,4.1806,9.771,1.9356,1.9484,1.9757,1.9567,1.9547,1.3178,1.3896,0.0125,0.0191,0.0285,0.0136,0.0198,1.3338,1.2058,1.3423,0.0901,0.0219,0.0109,0.0227,0.0142,0.0203,19
FIHSAT,64.4,161.22,2.43,6.92,12.67,24.5,14.3,8.4,660.03,-3.1519,-3.1541,2.01,2.06,1.82,0.4629,-0.3607,-0.5839,-0.5755,2.0816,2.9237,1.9467,1.9361,28.782,7.3336,8.5422,8.5248,0.8114,0.5052,0.4315,3.208,1.2594,1.362,1.4541,6.4078,12.4043,4.0953,4.1772,4.1319,9.725,1.9188,1.9542,1.9637,1.9762,1.9121,1.5582,1.6673,0.0541,0.0726,0.0796,0.0465,0.0876,1.587,1.4791,1.6415,0.3333,0.0637,0.0564,0.0842,0.0433,0.0857,19.6
FIHZUT,93.36,196.11,1.83,8.7,9.91,33.2,23.1,15.9,730.34,-2.7624,-1.8526,2.01,1.94,1.9,0.2429,-0.4623,-0.7228,-0.1151,1.9791,2.7576,2.0208,3.0764,28.8539,7.3745,8.5457,7.0744,0.7784,0.4452,0.5054,3.2107,1.3134,1.2715,1.5927,6.4119,12.5392,4.1719,4.2197,4.1476,9.806,1.9592,1.9618,1.9489,1.9767,1.9594,1.5718,1.643,0.0833,0.0858,0.0719,0.0844,0.0855,1.2305,1.3383,1.2262,0.1209,0.0293,0.0194,0.0286,0.0267,0.017,24.2
FIMREB,79.66,174.66,3.71,7.23,8.67,32,28.6,22.3,669.51,-2.6768,-1.1615,1.95,2.2,1.88,0.3015,-0.462,-0.8235,-0.5079,1.7113,2.7523,1.8518,2.0597,28.8954,7.3411,8.5916,8.4531,0.7389,0.5935,0.2404,3.203,1.5143,1.5026,1.1673,6.4709,12.4387,4.1303,4.2008,4.1076,9.7889,1.8855,1.9788,1.9746,1.9855,1.9646,1.5509,1.6634,0.0856,0.0835,0.0915,0.1053,0.0745,1.486,1.471,1.6577,0.3778,0.0818,0.0802,0.0738,0.0735,0.0686,22.9
FIRKID,93.46,192.63,1.55,6.1,8.88,31,21.4,14.5,574.82,-3.4137,-2.8759,2.01,1.98,1.81,0.4925,-0.344,-0.5916,-0.5946,2.102,2.919,2.0447,2.053,28.6492,7.3324,8.5003,8.5048,0.8122,0.458,0.4811,3.1986,1.2359,1.4364,1.396,6.3351,12.452,4.0744,4.1951,4.1826,9.7205,1.9477,1.915,1.9704,1.9687,1.9186,1.494,1.5324,0.0833,0.066,0.0586,0.0955,0.0581,1.5193,1.6557,1.5406,0.3593,0.0736,0.0773,0.0619,0.0887,0.0577,14.7
FIVHAT,85.62,185.29,2.38,6.09,9.96,30.3,20.5,13.7,588.93,-2.7376,-1.5127,2.04,1.94,1.89,0.3839,-0.4539,-0.5348,-0.6984,1.925,2.7756,1.9419,2.0472,28.8436,7.3709,8.4992,8.5258,0.8025,0.3446,0.543,3.215,1.5343,1.4236,1.2071,6.4104,12.4359,4.1855,4.1519,4.0985,9.7698,1.8883,1.987,1.9794,1.9826,1.9324,1.5056,1.4965,0.07,0.0642,0.0882,0.0569,0.0941,1.5525,1.5708,1.66,0.4047,0.0912,0.0587,0.092,0.0727,0.0902,21.3
FIVHUN,84.9,184.47,1.55,9.37,10.65,30.2,20.1,12.3,622.18,-2.7312,-1.4999,2.05,1.94,1.89,0.3824,-0.455,-0.5342,-0.6975,1.9212,2.7741,1.949,2.039,28.8461,7.3726,8.4862,8.524,0.8035,0.3412,0.5435,3.215,1.552,1.44,1.1741,6.4125,12.4345,4.1931,4.1561,4.0853,9.7706,1.8922,1.9842,1.9774,1.98,1.9369,1.4797,1.5192,0.0679,0.0678,0.0859,0.0616,0.0886,1.5491,1.5927,1.6399,0.4054,0.091,0.0619,0.0912,0.0736,0.0877,21.8
FOBCOP,95.75,200.71,2.88,8.08,8.71,41.8,36.3,25.1,711.1,-3.0678,-2.8339,1.96,1.88,1.86,0.4538,-0.3807,-0.6685,-0.8373,2.2729,2.8563,1.9871,1.92,28.7639,7.2818,8.3782,8.5536,0.755,0.4666,0.5997,3.2074,1.3141,1.5023,1.2825,6.3556,12.4862,4.1973,4.1313,4.1575,9.7044,1.97,1.8834,1.9514,1.9351,1.9647,1.6178,1.5558,0.1239,0.0714,0.1201,0.0794,0.1033,1.6583,1.5356,1.6634,0.4526,0.1036,0.089,0.0968,0.0768,0.0864,20.7
FOCZAZ,82.18,228.54,1.87,7.6,7.63,39.5,28.8,17.8,593.13,-3.4578,-3.0511,1.94,2.04,1.84,0.25,-0.382,-0.1437,-0.139,2.2222,2.9263,3.2586,3.2176,28.7808,7.3171,7.1857,7.1148,0.826,0.589,0.399,3.2089,1.4316,1.4456,1.22,6.4119,12.5818,4.1941,4.207,4.1807,9.7563,1.9235,1.9799,1.9743,1.9407,1.9379,1.2793,1.409,0.0122,0.0195,0.0259,0.0149,0.0174,1.3319,1.2102,1.3352,0.0902,0.0217,0.0126,0.0208,0.0164,0.0186,16.4
FODLER,73.7,163.56,2.47,9.58,12.21,28.5,21.7,14.6,766.17,-3.9085,-3.2911,3.01,1.81,1.79,0.3046,-0.3864,-0.4144,-0.3778,1.9617,2.9801,2.9613,3.3171,28.6688,7.309,7.1769,7.3415,0.8944,0,0.7422,3.2001,1.4953,1.2576,1.3584,6.5245,12.4656,4.1938,4.0919,4.1799,9.7053,1.9637,1.9228,1.9323,1.9117,1.9748,1.388,1.3638,0.0108,0.0202,0.0237,0.0144,0.0165,1.3861,1.3021,1.3381,0.0917,0.0182,0.0134,0.0183,0.0139,0.0279,22.5
FODTEX,56,210.5,1.83,7.52,6.52,49.5,46,31.1,672.78,-2.9273,-1.5262,2.68,1.9,1.86,0.269,-0.4502,-0.2647,-0.1865,1.8622,2.8262,2.849,3.2922,28.8861,7.3015,7.2492,7.2082,0.8254,0,0.5888,3.2071,1.277,1.2778,1.6152,6.5165,12.4324,4.1308,4.178,4.1236,9.7821,1.9012,1.9757,1.9511,1.9721,1.982,1.4372,1.2727,0.0146,0.0158,0.0173,0.012,0.0167,1.3541,1.3508,1.2509,0.0876,0.0119,0.017,0.0225,0.0116,0.0245,109.4
FOFWAB,90.92,189.35,3.93,7.06,9.69,34.2,29.6,20.8,660.42,-3.4084,-2.9434,1.87,2.19,1.84,0.4664,-0.3991,-0.5816,-0.4708,2.0068,2.8956,2.0922,1.9267,28.7408,7.3347,8.5552,8.4544,0.856,0.5943,0.2496,3.2057,1.4333,1.4254,1.2603,6.369,12.4264,4.1673,4.1588,4.1003,9.7382,1.8955,1.9788,1.9834,1.954,1.9265,1.4932,1.6485,0.0922,0.0697,0.0925,0.068,0.0853,1.5059,1.5025,1.5948,0.3599,0.0675,0.0688,0.0799,0.0544,0.0893,15.2
FOGDOW,79.11,175.81,1.98,8.74,7.06,29.5,20.2,13.4,555.01,-3.401,-2.1769,1.85,2.37,1.81,0.2673,-0.426,-0.057,-0.5034,1.9768,2.8557,3.2607,2.0206,28.8106,7.3485,6.8869,8.4542,0.8699,0.6849,0.1511,3.1942,1.4199,1.3515,1.3856,6.4813,12.5068,4.1607,4.2271,4.1191,9.7446,1.9061,1.9871,1.944,1.9523,1.955,1.2713,1.2985,0.023,0.0201,0.0307,0.0224,0.0315,1.5265,1.5258,1.5846,0.3346,0.0773,0.0551,0.0639,0.0563,0.082,27.4
FOGSEA,83.3,206.51,1.7,10.32,7.97,36,26.2,15.9,621.92,-3.1179,-2.874,1.94,2.02,1.84,0.226,-0.3793,-0.1795,-0.148,2.2323,2.9039,3.0757,3.1377,28.8001,7.3247,7.1789,7.0832,0.7862,0.573,0.4439,3.2109,1.3664,1.2678,1.4578,6.4291,12.5908,4.1831,4.2018,4.2058,9.7542,1.9414,1.9144,1.9446,1.9815,1.9721,1.368,1.2145,0.0209,0.0106,0.0193,0.0122,0.0205,1.3155,1.3439,1.2305,0.0904,0.0132,0.0196,0.0219,0.0191,0.0165,21.3
