Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
NIXTAR,81.36,-0.46,174.24,3.36,7.9,7.9,29.6,22.2,16.8,693.51,-4.0577,-2.7904,1.98,2.29,-0.01,0.01,2.51,2.11,3.06,3.3,2.51,1.35,1.24,86.26,75.07,87.9,95.45,118.39,114.97,108.77,124.78,-0.4223,0.1519,-0.1478,0.324,0.2111,-0.0156,-0.4449,0.0481,2.0188,2.9351,3.7126,2.1501,2.9304,4.0632,2.0223,29.006,7.2658,5.7893,25.2228,8.3932,7.4299,5.7058,8.4703,0.7025,0,0.5393,0.3868,0.2865,0.5252,0.2792,0,1.7083,1.1693,2.7912,2.7836,0.9284,0.8913,0.9639,3.0137,3.5867,1.245,1.1644,1.1774,3.6238,3.6492,3.5743,3.6777,10.1338,2.0335,2.0282,2.0275,2.0204,2.0243,6.3843,12.572,4.1936,4.1517,4.2266,10.4659,2.0477,2.1496,2.131,2.0677,2.0699,1.4027,1.5296,1.4426,0.0835,0.0151,0.0285,0.0095,1.215,1.3583,1.1717,0.1873,0.0409,0.0448,0.0408,0.0254,2.7421,2.684,0.9788,0.8889,0.8163,3.4009,4.4785,1.5871,1.4933,1.3981,-441.23,35
PUJHIM,80.72,0.45,219.09,2.73,8.24,8.48,37.4,28.8,18.1,668.88,-3.9279,-2.9108,2.16,1.97,-0.08,0.06,2.53,2.07,3.19,2.97,2.49,1.36,1.23,86.97,79.07,89.01,102.52,104.99,123.6,109,125.37,-0.4319,0.1537,-0.1609,0.3258,0.1499,0.1736,-0.4589,0.0706,2.3499,2.9816,3.7606,2.9919,2.1608,4.0727,2.1151,29.0346,7.249,5.7786,25.2554,7.1222,8.3954,5.7167,8.3973,0.647,0,0.5226,0.4417,0.3954,0.3876,0.52,0,1.9144,1.0625,2.7927,2.791,0.8884,1.0996,0.803,3.0145,3.5812,1.2267,1.1607,1.1939,3.6181,3.5538,3.8247,3.5189,10.1415,2.0235,2.0498,2.016,2.0304,2.0218,6.3653,12.6007,4.2217,4.1533,4.2257,10.4656,2.0912,2.0987,2.1262,2.0875,2.0621,1.2237,1.1954,1.1091,0.2948,0.041,0.0846,0.034,1.3994,1.5632,1.4391,0.0811,0.0125,0.0179,0.0211,0.0128,2.7437,2.6899,0.9767,0.9503,0.7629,3.3994,4.4581,1.5822,1.5293,1.3466,-425.52,35
QIBJIU,83.21,-0.94,187.36,2.52,7.09,18.14,28.6,17.3,11,840.42,-4.2838,-3.6673,1.9,1.96,0.05,0,2.51,1.94,3.06,2.98,2.56,1.37,1.22,90.14,74.36,85.67,99.23,112.27,124.7,109.12,124.41,-0.3366,0.1441,-0.1245,0.3131,0.1647,0.1606,-0.456,0.0906,2.7825,3.1006,3.6779,2.1467,2.1219,4.1506,2.1268,28.9859,7.1644,5.7907,25.251,8.3632,8.3728,5.7954,8.3652,0.614,0,0.4766,0.5745,0.3703,0.6443,0.5428,0,1.9507,1.0738,2.7931,2.7764,0.9294,1.0422,0.8048,3.0079,3.591,1.1754,1.2395,1.176,3.6379,3.4952,3.8181,3.5879,10.1318,2.0187,2.0486,2.0154,2.0302,2.0188,6.3614,12.6416,4.2115,4.1925,4.2376,10.3333,2.0529,2.0478,2.0414,2.0915,2.0996,1.3813,1.61,1.4101,0.0841,0.019,0.0287,0.0086,1.3927,1.5679,1.4384,0.0795,0.0066,0.0133,0.0272,0.0087,2.7428,2.6894,0.9755,0.9547,0.7592,3.3961,4.4403,1.4905,1.6116,1.3382,-427.76,35
RAQDUI,90,6.61,189.82,2.33,10.26,6.02,39.4,28.8,14.6,639.76,-3.5899,-2.2333,2.07,2,-0.04,0.02,2.52,2.1,3.21,3,2.43,1.35,1.23,85.59,80.97,89.4,101.73,99.45,119.54,109.83,125.84,-0.4555,0.1575,-0.1881,0.373,0.1316,0.0592,-0.4652,0.0358,2.2333,2.9458,3.6831,2.0225,1.9173,3.9872,2.0864,28.9768,7.3007,5.6885,25.2723,8.4149,8.4629,5.65,8.4406,0.6092,0,0.5629,0.428,0.3738,0.3251,0.4777,0,1.8756,1.0511,2.7952,2.8061,1.0442,0.9351,0.8268,3.009,3.5854,1.1414,1.2785,1.1655,3.5993,3.7103,3.5644,3.5785,10.1548,2.0298,2.0351,2.046,2.0174,2.0265,6.3472,12.5607,4.1588,4.1787,4.2233,10.5472,2.0824,2.1272,2.2007,2.0793,2.0577,1.3956,1.5716,1.4722,0.0769,0.018,0.0209,0.0098,1.5145,1.5586,1.4379,0.0732,0.0164,0.0153,0.0155,0.0115,2.739,2.6951,0.9551,0.9656,0.7743,3.403,4.4904,1.4889,1.6223,1.3792,-392.21,35
RUSKEV,92.67,-1.01,188.14,3.76,10.63,10.48,32.5,27.2,20.1,805.75,-3.8811,-2.5359,2.15,1.97,-0.13,0.08,2.55,2.03,3,3.02,2.49,1.36,1.22,88.14,73.09,90.15,95.68,111.43,125.93,108.87,124.94,-0.3784,0.1535,-0.1644,0.2524,0.1959,0.2012,-0.4608,0.0722,2.1233,3.0224,3.6749,2.0716,2.1335,4.138,2.1063,28.9807,7.1904,5.7837,25.3157,8.3965,8.3542,5.7754,8.3854,0.5489,0,0.5401,0.545,0.3566,0.2961,0.4435,0,1.8999,1.0953,2.7909,2.7923,0.896,0.9868,0.9094,3.0073,3.5861,1.1704,1.1685,1.2472,3.6495,3.5026,3.841,3.5943,10.1435,2.0325,2.0503,2.0151,2.0295,2.016,6.3487,12.5546,4.2249,4.1275,4.2022,10.475,2.0685,2.1292,2.0858,2.1075,2.084,1.3893,1.5399,1.4484,0.0762,0.0173,0.0213,0.0088,1.5218,1.4845,1.3762,0.0828,0.0095,0.0164,0.0251,0.011,2.7448,2.6928,0.9494,0.9334,0.8101,3.4005,4.455,1.4952,1.5434,1.4165,-443.03,35
SNQUOX01,84.09,12.31,186.6,1.77,6.76,8.77,30.8,18.7,10.8,587.78,-3.489,-2.646,1.92,1.98,-0.02,-0.08,2.54,2.02,3.24,2.76,2.53,1.36,1.23,86.92,79.45,86.32,105.69,100.42,127.61,108.35,124.55,-0.3492,0.1513,-0.1443,0.3072,-0.0749,0.0817,-0.4549,0.0822,2.591,3.0074,3.7288,1.9076,2.0149,4.0857,2.1041,28.9515,7.2017,5.7582,25.2659,8.3455,8.4204,5.7366,8.3836,0.5295,0,0.5069,0.4871,0.3956,0.62,0.4907,0,1.9115,1.0615,2.7961,2.787,0.8912,1.083,0.8128,3.0116,3.587,1.2258,1.1601,1.2011,3.6339,3.5595,3.8318,3.5222,10.1304,2.0199,2.0528,2.015,2.0264,2.0162,6.4007,12.5421,4.2365,4.0767,4.2289,10.406,2.084,2.063,2.0856,2.1313,2.0421,1.783,1.374,1.3313,0.1077,0.0187,0.0327,0.0124,1.5444,1.5098,1.4119,0.0751,0.0107,0.0163,0.0197,0.0098,2.7414,2.6856,0.9651,0.9481,0.7725,3.396,4.4498,1.5531,1.5342,1.3625,-423.44,35
TAWFEF,81.97,-0.85,202.08,1.99,6.43,8.2,35.1,25.1,15.6,637.45,-3.8672,-2.45,2.03,2.03,0,0.01,2.58,2.06,3.12,3.03,2.45,1.36,1.22,84.97,76.62,89.96,100.97,108.26,122.52,108.76,125.42,-0.3858,0.1568,-0.1837,0.2867,0.227,0.23,-0.4531,0.0728,2.4941,2.9882,3.7113,3.2761,3.2722,4.0679,2.0874,29.1449,7.2173,5.7422,25.2831,7.1192,7.0951,5.7313,8.4039,0.5379,0,0.5563,0.4576,0.3756,0.5879,0.5602,0,1.8646,1.0692,2.7901,2.7999,0.9027,1.0853,0.8119,3.0075,3.5811,1.1809,1.2108,1.1895,3.6377,3.4951,3.8554,3.5632,10.1453,2.024,2.0571,2.0143,2.0299,2.0201,6.3522,12.6427,4.2135,4.1917,4.2374,10.3908,2.0558,2.0728,2.0987,2.0851,2.0782,1.0729,1.2463,1.2212,0.2558,0.0371,0.0796,0.0215,1.0693,1.1704,1.2984,0.256,0.0497,0.0254,0.0847,0.0223,2.7438,2.6864,0.9707,0.954,0.7618,3.3991,4.456,1.5191,1.593,1.3438,-436.74,35
UDIDIW,83.57,-2.98,192.77,1.84,8.61,8.3,33.8,23.7,13.4,655.99,-4.3304,-2.8345,1.96,2.1,0.11,-0.1,2.53,2,3.03,2.94,2.51,1.36,1.22,89.17,73.89,89.1,97.55,110.03,127.53,108.67,124.51,-0.3935,0.1542,-0.1484,0.2858,0.2252,0.1158,-0.4606,0.0842,2.6326,3.0321,3.6288,3.4248,2.9348,4.2256,2.1111,29.1424,7.1817,5.7633,25.2931,6.9844,7.0549,5.821,8.3736,0.5844,0,0.5045,0.5035,0.3572,0.7076,0.4285,0,1.922,1.1204,2.791,2.7848,0.9139,1.0263,0.8446,3.0079,3.5836,1.2387,1.157,1.1879,3.6361,3.5388,3.7639,3.6255,10.1339,2.0331,2.0409,2.0224,2.0218,2.0159,6.3596,12.6431,4.2227,4.1731,4.2473,10.3905,2.0641,2.0646,2.0923,2.0695,2.1,1.0927,1.1515,1.296,0.2605,0.027,0.081,0.0227,1.1686,0.9738,1.3078,0.304,0.0556,0.0398,0.0749,0.0354,2.7443,2.692,0.9714,0.9499,0.7707,3.3982,4.4451,1.56,1.5275,1.3576,-441.93,35
ZEJPAI,81.57,-1.06,222.6,2.43,8.86,9.06,37.1,27.4,16.9,687.87,-4.4394,-3.5741,1.98,2.08,-0.03,0.02,2.53,2.03,3.15,2.93,2.49,1.37,1.22,86.06,77.71,87.04,101.82,107.39,125.75,108.91,124.17,-0.3329,0.1497,-0.1583,0.3701,0.1906,0.1416,-0.4552,0.0864,2.5968,3.027,3.7213,2.1689,3.107,4.0337,2.1205,29.0535,7.1907,5.7637,25.2219,8.3804,7.0048,5.7307,8.3726,0.6302,0,0.5337,0.5199,0.3902,0.4875,0.5546,0,1.9365,1.0255,2.7913,2.7903,0.9828,0.9748,0.8327,3.0124,3.5878,1.1543,1.2797,1.1538,3.6246,3.6172,3.6184,3.6091,10.1438,2.0381,2.0328,2.031,2.0194,2.0225,6.3693,12.59,4.1427,4.2045,4.2427,10.3734,2.0652,2.0897,2.083,2.0513,2.0841,1.3769,1.573,1.438,0.0812,0.0158,0.0276,0.0091,1.1814,1.2375,1.0934,0.3035,0.0596,0.0436,0.0914,0.0337,2.7426,2.6898,0.9563,0.9835,0.75,3.3963,4.4446,1.4926,1.6219,1.33,-432.99,35
ZIGCEX,80.19,-0.04,173.12,3,8.3,11.89,28.4,18.5,12.1,691.36,-4.0095,-2.7658,2.29,1.98,-0.05,0.02,2.52,2.08,3.06,3.26,2.51,1.35,1.23,86.59,74.87,87.77,95.78,117.55,115.95,108.8,124.67,-0.4206,0.1488,-0.148,0.3102,-0.0154,0.1961,-0.4465,0.0525,2.0249,2.9338,3.72,2.9388,2.1798,4.0695,2.0317,28.9966,7.2606,5.7924,25.2397,7.4259,8.347,5.7216,8.463,0.6809,0,0.5429,0.4112,0.2827,0.264,0.52,0,1.7402,1.1494,2.7917,2.785,0.918,0.8786,0.9884,3.0136,3.5892,1.2719,1.143,1.1743,3.6295,3.5627,3.6457,3.7006,10.1343,2.0381,2.0311,2.0217,2.0216,2.0218,6.3804,12.5778,4.2045,4.1444,4.2289,10.4622,2.0449,2.1491,2.1304,2.0677,2.07,1.2634,1.2588,1.2233,0.1864,0.0367,0.0449,0.0217,1.3719,1.5708,1.4441,0.0829,0.0055,0.016,0.0285,0.009,2.7421,2.6845,0.9845,0.8695,0.8305,3.4,4.4748,1.6123,1.4582,1.4043,-437.46,35
BIHZOI,92.2,-3.19,188.87,2.29,8.88,8.13,33.4,23.7,15.9,685.91,-3.39,-2.2211,2.08,1.99,-0.06,0.04,2.52,2.11,3.14,3.13,2.44,1.34,1.23,85.5,78.65,89.53,98.77,105.25,118.02,109.83,126.5,-0.4713,0.1598,-0.1874,0.3308,0.1268,0.084,-0.4684,0.0303,2.234,2.9427,3.6659,1.9964,2.0395,4.0274,2.0823,29.0362,7.2621,5.7108,25.2897,8.4584,8.4074,5.6834,8.4375,0.6275,0,0.55,0.4082,0.354,0.3491,0.4917,0,1.877,1.0925,2.7952,2.8057,0.8864,1.0728,0.8465,3.0062,3.5846,1.1776,1.1959,1.2111,3.6145,3.553,3.8536,3.4698,10.1585,2.0299,2.0521,2.0148,2.0345,2.0271,6.3507,12.5856,4.2211,4.1625,4.2019,10.5349,2.0981,2.1138,2.0969,2.1352,2.0909,1.4936,1.5121,1.4376,0.0754,0.0171,0.0201,0.0085,1.5389,1.5138,1.4324,0.075,0.0064,0.0147,0.0258,0.0092,2.7412,2.6993,0.9767,0.9577,0.7649,3.4059,4.4929,1.5517,1.5727,1.3685,-392.25,35.1
CAXKIV,93.53,0.32,192.32,1.7,8.66,8.85,33.9,25.2,15.9,667.29,-3.4405,-2.2606,1.98,2.1,-0.01,-0.06,2.52,2.11,3.2,3.11,2.45,1.35,1.23,85.99,80.29,89.13,100.56,103.49,117.93,109.89,126.5,-0.4436,0.1548,-0.1821,0.3289,0.0898,0.1539,-0.4682,0.0314,2.1449,2.9382,3.6706,2.0685,2.0997,3.9912,2.0833,28.985,7.2954,5.6964,25.2942,8.3851,8.3768,5.6654,8.4411,0.6265,0,0.5458,0.4129,0.357,0.4931,0.3154,0,1.8706,1.0747,2.7971,2.8057,0.9306,1.0331,0.8421,3.0102,3.5874,1.1573,1.2158,1.2142,3.6191,3.592,3.8351,3.4495,10.1558,2.0269,2.0483,2.015,2.0339,2.0319,6.3535,12.5872,4.2155,4.1658,4.2058,10.5026,2.1143,2.096,2.0937,2.1224,2.0762,1.4581,1.5972,1.4257,0.0741,0.0154,0.025,0.0087,1.441,1.5376,1.4378,0.0742,0.0033,0.0178,0.0197,0.0087,2.7412,2.6986,0.9738,0.9611,0.7638,3.4052,4.4924,1.5172,1.6068,1.3684,-384.93,35.1
DHNAPH17,84.96,8.32,187.79,1.4,6.14,7.66,31.5,21,12.4,584.68,-3.7783,-2.9872,1.98,1.92,-0.07,-0.02,2.54,1.99,3.25,2.75,2.56,1.36,1.23,87.78,79.32,85.49,106.18,101.9,127.82,108.34,124.16,-0.307,0.1514,-0.1324,0.3043,0.0965,0.0847,-0.4536,0.0898,2.6759,3.0255,3.7452,2.0034,2.0248,4.0811,2.113,29.0042,7.1633,5.7778,25.2832,8.4292,8.4183,5.7388,8.3775,0.5559,0,0.4952,0.5163,0.3893,0.5224,0.6534,0,1.9149,1.0505,2.7964,2.7826,0.8895,1.0919,0.8012,3.0116,3.5863,1.2192,1.1571,1.21,3.6386,3.5814,3.8333,3.5009,10.1269,2.0192,2.048,2.0144,2.0276,2.0176,6.3866,12.5526,4.2361,4.0882,4.2284,10.3673,2.088,2.0392,2.0761,2.1317,2.0323,1.4981,1.5305,1.4266,0.0761,0.0161,0.0199,0.0098,1.6437,1.4635,1.3732,0.0773,0.0098,0.0132,0.0231,0.0087,2.7412,2.6836,0.942,0.9456,0.796,3.3944,4.4435,1.5337,1.5286,1.3812,-417.85,35.1
EDIXIA,86.45,-3,199.85,2.24,8.87,8.61,34.1,28.2,21.7,798.32,-3.9868,-2.9309,2.06,1.99,0.07,-0.08,2.57,3.17,3.27,1.93,2.35,1.3,1.27,62.91,83.38,88.73,74.77,62.11,168.67,111.49,128.27,-0.3775,0.1694,-0.2372,0.4051,0.1722,0.1973,-0.4428,0.0912,2.3485,3.0674,3.6213,2.0788,2.0694,3.9617,2.0572,28.9516,7.2033,5.6783,25.2024,8.3755,8.408,5.6901,8.4806,0.6238,0,0.6124,0,0.3919,0.3787,0.4361,0.5917,1.3302,1.4737,2.7905,2.8173,0.9058,0.9269,0.9847,3.0098,3.578,1.2205,1.2006,1.1568,3.6167,3.7333,3.5705,3.4819,10.1715,2.0226,2.039,2.0487,2.039,2.0222,6.34,12.5939,4.2302,4.1602,4.2035,10.4434,2.1022,2.0727,2.0793,2.1279,2.0612,1.414,1.59,1.3953,0.0765,0.0236,0.0165,0.0113,1.457,1.5304,1.3957,0.0799,0.0056,0.0197,0.0233,0.0102,2.7264,2.6968,0.9839,0.7957,0.9173,3.3379,4.4869,1.6037,1.4691,1.4141,-360.13,35.1
EXICAP,83.05,-1.37,203.12,4.84,7.37,11.69,35.5,26.1,18.7,824.7,-3.9828,-2.5978,2.03,2.01,0,0.03,2.56,2.03,3.1,2.95,2.47,1.36,1.22,86.22,75.9,89.55,100.42,107.92,125.67,108.62,124.94,-0.3888,0.1546,-0.173,0.2852,0.2369,0.2383,-0.4546,0.082,2.5718,2.9977,3.6986,3.2759,3.309,4.127,2.0943,29.1429,7.191,5.7554,25.2795,7.1521,7.0961,5.7733,8.3898,0.5508,0,0.5391,0.4693,0.3652,0.6092,0.5917,0,1.8791,1.0835,2.7903,2.7959,0.8994,1.0926,0.8039,3.0087,3.5815,1.1994,1.2076,1.1744,3.637,3.4618,3.8556,3.6008,10.143,2.0223,2.0567,2.0154,2.0307,2.0179,6.3493,12.6514,4.2201,4.1909,4.2405,10.3878,2.0487,2.0633,2.1068,2.0773,2.0918,1.084,1.223,1.2227,0.2556,0.0397,0.0774,0.024,1.0918,1.1512,1.2864,0.2569,0.0497,0.0288,0.0803,0.0261,2.7437,2.6872,0.973,0.9521,0.7621,3.3971,4.4486,1.5192,1.5901,1.3393,-440.08,35.1
FEMFAE,80.57,0.46,213.79,4.95,8.6,8.2,48.4,45.9,33.5,853.76,-3.6382,-2.3608,2.17,2.12,-0.02,-0.06,2.56,2.14,3.18,2.98,2.44,1.36,1.22,84.15,78.79,90.81,101.19,104.92,125.74,108.81,125.42,-0.4785,0.1647,-0.1888,0.3437,0.18,0.2191,-0.4617,0.0762,2.0842,2.9329,3.8535,2.9504,2.1045,4.0959,2.11,28.9503,7.262,5.8168,25.2794,7.5363,8.3483,5.7406,8.3928,0.5608,0,0.5611,0.3787,0.4307,0.3819,0.3263,0,1.9166,1.0727,2.79,2.801,0.8977,1.1081,0.7952,3.0113,3.5744,1.2331,1.1907,1.1507,3.6063,3.4719,3.8123,3.6012,10.1471,2.0201,2.062,2.0157,2.0288,2.0204,6.3653,12.5297,4.1872,4.1484,4.1942,10.5833,2.108,2.1736,2.1129,2.0752,2.1136,1.1674,1.2615,1.1994,0.2239,0.0569,0.0426,0.0359,1.4089,1.4756,1.4765,0.0775,0.011,0.0134,0.0243,0.0091,2.744,2.693,0.9855,0.9239,0.7835,3.3988,4.4529,1.5711,1.5293,1.3525,-430.46,35.1
HAXPAX,85.83,-0.03,185.21,1.69,5.44,11.44,30.4,20.7,12.6,655.66,-4.4303,-3.6379,2.14,1.91,-0.06,0.05,2.51,2.03,3.06,3.43,2.57,1.35,1.23,88.67,74.21,86.21,96.58,124.14,110.82,109.15,125.54,-0.3457,0.1583,-0.1193,0.3168,-0.0306,0.1659,-0.4354,0.0721,2.5319,3.0252,3.6754,3.0582,2.1714,4.0778,2.029,28.9966,7.1992,5.787,25.2418,7.1616,8.39,5.7225,8.4294,0.6629,0,0.4926,0.4669,0.2774,0.3678,0.689,0,1.6713,1.1908,2.7927,2.7708,0.931,0.872,0.9678,3.009,3.5834,1.1884,1.204,1.191,3.6421,3.7806,3.4729,3.6534,10.119,2.0195,2.0195,2.0281,2.0226,2.0293,6.3647,12.6137,4.1667,4.2157,4.2313,10.367,2.0582,2.0646,2.0811,2.078,2.0851,1.1314,1.1921,1.3451,0.2425,0.0258,0.0574,0.0218,1.3782,1.6009,1.4235,0.0824,0.0065,0.0194,0.0258,0.0093,2.7402,2.6862,0.9579,0.9317,0.7966,3.3953,4.4538,1.5235,1.5551,1.3753,-431,35.1
HEZSAJ,82.39,2.68,215.25,1.83,12.5,7.32,38.1,32.2,23.4,790.38,-3.9635,-2.5666,2.07,2.07,-0.05,-0.02,2.53,2.08,3.21,2.71,2.52,1.36,1.23,87.98,79.04,89.3,102.57,99.79,133.2,108.11,124.23,-0.4312,0.1548,-0.1528,0.2662,0.2024,0.2045,-0.4589,0.0939,2.0946,2.9647,3.821,2.0956,2.183,4.1378,2.0938,28.9142,7.246,5.8298,25.3166,8.3565,8.2961,5.7745,8.368,0.5935,0,0.5143,0.4574,0.3829,0.3217,0.3465,0.1032,1.878,1.0796,2.7945,2.7907,0.9093,1.0886,0.7929,3.0181,3.5782,1.2955,1.1595,1.1231,3.6343,3.4417,3.8203,3.6828,10.1379,2.0199,2.0462,2.0213,2.0333,2.0172,6.3562,12.5604,4.2019,4.1299,4.2287,10.5143,2.0819,2.1376,2.1354,2.056,2.1034,1.354,1.5828,1.4417,0.0789,0.0204,0.0206,0.0096,1.3591,1.5827,1.4342,0.0769,0.0028,0.0186,0.0236,0.0089,2.743,2.6866,0.9933,0.9467,0.7466,3.3938,4.4402,1.5769,1.5327,1.3306,-429.74,35.1
HIDQOD,80.04,0.33,216.35,2.07,11.6,9.31,37.2,27.1,16.5,737.98,-4.2023,-2.8416,2.01,2.1,0.01,-0.03,2.53,2.06,3.19,2.88,2.51,1.36,1.22,87.87,78.63,89.14,102.76,103.62,126.55,108.78,124.81,-0.4225,0.1561,-0.1512,0.3189,0.1874,0.1402,-0.4562,0.0865,2.4279,3.0037,3.7709,2.1779,3.0929,4.109,2.1195,29.0286,7.2229,5.7798,25.2591,8.3739,7.038,5.745,8.3785,0.6351,0,0.5016,0.4541,0.4041,0.4797,0.4738,0,1.928,1.0561,2.7926,2.7862,0.8991,1.101,0.7861,3.015,3.5784,1.2359,1.1553,1.1872,3.6237,3.5667,3.8175,3.524,10.1329,2.021,2.0482,2.0146,2.0274,2.0217,6.3685,12.6022,4.2179,4.1585,4.2258,10.4515,2.0893,2.0731,2.1296,2.0884,2.0712,1.3941,1.5458,1.4495,0.0798,0.0172,0.0208,0.0118,1.2514,1.1977,1.0696,0.3061,0.0633,0.0466,0.079,0.037,2.744,2.6862,0.9732,0.9375,0.7755,3.3965,4.4447,1.5843,1.5134,1.347,-432.19,35.1
HULGIE01,85.78,5.85,209.78,3.34,8.75,8.03,48.5,38,23.9,731.47,-4.0909,-2.3841,2.15,2.05,-0.06,-0.09,2.63,2.1,3.19,2.84,2.44,1.37,1.22,82.67,78.04,90.52,103.69,101,128.5,108.54,124.8,-0.477,0.1641,-0.1959,0.2981,0.2679,0.0844,-0.4549,0.0919,2.4133,2.9846,3.7445,3.2134,3.0931,4.0426,2.1101,29.1032,7.223,5.7579,25.3236,7.1622,6.9682,5.7403,8.3717,0.4627,0,0.5879,0.4625,0.4179,0.4322,0.5205,0,1.9031,1.053,2.7894,2.8042,0.8739,1.1128,0.8175,3.0095,3.5746,1.1683,1.2134,1.193,3.6261,3.5822,3.8426,3.4906,10.1447,2.0247,2.0518,2.0119,2.0285,2.0278,6.3655,12.5896,4.2007,4.1622,4.2267,10.5217,2.0924,2.105,2.1049,2.1322,2.0872,1.104,1.2509,1.1569,0.2457,0.0391,0.0678,0.0303,1.091,1.1087,1.2431,0.379,0.074,0.1166,0.0478,0.0986,2.7426,2.6876,0.9433,0.9301,0.8142,3.3939,4.4415,1.5084,1.5621,1.371,-439.11,35.1
JABPIP,86.84,5.75,189.25,1.7,12.35,8.37,32.4,22.4,15,755.06,-3.9923,-3.2463,1.98,1.92,-0.06,-0.01,2.55,2,3.22,2.71,2.55,1.36,1.23,88.18,78.49,86.68,104.78,100.93,130.02,108.36,123.97,-0.3062,0.1552,-0.1349,0.278,0.1133,0.092,-0.457,0.0949,2.7011,3.0062,3.7095,1.9745,2.058,4.1239,2.1025,28.9595,7.1673,5.7631,25.2919,8.4617,8.4313,5.7728,8.3688,0.5745,0,0.4984,0.498,0.3787,0.4795,0.642,0,1.886,1.066,2.7958,2.7828,0.8858,1.0662,0.8308,3.0109,3.5827,1.2005,1.1604,1.2219,3.6516,3.5812,3.8201,3.5295,10.1249,2.0218,2.0435,2.0157,2.0284,2.0154,6.3662,12.5795,4.2308,4.1238,4.2248,10.3602,2.091,2.0571,2.0514,2.1316,2.029,1.422,1.5948,1.4248,0.0783,0.0193,0.0192,0.0117,1.5486,1.5474,1.3819,0.0766,0.0068,0.016,0.0243,0.0094,2.7413,2.6851,0.9284,0.9465,0.8103,3.3935,4.4392,1.505,1.5347,1.3995,-424.26,35.1
