Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
MRUBFN,84.53,9.34,179.22,1.76,9.88,9.27,29.9,21.7,14.4,722.84,-3.798,-1.8907,2.09,2.04,-0.17,-0.06,2.63,2.21,1.96,1.32,1.24,53.71,72.98,121.77,126.49,111.52,53.31,125.86,-0.3425,-0.3076,0.0879,0.5282,0.1336,0.087,-0.5241,-0.04,2.76,3.6528,3.0237,1.3812,2.053,1.8462,4.1228,2.0025,29.1326,5.6155,7.2605,25.1243,8.4102,8.5656,5.7613,8.5283,0.551,0.2495,0.7785,0.6681,0.36,0.3699,0,1.7901,1.2759,2.7774,0.9248,0.9608,1.0656,2.9929,1.2557,1.253,1.1668,3.5755,3.3697,3.6178,3.7183,10.1659,2.0565,2.0343,2.0212,2.0423,2.0117,6.331,12.5821,4.2447,4.1935,4.1439,10.4291,2.0846,2.0763,2.0812,2.134,2.0529,1.4233,1.4125,0.0722,0.0212,0.0144,0.0133,1.4619,1.4331,1.5866,0.0738,0.0208,0.01,0.0131,0.0146,2.74,2.7312,0.9641,0.8205,0.9467,1.5725,1.4649,1.5236,-126.38,10.2
NEGLUG,78.86,3.07,207.53,4.33,7.26,10.53,36.3,29.4,18.9,752.82,-4.611,-3.3559,2,2.19,0.01,-0.2,2.54,1.99,1.94,1.32,1.24,47.05,68.93,122.5,124.9,111.98,64.02,125.24,-0.3665,-0.235,0.1096,0.3927,0.154,0.2363,-0.511,-0.0107,3.2006,3.4389,3.0291,1.2484,3.056,2.072,4.16,2.0014,29.3796,5.431,7.1647,25.244,6.8371,8.3827,5.7788,8.5194,0.774,0.2975,0.737,0.2707,0.5229,0.3348,0,1.7678,1.3046,2.7747,0.8676,0.966,1.0713,2.9896,1.227,1.2522,1.1769,3.6229,3.2187,3.7752,3.8416,10.1319,2.0523,2.0209,2.0066,2.0455,2.0065,6.34,12.6431,4.2788,4.2206,4.1437,10.383,2.1307,2.108,2.0627,2.0462,2.0354,1.1112,1.3637,0.3383,0.0244,0.1002,0.0294,1.299,1.4439,1.5931,0.0744,0.0136,0.0026,0.0261,0.0082,2.7352,2.7199,0.9756,0.8143,0.93,1.5614,1.4505,1.5244,-166.88,10.2
WEYPIB,80.3,4.2,175.97,1.7,9.12,7.35,33.5,24.2,16.6,633.97,-3.9631,-2.7521,2.16,1.96,-0.09,-0.06,2.58,2.12,1.99,1.32,1.24,51.85,73.16,116.41,130.58,110.91,54.99,125.05,-0.3651,-0.3107,0.0966,0.5531,0.1756,0.1217,-0.5204,-0.0059,2.8797,3.4433,2.9739,1.3693,2.087,2.002,4.2451,2.0201,29.1769,5.4662,7.2908,25.1259,8.2966,8.4195,5.7958,8.5008,0.6042,0.2605,0.6794,0.5676,0.2642,0.5097,0,1.81,1.3264,2.7701,0.9723,0.9417,1.0403,2.9972,1.2586,1.2721,1.1368,3.5666,3.364,3.7253,3.6057,10.1603,2.0362,2.0428,2.0235,2.0364,2.0214,6.3308,12.577,4.2427,4.1953,4.139,10.457,2.1268,2.1175,2.0917,2.0684,2.0526,1.3763,1.4518,0.0717,0.0172,0.0187,0.009,1.4253,1.3878,1.6423,0.0765,0.0238,0.0061,0.0186,0.0103,2.7392,2.7266,0.917,0.855,0.9545,1.5391,1.5035,1.4893,-105.35,10.2
CATYAX,72.28,11.96,184.53,2.48,8.18,8.47,30.3,24.5,16.3,660.92,-4.4408,-3.3809,2.46,2.11,-0.43,-0.16,2.52,1.97,1.99,1.31,1.25,46.85,68.81,92.8,155.87,111.3,64.34,121.24,-0.3796,-0.2337,0.1082,0.4215,0.2776,0.2218,-0.5025,0.0452,3.0978,3.5668,2.9218,1.2762,2.9517,2.1585,4.1227,1.9507,29.1774,5.4797,7.1364,25.2131,7.1736,8.2682,5.8002,8.472,0.7384,0.4214,0.5706,0.3572,0.1385,0.3501,0.3095,1.5788,1.3771,2.7737,0.9027,0.9377,1.0623,2.9967,1.2436,1.2383,1.1737,3.6133,3.3576,3.6803,3.7771,10.1321,2.0504,2.0258,2.0145,2.0315,2.0098,6.3242,12.5962,4.2509,4.1881,4.1573,10.4588,2.0656,2.1495,2.1192,2.1266,1.9979,1.1606,1.1716,0.2316,0.0299,0.0637,0.027,1.3779,1.4572,1.5202,0.0747,0.0159,0.013,0.0192,0.0102,2.7275,2.7074,0.9738,0.7798,0.9537,1.493,1.4569,1.5528,-140.81,10.3
COKPUQ,86.21,8.11,198.45,2.36,9.1,8.56,33.9,26.1,17.6,700.51,-4.1561,-2.2186,2.09,2.06,-0.14,-0.04,2.59,2.05,1.98,1.32,1.24,49.26,72.98,121.79,126.43,111.67,57.76,125.61,-0.3576,-0.2869,0.0987,0.4643,0.1473,0.2176,-0.5257,-0.0409,3.0751,3.4616,3.0011,1.3485,2.0367,3.1966,4.1592,1.9903,29.2895,5.4549,7.2063,25.1714,8.4355,7.0257,5.7875,8.5263,0.65,0.2744,0.7221,0.5138,0.3581,0.4391,0,1.7485,1.3037,2.7736,0.9886,0.9543,0.9938,2.9947,1.2828,1.2452,1.137,3.5999,3.5093,3.735,3.5145,10.1553,2.029,2.0451,2.0278,2.0249,2.0284,6.3193,12.6363,4.2481,4.2239,4.1644,10.4016,2.1179,2.1037,2.0874,2.0574,2.0352,1.4277,1.4463,0.0735,0.0197,0.0052,0.026,1.1759,1.1884,1.196,0.2407,0.0386,0.0605,0.0455,0.0542,2.7394,2.7308,0.9718,0.8004,0.9586,1.6107,1.4522,1.4992,-97.64,10.3
ECINAH,80.22,2.26,186.72,1.98,10.21,9.29,31.6,24.3,18.2,747.55,-3.8507,-3.0866,2.11,2.04,-0.01,-0.11,2.61,2.15,2.01,1.32,1.24,52.23,73.69,120.07,125.58,110.99,54.08,125.98,-0.3385,-0.3135,0.0941,0.554,0.1679,0.1265,-0.5187,-0.0001,2.731,3.4427,3.0242,1.351,2.0833,1.9954,4.3219,1.9879,29.1355,5.4608,7.2472,25.1221,8.3302,8.3915,5.8537,8.5067,0.5562,0.2725,0.6446,0.6025,0.3164,0.3774,0,1.7439,1.4374,2.7696,1.0105,0.9391,1.0081,3.0009,1.2534,1.2014,1.2137,3.5682,3.482,3.7201,3.4877,10.1631,2.0325,2.0432,2.0376,2.0263,2.0235,6.3324,12.5597,4.2228,4.1695,4.1673,10.4461,2.1019,2.1108,2.1343,2.0855,2.0136,1.3868,1.4419,0.0722,0.0153,0.0241,0.0087,1.4011,1.4388,1.6044,0.0745,0.0185,0.0068,0.0198,0.0091,2.7393,2.7253,0.8602,0.9456,0.9195,1.491,1.5363,1.4992,-105.36,10.3
GURGUX,81.24,1.44,175.21,3.69,6.54,9.37,27.5,18.4,14.5,645.19,-4.6301,-3.6378,2.25,1.94,-0.28,0.12,2.54,1.98,1.97,1.32,1.24,47.4,70.32,117.61,130.44,111.89,62.27,125.58,-0.3199,-0.2636,0.1035,0.4506,0.2312,0.2839,-0.5126,0.0175,3.046,3.3854,3.0423,1.2912,2.1386,2.2577,4.3314,2.0589,29.2817,5.4163,7.1648,25.1989,8.2722,8.2167,5.8442,8.46,0.7895,0.3255,0.6565,0.2987,0.242,0.5328,0,1.7991,1.3798,2.7706,0.9002,0.9576,1.0652,2.9961,1.2592,1.2194,1.1824,3.6125,3.2745,3.7441,3.7631,10.136,2.0524,2.0284,2.0132,2.0348,2.0071,6.3387,12.6063,4.2712,4.2043,4.1307,10.3746,2.1252,2.1042,2.0936,2.0539,1.9978,1.2629,1.4587,0.0735,0.013,0.0266,0.008,1.2628,1.4623,1.5685,0.0874,0.0133,0.0081,0.0286,0.0093,2.7368,2.7203,0.9726,0.8492,0.8986,1.5619,1.4681,1.4754,-148.06,10.3
MODGIX,85.31,8.24,176.61,3.48,5.32,6.99,37.5,28.4,14.1,553.83,-3.5649,-1.513,2.32,1.98,0.05,-0.05,2.63,2.24,2.02,1.31,1.25,54.67,73,115.9,131.66,111.51,52.33,125.88,-0.4108,-0.319,0.098,0.5356,0.0961,-0.0896,-0.5303,-0.0419,2.6982,3.7879,2.9464,1.4376,1.9791,1.7741,4.2384,1.9948,29.1322,5.7086,7.2594,25.0784,8.4337,8.621,5.8191,8.5215,0.534,0.2613,0.6239,0.7314,0.1889,0.4992,0,1.7878,1.3452,2.7756,0.9999,0.9862,0.9778,2.9968,1.2626,1.2416,1.1615,3.5604,3.6968,3.6719,3.3171,10.191,2.0255,2.0388,2.0537,2.0413,2.0319,6.3387,12.5744,4.2186,4.2092,4.1466,10.4975,2.1195,2.1224,2.1115,2.0924,2.0516,1.4026,1.4671,0.0711,0.0136,0.0129,0.0172,1.5547,1.4401,1.6308,0.0698,0.0185,0.01,0.0155,0.0112,2.7396,2.7343,0.9592,0.8238,0.9514,1.5714,1.4718,1.5194,-99.77,10.3
REGMAT,82.74,2.88,188.56,1.7,8.05,8.74,31.7,23.8,16.5,674.8,-4.5746,-3.7112,2.28,2.01,-0.28,0.04,2.54,1.98,1.97,1.32,1.24,47.11,70.15,122.3,125.86,111.39,62.74,126.23,-0.3161,-0.2587,0.1064,0.4323,0.1827,0.2495,-0.5099,0.0041,3.0843,3.309,3.0157,1.2598,2.0302,3.142,4.3511,2.0207,29.3363,5.3602,7.1518,25.2243,8.3833,7.1052,5.8515,8.5021,0.7799,0.2931,0.6435,0.2738,0.2454,0.5695,0,1.8203,1.3823,2.7708,0.9263,0.9587,1.0356,2.9957,1.2633,1.2204,1.1757,3.6138,3.3532,3.7638,3.6805,10.1376,2.0436,2.0342,2.018,2.0296,2.0121,6.3371,12.6154,4.2527,4.215,4.1477,10.3632,2.146,2.1066,2.0792,2.0283,2.0031,1.3281,1.4341,0.0704,0.0158,0.0225,0.0078,1.1331,1.2888,1.108,0.2338,0.023,0.0505,0.0767,0.02,2.7371,2.7185,0.9458,0.8605,0.9122,1.5741,1.4828,1.4669,-144.47,10.3
SAWNEL,74.57,9.27,171.25,1.7,7.79,6.9,26.7,22.8,16.6,640.08,-4.7673,-3.9237,2.49,2.08,-0.49,-0.09,2.49,1.95,2.02,1.31,1.26,45.7,65.97,90.58,157.37,111.38,68.33,120.36,-0.4026,-0.2034,0.1203,0.3786,0.1487,0.2496,-0.4927,0.0593,3.0419,3.5327,2.827,1.2409,2.8122,2.2195,4.0409,1.9451,29.193,5.4859,7.1927,25.2275,7.0048,8.2448,5.7429,8.4756,0.8741,0.4306,0.4702,0.2049,0.1179,0.355,0.3621,1.5086,1.3553,2.7723,0.9286,0.9406,1.0168,2.999,1.2756,1.2267,1.141,3.6245,3.4357,3.7648,3.6645,10.1155,2.0284,2.0316,2.0171,2.0244,2.0139,6.3334,12.6126,4.2103,4.2166,4.1857,10.4562,2.1117,2.1811,2.0938,2.0732,1.9965,1.0819,1.3302,0.3033,0.0367,0.0855,0.0302,1.3481,1.4748,1.5121,0.0755,0.0093,0.0136,0.0228,0.0094,2.7272,2.6994,0.9669,0.7962,0.9363,1.5235,1.4615,1.5074,-151.86,10.3
TOGKEI,90.19,3.26,183.41,1.92,9.3,10.77,29.2,23,17.4,789.86,-4.3799,-3.6818,2.16,2.03,-0.26,0.01,2.55,2.01,1.97,1.32,1.24,48.3,71.16,117.24,130.94,111.81,60.53,124.95,-0.342,-0.2694,0.0931,0.4576,0.2146,0.207,-0.5189,-0.0206,3.0469,3.5632,3.026,1.3243,2.0807,2.1423,4.1579,2.0145,29.2059,5.4995,7.2096,25.1798,8.3624,8.3196,5.7705,8.5157,0.7217,0.3586,0.7283,0.4276,0.3176,0.3938,0.1005,1.802,1.2976,2.7711,0.9008,0.9513,1.0713,2.9954,1.2503,1.2678,1.1542,3.6033,3.3462,3.6495,3.7803,10.1428,2.056,2.0262,2.0151,2.0356,2.0098,6.3312,12.6056,4.2737,4.1965,4.1354,10.4048,2.0359,2.0911,2.0947,2.1529,2.0302,1.3402,1.4343,0.0735,0.0178,0.0226,0.0086,1.4248,1.4265,1.5287,0.0755,0.0163,0.0036,0.0241,0.0087,2.7381,2.7256,0.9613,0.8136,0.9507,1.5679,1.4587,1.5192,-153.92,10.3
ZEBWEI,83.84,0.35,180.55,1.76,7.36,12.76,29,19.9,13.3,729.18,-4.5635,-2.58,2.03,2.04,-0.23,0.12,2.53,1.95,2.09,1.28,1.3,46.7,70.93,118.51,131.1,110.38,62.37,128.98,-0.3486,-0.2733,0.1659,0.4541,0.0715,0.1896,-0.383,0.2744,3.0206,3.3886,3.0756,1.2979,1.9363,2.1313,4.2929,2.0984,29.2236,5.4116,7.1116,25.1935,8.5163,8.3277,5.8702,8.2782,0.7934,0.3784,0.4851,0.3357,0.4802,0.4502,0,1.3205,1.6071,2.7682,0.9219,0.9743,1.0305,2.997,1.259,1.1684,1.1712,3.6056,3.372,3.762,3.6471,10.1389,2.0395,2.0375,2.0212,2.0291,2.0115,6.3206,12.6308,4.2444,4.2076,4.1788,10.3968,2.1319,2.1035,2.0796,2.0917,1.9901,1.5161,1.4035,0.0725,0.0178,0.021,0.0088,1.3881,1.4566,1.5421,0.0777,0.0109,0.0081,0.0279,0.0084,2.7218,2.6836,0.9505,0.8995,0.8336,1.304,1.503,1.5255,-90.83,10.3
EXIFEX,80.29,4.16,176.86,1.34,6.28,9.04,27.7,18.5,12.3,622.91,-5.0165,-4.3824,2.18,1.92,-0.25,0.03,2.51,1.96,1.93,1.34,1.22,45.52,66.17,116.89,123.58,112.12,68.31,124.38,-0.3517,-0.2068,0.1368,0.3665,0.2128,0.2456,-0.4788,0.0458,3.2315,3.3449,3.1182,1.2199,2.0919,2.1899,4.1419,2.0795,29.2955,5.4035,7.183,25.2417,8.3428,8.2614,5.7454,8.4415,0.8661,0.2957,0.6947,0.1728,0.3355,0.5479,0,1.8443,1.1952,2.7741,0.8943,0.9531,1.041,2.9981,1.2122,1.2279,1.1783,3.6326,3.3411,3.7888,3.7451,10.1108,2.0356,2.0268,2.0123,2.029,2.0071,6.3366,12.6457,4.2807,4.222,4.143,10.3689,2.1564,2.1232,2.0818,1.9948,2.0128,1.3013,1.4379,0.073,0.0158,0.0244,0.008,1.3489,1.4307,1.5543,0.0832,0.0139,0.0074,0.0276,0.0084,2.7392,2.6996,0.948,0.8216,0.9301,1.5661,1.3997,1.5173,-174.5,10.4
HALLOV,81.79,1.71,201.38,2.67,10.34,9.05,32.2,27,18.6,693.7,-3.5639,-2.1461,2.19,2,-0.1,-0.06,2.64,2.28,1.98,1.32,1.24,55.44,72.57,118.3,130.32,111.26,51.98,125.81,-0.3587,-0.3158,0.0863,0.5208,0.1859,-0.0535,-0.5264,-0.0365,2.6811,3.6689,2.9475,1.3524,2.0151,1.7487,4.1524,2.0034,29.1559,5.644,7.3106,25.1374,8.4156,8.6579,5.7687,8.5271,0.4982,0.2099,0.7264,0.666,0.2914,0.5671,0.1109,1.7885,1.2871,2.7781,0.9701,0.9585,1.0315,2.9962,1.2839,1.2497,1.1415,3.5671,3.4825,3.6788,3.5508,10.1743,2.0455,2.0417,2.0337,2.0339,2.0194,6.3446,12.5643,4.2407,4.1792,4.1444,10.4496,2.1282,2.1217,2.0816,2.0827,2.0354,1.3745,1.4342,0.0745,0.0157,0.0253,0.0084,1.668,1.4423,1.4803,0.0688,0.0107,0.0092,0.024,0.0076,2.7405,2.7327,0.97,0.812,0.9508,1.6052,1.4537,1.5,-158.09,10.4
HOKZUC,94.94,0.03,207.11,2.49,8.63,7.8,37.6,26.9,15.9,650.52,-3.3266,-1.5236,2.01,2.14,-0.06,-0.01,2.65,2.26,1.99,1.31,1.24,54.69,73.68,121.61,126.84,111.54,51.64,125.94,-0.3826,-0.3247,0.0917,0.5304,0.0349,0.1064,-0.525,-0.0421,2.7502,3.5318,2.976,1.3731,1.9532,3.1784,4.2029,1.9822,29.1685,5.565,7.2388,25.1302,8.5363,7.2119,5.7996,8.5283,0.4694,0.188,0.6806,0.6862,0.4945,0.3529,0,1.7601,1.3186,2.7755,0.935,0.9605,1.0694,2.9948,1.2408,1.2491,1.1793,3.5638,3.3321,3.6491,3.7202,10.1782,2.0616,2.0388,2.0205,2.0449,2.0124,6.3288,12.6036,4.2348,4.1873,4.1815,10.4499,2.0938,2.0999,2.0627,2.1305,2.0631,1.5272,1.4132,0.0713,0.0182,0.0188,0.009,1.1417,1.3429,1.189,0.2352,0.0321,0.045,0.0515,0.0592,2.7399,2.7316,0.9579,0.8135,0.9602,1.5504,1.4633,1.5494,-112.64,10.4
MAJNES,80.97,12.25,170.1,2.89,5.15,7.93,28.9,22.2,12.6,562.56,-4.3995,-2.6562,2.3,2.06,-0.17,0.1,2.52,1.96,2.04,1.31,1.25,46.43,69.12,92.92,155.85,111.01,64.45,121.47,-0.3886,-0.24,0.1101,0.3894,0.1565,0.2172,-0.5074,0.04,3.0021,3.5305,2.792,1.2505,2.0561,2.1856,4.1154,1.958,29.152,5.4783,7.2341,25.2366,8.3782,8.2786,5.7865,8.4715,0.8104,0.3936,0.4659,0.2601,0.1891,0.3866,0.2913,1.6002,1.3324,2.7717,0.9297,0.967,1.0109,3.004,1.2667,1.2316,1.1534,3.6166,3.4215,3.779,3.6473,10.1283,2.0346,2.0368,2.0191,2.0258,2.012,6.3283,12.5934,4.2241,4.202,4.1674,10.4666,2.1567,2.1773,2.0742,2.0629,1.9955,1.3983,1.4498,0.0722,0.0202,0.0174,0.0097,1.3877,1.4246,1.5648,0.0759,0.0155,0.0032,0.0261,0.0084,2.7299,2.7131,0.9839,0.7877,0.9415,1.5208,1.4567,1.5281,-131.74,10.4
PADCON,78.99,3.42,189,3.12,4.96,6.2,41.8,32.2,12.5,507.99,-4.5266,-2.6066,2.57,2.13,-0.42,0.01,2.54,2.01,1.95,1.32,1.24,47.42,68.84,112,134.25,111.55,63.74,124.39,-0.3225,-0.2331,0.1088,0.3941,0.0944,0.118,-0.511,0.0055,3.1496,3.4973,3.0138,1.3022,3.0211,3.2493,3.9589,2.0183,29.2813,5.493,7.313,25.2509,7.1685,6.9661,5.6745,8.5046,0.8449,0.3368,0.7486,0.2832,0.1767,0.4097,0.1197,1.7352,1.1995,2.7759,0.8752,0.9551,1.0729,2.9892,1.2342,1.2706,1.1533,3.6155,3.3047,3.7369,3.7878,10.1433,2.0562,2.0271,2.0136,2.0382,2.0083,6.35,12.5974,4.2699,4.2168,4.1107,10.3747,2.136,2.1229,2.0836,2.0264,2.0059,1.1415,1.2674,0.2933,0.0547,0.0542,0.0652,1.1434,1.3186,1.165,0.3048,0.0438,0.0832,0.0603,0.0722,2.7334,2.7201,0.9595,0.8152,0.9453,1.5556,1.4543,1.5159,-145.88,10.4
REZJAK,96.51,5.95,197.08,1.7,9.05,7.18,31.2,23,18.1,674.83,-3.5751,-2.4377,2.16,2.02,-0.17,-0.04,2.61,2.23,2,1.32,1.24,54.54,72.38,119.73,128.61,111.36,53.08,125.76,-0.3625,-0.3122,0.0907,0.5388,0.1682,0.0929,-0.5253,-0.0361,2.65,3.6261,2.9257,1.3496,2.0785,2.0292,4.2185,2.0047,29.1135,5.6043,7.3015,25.1511,8.3934,8.4562,5.7959,8.5274,0.5445,0.2361,0.6859,0.6302,0.2848,0.4961,0,1.8119,1.3235,2.7736,0.9434,0.9408,1.0727,2.9984,1.2875,1.2435,1.1415,3.5625,3.2676,3.703,3.731,10.1711,2.0575,2.0376,2.017,2.0459,2.0131,6.3326,12.5652,4.2508,4.1679,4.1466,10.4644,2.1412,2.1148,2.0746,2.0825,2.0513,1.3725,1.4303,0.0723,0.0178,0.0201,0.0083,1.4611,1.4073,1.6091,0.0728,0.0161,0.004,0.0239,0.0078,2.7409,2.7317,0.9746,0.8064,0.9507,1.6173,1.4409,1.4998,-146.21,10.4
XABNIA,79.92,2.75,185.05,1.71,5.67,9.73,31.5,21.1,11.9,576.82,-4.5556,-3.7447,2.15,2.02,-0.23,0.07,2.53,2,1.95,1.32,1.24,47.75,69.68,120.63,127.31,111.86,62.58,125.77,-0.3428,-0.2512,0.1047,0.4288,0.2016,0.2559,-0.512,0.0015,3.2045,3.3603,3.0268,1.2791,2.1268,3.2562,4.3361,2.0188,29.3655,5.4054,7.1467,25.2231,8.3196,6.9827,5.8516,8.4948,0.791,0.2906,0.6689,0.2859,0.3376,0.5183,0,1.8184,1.3678,2.7732,0.9154,0.9573,1.0423,2.9917,1.2575,1.2464,1.1571,3.6134,3.3464,3.7572,3.6965,10.1388,2.0446,2.033,2.0182,2.0323,2.0108,6.3328,12.6464,4.2724,4.2257,4.1483,10.3633,2.1401,2.1157,2.0776,2.023,2.0069,1.3108,1.4313,0.0734,0.0159,0.0248,0.0079,1.0585,1.2894,1.1716,0.2528,0.0207,0.0511,0.0841,0.0191,2.7364,2.72,0.9708,0.815,0.9342,1.5888,1.4515,1.4851,-160.99,10.4
YOWYOY,80.88,5.07,173.08,1.7,10.64,8.98,31,22.1,14.5,735.31,-4.0154,-2.4745,2.16,2.06,-0.13,-0.04,2.58,2.21,1.99,1.32,1.24,54.35,72.06,116.62,129.68,110.94,53.59,125.35,-0.3605,-0.3095,0.0892,0.5947,0.1524,0.1807,-0.5196,0.0039,2.5953,3.4348,2.9921,1.41,2.0884,2.0657,4.3038,2.0022,29.1182,5.5008,7.2691,25.0871,8.3373,8.3621,5.8309,8.4929,0.5929,0.2331,0.6641,0.6267,0.2508,0.3584,0,1.7857,1.3807,2.7713,1.0617,0.9325,0.9618,2.9998,1.2523,1.2546,1.1653,3.5584,3.6868,3.7118,3.2595,10.1628,2.0213,2.0384,2.0401,2.0175,2.0454,6.3379,12.5506,4.1918,4.1795,4.1793,10.4716,2.1054,2.0991,2.1205,2.0964,2.0503,1.3959,1.4363,0.0719,0.0192,0.0172,0.0094,1.3957,1.4371,1.5688,0.0747,0.0151,0.0033,0.0242,0.0091,2.7383,2.725,0.8402,0.9354,0.9494,1.4699,1.5781,1.4783,-89.23,10.4
YOZGIG,82.75,3.27,174.97,1.7,9.06,8.95,30.3,21.9,16.3,667.78,-4.5227,-3.6767,2.29,2,-0.3,0.07,2.54,1.99,1.96,1.32,1.24,47.58,70.36,123.76,124.65,111.39,62.06,126.53,-0.3215,-0.2635,0.1041,0.441,0.2009,0.2218,-0.5046,0.0088,3.0756,3.3766,3.0578,1.2781,2.0834,3.1851,4.2707,1.9924,29.3494,5.4075,7.1664,25.2136,8.3531,7.084,5.8172,8.5044,0.7756,0.322,0.6613,0.3039,0.2434,0.5647,0,1.7415,1.3951,2.7715,0.8963,0.9586,1.0688,2.9942,1.2537,1.2381,1.1704,3.611,3.2556,3.7572,3.7759,10.14,2.0447,2.0284,2.0117,2.0447,2.0106,6.3381,12.618,4.2696,4.2195,4.1289,10.3651,2.148,2.1008,2.0697,2.0217,2.025,1.3016,1.4515,0.0706,0.0136,0.024,0.0077,1.1088,1.3033,1.1321,0.2408,0.0221,0.0527,0.0789,0.0196,2.7369,2.7165,0.9573,0.8459,0.9133,1.5627,1.4786,1.4773,-143.09,10.4
EFALON,62.56,0.95,154.41,2.53,6.77,10.92,25,18.1,13.3,685.11,-3.691,-1.9503,2.09,2.14,0,-0.08,2.59,2.32,1.96,1.32,1.24,57.3,70.43,116.03,132.32,111.55,52.27,125.06,-0.3508,-0.3067,0.0802,0.5741,0.0891,0.0872,-0.5272,-0.0303,2.6028,3.6861,3.0117,1.4414,1.9503,1.9739,4.1803,2.0073,29.2143,5.6655,7.2424,25.0921,8.483,8.4736,5.7866,8.5126,0.5616,0.1974,0.7517,0.6856,0.4346,0.373,0.1112,1.7897,1.2998,2.7779,0.9865,0.9586,1.0084,2.9956,1.2866,1.2565,1.1371,3.5569,3.6694,3.5438,3.4552,10.1738,2.0287,2.0343,2.0525,2.0344,2.0239,6.3467,12.55,4.2253,4.1743,4.1504,10.4538,2.067,2.1506,2.0776,2.0995,2.0592,1.438,1.5631,0.0701,0.0059,0.0159,0.0092,1.4652,1.4537,1.5414,0.0691,0.0129,0.0076,0.0228,0.0084,2.7398,2.7319,0.9558,0.8229,0.9532,1.5896,1.4713,1.4932,-128.27,10.5
IJOXEL,62.63,0.84,189.13,3.43,8.03,11.55,30.7,22.2,16.3,736.56,-3.6333,-1.8603,2.07,2.13,0.01,-0.08,2.62,2.32,1.97,1.32,1.24,56.82,71.42,120.31,128.16,111.5,51.75,125.63,-0.3554,-0.3113,0.0854,0.5617,0.1937,0.0719,-0.5285,-0.0388,2.6861,3.5881,2.9992,1.4122,3.0456,1.9854,4.1173,2.0116,29.2385,5.6135,7.2495,25.0998,7.2713,8.4704,5.7617,8.5241,0.5152,0.1578,0.7556,0.6863,0.4709,0.3695,0,1.7739,1.2686,2.7782,0.9556,0.9513,1.0504,2.9946,1.2713,1.252,1.1517,3.5614,3.4495,3.6067,3.619,10.1752,2.0499,2.0382,2.0324,2.0386,2.0162,6.3405,12.5751,4.247,4.1901,4.1381,10.4395,2.0949,2.1159,2.0709,2.1054,2.0523,1.1907,1.2749,0.2302,0.0168,0.0687,0.0211,1.4462,1.4378,1.5922,0.0694,0.0123,0.0058,0.0233,0.0079,2.7405,2.7344,0.9661,0.8091,0.9592,1.584,1.4553,1.5206,-118.72,10.5
