Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
NEBGIM,80.25,1.4,212.62,3.67,6.34,8.43,35.2,28.1,17.8,622.54,-5.5633,-2.0043,2.15,2.19,-0.13,-0.02,2.54,1.98,1.94,1.32,1.24,46.99,69.53,122.11,125.29,111.51,63.48,124.89,-0.3928,-0.2267,0.0906,0.4373,0.1883,0.2103,-0.5086,-0.0287,2.9616,3.5733,3.0038,1.2724,2.1163,3.0552,4.1957,1.9878,29.1599,5.443,7.1633,25.1933,8.3858,6.9846,5.7862,8.5343,0.7131,0.7128,0.3805,0.3264,0.3052,0,1.8054,1.3187,2.7643,0.9,0.9432,1.0535,2.9854,1.2783,1.2591,1.145,3.3183,3.7588,3.7313,10.1272,2.0465,2.0279,2.0153,2.0296,2.0079,6.315,12.6072,4.2711,4.2032,4.133,10.4702,2.1442,2.1367,2.0985,2.0672,2.0236,1.3531,1.4404,0.0736,0.0148,0.025,0.0079,1.0517,1.3374,1.0665,0.3419,0.0177,0.1072,0.0855,0.0356,2.7348,2.7047,0.9759,0.7859,0.9429,1.6206,1.454,1.4834,-138.78,17
SANZIR,79.08,2.6,188.05,2.42,7.51,10.89,31.3,22.8,15.8,743.55,-5.3583,-2.8325,2.14,2,-0.2,0.06,2.56,2.02,1.95,1.32,1.24,48.18,71.07,117.88,129.94,111.95,60.75,124.95,-0.3733,-0.2474,0.0939,0.4401,0.2015,0.2503,-0.5127,-0.0381,3.0099,3.5531,2.9531,1.2756,2.1038,3.2379,4.171,1.9931,29.2486,5.4588,7.2245,25.1962,8.3613,6.9458,5.765,8.5321,0.6703,0.7133,0.4395,0.3395,0.4806,0,1.8075,1.2946,2.7659,0.8996,0.9597,1.0508,2.9845,1.2566,1.2686,1.1542,3.3074,3.7542,3.7348,10.1365,2.0506,2.0303,2.0155,2.0323,2.0077,6.3064,12.6306,4.2741,4.2212,4.1353,10.4358,2.1163,2.1167,2.0738,2.0978,2.0312,1.3421,1.4291,0.0745,0.0152,0.0248,0.0084,1.0536,1.3102,1.1613,0.2564,0.0248,0.0519,0.0804,0.0235,2.7345,2.7074,0.9691,0.7766,0.9617,1.5789,1.4595,1.53,-158.42,17
SAVBEZ,79.85,4.11,176.31,2.11,6.95,9.12,28.2,21.5,15.5,665.56,-5.5465,-3.7641,2.23,1.89,-0.27,0.06,2.52,1.96,1.95,1.32,1.23,46.38,69.04,115.02,132.45,112.32,64.58,125.01,-0.3553,-0.2352,0.1032,0.41,0.1727,0.2194,-0.5107,-0.0135,2.985,3.4287,2.9728,1.2278,1.97,2.1672,4.2439,2.0214,29.1911,5.3926,7.2046,25.2381,8.4506,8.3252,5.7896,8.5016,0.812,0.6776,0.2568,0.2126,0.5525,0,1.8331,1.3214,2.7645,0.8917,0.9441,1.0681,2.9854,1.2559,1.2667,1.1499,3.2723,3.7782,3.7831,10.1225,2.0459,2.0245,2.01,2.0355,2.0066,6.3169,12.6149,4.2735,4.2185,4.1229,10.4231,2.1544,2.1237,2.1035,2.0319,2.0095,1.3301,1.4511,0.0716,0.0135,0.0244,0.008,1.3497,1.4444,1.5747,0.0828,0.0144,0.007,0.0287,0.0086,2.7334,2.7045,0.9814,0.7631,0.96,1.5972,1.4365,1.5122,-169.8,17
SUTKUP,61.41,1.17,175.75,2.35,10.65,8.38,26.4,25.2,21.8,844.18,-4.7471,-0.7576,2.1,2.18,-0.02,-0.07,2.6,2.31,1.96,1.32,1.24,57.2,71.06,117.82,130.62,111.54,51.74,125.41,-0.3675,-0.3108,0.0802,0.6289,0.0601,0.0563,-0.5202,-0.0503,2.2534,3.6849,2.9703,1.3745,1.9291,1.895,4.1989,1.9817,29.0589,5.622,7.2645,25.1023,8.5068,8.5147,5.7738,8.5436,0.4474,0.7201,0.7389,0.3706,0.288,0,1.8198,1.3271,2.7696,0.9427,0.9467,1.0692,2.9881,1.2833,1.2767,1.1296,3.6223,3.3418,3.6706,10.1703,2.0394,2.0283,2.0358,2.0377,2.0291,6.322,12.5114,4.2069,4.1891,4.1154,10.5338,2.0873,2.1287,2.0977,2.1457,2.0743,1.4679,1.5599,0.0684,0.0065,0.0168,0.0086,1.4575,1.4863,1.553,0.0666,0.0122,0.0107,0.02,0.0082,2.7378,2.7146,0.9018,0.8465,0.9663,1.5636,1.518,1.4963,-129.94,17
TAKQIG,61.2,1.01,151.31,1.93,6.61,10.73,23.5,13.8,8.5,663.09,-4.8549,-0.8916,2.09,2.21,-0.01,-0.07,2.59,2.32,1.97,1.32,1.24,57.3,70.27,115.08,133.31,111.54,52.43,124.97,-0.3806,-0.2937,0.0772,0.5919,0.0557,0.0457,-0.5216,-0.0478,2.2381,3.7536,2.9282,1.3857,1.932,1.9531,4.2213,1.9887,29.0326,5.6639,7.2778,25.0792,8.4911,8.4968,5.7834,8.5351,0.4797,0.6752,0.7462,0.3771,0.2662,0,1.8208,1.3227,2.7713,0.9807,0.9367,1.0309,2.9906,1.2966,1.2632,1.1312,3.6754,3.4321,3.5614,10.1594,2.0292,2.0298,2.0438,2.0304,2.0261,6.3193,12.5174,4.211,4.1726,4.1338,10.5436,2.0821,2.1726,2.0659,2.1157,2.1074,1.4573,1.5925,0.0692,0.006,0.0159,0.0085,1.4654,1.466,1.5739,0.0673,0.0146,0.0063,0.0192,0.0081,2.7376,2.7147,0.9477,0.8007,0.9664,1.5979,1.4774,1.5014,-125.05,17
VABZUT,79.92,3.69,176.91,2.25,8.56,10.72,27.9,20.3,13.7,742.76,-5.5984,-3.5901,2.19,1.9,-0.25,0.05,2.52,1.96,1.94,1.33,1.23,46.26,68.17,119.83,125.87,112.67,65.57,125.37,-0.3648,-0.2212,0.0996,0.3806,0.2259,0.2018,-0.5057,-0.0168,3.0339,3.5217,2.957,1.2193,2.0758,2.165,4.2313,2.0188,29.1824,5.4576,7.211,25.2458,8.3639,8.3045,5.7824,8.5153,0.8019,0.6877,0.2675,0.2705,0.5264,0,1.862,1.2925,2.7665,0.8875,0.9539,1.0537,2.9837,1.2548,1.2443,1.1769,3.3071,3.7892,3.7687,10.118,2.041,2.0266,2.011,2.0327,2.0068,6.3195,12.626,4.2804,4.2167,4.1289,10.4188,2.1656,2.123,2.0852,2.0261,2.0188,1.2866,1.4473,0.073,0.0142,0.0251,0.0081,1.3823,1.4455,1.5548,0.081,0.0131,0.0071,0.0279,0.0084,2.7344,2.7012,0.9701,0.7999,0.9311,1.6018,1.4403,1.5068,-175.09,17
YOKQIY,61.72,0.85,152.87,2.45,10.35,13.75,25,17.6,11.9,805.84,-4.7871,-1.0878,2.07,2.19,-0.01,-0.06,2.6,2.34,1.96,1.32,1.24,58.01,69.98,117.66,130.77,111.52,52.01,125.35,-0.3867,-0.2933,0.0781,0.5924,0.0641,0.0407,-0.5224,-0.0518,2.2498,3.7558,2.9232,1.3811,1.9593,1.9557,4.2227,1.9849,29.0593,5.6743,7.2835,25.0817,8.5014,8.5103,5.788,8.5389,0.4792,0.6782,0.7541,0.4096,0.2892,0,1.8209,1.3293,2.7722,0.9514,0.9412,1.0556,2.9897,1.2885,1.2615,1.1403,3.5238,3.524,3.621,10.1606,2.0429,2.0324,2.0338,2.0347,2.0168,6.324,12.52,4.2334,4.17,4.1166,10.5423,2.1036,2.1341,2.0778,2.1422,2.0846,1.4531,1.5805,0.0695,0.0042,0.0181,0.0082,1.4516,1.472,1.5867,0.0669,0.0099,0.0063,0.0232,0.0082,2.7385,2.716,0.957,0.7965,0.9625,1.5912,1.4774,1.5105,-112.03,17
YOVBOD,86.25,5.75,189.9,1.7,12.19,9.79,33.3,23.7,16,814.42,-4.6982,-2.0535,2.12,1.99,-0.09,-0.06,2.63,2.22,2,1.32,1.24,54.09,73.37,118.14,130.28,111.33,52.54,125.57,-0.4314,-0.3041,0.0878,0.5657,0.1022,0.0617,-0.5203,-0.0474,2.4861,3.7014,2.884,1.3142,3.0169,1.992,4.2398,1.9889,29.0704,5.6049,7.3028,25.1089,7.0314,8.4806,5.7904,8.5433,0.4475,0.6284,0.7269,0.3056,0.4667,0,1.83,1.3459,2.7661,0.9583,0.9311,1.0658,2.9912,1.2975,1.2506,1.135,3.2816,3.7299,3.6817,10.1583,2.0488,2.0367,2.0196,2.0389,2.0142,6.3063,12.5681,4.2442,4.1734,4.1505,10.5567,2.1623,2.136,2.0996,2.1004,2.0584,1.1833,1.1993,0.2837,0.042,0.0802,0.03,1.4835,1.3967,1.6362,0.072,0.0178,0.0036,0.0219,0.0082,2.7384,2.7137,0.9763,0.7782,0.9591,1.6266,1.451,1.4978,-132.62,17
ZOZLOR,80.39,3.25,173.22,3.68,7.7,7.49,32.3,26.8,18.5,665.29,-4.5384,-0.8671,1.98,2.24,-0.04,-0.17,2.6,2.31,1.97,1.31,1.24,56.94,70.68,115.89,132.73,111.24,52.38,125.68,-0.4075,-0.2972,0.0864,0.5756,-0.05,0.1932,-0.5192,-0.0538,2.463,3.6613,2.9063,1.3276,1.8079,2.0884,4.2126,1.9868,29.054,5.5932,7.2906,25.1426,8.6159,8.3448,5.7812,8.5427,0.4558,0.6646,0.6857,0.6011,0.2107,0,1.8162,1.3261,2.7728,0.9192,0.9722,1.0573,2.989,1.2408,1.2632,1.1796,3.3529,3.5904,3.7322,10.1696,2.0605,2.0333,2.019,2.0432,2.0136,6.3237,12.5469,4.2353,4.195,4.1166,10.5367,2.1234,2.08,2.1049,2.1632,2.0652,1.6369,1.4028,0.0645,0.0118,0.0231,0.0078,1.2928,1.4663,1.6157,0.0734,0.0114,0.0017,0.0282,0.0082,2.7374,2.7148,0.9472,0.8177,0.95,1.5398,1.4947,1.5467,-152.69,17
BACSEH,94.73,1.86,187.07,1.85,10.2,10.53,31.2,22.4,14,724.54,-5.4796,-2.0407,2.2,2.02,-0.12,-0.04,2.55,1.99,2,1.31,1.25,47.83,71.69,122.77,126.24,110.97,60.48,126.65,-0.355,-0.2626,0.0965,0.4807,0.1411,0.1668,-0.4967,0.0066,2.7153,3.5875,2.9882,1.2791,2.0778,2.0346,4.2445,1.9793,29.0657,5.4749,7.2261,25.1728,8.4023,8.4135,5.8003,8.5207,0.6788,0.6235,0.463,0.2493,0.3935,0,1.7265,1.4018,2.7625,0.8783,0.9795,1.0633,2.9916,1.2798,1.1892,1.2086,3.1675,3.782,3.819,10.1341,2.0415,2.0268,2.0072,2.0499,2.0086,6.3099,12.5816,4.2566,4.1798,4.1451,10.4632,2.1487,2.1206,2.0592,2.0671,2.0675,1.4103,1.4337,0.0696,0.0148,0.0219,0.0084,1.3976,1.4106,1.6101,0.0746,0.0171,0.0026,0.0234,0.0082,2.733,2.6984,0.9556,0.906,0.8368,1.5592,1.5051,1.4677,-108.19,17.1
CEXGUH,61.61,0.82,175.41,3.19,9.86,8.49,28.7,26.9,21.1,755.04,-4.8404,-0.8849,2.2,2.07,-0.06,-0.01,2.6,2.34,1.96,1.31,1.24,57.82,70.22,115.79,132.56,111.59,51.96,125.17,-0.3876,-0.2935,0.0841,0.5963,0.0874,0.0746,-0.5222,-0.0554,2.2634,3.6517,2.9164,1.3859,1.9289,1.9868,4.1811,1.9647,29.0927,5.5983,7.3005,25.0789,8.4982,8.4937,5.7655,8.5488,0.5117,0.6831,0.7243,0.2793,0.4061,0.1025,1.7632,1.3361,2.7711,0.9262,0.9371,1.0859,2.9888,1.2018,1.2488,1.2339,3.1463,3.6872,3.8327,10.1611,2.0581,2.0274,2.0104,2.053,2.0122,6.3239,12.5164,4.2275,4.1619,4.127,10.547,2.1571,2.0848,2.0928,2.1167,2.0957,1.4361,1.4787,0.0676,0.0154,0.0161,0.0093,1.4915,1.5411,1.4616,0.07,0.0063,0.0181,0.0175,0.0087,2.7381,2.7161,0.9662,0.7732,0.9767,1.5113,1.46,1.6106,-114.87,17.1
COGPAQ,89.96,-0.51,249.35,5.6,9.75,6.37,45.5,44.3,30.8,850.87,-5.3518,-1.857,2.06,2.15,-0.03,-0.13,2.58,1.98,1.96,1.32,1.24,46.82,71.85,119.86,129.01,110.99,61.32,127.19,-0.4004,-0.253,0.1099,0.43,0.1859,0.1772,-0.5084,-0.0036,3.2433,3.5866,2.9494,1.2538,3.1092,2.9028,4.2171,1.9774,29.226,5.5027,7.1152,25.1829,7.1504,7.276,5.8409,8.5234,0.6672,0.6159,0.4072,0.4895,0.3996,0,1.7225,1.3584,2.7642,0.8949,0.951,1.0681,2.9837,1.2548,1.1591,1.2517,3.2382,3.7731,3.7884,10.1476,2.0613,2.0225,2.0135,2.0389,2.0114,6.3087,12.6606,4.262,4.2232,4.1754,10.4309,2.1341,2.1579,2.1188,2.025,1.9951,1.1802,1.3088,0.2176,0.0272,0.0638,0.02,1.1855,1.2028,1.2145,0.2116,0.0347,0.0229,0.0651,0.0202,2.7343,2.7075,0.963,0.9579,0.7865,1.5723,1.5132,1.456,-123.03,17.1
DIWMEE,79.95,3.56,176.97,1.99,7.18,13.69,28.3,20.2,13.3,769.99,-5.6322,-3.7033,2.16,1.92,-0.22,0.04,2.52,1.97,1.94,1.33,1.23,46.61,68.32,117.68,127.39,112.56,65.08,125.16,-0.379,-0.2206,0.0982,0.4019,0.2103,0.2106,-0.5047,-0.0171,3.0332,3.475,2.9461,1.2397,2.1038,2.1192,4.203,2.022,29.1886,5.424,7.2386,25.2305,8.3463,8.3161,5.7648,8.5139,0.8064,0.6939,0.2809,0.2988,0.4882,0,1.8557,1.279,2.7658,0.9143,0.9556,1.0239,2.9842,1.2559,1.2456,1.1751,3.3739,3.7861,3.6865,10.1191,2.0347,2.0323,2.0154,2.0266,2.0101,6.3154,12.6273,4.2728,4.2145,4.14,10.4358,2.1671,2.1294,2.0852,2.0278,2.0263,1.3009,1.4384,0.0724,0.0152,0.0242,0.008,1.3669,1.4415,1.5611,0.0801,0.0133,0.0066,0.0281,0.0085,2.7344,2.7005,0.9697,0.7981,0.9327,1.6022,1.4413,1.506,-173.4,17.1
DUYYUS,79.46,4.09,178.7,3.2,6.97,9.53,30.2,25,19.1,699.88,-5.8079,-3.7441,2.12,1.89,-0.2,0.04,2.52,1.96,1.94,1.33,1.23,45.74,66.76,121.42,123.44,112.94,67.49,125.38,-0.3837,-0.1998,0.1099,0.362,0.1935,0.2401,-0.5015,-0.0053,3.1294,3.4704,2.9659,1.2119,2.0481,2.1373,4.155,2.0351,29.2442,5.4269,7.2243,25.25,8.3945,8.3108,5.7507,8.5047,0.8607,0.7085,0.2139,0.3334,0.5014,0,1.8588,1.2327,2.7668,0.858,0.957,1.0671,2.9826,1.2226,1.227,1.2148,3.2488,3.7992,3.8377,10.1098,2.0397,2.0191,2.006,2.0394,2.0055,6.3181,12.6515,4.2819,4.221,4.1485,10.4136,2.1551,2.0998,2.0852,2.0438,2.0297,1.3247,1.4316,0.074,0.0144,0.0258,0.0082,1.3238,1.4315,1.5922,0.0843,0.0171,0.0079,0.0267,0.0085,2.7354,2.699,0.9533,0.8145,0.9312,1.549,1.436,1.5526,-170.18,17.1
FEKMAL,62.27,0.75,154.04,2.46,9.52,10.94,24.4,18.2,14.8,834.12,-4.8612,-1.0324,2.07,2.17,-0.02,-0.05,2.59,2.34,1.97,1.32,1.24,58.07,69.79,116.24,132.07,111.53,52.14,125.22,-0.3922,-0.2936,0.0782,0.5985,0.0792,0.0594,-0.5234,-0.0508,2.2872,3.7374,2.9261,1.3894,1.954,1.9341,4.2248,1.9872,29.0936,5.6548,7.2691,25.0812,8.4929,8.5148,5.7889,8.5354,0.4893,0.6793,0.7381,0.4163,0.3108,0,1.8205,1.3243,2.7718,1.0165,0.9482,0.9845,2.9912,1.301,1.2594,1.1291,3.7451,3.5365,3.3811,10.162,2.0193,2.0312,2.0557,2.0288,2.0269,6.3175,12.529,4.2027,4.1704,4.1559,10.5455,2.0913,2.1688,2.0859,2.0992,2.1004,1.4478,1.5825,0.069,0.0067,0.0142,0.0093,1.4811,1.4579,1.5541,0.0668,0.0142,0.0073,0.0199,0.0082,2.7381,2.7161,0.9569,0.7959,0.9632,1.6147,1.4781,1.4861,-113.82,17.1
FOTYUI10,61.95,1.08,152.62,1.65,4.24,13.4,23.6,12.1,6.6,657.83,-4.9147,-1.1771,2.19,2.09,-0.1,0.01,2.59,2.32,1.97,1.32,1.24,57.27,70.26,113.76,134.44,111.59,52.47,124.83,-0.3816,-0.2921,0.0777,0.5978,0.0642,0.0747,-0.5207,-0.0448,2.2784,3.7523,2.9287,1.3925,1.9495,1.9477,4.2167,1.9876,29.0745,5.6586,7.2771,25.0727,8.4886,8.4798,5.7802,8.5337,0.497,0.6729,0.7396,0.2952,0.3979,0,1.8128,1.3254,2.771,0.9578,0.9464,1.0434,2.9903,1.2793,1.258,1.1535,3.5205,3.5644,3.5802,10.1576,2.0389,2.0343,2.0346,2.0339,2.0158,6.315,12.5185,4.238,4.1657,4.1148,10.5478,2.1054,2.132,2.0814,2.1439,2.085,1.445,1.4587,0.0666,0.0107,0.0239,0.0083,1.4417,1.5819,1.4572,0.0685,0.0036,0.016,0.0166,0.0084,2.737,2.7136,0.9662,0.7882,0.9591,1.5767,1.4722,1.5257,-129.4,17.1
GAMRIX,80.62,7.65,185.81,3.28,10.01,10.71,38.6,29.6,19,767.41,-5.4682,-2.0533,2.4,2.03,-0.31,0.07,2.56,1.99,1.98,1.32,1.24,46.96,70.34,116.97,131.19,111.32,62.7,125.23,-0.3717,-0.2359,0.1051,0.4135,0.1291,0.0688,-0.4983,-0.0472,3.0238,3.328,3.0196,1.2722,2.9207,3.1599,4.2736,1.9318,29.245,5.3323,7.1893,25.2063,7.3486,7.265,5.8108,8.5533,0.7688,0.6709,0.3275,0.2262,0.4778,0,1.6812,1.426,2.7665,0.8774,0.9626,1.0665,2.9857,1.2348,1.2555,1.1801,3.234,3.7711,3.8138,10.1295,2.0385,2.0251,2.0087,2.0471,2.01,6.3178,12.6133,4.2692,4.2155,4.1286,10.4402,2.1594,2.1199,2.069,2.0381,2.0539,1.1391,1.1971,0.2139,0.0635,0.0353,0.0436,1.1808,1.2563,1.3392,0.1593,0.034,0.0195,0.0334,0.0351,2.733,2.7,0.9757,0.7563,0.968,1.547,1.4654,1.5657,-145.84,17.1
GUHCAQ,101.99,-0.08,196.12,2.44,12.93,11.23,36.4,24.5,13.2,758.4,-5.1172,-1.7996,2.26,1.97,-0.13,-0.04,2.57,1.96,2.06,1.32,1.24,47.13,73.34,124.63,124.76,110.3,59.53,126.73,-0.393,-0.2853,0.0985,0.4777,0.1409,-0.0894,-0.5141,-0.0514,2.9742,3.3895,2.921,1.2711,2.0594,2.8713,4.3184,1.9564,29.19,5.3819,7.2425,25.1808,8.3981,7.442,5.822,8.5431,0.6451,0.5225,0.4607,0.2082,0.6612,0,1.7361,1.4504,2.7592,0.9437,0.9514,1.044,2.9999,1.2315,1.238,1.2034,3.4153,3.6562,3.6918,10.1471,2.0246,2.0325,2.0188,2.0448,2.0265,6.311,12.5952,4.1931,4.2338,4.1684,10.4864,2.0044,2.1212,2.1272,2.1007,2.1329,1.3959,1.4956,0.0691,0.0107,0.0225,0.0082,1.1994,1.2832,1.3651,0.1448,0.0406,0.0358,0.0179,0.0261,2.7386,2.7117,0.8456,0.9769,0.8891,1.4818,1.6084,1.4857,-70.38,17.1
HOJYIR,87.57,19.18,192.08,2.06,8.51,6.9,34.8,26,17.5,691.02,-5.7282,-2.9435,2.15,2.03,-0.28,-0.07,2.57,2.03,1.96,1.31,1.25,47.77,69.88,124.81,123.63,111.39,62.35,125.61,-0.3736,-0.2242,0.1122,0.4427,0.1984,0.1845,-0.4875,-0.0456,3.0657,3.6104,3.0701,1.2817,2.0772,3.0768,4.167,1.9221,29.2566,5.5062,7.1565,25.1778,8.3646,6.8799,5.7692,8.5683,0.7012,0.7126,0.4306,0.2808,0.4799,0,1.6001,1.4224,2.7688,0.8891,0.9581,1.0529,2.9839,1.2796,1.2428,1.1399,3.2482,3.7703,3.771,10.1245,2.0448,2.0281,2.01,2.0342,2.0074,6.3155,12.6225,4.2708,4.217,4.1347,10.4353,2.14,2.1018,2.0718,2.0746,2.0471,1.4291,1.3542,0.0728,0.0192,0.0077,0.0214,1.1147,1.2049,1.159,0.2999,0.0447,0.0684,0.0617,0.0679,2.7317,2.6958,0.9817,0.7598,0.9544,1.5916,1.4844,1.5027,-151.47,17.1
HOKZUC,94.94,0.03,207.11,2.49,8.63,7.8,37.6,26.9,15.9,650.52,-4.5492,-0.8523,2.01,2.14,-0.06,-0.01,2.65,2.26,1.99,1.31,1.24,54.69,73.68,121.61,126.84,111.54,51.64,125.94,-0.4259,-0.3099,0.0884,0.5611,0.0176,0.1042,-0.5203,-0.0598,2.4427,3.5755,2.9076,1.327,1.943,3.1028,4.2409,1.9655,29.0788,5.544,7.2467,25.1112,8.5458,7.195,5.8042,8.5469,0.4005,0.6369,0.7378,0.4552,0.3232,0,1.7895,1.3425,2.7682,0.9353,0.9527,1.0706,2.9894,1.2482,1.2529,1.179,3.3188,3.6538,3.7183,10.1641,2.0566,2.0352,2.0192,2.0416,2.0114,6.3022,12.5811,4.229,4.1794,4.1728,10.5423,2.1055,2.1058,2.0908,2.1613,2.0789,1.5379,1.4129,0.0703,0.018,0.0181,0.0089,1.1411,1.3519,1.1902,0.2344,0.032,0.0454,0.0509,0.0586,2.7378,2.7151,0.9587,0.7919,0.9645,1.5567,1.476,1.5527,-112.64,17.1
HOTFIG,74.54,6.78,222.37,3.66,10.21,7.55,31.5,27.1,22.4,838.31,-5.7592,-2.4242,2.27,2.02,-0.31,0.04,2.51,1.93,2.05,1.3,1.26,45.53,67.98,93.17,155.77,111.05,66.49,120.86,-0.4214,-0.2143,0.1147,0.4216,0.1613,0.2012,-0.4954,0.0157,2.8672,3.4671,2.7213,1.2511,2.0003,2.0905,4.0371,1.8038,29.0636,5.4069,7.2562,25.1967,8.4216,8.3454,5.7244,8.5538,0.8478,0.43,0.2498,0.1822,0.3553,0.2237,1.4602,1.3508,2.7627,0.8558,0.9511,1.0843,2.9929,1.2088,1.2255,1.2232,3.2078,3.7799,3.8476,10.1122,2.0371,2.0167,2.0064,2.0457,2.0063,6.3066,12.588,4.2423,4.213,4.1326,10.5264,2.1396,2.1236,2.1041,2.0807,2.0785,1.4147,1.4255,0.0708,0.0225,0.0152,0.0108,1.3958,1.4113,1.5858,0.0756,0.0244,0.0061,0.0157,0.0102,2.7256,2.692,0.9432,0.7729,0.9758,1.4657,1.4794,1.5919,-143.64,17.1
LELRAX,61.98,0.94,153.35,2.03,4.08,16.09,23.7,13.9,8.3,724.67,-4.8324,-0.8837,2.08,2.18,0.01,-0.08,2.59,2.33,1.96,1.32,1.24,57.67,70.03,116.07,132.24,111.57,52.3,125.16,-0.3851,-0.2923,0.0776,0.5916,0.0577,0.0458,-0.5221,-0.0498,2.2615,3.7451,2.932,1.3855,1.9531,1.9432,4.2262,1.988,29.0604,5.6619,7.2722,25.0818,8.5026,8.5123,5.7877,8.5357,0.4867,0.6792,0.7428,0.3935,0.2898,0,1.8223,1.3245,2.7719,0.9598,0.9406,1.047,2.9901,1.2854,1.2579,1.1473,3.5061,3.5716,3.5912,10.1599,2.041,2.0346,2.0343,2.034,2.016,6.3178,12.5246,4.2393,4.1667,4.1186,10.5424,2.1118,2.1341,2.0776,2.1342,2.0846,1.4512,1.5891,0.0685,0.0039,0.0173,0.0083,1.4604,1.4609,1.5859,0.0666,0.0102,0.0059,0.0235,0.0083,2.7379,2.7152,0.968,0.7858,0.9614,1.5898,1.4689,1.5193,-122.38,17.1
MINWUE,62.03,1.1,153.48,2.27,5.92,18.66,23.7,14,8.3,807.91,-4.8696,-1.9409,2.17,2.08,-0.11,0.02,2.59,2.3,1.96,1.32,1.24,56.85,70.6,115.11,133.1,111.58,52.55,124.98,-0.3817,-0.2934,0.0781,0.5893,0.0554,0.0668,-0.5214,-0.0473,2.288,3.7365,2.93,1.385,1.9537,1.9639,4.2215,1.9886,29.0657,5.6479,7.2716,25.0806,8.5044,8.4924,5.7846,8.5346,0.4917,0.6772,0.7365,0.2894,0.3902,0,1.8182,1.3244,2.7707,0.9515,0.9432,1.0531,2.9902,1.2749,1.2584,1.1568,3.4884,3.5612,3.6221,10.1584,2.043,2.0336,2.0317,2.0351,2.0151,6.3141,12.5252,4.2406,4.1687,4.1158,10.5421,2.1035,2.1254,2.078,2.1485,2.0866,1.4449,1.4632,0.067,0.0102,0.0238,0.0083,1.4441,1.588,1.4618,0.069,0.0033,0.0148,0.0179,0.0083,2.7374,2.7144,0.9667,0.7864,0.9613,1.5748,1.4701,1.5315,-147.65,17.1
