Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),dCu-L1 (A),dCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
MIZHEK,90.85,0.98,198.26,4.59,8.44,10.59,41,38.4,29.2,838.19,-5.1581,-2.2851,2.04,1.89,-0.11,0.07,2.56,2,3.03,2.89,2.51,1.36,1.22,88.64,73.21,89.58,97.48,108.94,129.46,108.75,124.16,-0.4635,0.1561,-0.1416,0.2427,0.205,0.2314,-0.4542,0.0709,2.0996,2.9721,3.6787,2.0516,2.0636,4.1322,2.0848,28.9315,7.1312,5.68,25.3756,8.3787,8.435,5.7918,8.3989,0.484,0,0.5224,0.5183,0.3971,0.3126,0.4809,0,1.9113,1.1043,2.7814,2.7733,0.8802,1.0046,0.8885,2.9978,3.5928,1.1689,1.16,1.2638,3.6326,3.5728,3.8088,3.6006,10.1278,2.031,2.0407,2.0179,2.026,2.0122,6.3304,12.5682,4.2143,4.143,4.211,10.5645,2.0681,2.1401,2.1068,2.1416,2.1079,1.4659,1.4609,1.4439,0.0784,0.0179,0.0225,0.009,1.391,1.5905,1.3892,0.0874,0.0092,0.0208,0.024,0.0112,2.7405,2.677,0.9077,0.9473,0.822,3.3925,4.464,1.4777,1.5417,1.4445,-443.9,31.8
SOGDEY,91.79,2.73,186.41,1.79,5.76,8.55,32.2,20.9,12.9,591.61,-5.3146,-1.7951,2.04,2.09,-0.21,0.2,2.55,2.04,3.01,3.03,2.47,1.36,1.22,87.24,73.76,90.33,96.26,110.55,125.36,108.93,125.05,-0.4084,0.1536,-0.1655,0.2678,0.2218,0.1972,-0.4508,0.0569,1.8624,2.9714,3.6679,2.1675,2.1486,4.1467,2.0968,28.9179,7.1782,5.6668,25.3317,8.3192,8.3298,5.768,8.4072,0.4828,0,0.5769,0.4842,0.3943,0.3445,0.3189,0,1.9385,1.1035,2.7807,2.7834,0.8996,1.0484,0.8353,2.9981,3.5971,1.1483,1.2042,1.2446,3.6412,3.5482,3.8662,3.5241,10.1362,2.0245,2.0496,2.0098,2.0298,2.0225,6.308,12.54,4.2141,4.1415,4.1844,10.5602,2.0812,2.1189,2.1129,2.1326,2.1146,1.4667,1.4541,1.438,0.079,0.0215,0.0205,0.0098,1.3871,1.5373,1.4601,0.0746,0.01,0.0163,0.0223,0.0088,2.7414,2.6747,0.9364,0.9553,0.783,3.3966,4.4743,1.4817,1.5971,1.3955,-446.7,31.8
WIPGUX,89.42,-3.54,201.4,5.08,8.61,10.4,35.8,30.9,23.6,842.85,-5.3866,-2.3811,2.04,2.06,0.14,-0.19,2.56,2.04,3.07,2.96,2.49,1.36,1.23,87.76,75.1,89.97,98.19,108.17,126.51,108.76,124.78,-0.3992,0.152,-0.1542,0.2581,0.1942,0.2127,-0.448,0.0582,1.8425,3.0034,3.6807,2.1408,2.0664,4.0343,2.0465,28.9012,7.1886,5.6615,25.3338,8.3991,8.3762,5.7131,8.4415,0.4921,0,0.5724,0.4891,0.3622,0.3862,0.2775,0,1.8264,1.113,2.7826,2.7801,0.9005,1.0763,0.8032,3.0001,3.5982,1.1307,1.2331,1.2344,3.6474,3.6359,3.8499,3.4618,10.1312,2.0221,2.0368,2.009,2.0341,2.0292,6.314,12.5402,4.2159,4.1411,4.1832,10.5448,2.1028,2.0901,2.0861,2.1543,2.1115,1.4571,1.5079,1.4316,0.0765,0.0179,0.021,0.0099,1.4275,1.5742,1.3736,0.0781,0.0104,0.0263,0.0127,0.0159,2.7391,2.671,0.8798,0.9632,0.828,3.3918,4.4776,1.4458,1.6181,1.4137,-441.31,31.8
ZATYEY,79.05,2.48,191.97,3.54,9.49,7.6,40.6,33.4,21.9,780.04,-5.1737,-2.6587,2.03,2.07,-0.13,0.03,2.58,2.05,3.16,2.64,2.47,1.36,1.23,85.5,77.45,89.46,102.78,98.42,131.68,108.29,123.33,-0.3434,0.162,-0.168,0.315,0.1734,0.2244,-0.442,0.0955,2.0971,2.9415,3.7074,2.0149,2.978,4.0939,2.0438,28.9647,7.1158,5.6455,25.3138,8.4,7.233,5.7766,8.3923,0.5018,0,0.5674,0.4583,0.4036,0.3169,0.4637,0,1.866,1.0916,2.7808,2.7831,1.1103,0.8746,0.7982,2.9987,3.5878,1.2365,1.1388,1.2124,3.627,3.8399,3.6188,3.4525,10.1316,2.0173,2.0105,2.0423,2.023,2.0384,6.3274,12.4793,4.063,4.2194,4.1969,10.5365,2.0883,2.066,2.1096,2.1023,2.1703,1.4921,1.4884,1.4235,0.0784,0.0213,0.0112,0.0207,1.1165,1.2908,1.1639,0.2352,0.0579,0.0633,0.02,0.0694,2.7344,2.6685,0.95,0.8649,0.8537,3.3818,4.4496,1.608,1.4378,1.4039,-452.95,31.8
AJONUL,82.89,0.41,201.17,3.38,7.99,7.42,46.2,39.1,24,717.38,-5.3855,-1.9922,2.29,1.83,0.08,-0.05,2.65,3.18,3.28,1.84,2.34,1.3,1.26,60.91,81.89,87.68,75.05,59.68,168.22,111.79,128.71,-0.3403,0.1765,-0.2369,0.4703,0.1946,0.0858,-0.424,0.1124,2.8673,3.0922,3.7661,2.082,2.9322,3.9624,2.0794,29.0088,7.1818,5.6871,25.1929,8.3454,6.9987,5.6728,8.4529,0.5076,0,0.6586,0,0.4075,0.2083,0.6606,0.6215,1.3417,1.527,2.7786,2.8031,0.8968,1.0183,0.888,2.9953,3.5824,1.2451,1.1494,1.1879,3.5952,3.6931,3.7938,3.2923,10.1393,2.0206,2.0368,2.0204,2.026,2.0354,6.3084,12.578,4.2325,4.2115,4.134,10.4534,2.0333,2.0283,2.1136,2.1609,2.1173,1.3906,1.5215,1.4619,0.0715,0.0141,0.0141,0.0118,1.2326,1.0665,1.2059,0.316,0.0542,0.0845,0.0432,0.0795,2.7181,2.6695,0.9785,0.8541,0.8368,3.3113,4.4884,1.5849,1.4491,1.4544,-382.49,31.9
DIQPOL,85.23,1.01,203.4,3.33,8.16,9.16,36.2,28.7,20,710.01,-5.4612,-2.9239,2.15,1.9,-0.03,-0.03,2.52,1.97,3.02,2.96,2.51,1.36,1.22,89.44,73.76,88.22,97.65,110.72,126.08,109.04,124.62,-0.4053,0.1476,-0.1373,0.2991,0.16,0.2671,-0.4532,0.0688,2.353,2.9737,3.667,2.0579,3.264,4.2134,2.1022,29.0181,7.1461,5.6761,25.3,8.4353,7.0241,5.8201,8.3976,0.539,0,0.516,0.4858,0.3773,0.2951,0.7443,0,1.9536,1.1235,2.7815,2.7712,0.8932,1.0133,0.8647,2.997,3.6004,1.2032,1.1731,1.2241,3.627,3.4834,3.8424,3.6054,10.1269,2.0261,2.044,2.0128,2.0292,2.0148,6.329,12.5999,4.2344,4.1234,4.2421,10.4762,2.0858,2.0577,2.1063,2.1094,2.1168,1.3925,1.5799,1.4342,0.0727,0.0162,0.0209,0.0085,1.044,1.1331,1.3362,0.261,0.0504,0.0298,0.0794,0.0208,2.7404,2.6752,0.9697,0.9416,0.764,3.3937,4.465,1.5183,1.5573,1.3893,-437.48,31.9
JUWZUW,83.08,0.52,186.31,2.44,8.44,9.03,31.6,26,18.7,723.59,-5.3215,-2.1151,2.07,2.04,-0.08,0.01,2.55,2.03,3.06,2.97,2.48,1.37,1.22,86.65,74.96,89.18,98.77,108.61,125.87,108.75,124.72,-0.3818,0.1506,-0.1626,0.2963,0.1606,0.1713,-0.445,0.0631,2.0661,2.9717,3.6821,2.1119,3.2689,4.1169,2.1018,28.9656,7.1792,5.6771,25.3234,8.3906,6.9598,5.762,8.402,0.5068,0,0.5503,0.4934,0.4198,0.3375,0.5091,0,1.9782,1.0716,2.7808,2.7826,1.0064,0.9738,0.8024,3.0001,3.5984,1.1413,1.263,1.1941,3.6274,3.6323,3.6919,3.5981,10.1378,2.027,2.0434,2.0267,2.0204,2.0203,6.3349,12.545,4.1532,4.1943,4.1974,10.5017,2.0964,2.1008,2.1555,2.0645,2.0844,1.3951,1.5474,1.4679,0.0738,0.0101,0.0276,0.0091,1.0219,1.1146,1.3102,0.3452,0.0795,0.0472,0.0851,0.0259,2.7408,2.6717,0.9578,0.9755,0.7384,3.3949,4.4696,1.4899,1.628,1.3518,-444.44,31.9
KAKYED,83.14,1.85,195.45,3.04,7.7,10,44,34.9,22.7,728.56,-5.1644,-1.6877,2.05,2.24,-0.14,0.06,2.56,2.12,3.11,2.87,2.43,1.36,1.23,84.48,77.01,91.58,99.26,102.91,128.87,108.77,124.81,-0.4611,0.1621,-0.1888,0.345,0.176,0.2452,-0.4521,0.0621,1.7937,2.8772,3.6506,2.1049,2.9436,4.0969,2.0688,28.9104,7.2337,5.6207,25.3009,8.3824,7.1515,5.7582,8.412,0.5059,0,0.5648,0.3641,0.4064,0.364,0.3347,0,1.9042,1.0986,2.779,2.7908,0.8918,1.0961,0.8029,2.9993,3.5886,1.212,1.18,1.1966,3.6016,3.5263,3.8132,3.5558,10.1411,2.0246,2.0562,2.0182,2.0246,2.0175,6.3258,12.4959,4.1794,4.1318,4.1847,10.6392,2.088,2.1911,2.1177,2.1099,2.1324,1.3999,1.5777,1.4298,0.0776,0.0166,0.0243,0.0091,1.1112,1.1007,1.3375,0.2815,0.0757,0.0433,0.0495,0.07,2.7399,2.6739,0.9728,0.9417,0.7595,3.3918,4.4735,1.5605,1.5493,1.3636,-445.34,31.9
KUJKOS,75.87,1.8,194.87,2.95,10.2,7.9,36.1,30.8,22.7,796.49,-5.0989,-1.6095,2.08,2.17,-0.14,0.14,2.55,3.09,3.36,1.96,2.33,1.31,1.26,64.77,86.82,90.79,80.23,63.65,161.24,111.05,126.93,-0.4192,0.1643,-0.2464,0.4732,0.1214,0.0734,-0.4344,0.0796,1.7959,3.0141,3.7394,1.8094,3.0899,3.9112,1.9873,28.8392,7.2055,5.6429,25.199,8.5766,7.4203,5.6453,8.5336,0.5672,0,0.6669,0,0.4021,0.2471,0.3283,0.4784,1.3526,1.4429,2.7796,2.8119,0.8363,1.0347,0.941,2.9988,3.5909,1.1877,1.2135,1.1896,3.5869,3.7532,3.6772,3.3322,10.1566,2.0178,2.0326,2.0395,2.0364,2.0303,6.3238,12.5496,4.2002,4.1583,4.1911,10.5456,2.1055,2.1093,2.1433,2.1114,2.0761,1.4462,1.5712,1.441,0.0749,0.019,0.0132,0.0147,1.1707,1.2041,1.4016,0.1552,0.0205,0.0238,0.0225,0.0492,2.7242,2.672,0.9717,0.8261,0.8743,3.3349,4.5041,1.5849,1.4978,1.4215,-400.33,31.9
NOQFEF,86.28,-0.38,184.33,2.1,8.2,12.24,29.3,17.9,12,752.41,-5.4922,-3.2186,2.19,1.88,0.12,-0.13,2.47,2,3,2.92,2.62,1.35,1.24,91.09,72.23,84.73,94.06,105.67,119.95,108.96,124.26,-0.4243,0.1569,-0.0751,0.2984,0.1839,0.1898,-0.4274,0.1117,2.1345,2.9401,3.7562,2.1297,2.158,4.0594,2.0448,28.9186,7.2051,5.7124,25.2563,8.3332,8.3772,5.7124,8.4344,0.6593,0,0.538,0.4263,0.2586,0.2517,0.5532,0,1.6896,1.1697,2.7847,2.7335,0.9252,0.7586,1.0496,3.0038,3.5902,1.2888,1.142,1.1593,3.6252,3.5431,3.6937,3.7188,10.1062,2.0271,2.0272,2.0164,2.0155,2.0199,6.344,12.5664,4.2045,4.1467,4.2153,10.5136,2.0644,2.1088,2.1567,2.0575,2.1262,1.3813,1.5417,1.4531,0.0709,0.0183,0.0201,0.0087,1.4234,1.5546,1.4088,0.0844,0.0066,0.0158,0.0304,0.0099,2.7313,2.6634,0.9333,0.8083,0.9219,3.3755,4.4388,1.5149,1.4161,1.5079,-417.75,31.9
OHADOQ,91.14,1.29,187.69,4.9,7.83,11.58,39.1,34.8,23.7,803.85,-5.3483,-1.8922,2.12,1.96,-0.2,0.18,2.53,2.03,3,2.97,2.5,1.36,1.22,88.89,73.24,90.11,95.77,109.92,127.93,108.82,124.75,-0.4957,0.1567,-0.1455,0.2847,0.1955,0.2216,-0.4516,0.0631,1.9061,2.9501,3.6833,2.043,2.0968,4.1467,2.0949,28.8995,7.1794,5.6888,25.3483,8.402,8.3659,5.7792,8.4023,0.5119,0,0.5322,0.4861,0.4041,0.242,0.4227,0,1.9405,1.1035,2.7809,2.7733,0.8909,1.0187,0.8638,2.9992,3.593,1.1896,1.1754,1.228,3.6179,3.492,3.8442,3.6151,10.13,2.0278,2.0468,2.0134,2.0277,2.0143,6.325,12.5494,4.222,4.1215,4.2059,10.6211,2.0752,2.1899,2.1224,2.1155,2.118,1.4678,1.4529,1.4634,0.0762,0.0197,0.018,0.0102,1.432,1.5201,1.4225,0.0826,0.0064,0.016,0.0286,0.01,2.7415,2.6751,0.9606,0.9474,0.7671,3.3952,4.4694,1.5132,1.5639,1.3923,-444.42,31.9
TOTCUA,87.15,-0.52,187.6,2.45,7.05,9.04,30.5,22.4,16.6,705.35,-5.4745,-3.4003,2.02,1.95,0.2,-0.15,2.46,1.93,3.16,2.95,2.64,1.36,1.22,95.24,76.38,85.36,101.79,111.79,124.63,109.07,124.2,-0.4378,0.1376,-0.0735,0.2595,0.2193,0.1886,-0.4498,0.0737,2.3109,3.0701,3.7288,2.1603,2.1484,4.0769,2.054,28.91,7.1865,5.7025,25.3367,8.3469,8.3732,5.7387,8.4288,0.6042,0,0.4346,0.5353,0.38,0.3937,0.504,0,1.8612,1.0955,2.7873,2.7457,0.897,1.1182,0.7306,3.0048,3.6044,1.2629,1.1579,1.1837,3.6308,3.5391,3.8402,3.6025,10.1123,2.0155,2.0446,2.0108,2.0264,2.015,6.3279,12.6298,4.2569,4.1578,4.2151,10.4798,2.0857,2.0548,2.1269,2.107,2.1054,1.3439,1.5233,1.4784,0.0781,0.0135,0.0267,0.0086,1.3841,1.5818,1.4118,0.0803,0.0037,0.0168,0.027,0.0095,2.7399,2.6679,0.9731,0.9359,0.7588,3.3904,4.463,1.5788,1.5251,1.3592,-398.95,31.9
XURKUS,89.86,2.38,182.22,1.61,8.65,8.89,32.1,20.5,12.6,641.11,-5.3527,-1.8572,2.2,2.02,0.1,-0.15,2.53,2.03,2.99,2.98,2.48,1.36,1.22,88.59,73.36,90.23,95.34,110.18,127.24,108.93,124.8,-0.4124,0.1522,-0.1565,0.284,0.1975,0.2065,-0.453,0.0573,1.8283,2.9775,3.6717,2.1321,2.1786,4.1297,2.0875,28.921,7.1839,5.6737,25.3185,8.3233,8.3134,5.7709,8.4092,0.5233,0,0.5665,0.4975,0.382,0.224,0.3706,0,1.9309,1.106,2.7811,2.7795,0.9223,0.9765,0.8808,2.9981,3.5984,1.1353,1.1837,1.2794,3.6347,3.5649,3.8612,3.5048,10.1337,2.0245,2.044,2.0105,2.0305,2.0242,6.3138,12.5266,4.2182,4.1198,4.1885,10.5718,2.0965,2.1124,2.113,2.1404,2.1096,1.4261,1.5059,1.4435,0.0724,0.0195,0.0177,0.0085,1.4477,1.4826,1.4505,0.0773,0.0076,0.0154,0.0263,0.0088,2.741,2.6759,0.9154,0.9317,0.8288,3.3959,4.4746,1.4582,1.5675,1.4489,-445.04,31.9
YODFIJ,87.62,1.25,235.63,2.3,10.5,8.75,38.6,28.6,19.5,822.5,-5.2949,-3.7517,2.11,1.92,-0.05,-0.04,2.54,3.16,3.25,1.87,2.32,1.29,1.27,62.8,83.8,88.68,74.61,60.94,168.97,111.87,128.99,-0.4413,0.1707,-0.2397,0.5088,0.2098,0.157,-0.4598,0.084,2.4072,3.0432,3.6458,2.9717,2.1303,4.0175,2.0317,28.9274,7.1887,5.6086,25.1248,7.0652,8.4344,5.7412,8.4907,0.6006,0,0.604,0,0.3703,0.4466,0.5125,0.5568,1.3598,1.5262,2.7821,2.8091,0.9304,0.8182,1.0606,2.9996,3.5848,1.2732,1.1768,1.1348,3.5863,3.553,3.5993,3.5766,10.1553,2.0326,2.0447,2.028,2.0313,2.0187,6.3232,12.6241,4.2492,4.1701,4.2049,10.4935,2.0854,2.0193,2.1402,2.1472,2.1014,1.0559,1.0518,1.3431,0.3057,0.0332,0.0768,0.035,1.4357,1.5553,1.4282,0.0817,0.0068,0.0162,0.0293,0.0093,2.7236,2.699,0.946,0.8244,0.9286,3.3242,4.5047,1.5589,1.5238,1.422,-371.17,31.9
CAPURP,84.15,3.09,227.44,2.17,8.23,8.21,40,28,16.3,633.2,-5.2413,-2.591,1.88,2.07,0.05,-0.14,2.51,1.95,3.15,3.14,2.57,1.36,1.22,90.37,76.61,85.13,101.55,116.04,119.07,109.23,125.36,-0.4109,0.1371,-0.1028,0.2706,0.2662,0.1371,-0.4516,0.0622,2.5317,3.0158,3.8113,3.3251,2.1223,4.075,2.122,28.9808,7.1604,5.7306,25.3435,6.9944,8.3885,5.74,8.4091,0.5081,0,0.5356,0.5359,0.3864,0.7234,0.3663,0,1.966,1.0675,2.7853,2.7588,0.9338,1.0702,0.7549,3.0011,3.6105,1.1864,1.2512,1.1729,3.6351,3.5506,3.7857,3.6219,10.1211,2.0222,2.0428,2.018,2.0244,2.0138,6.324,12.6272,4.2124,4.1904,4.2244,10.4594,2.0625,2.1053,2.0893,2.1007,2.1015,1.052,1.219,1.217,0.2833,0.0493,0.0836,0.0218,1.4099,1.569,1.4499,0.074,0.0061,0.0127,0.0274,0.0088,2.7406,2.6757,0.9849,0.9608,0.73,3.3938,4.4715,1.5111,1.6218,1.3386,-402.8,32
DUJSIL,79.84,2.82,213.39,2.42,9.02,9.11,37.8,27.6,17.8,733.35,-5.3445,-3.0208,2.05,2.05,0,-0.1,2.55,2.03,3.13,3.02,2.49,1.37,1.22,86.62,76.76,88.64,101.46,109.33,123.44,108.86,124.77,-0.4151,0.1473,-0.1553,0.2746,0.1523,0.1629,-0.4443,0.0693,2.1353,2.9779,3.7965,3.1563,2.1205,4.0704,2.1244,28.993,7.1824,5.7235,25.3197,7.0164,8.4131,5.7305,8.3992,0.5045,0,0.5534,0.4929,0.42,0.4903,0.3669,0,1.9703,1.0523,2.7818,2.7799,0.9514,1.0404,0.7882,3.0029,3.6007,1.1656,1.2692,1.166,3.6402,3.5445,3.7501,3.6457,10.1296,2.0246,2.0442,2.0207,2.0243,2.0159,6.3318,12.5701,4.1735,4.1689,4.2278,10.5129,2.0731,2.1177,2.1538,2.0758,2.0925,1.1543,1.274,1.0839,0.3087,0.0458,0.0812,0.0433,1.4079,1.566,1.4418,0.0764,0.0103,0.0142,0.0242,0.0094,2.7409,2.6706,0.9808,0.9675,0.7224,3.3931,4.4651,1.4936,1.6381,1.3335,-437,32
GEQVAZ,63.84,0.63,168.89,2.05,7.31,10.26,27.7,23,16.7,697.73,-4.8837,-2.7254,2,2.13,0.06,-0.09,2.48,2.01,3.11,2.85,2.56,1.36,1.23,92.55,76.03,88.24,98.63,106.37,130.16,108.8,124.5,-0.4599,0.1454,-0.1146,0.2473,0.1271,0.0789,-0.4577,0.0593,1.8943,2.9414,3.7041,1.9741,1.9906,4.1912,2.0904,28.9458,7.2231,5.6919,25.3653,8.4761,8.4848,5.7844,8.4084,0.5529,0,0.5013,0.4622,0.3817,0.4325,0.311,0,1.9458,1.13,2.787,2.7664,0.886,1.1115,0.7689,3.0068,3.5987,1.2096,1.1882,1.2009,3.6282,3.5517,3.8524,3.5725,10.1304,2.0213,2.0486,2.0117,2.0293,2.0194,6.3395,12.5577,4.2321,4.1148,4.2109,10.5623,2.0958,2.1479,2.0778,2.1084,2.1324,1.4428,1.4492,1.5535,0.0735,0.0047,0.0187,0.0093,1.4242,1.5944,1.4595,0.069,0.0056,0.0104,0.0245,0.0087,2.7411,2.6765,0.9484,0.9527,0.7753,3.3933,4.4754,1.527,1.5696,1.3788,-418.98,32
LUPJIQ,82.16,1.68,193.72,1.77,9.57,6.44,30.2,21.6,12,596.35,-5.4839,-3.3673,2.18,1.91,-0.07,-0.02,2.49,1.95,3.09,2.86,2.58,1.36,1.22,92.87,75.06,86.95,99.65,109.02,128.78,109.02,123.87,-0.4445,0.1394,-0.1059,0.2669,0.2374,0.1926,-0.4554,0.0759,2.183,2.9898,3.701,3.0876,2.2159,4.2149,2.1055,28.9398,7.1848,5.6941,25.336,7.103,8.3111,5.8089,8.3905,0.5628,0,0.4921,0.513,0.3756,0.3199,0.492,0,1.9586,1.1261,2.7849,2.7607,0.8924,1.0785,0.7898,3.0017,3.6042,1.2318,1.1724,1.2,3.634,3.5097,3.8483,3.6058,10.1195,2.02,2.0457,2.0128,2.0268,2.0142,6.3298,12.6148,4.2515,4.1367,4.2266,10.4995,2.0707,2.0935,2.1134,2.1036,2.1184,1.0694,1.197,1.2392,0.2484,0.0394,0.0616,0.0288,1.3987,1.5081,1.4805,0.0836,0.0083,0.0148,0.029,0.0094,2.7402,2.6739,0.9643,0.9526,0.757,3.3906,4.4609,1.5279,1.5624,1.3705,-419.15,32
PEMXEL,76.35,2.38,167.51,2.33,9.08,6.8,32.6,23.5,15.3,701.12,-5.1041,-1.7777,1.97,2.38,-0.07,-0.04,2.51,3.19,3.28,1.99,2.35,1.3,1.26,63.51,84.95,89.61,74.96,63.21,167.27,111.49,127.98,-0.4472,0.1618,-0.2301,0.4866,0.1151,0.0988,-0.4422,0.0715,1.8059,3.0257,3.7638,1.9546,3.1499,4.1082,2.013,28.8516,7.1978,5.6919,25.1611,8.5106,7.3992,5.729,8.5215,0.644,0,0.6408,0,0.4023,0.4131,0.1605,0.4348,1.4975,1.4833,2.7814,2.8043,0.8921,0.8019,1.1103,3.0002,3.594,1.258,1.1766,1.1594,3.5696,3.4542,3.6332,3.6788,10.1563,2.0418,2.03,2.0208,2.0399,2.0238,6.3415,12.5362,4.2072,4.1114,4.2176,10.5693,2.0808,2.1668,2.1059,2.0891,2.1268,1.4402,1.6378,1.3909,0.0766,0.0231,0.0178,0.0109,1.2202,1.1964,1.3498,0.1423,0.0435,0.0276,0.0218,0.0255,2.7253,2.6811,0.9371,0.8093,0.9346,3.3418,4.507,1.5184,1.5053,1.4833,-366.95,32
SECDIQ,92.77,-0.68,187.49,3.16,7.21,9.76,31.3,22.4,15.8,680.75,-5.4205,-2.3376,2.26,1.92,-0.38,0.32,2.52,1.96,3.01,2.91,2.56,1.36,1.22,92.5,72.8,89.04,96.7,110.59,128.95,108.94,124.06,-0.4157,0.1425,-0.1169,0.23,0.1884,0.206,-0.4533,0.0697,1.968,3.0278,3.6689,2.0921,2.2007,4.1466,2.103,28.9179,7.1733,5.6836,25.3597,8.3476,8.3322,5.7899,8.3971,0.5126,0,0.4954,0.562,0.3724,0.1683,0.4789,0,1.9396,1.1019,2.7829,2.7633,0.9119,0.9899,0.8615,2.9998,3.6043,1.1673,1.1774,1.2597,3.6461,3.5229,3.8636,3.6018,10.1206,2.0212,2.0454,2.0092,2.0283,2.0165,6.3327,12.5498,4.2341,4.1124,4.2033,10.5329,2.0838,2.1221,2.1032,2.1217,2.1022,1.4087,1.5102,1.4585,0.0737,0.0165,0.0202,0.0088,1.5552,1.4247,1.4043,0.0854,0.0094,0.0163,0.0282,0.0097,2.7409,2.6744,0.942,0.9241,0.8083,3.3929,4.465,1.4769,1.5534,1.4347,-432.43,32
WUBDAY,82.41,-0.18,180.4,2.4,7.21,12.27,28.1,19.3,13.5,774.32,-5.2599,-2.3879,2.12,1.92,-0.27,0.29,2.5,1.97,2.99,2.97,2.53,1.36,1.22,91.04,72.71,88.27,95.73,112,126.95,109.01,124.65,-0.4495,0.1444,-0.1282,0.2589,0.1593,0.206,-0.4561,0.0625,1.9798,2.9737,3.6612,2.0558,2.1999,4.2064,2.0981,28.9123,7.1829,5.6915,25.3442,8.414,8.3319,5.8089,8.401,0.5409,0,0.5113,0.4967,0.3735,0.2668,0.4601,0,1.9485,1.1316,2.7826,2.7686,0.8925,1.0078,0.8683,2.9996,3.6014,1.2225,1.1708,1.2081,3.6323,3.4692,3.842,3.651,10.13,2.0281,2.0442,2.0143,2.0291,2.0142,6.324,12.5819,4.2373,4.125,4.2197,10.5433,2.0678,2.1366,2.1213,2.1014,2.1162,1.4014,1.5739,1.428,0.0736,0.0169,0.0207,0.0087,1.3815,1.5151,1.4798,0.0837,0.0089,0.0133,0.0291,0.0096,2.7414,2.6776,0.9786,0.9422,0.7569,3.3947,4.4703,1.5323,1.5533,1.3848,-434.65,32
