Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
AFILIN,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AFINAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFIPEM,Minimum,Minimum,Correct TS,Correct TS
AFIQEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFIRAK,Not Minimum,Minimum,Correct TS,Correct TS
AFISIS,Minimum,Minimum,Correct TS,Correct TS
AFIXUK,Minimum,Minimum,Correct TS,Correct TS
AFLATC,Minimum,Minimum,Correct TS,Correct TS
AFOCUV,Minimum,Minimum,Correct TS,Correct TS
AFOFEG,Not Minimum,Minimum,Correct TS,Correct TS
AFOLUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFONOA01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFOYIG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUFIS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUJAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUJUJ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUROL,Minimum,Not Minimum,Correct TS,Correct TS
AFUSEC,Minimum,Minimum,Correct TS,Correct TS
AFUTDZ10,Minimum,Minimum,Correct TS,Correct TS
AFUVEE,Minimum,Minimum,Correct TS,Correct TS
AFUVOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUVUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUXOR,Minimum,Minimum,Correct TS,Correct TS
AGADIX,Minimum,Minimum,Correct TS,Correct TS
AGAKIE,Minimum,Minimum,Correct TS,Correct TS
AGALAM10,Minimum,Minimum,Incorrect TS,Correct TS
AGAMUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AGAXIR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEFUQ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGEMEG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGENAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGENOS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEPEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGESEK,Minimum,Not Minimum,Incorrect TS,Correct TS
AGESOX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEVOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEYER,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGIBAV,Minimum,Minimum,Incorrect TS,Correct TS
AGIDOM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGIGIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGIGUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGIHEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGLCAM,Minimum,Minimum,Incorrect TS,Correct TS
AGOCOR,Not Minimum,Minimum,Incorrect TS,Correct TS
AGODOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOKOX,Minimum,Not Minimum,Incorrect TS,Correct TS
AGOLAK,Minimum,Minimum,Incorrect TS,Correct TS
AGOLIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOMAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
