Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
PAYJOR,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PAZBIC,Minimum,Minimum,Incorrect TS,Correct TS
PAZDAW,Minimum,Minimum,Correct TS,Correct TS
PAZDID,Minimum,Minimum,Correct TS,Correct TS
PAZDPY,Minimum,Minimum,Incorrect TS,Correct TS
PAZFAZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PAZFEC,Minimum,Minimum,Incorrect TS,Correct TS
PAZFIH,Minimum,Minimum,Incorrect TS,Correct TS
PAZGUV,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PAZPUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PAZSAN,Minimum,Not Minimum,Correct TS,Correct TS
PAZYEV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PBEGAN,Not Minimum,Minimum,Incorrect TS,Correct TS
PCDCDC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PCEICO,Minimum,Minimum,Correct TS,Correct TS
PDCHBZ10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PDHTEZ,Minimum,Minimum,Correct TS,Correct TS
PEBBII,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
PEBBOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEBGUC,Minimum,Minimum,Incorrect TS,Correct TS
PEBWOI,Minimum,Minimum,Correct TS,Correct TS
PECDIM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PECLUH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PECPOE,Not Minimum,Minimum,Correct TS,Correct TS
PECQAS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
PECVAU,Minimum,Minimum,Incorrect TS,Correct TS
PECVIE,Not Minimum,Minimum,Correct TS,Correct TS
PECWIF,Minimum,Minimum,Correct TS,Correct TS
PECZEE,Not Minimum,Minimum,Incorrect TS,Correct TS
PEDBAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PEDCAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEDERL,Minimum,Minimum,Correct TS,Correct TS
PEDLER,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PEDZEG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEFBOT,Minimum,Minimum,Incorrect TS,Correct TS
PEFCIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
PEFGUF,Minimum,Minimum,Correct TS,Correct TS
PEFMAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEFMET01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEFMIX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PEFMOD,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEFMUJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEFNAQ,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEFNEU,Minimum,Minimum,Incorrect TS,Correct TS
PEFYUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEGJIX,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PEGKES,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
PEGPID,Not Minimum,Minimum,Incorrect TS,Correct TS
PEHFUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEHXIK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEJYEJ,Minimum,Minimum,Correct TS,Correct TS
PEKGUI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEKJEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEKTAC,Minimum,Minimum,Correct TS,Correct TS
PEKWUZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEKZAI,Minimum,Minimum,Incorrect TS,Correct TS
PEKZUC,Minimum,Minimum,Correct TS,Correct TS
PELHET,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PELJUM,Minimum,Minimum,Incorrect TS,Correct TS
PELKOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PELPED,Minimum,Minimum,Correct TS,Correct TS
PELPIF,Minimum,Minimum,Incorrect TS,Correct TS
PELXAG10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEMDAN,Minimum,Minimum,Incorrect TS,Correct TS
PEMJEX,Minimum,Minimum,Correct TS,Correct TS
PEMMEZ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
PEMQUT01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PEMXAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PENMUQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PENVIN,Not Minimum,Minimum,Correct TS,Correct TS
PEPDIA,Minimum,Minimum,Correct TS,Correct TS
PEPDOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEPLUS,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
PEPQUX,Minimum,Not Minimum,Correct TS,Correct TS
PEPROS,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PEPSOT,Not Minimum,Minimum,Correct TS,Correct TS
PEPSUZ,Minimum,Not Minimum,Correct TS,Correct TS
PEQBES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEQBEV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEQDOH,Minimum,Minimum,Incorrect TS,Correct TS
PEQWAJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEQXOY25,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PERBEU,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PERGOL,Minimum,Minimum,Correct TS,Correct TS
PERGUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PESGIG,Minimum,Minimum,Correct TS,Correct TS
PESNOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
PETNIO,Minimum,Minimum,Correct TS,Correct TS
PETQOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PETREM,Minimum,Minimum,Correct TS,Correct TS
PETRUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEVFUR01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEVJEG,Minimum,Minimum,Correct TS,Correct TS
PEVPIQ,Minimum,Minimum,Incorrect TS,Correct TS
PEVVER,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEVXAS,Minimum,Minimum,Correct TS,Correct TS
PEVXOD,Minimum,Minimum,Correct TS,Correct TS
PEWNIQ,Minimum,Minimum,Correct TS,Correct TS
PEWNOW,Minimum,Minimum,Correct TS,Correct TS
PEWNUC,Minimum,Minimum,Correct TS,Correct TS
PEWQEO,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PEWROA,Minimum,Minimum,Incorrect TS,Incorrect TS
PEWVEV,Minimum,Minimum,Correct TS,Correct TS
PEXCUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEXDAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEXJOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEXLOT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEXYID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYBIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYFOO,Minimum,Not Minimum,Incorrect TS,Correct TS
PEYFUU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYGAB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYGEF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYNIR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYPUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYQEQ,Minimum,Minimum,Correct TS,Correct TS
PEYSAN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PEYVOH,Minimum,Not Minimum,Correct TS,Correct TS
PEYWIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEZCON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEZDEE,Minimum,Minimum,Correct TS,Correct TS
PEZFEG01,Minimum,Not Minimum,Correct TS,Correct TS
PEZJUA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEZKEM,Minimum,Minimum,Incorrect TS,Correct TS
PEZMUD,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PEZNAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PEZPIV,Minimum,Minimum,Correct TS,Correct TS
PEZPOB,Minimum,Minimum,Incorrect TS,Correct TS
PEZZUS,Minimum,Minimum,Incorrect TS,Correct TS
PGHIMT10,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
PGTAPA10,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PHBARB06,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PHCBTA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PHCBTC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PHCPDB,Minimum,Minimum,Correct TS,Correct TS
PHFAVB,Not Minimum,Not Minimum,Correct TS,Correct TS
PHHPRD,Minimum,Minimum,Correct TS,Correct TS
PHMALT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PHPENA,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PIBHAK,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PIBVEE,Minimum,Minimum,Incorrect TS,Correct TS
PIBXEK,Not Minimum,Not Minimum,Correct TS,Correct TS
PICPAS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PICQAV,Minimum,Minimum,Correct TS,Correct TS
PICXIL,Minimum,Minimum,Incorrect TS,Correct TS
PIDBEM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIDGIT,Minimum,Not Minimum,Incorrect TS,Correct TS
PIDKIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIDKOD,Minimum,Minimum,Incorrect TS,Correct TS
PIDMEU,Minimum,Minimum,Correct TS,Correct TS
PIDXOQ,Minimum,Minimum,Correct TS,Correct TS
PIFHAQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIFJOE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIFMEX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIFPAX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIFZAG01,Minimum,Minimum,Correct TS,Correct TS
PIGFUH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIGROM01,Minimum,Minimum,Correct TS,Correct TS
PIGTOP,Minimum,Not Minimum,Correct TS,Correct TS
PIHLUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIHXAG,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PIJHIA,Minimum,Minimum,Incorrect TS,Correct TS
PIJHOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIJNIF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIKMAA,Not Minimum,Not Minimum,Correct TS,Correct TS
PIKVOU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIKYIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PILCUK,Minimum,Minimum,Correct TS,Correct TS
PILFIA,Minimum,Minimum,Correct TS,Correct TS
PILKOK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PILKON,Minimum,Minimum,Incorrect TS,Correct TS
PILLUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PILPIK,Minimum,Minimum,Incorrect TS,Correct TS
PILQUW,Minimum,Not Minimum,Incorrect TS,Correct TS
PILRAE,Minimum,Not Minimum,Incorrect TS,Incorrect TS
PILSOT,Minimum,Not Minimum,Correct TS,Correct TS
PILSOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PILVIS,Minimum,Minimum,Correct TS,Correct TS
PILWEO,Not Minimum,Not Minimum,Incorrect TS,Correct TS
PILWIQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PILXAK,Minimum,Minimum,Incorrect TS,Correct TS
PILXOZ,Not Minimum,Minimum,Correct TS,Correct TS
PILYAM,Minimum,Minimum,Correct TS,Correct TS
PILYEQ,Minimum,Minimum,Correct TS,Correct TS
PILZOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIMBAP01,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PIMBAP07,Minimum,Minimum,Incorrect TS,Correct TS
PIMBEU,Minimum,Minimum,Incorrect TS,Correct TS
PIMCAR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIMCIA,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
PIMJED,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PIMLIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PIMMEG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PIMYER,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIMYIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PINCOH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PINDUO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PINJUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PINNOP03,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PINSEM,Minimum,Minimum,Correct TS,Correct TS
PINWEO,Minimum,Minimum,Correct TS,Correct TS
PINWIV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIPMDC11,Minimum,Minimum,Incorrect TS,Correct TS
PIPQOU,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PIQDIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIQDUQ,Minimum,Minimum,Incorrect TS,Correct TS
PIQFEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIRFON,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PIRKUY,Minimum,Not Minimum,Correct TS,Correct TS
PIRWIZ,Minimum,Minimum,Correct TS,Correct TS
PITKOV,Not Minimum,Not Minimum,Calc Fail,Calc Fail
PIVDOO,Minimum,Minimum,Correct TS,Correct TS
PIVSUI,Minimum,Minimum,Incorrect TS,Correct TS
PIWBON,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PIWCAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PIWDAB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIWMOZ,Minimum,Minimum,Incorrect TS,Correct TS
PIWSOF,Minimum,Not Minimum,Incorrect TS,Correct TS
PIWVIA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PIWWEZ,Minimum,Minimum,Incorrect TS,Correct TS
PIWWOH,Minimum,Not Minimum,Incorrect TS,Correct TS
PIXNER,Not Minimum,Minimum,Incorrect TS,Correct TS
PIYHIR,Minimum,Not Minimum,Incorrect TS,Correct TS
PIYXOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIYZUT,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PIZBUX,Minimum,Minimum,Correct TS,Correct TS
PIZDOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIZQUN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PIZRAU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PIZREY,Minimum,Minimum,Incorrect TS,Correct TS
PIZSOJ,Minimum,Minimum,Correct TS,Correct TS
PIZWON,Minimum,Not Minimum,Correct TS,Correct TS
PIZYAZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PLPHYD10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PLUCHE10,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POBBIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POBCEO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POBDAL,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
POBTEF,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POBWUB,Not Minimum,Minimum,Incorrect TS,Correct TS
POBXOW,Minimum,Not Minimum,Incorrect TS,Correct TS
POCGOF,Minimum,Minimum,Correct TS,Correct TS
POCLIE,Minimum,Minimum,Correct TS,Correct TS
POCMEB,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POCNON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POCNUT,Minimum,Not Minimum,Correct TS,Correct TS
POCPAG,Minimum,Minimum,Correct TS,Correct TS
POCPIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POCRAA,Minimum,Minimum,Incorrect TS,Correct TS
PODCBD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PODFIZ,Minimum,Minimum,Correct TS,Correct TS
PODLAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PODPEE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PODQAD,Minimum,Not Minimum,Correct TS,Correct TS
PODZAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POFBIV01,Minimum,Minimum,Correct TS,Correct TS
POFKIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POFLOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POFLUS,Minimum,Minimum,Correct TS,Correct TS
POFMIH,Not Minimum,Minimum,Correct TS,Correct TS
POFNOO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POFPIJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POFPIK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POFQAE,Minimum,Minimum,Correct TS,Correct TS
POFQEH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POFTEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POFTIN10,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POFYEP,Minimum,Minimum,Incorrect TS,Correct TS
POGDAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POGROT,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
POHCIZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POHPEK,Minimum,Minimum,Incorrect TS,Correct TS
POHPOT,Minimum,Minimum,Incorrect TS,Correct TS
POHTOW,Minimum,Minimum,Incorrect TS,Correct TS
POJBAT,Minimum,Minimum,Correct TS,Correct TS
POJFIF,Minimum,Not Minimum,Correct TS,Correct TS
POJKUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POJQEK,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POJTIT,Minimum,Minimum,Correct TS,Correct TS
POJTOZ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
POJWAN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POJWIV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POJWOB,Minimum,Minimum,Correct TS,Correct TS
POJXAO,Minimum,Minimum,Correct TS,Correct TS
POJXIW,Minimum,Minimum,Correct TS,Correct TS
POJYIX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POKCIE,Minimum,Not Minimum,Correct TS,Correct TS
POKDAX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POKLUY,Minimum,Minimum,Incorrect TS,Correct TS
POKQOX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POKQUD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POKRUE,Minimum,Minimum,Incorrect TS,Incorrect TS
POKZUM,Not Minimum,Minimum,Correct TS,Correct TS
POLJAD,Minimum,Minimum,Correct TS,Correct TS
POLJIL,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
POLMUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POLNOT,Not Minimum,Not Minimum,Correct TS,Correct TS
POLWUK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POMKOU,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POMNIQ,Minimum,Minimum,Correct TS,Correct TS
POMNUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POMTUI,Minimum,Minimum,Correct TS,Correct TS
POMVAQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POMWIA,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
POMWUK,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
POMXOF,Minimum,Minimum,Correct TS,Correct TS
POMYAU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
POMYIA,Minimum,Minimum,Correct TS,Correct TS
POMZAT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PONCAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PONNAI,Minimum,Minimum,Incorrect TS,Correct TS
PONQIT,Minimum,Minimum,Incorrect TS,Correct TS
PONTOB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PONZEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POPJAH,Minimum,Minimum,Correct TS,Correct TS
POPJEK,Minimum,Minimum,Correct TS,Correct TS
POPJIO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POPLEN,Not Minimum,Not Minimum,Correct TS,Correct TS
POPLIR01,Minimum,Not Minimum,Correct TS,Correct TS
POPRAP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POPVAU,Minimum,Minimum,Incorrect TS,Correct TS
POQHOT,Minimum,Minimum,Incorrect TS,Correct TS
POQQAO,Not Minimum,Minimum,Incorrect TS,Incorrect TS
POQYEA,Minimum,Not Minimum,Incorrect TS,Correct TS
PORMUG,Minimum,Minimum,Correct TS,Correct TS
PORVUN,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PORWEB,Minimum,Minimum,Incorrect TS,Correct TS
PORWEZ,Minimum,Minimum,Correct TS,Correct TS
PORXUP01,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POSCEH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POSVEA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POSVIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POTQAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POTVEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
POTVOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POTZIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POTZUT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POVBAD,Minimum,Minimum,Correct TS,Correct TS
POVFUB,Minimum,Minimum,Incorrect TS,Correct TS
POVFUD,Minimum,Minimum,Correct TS,Correct TS
POVGAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POVKAO,Minimum,Minimum,Correct TS,Correct TS
POVLAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POVLET,Minimum,Minimum,Correct TS,Correct TS
POVLUJ,Not Minimum,Minimum,Correct TS,Correct TS
POVMAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POVNEV,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
POVSOI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POVXAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POVXIK,Not Minimum,Minimum,Incorrect TS,Correct TS
POWMUJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POWNUL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POWSUS,Minimum,Not Minimum,Incorrect TS,Correct TS
POWXAD,Minimum,Minimum,Correct TS,Correct TS
POWXEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POWYAE,Minimum,Not Minimum,Incorrect TS,Correct TS
POWYEI,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POXKIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POXLAR,Minimum,Minimum,Correct TS,Correct TS
POXNUO,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POXPEX,Minimum,Minimum,Correct TS,Correct TS
POXTUS,Minimum,Minimum,Correct TS,Correct TS
POXVAA,Minimum,Minimum,Correct TS,Correct TS
POXWUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POXYUZ,Minimum,Minimum,Incorrect TS,Correct TS
POXZOS,Minimum,Minimum,Correct TS,Correct TS
POYLAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
POYLOE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POYMOI,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
POYWIK,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
POZFOC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PPDCAE,Minimum,Not Minimum,Correct TS,Correct TS
PPIMTZ,Minimum,Minimum,Correct TS,Correct TS
PRDOLD10,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PRGDOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PRGETP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PROPTO,Minimum,Not Minimum,Correct TS,Correct TS
PROSTA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PROSTE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PSCYTD,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PTERKB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUBDIZ,Minimum,Minimum,Incorrect TS,Correct TS
PUBLUU,Minimum,Minimum,Correct TS,Correct TS
PUBNAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUBTEN,Minimum,Minimum,Correct TS,Correct TS
