Ligand,Old Indexes,New Indexes,Deprotonation Type
FOYJIP,"[2, 3]","[2, 3]",Single Deprotonation
FOYMAH,"[1, 2]","[1, 2]",No Deprotonation
FOYNOX,"[1, 4]","[1, 4]",Single Deprotonation
FOYVAQ,"[2, 3]","[2, 3]",Single Deprotonation
FOYVAT,"[6, 8]","[6, 8]",Single Deprotonation
FOZHEK,"[0, 5]","[0, 4]",Single Deprotonation
SIVMUI,"[33, 35]","[33, 34]",Double Deprotonation
SIVROH,"[49, 51]","[49, 50]",Single Deprotonation
SIVRUN,"[1, 3]","[1, 2]",Single Deprotonation
SIVVUO,"[4, 15]","[4, 15]",No Deprotonation
SIVYUR,"[15, 16]","[15, 16]",No Deprotonation
SIVZEC,"[8, 21]","[8, 21]",No Deprotonation
SIWBOP,"[0, 3]","[0, 3]",No Deprotonation
SIWDUX,"[29, 31]","[29, 31]",No Deprotonation
SIWFAF,"[29, 31]","[29, 31]",No Deprotonation
SIWQEX,"[2, 10]","[2, 9]",Single Deprotonation
SIXKAO,"[1, 2]","[1, 2]",No Deprotonation
SIXWAA,"[0, 1]","[0, 1]",Single Deprotonation
SIYCOV,"[0, 5]","[0, 4]",Single Deprotonation
SIYLAN,"[14, 18]","[14, 18]",Double Deprotonation
SIZCOT,"[10, 15]","[10, 15]",Single Deprotonation
SIZJIU,"[3, 4]","[3, 4]",Double Deprotonation
SIZTAX01,"[3, 4]","[3, 4]",Single Deprotonation
SIZWON,"[2, 6]","[2, 6]",Single Deprotonation
SIZWUT,"[2, 6]","[2, 6]",Single Deprotonation
SLBZAC01,"[4, 5]","[4, 5]",Single Deprotonation
SMMETC10,"[1, 2]","[1, 2]",Single Deprotonation
SNQUOX,"[11, 12]","[11, 12]",Single Deprotonation
SNQXSO,"[2, 6]","[2, 6]",No Deprotonation
SOBBES,"[4, 6]","[4, 5]",Double Deprotonation
SOBJOK,"[1, 2]","[1, 2]",Single Deprotonation
SOBJUQ,"[1, 3]","[1, 3]",No Deprotonation
SOBMAY,"[5, 10]","[5, 10]",No Deprotonation
SOBNUT,"[0, 2]","[0, 1]",Single Deprotonation
SOBSOS,"[0, 2]","[0, 1]",Single Deprotonation
SOBWIR,"[0, 3]","[0, 3]",Single Deprotonation
GOJBOY,"[1, 2]","[1, 2]",Single Deprotonation
