Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
EMAWUL,0,-12.1,6.6,8.5,-63,18.6,20.5,Minimum,Minimum,Correct TS,Correct TS
EMEBAA,0,-12.8,0.1,6,-63,12.9,18.8,Not Minimum,Minimum,Incorrect TS,Correct TS
EMERIC,0,-3.8,13.3,12.2,-63,17.1,15.9,Minimum,Minimum,Correct TS,Correct TS
EMEVAV,0,-42.6,-36.6,-39.8,-63,6,2.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EMEVUP,0,-20.1,-3.4,-10.3,-63,16.7,9.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EMEWUP,0,-1.2,-13,19.5,-63,-11.8,20.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EMIHUD,0,-13.6,-11.2,12.5,-63,2.4,26.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EMIJAM,0,-13.1,-10.7,12.4,-63,2.4,25.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EMIKOA,0,-5.2,21.3,10.5,-63,26.6,15.7,Minimum,Not Minimum,Correct TS,Correct TS
EMIKUG,0,-5.6,21.8,11.8,-63,27.4,17.4,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
EMIMUI,0,1.2,-23.1,18.6,-63,-23.1,18.6,Minimum,Not Minimum,Incorrect TS,Incorrect TS
EMIROI,0,-24.1,1.2,2.1,-63,25.3,26.1,Minimum,Not Minimum,Correct TS,Correct TS
EMOCEP,0,-14.3,-10.5,12.4,-63,3.8,26.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EMOCIT,0,13.4,21,11.9,-63,21,11.9,Minimum,Not Minimum,Incorrect TS,Correct TS
EMOJAT,0,-4.2,-3.1,24.3,-63,1.1,28.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EMOLEZ,0,-18,8.5,9.1,-63,26.5,27.1,Minimum,Minimum,Correct TS,Correct TS
EMOQUT,0,-10.3,11.1,5.9,-63,21.4,16.2,Minimum,Not Minimum,Correct TS,Correct TS
EMOZAI,0,-13.7,-8.5,7.8,-63,5.2,21.5,Minimum,Minimum,Incorrect TS,Correct TS
EMURIN,0,-11.5,7.7,No Value,-63,19.2,No Value,Not Minimum,Minimum,Correct TS,Calc Fail
EMUROT,0,-5.7,13,12.6,-63,18.6,18.3,Minimum,Minimum,Correct TS,Correct TS
EMUSUA,0,-6.5,-4.8,15.2,-63,1.8,21.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EMUZUJ,0,-6.1,-9.3,11.9,-63,-3.3,18,Minimum,Minimum,Incorrect TS,Correct TS
ENAYEZ,0,-14,-10.5,12.3,-63,3.5,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ENDIAC10,0,-13.4,-10.5,12.9,-63,2.9,26.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ENEBOQ,0,-10.8,17.4,10.5,-63,28.2,21.2,Minimum,Minimum,Correct TS,Correct TS
ENECAD,0,-11.5,20.7,10,-63,32.2,21.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ENECEH,0,-16.7,14.5,4.9,-63,31.2,21.6,Minimum,Minimum,Correct TS,Correct TS
ENECIL,0,-1.8,4.7,16.9,-63,6.5,18.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ENELAK,0,-5.4,16.6,13.7,-63,22.1,19.1,Minimum,Minimum,Correct TS,Correct TS
ENIHIU,0,-8.5,1.3,9.3,-63,9.8,17.8,Minimum,Minimum,Correct TS,Correct TS
ENIHOA,0,-454.4,-544.5,-521.9,-63,-90.1,-67.4,Not Minimum,Not Minimum,Incorrect TS,Correct TS
ENIHUE,0,-11.8,14.2,9.3,-63,26.1,21.1,Not Minimum,Minimum,Correct TS,Correct TS
ENIJAM,0,-6.9,14.9,13.7,-63,21.8,20.5,Minimum,Minimum,Correct TS,Correct TS
