Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
OGOYOB,85.95,1.79,180.88,2.87,-4.0896,-3.4944,0.244,-0.2198,1.4029,3.0486,5.9901,7.4703,0.1303,1.0182,10.1717,6.3525,12.5818,9.8217,1.2795,1.3476,1.1554,0.1201,1.3792,0.02,12.9
KAHDUS,78.78,4.99,164.94,3.99,-4.2881,-3.0232,0.3882,-0.1587,1.3403,2.0966,5.8929,8.3679,0.1308,1.0036,10.1397,6.2867,12.5721,9.753,1.5073,1.5318,1.6122,0.3643,1.509,0.0461,0.4
LOBRUR,75.56,6.69,173.6,1.7,-4.6032,-2.8483,0.3603,-0.1442,1.3138,2.0717,5.8075,7.1535,0.1315,0.9868,10.1267,6.2934,12.6026,9.7438,1.5145,1.5275,1.6133,0.4276,1.2422,0.0131,19.1
UXUJON,74.38,2.95,179.66,2.55,-4.6545,-2.7707,0.2542,-0.1779,1.3367,3.232,5.8301,7.5996,0.1318,1.0039,10.1385,6.3519,12.6382,9.7558,1.2068,1.3822,1.2743,0.0917,1.3969,0.0159,8.7
HOXFUX,70.29,8.21,166.01,1.7,-4.6825,-2.8673,0.382,-0.1432,1.3192,2.0949,5.7474,7.0002,0.1325,0.9613,10.1311,6.2825,12.5888,9.7467,1.5107,1.4918,1.6427,0.4349,1.187,0.0135,30.8
EYEKOK,71.57,8.94,195.61,3.04,-4.2597,-2.5441,0.3591,-0.1637,1.3165,2.0405,5.8001,7.0173,0.1329,1.0062,10.1421,6.299,12.5858,9.7561,1.5083,1.5206,1.6544,0.4081,1.2128,0.0117,25.4
EBAMIG,71.07,7.91,167.64,1.7,-4.5789,-2.8964,0.3636,-0.1441,1.3158,2.0874,5.7727,6.9997,0.134,0.9671,10.1306,6.2863,12.605,9.745,1.5088,1.488,1.653,0.4379,1.1994,0.0138,28
HOYYUQ,72.86,9.03,215.67,2.16,-4.6282,-2.8079,0.2516,-0.167,1.3249,3.1437,5.8201,7.0023,0.1344,0.9858,10.1366,6.3623,12.643,9.7431,1.3559,1.3746,1.2212,0.0889,1.3694,0.0138,14.2
LIPWEM01,74.45,7.6,173.36,1.64,-4.2445,-2.8119,0.3551,-0.1582,1.3238,1.9942,5.8192,7.1551,0.1345,1.006,10.1424,6.2927,12.5885,9.7636,1.5328,1.515,1.6392,0.4076,1.2365,0.0121,30.5
KENDUC,56.75,-11.75,140.63,2.35,-4.1825,-2.506,0.3966,-0.1595,1.3094,1.8702,5.8483,8.4814,0.1345,1.0074,10.1438,6.2874,12.5692,9.7468,1.5922,1.6534,1.4849,0.4113,1.5586,0.0387,26.1
SUVWEN,74.03,6.79,161.74,1.52,-4.6488,-3.2508,0.3528,-0.1377,1.3161,2.088,5.7934,7.1182,0.135,0.9949,10.1207,6.2981,12.6123,9.7367,1.4892,1.5097,1.6396,0.416,1.2418,0.0126,24.3
AZEPEA,74.71,6.3,186.58,1.98,-4.4189,-2.8798,0.3486,-0.1462,1.328,2.0333,5.7495,7.0991,0.1355,1.0196,10.1312,6.3036,12.5909,9.7569,1.5249,1.5197,1.6122,0.3745,1.2671,0.0131,17.2
