Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
CECBUJ,87.61,2.14,178.1,2.03,-4.6931,-2.8852,0.3977,-0.1519,1.322,2.0559,5.8399,8.375,0.4279,0.9809,10.1296,6.3062,12.5811,9.715,1.6399,1.4876,1.4942,0.4148,1.4734,0.0447,1.5
ZEQREV,79.49,3.91,198.01,4.39,-4.1481,-2.3713,0.2238,-0.1962,1.3263,3.0672,5.8965,7.0347,0.428,1.0213,10.1578,6.334,12.6713,9.7709,1.1897,1.3411,1.3271,0.0905,1.4114,0.0086,16.1
PANLEV,79.69,3.64,185.42,2.24,-4.3292,-3.5933,0.2993,-0.1692,1.3291,2.02,5.8745,6.9457,0.4283,0.9965,10.1423,6.3207,12.647,9.7329,1.4392,1.4683,1.7279,0.4093,1.4136,0.0089,11.3
SUVCET,79.44,2.42,183.32,1.7,-4.645,-3.9524,0.377,-0.1336,1.3127,2.0089,5.7966,8.3646,0.4287,1.005,10.1177,6.2972,12.6241,9.7017,1.4183,1.4608,1.7301,0.3852,1.5298,0.0583,11.2
KIYQUF,79.65,2.17,172.98,1.63,-4.8812,-4.2312,0.3786,-0.1223,1.3032,1.9918,5.792,8.3446,0.4289,1.0123,10.1078,6.3045,12.6255,9.6915,1.4285,1.4574,1.7245,0.3792,1.5056,0.0503,13.2
BULMAY,75.07,6.95,190.43,1.78,-4.4456,-3.2417,0.2621,-0.1645,1.3346,3.0901,5.7715,7.0094,0.429,1.0117,10.1421,6.3252,12.6599,9.7529,1.3529,1.3394,1.3085,0.091,1.403,0.0081,25
PIKVUD,70.43,10.11,186.4,3.46,-4.3276,-2.51,0.3668,-0.1685,1.3341,2.9896,5.9004,8.4807,0.4296,0.9858,10.1467,6.2914,12.5802,9.7617,1.4,1.2444,1.1801,0.1063,1.4998,0.0757,26.4
DELXEY,71.54,8.79,188.85,2.25,-4.3823,-2.648,0.3597,-0.1551,1.3388,2.9312,5.7782,8.3983,0.4297,0.9999,10.143,6.2915,12.5971,9.7517,1.3727,1.2581,1.1242,0.114,1.4419,0.0698,29.1
MEJFOX,82.38,1.14,202.77,1.98,-4.6238,-3.0596,0.2711,-0.169,1.3607,1.9888,5.9154,6.9437,0.4298,0.9888,10.1396,6.318,12.6588,9.7521,1.507,1.4785,1.6825,0.4202,1.3776,0.0084,8.9
KEKVAZ,89.78,3,180.29,3.88,-4.1651,-2.507,0.3933,-0.1882,1.3445,2.0005,5.9511,8.447,0.4299,1.0067,10.1523,6.2956,12.5523,9.7587,1.5528,1.4541,1.5911,0.3758,1.4306,0.0674,8
EWEKAS,79.67,2.99,217.09,4.3,-4.3207,-2.5624,0.2301,-0.1854,1.3691,2.8316,5.8165,7.1244,0.4301,0.996,10.1545,6.3448,12.6599,9.7653,1.2534,1.3909,1.0967,0.1139,1.3521,0.0098,28.7
VOBMEG,80.82,12.96,175.15,1.7,-3.7868,-1.9162,0.3876,-0.2036,1.3475,1.9807,5.9655,8.5993,0.4302,1.023,10.1672,6.282,12.5432,9.7872,1.497,1.4721,1.712,0.423,1.4802,0.0825,14.5
GUYJUG,90.45,35.63,186.17,1.7,-2.9247,-1.5459,0.3472,-0.1799,1.3695,1.9545,5.8562,8.4011,0.4302,1.0345,10.1908,6.293,12.5818,9.7779,1.5517,1.4489,1.6972,0.3871,1.4467,0.0495,27.4
YOYROW,76.23,4.54,207.68,3.16,-3.8669,-2.4618,0.3202,-0.1604,1.2809,2.0014,5.744,7.1004,0.4307,1.0628,10.1511,6.3241,12.6317,9.724,1.4525,1.5148,1.6315,0.4064,1.2955,0.0084,30.3
UCEXUV,60.09,2.07,148.42,2.32,-3.0473,-1.5094,0.388,-0.2159,1.3541,1.93,6.0473,8.5514,0.4307,1.0358,10.1807,6.2754,12.4919,9.8448,1.5461,1.5452,1.6207,0.3279,1.6737,0.0483,22.7
AQAZID,79.29,3.04,186.45,2.72,-4.3723,-3.1691,0.296,-0.1685,1.3382,2.0083,5.8859,6.9152,0.4307,0.9966,10.1432,6.3226,12.6457,9.7357,1.4797,1.4597,1.6905,0.4075,1.4112,0.0092,11.7
FEQVAB01,95.23,6.56,188.55,1.4,-3.5934,-1.7345,0.3615,-0.2113,1.3843,2.0781,6.0495,8.4732,0.4308,1.0493,10.1711,6.2793,12.5417,9.8175,1.4992,1.4643,1.6658,0.3416,1.4542,0.0501,16.2
AFUVOM,62.23,1.57,185.7,1.93,-3.5728,-1.635,0.3536,-0.2101,1.3912,1.8918,5.9829,8.5129,0.4309,1.0387,10.1792,6.308,12.5266,9.8117,1.5591,1.6736,1.4733,0.4082,1.5074,0.0497,14.8
XOTCUG,61.85,1.57,210.83,1.7,-3.667,-1.7167,0.3653,-0.2044,1.4057,1.931,6.005,8.5001,0.431,1.0356,10.1743,6.2969,12.5283,9.8095,1.5239,1.5153,1.6569,0.3378,1.6299,0.0601,13.7
ZERCAC,76.76,6.67,185.39,1.79,-4.4602,-3.0947,0.3037,-0.1578,1.3302,2.0707,5.8708,6.9575,0.4312,1.0021,10.1384,6.3185,12.6296,9.7482,1.4366,1.4838,1.7219,0.3785,1.3963,0.0085,19.7
CCBTDC10,61.4,1.18,151.74,2.21,-3.491,-1.6213,0.3546,-0.2076,1.3935,1.9065,6.0183,8.5161,0.4312,1.0399,10.1791,6.3121,12.5217,9.8116,1.5568,1.5032,1.6564,0.3369,1.6823,0.0464,17.9
SANZIR,79.08,3.23,188.05,2.42,-4.3316,-3.2953,0.2998,-0.1645,1.3217,2.0273,5.8691,6.9405,0.4312,1.0033,10.1439,6.3131,12.659,9.7281,1.4519,1.4551,1.6983,0.4647,1.4165,0.0092,12.2
TIFQUU,81.53,-6.35,235.31,2.76,-4.4411,-2.5997,0.3203,-0.171,1.3272,1.8133,6.0328,6.9387,0.4313,0.9787,10.1406,6.2949,12.6397,9.7451,1.6246,1.4372,1.6393,0.407,1.3965,0.0107,23.4
JIWKOP,83.64,12.3,196.04,2.9,-2.3834,-1.6654,0.4192,-0.2192,1.3328,1.8909,6.0255,8.5037,0.4314,1.0372,10.1813,6.2517,12.5156,9.8136,1.6589,1.4311,1.6454,0.4504,1.5364,0.1117,58.4
DAMNEM,77.98,4.42,186.74,2.25,-4.3633,-3.1408,0.2305,-0.1828,1.3308,3.0411,5.8416,7.0306,0.4316,1.0201,10.1468,6.3463,12.6722,9.751,1.1738,1.3476,1.335,0.0892,1.4193,0.0093,21.6
ULAGEV,84.28,-3.68,224.07,3.34,-4.5771,-2.7406,0.2554,-0.1648,1.3549,1.8399,5.8766,6.8452,0.4317,0.9922,10.1406,6.3018,12.6815,9.7613,1.6355,1.4247,1.647,0.4301,1.4058,0.0123,35.7
VETVOG01,90.93,4.17,186.36,1.7,-3.502,-1.9929,0.3904,-0.2038,1.3631,1.9462,5.8869,8.4113,0.432,1.0591,10.1804,6.274,12.5439,9.7917,1.5183,1.4601,1.7427,0.4112,1.444,0.0575,18.9
BUFPIB,82.98,2.19,173.98,2.48,-4.8169,-4.0741,0.3803,-0.1403,1.3333,2.0548,5.8398,8.3469,0.4323,0.9778,10.1151,6.3053,12.5972,9.7171,1.4408,1.4816,1.6919,0.3516,1.5193,0.0539,-2
HISCAO,59.74,2.4,147.79,3.85,-3.1818,-1.5528,0.4012,-0.2179,1.3262,1.8354,6.0632,8.4849,0.4325,1.0443,10.1828,6.2683,12.4869,9.8436,1.5873,1.5339,1.5776,0.4143,1.6802,0.0704,30.7
TEYSAU,81.63,-6.62,233.41,3.16,-4.4863,-2.6504,0.3192,-0.167,1.3214,1.8585,6.0166,6.9518,0.4328,1.0171,10.1383,6.2966,12.6444,9.7397,1.6153,1.4656,1.621,0.4213,1.3177,0.0094,9.7
HELLIW,75.31,6.68,200.25,2.27,-4.5111,-2.6716,0.2646,-0.1621,1.3328,2.8656,5.7723,7.0599,0.433,1.0282,10.1402,6.3216,12.6468,9.767,1.2551,1.3679,1.139,0.1123,1.3656,0.0097,27
XIWPAU,92.13,4.67,184.37,3.58,-4.7643,-2.9879,0.3855,-0.1515,1.3096,1.9553,5.8515,8.4044,0.433,0.979,10.12,6.2977,12.5942,9.7226,1.5448,1.477,1.6341,0.3655,1.4436,0.0576,3
HUCWOS,70.91,9.38,188.41,2.71,-4.4177,-2.631,0.3586,-0.1583,1.3425,2.9361,5.8037,8.4212,0.4332,0.9853,10.1426,6.2929,12.5961,9.7523,1.255,1.1946,1.3152,0.1133,1.4967,0.0559,25.6
YORBOW,75.76,11.57,179.01,1.74,-4.4475,-2.701,0.2602,-0.1646,1.3097,2.9711,5.8201,7.4224,0.4332,1.016,10.1404,6.3346,12.6559,9.7494,1.3088,1.2928,1.395,0.0854,1.3425,0.0079,24.2
TASPIN,82.46,2.58,172.56,1.75,-4.7957,-4.1098,0.3841,-0.1408,1.3195,2.0359,5.8756,8.3545,0.4332,0.9824,10.1136,6.3114,12.5922,9.7123,1.4362,1.4849,1.6957,0.3402,1.5234,0.0521,-1.7
STIZOL,79.97,11.1,188.27,1.76,-4.2916,-2.5693,0.2415,-0.1843,1.3182,3.1244,5.8915,7.4972,0.4332,0.9916,10.1478,6.3523,12.6605,9.7457,1.2483,1.2253,1.4057,0.0899,1.3454,0.0117,21.3
DOXYIY,111.95,-0.01,200.87,2.93,-4.5267,-3.1432,0.3908,-0.1409,1.3454,2.0035,5.8956,8.3736,0.4339,1.0012,10.126,6.3091,12.5868,9.7133,1.4512,1.4787,1.7132,0.4359,1.4457,0.0545,5.2
BEHZOD,88.3,3.88,177.78,1.86,-4.5925,-2.8306,0.3851,-0.1677,1.3294,2.0713,5.8445,8.3297,0.4339,0.9983,10.1291,6.3092,12.5808,9.7249,1.4836,1.4943,1.6323,0.3586,1.4886,0.068,1.5
ILESAV,78.24,1.08,209.92,2.11,-4.5067,-2.708,0.2802,-0.1714,1.3413,1.97,5.954,6.9427,0.4339,0.9902,10.1408,6.3302,12.6507,9.7389,1.5018,1.4764,1.6954,0.4193,1.3032,0.0116,14.3
BACMIB10,66.7,0.31,171.23,1.7,-3.3603,-2.6749,0.2666,-0.2046,1.3903,1.9551,5.991,7.1205,0.4339,1.0704,10.184,6.3097,12.6049,9.8188,1.5394,1.5096,1.6836,0.379,1.3839,0.0108,32.5
PUFSIT01,70.62,9.59,198.65,2.49,-4.4744,-2.8749,0.3552,-0.1597,1.3606,2.8997,5.8046,8.4087,0.4341,1.0218,10.1447,6.2944,12.5956,9.7547,1.4533,1.2156,1.0972,0.1115,1.4814,0.1058,33.3
BUDRIC,83.67,2.52,182.36,1.52,-3.287,-2.4956,0.3588,-0.2034,1.3853,1.9685,5.9716,8.4019,0.4345,1.0584,10.1826,6.2705,12.5866,9.7841,1.6256,1.5209,1.6207,0.3909,1.4414,0.0576,20
MINQUX,79.67,4.38,184.95,2.15,-3.9147,-2.3519,0.2233,-0.1977,1.3496,3.062,5.8924,7.0343,0.4349,1.0133,10.1593,6.3372,12.6611,9.7784,1.2277,1.3169,1.3215,0.0906,1.3926,0.0092,26.2
PAKJAO,78.1,3.76,186.98,2.04,-4.4315,-3.4536,0.3005,-0.1612,1.3247,2.0284,5.8699,6.9582,0.4349,0.9954,10.1379,6.3234,12.6499,9.7262,1.4989,1.4681,1.6616,0.434,1.4024,0.0096,11.2
COYDUP,65.13,1.06,161.93,2.4,-3.2704,-1.5944,0.319,-0.1979,1.4549,1.9595,5.9312,8.4777,0.435,1.0799,10.1932,6.2958,12.567,9.8181,1.5598,1.6445,1.5025,0.3496,1.5431,0.052,26.3
VOSDUC01,72.35,6.1,168.63,1.85,-4.4598,-2.7355,0.3609,-0.1517,1.3154,3.0313,5.7822,8.4106,0.4352,0.9779,10.1358,6.2881,12.6035,9.7475,1.2092,1.362,1.1804,0.1148,1.4356,0.0548,25.3
QOSCEG,60.72,1.9,159.17,3.24,-2.9985,-1.8584,0.4012,-0.2179,1.3298,1.9342,6.0592,8.5769,0.4353,1.0377,10.181,6.2682,12.4896,9.841,1.5247,1.5337,1.6348,0.3548,1.6459,0.0513,23.9
VUHMIU,77.13,1.93,204.96,1.67,-4.4721,-2.8195,0.2831,-0.1592,1.323,1.9893,5.948,7.048,0.4355,0.9974,10.1349,6.3369,12.6514,9.7286,1.4959,1.4638,1.713,0.4171,1.3665,0.013,15.7
IZOXEB,93.75,6.91,192.05,2.5,-3.7522,-3.1569,0.3879,-0.1947,1.3119,1.9669,5.9307,8.4511,0.4357,1.0128,10.1637,6.269,12.5913,9.7518,1.5836,1.4391,1.7201,0.4129,1.4549,0.057,17
BEQWAY,77.32,3.63,205.87,2.62,-4.6144,-3.4367,0.2367,-0.153,1.3115,3.0466,5.8186,7.0408,0.4361,0.9961,10.1302,6.3615,12.6678,9.734,1.2273,1.3556,1.2747,0.09,1.3976,0.0139,15
VIZHIW01,61.48,1.1,152.18,2.24,-3.4996,-1.599,0.3575,-0.2104,1.3852,1.8925,6.0192,8.51,0.4361,1.0375,10.1796,6.3098,12.5205,9.8122,1.546,1.5288,1.6392,0.3419,1.6767,0.0472,15
DUKVUB,60.62,1.98,149.76,1.83,-3.0371,-1.5061,0.3854,-0.2141,1.3653,1.8785,6.0383,8.5123,0.4362,1.0502,10.1824,6.2764,12.4963,9.8419,1.5518,1.5601,1.6023,0.3265,1.6374,0.0537,30
YECHUK,60.67,1.91,149.87,2.11,-3.0354,-1.5016,0.3834,-0.2141,1.3714,1.8787,6.036,8.515,0.4363,1.0481,10.1832,6.2771,12.496,9.8435,1.5573,1.5252,1.6321,0.3251,1.6604,0.0459,23.4
FASNAP,80.34,4.56,172.79,1.7,-4.5381,-3.2657,0.3553,-0.1495,1.334,2.7654,5.8265,8.3905,0.4364,0.9806,10.1328,6.2944,12.5988,9.7515,1.2435,1.3469,1.1636,0.1125,1.5231,0.0452,34.5
BILSAQ,84.93,4.02,177.58,3.06,-4.5381,-2.8043,0.3844,-0.1604,1.3272,2.0125,5.8622,8.3021,0.4365,1.0108,10.1278,6.2926,12.5962,9.7267,1.5903,1.4783,1.5824,0.4134,1.4632,0.0752,9.9
GUGMUT,77.6,4.41,192.58,2.43,-3.4343,-1.9448,0.3142,-0.2197,1.3315,2.036,6.0454,7.1576,0.4366,1.0321,10.1766,6.328,12.558,9.7998,1.4346,1.4852,1.7419,0.4,1.3639,0.0094,14.8
WODSUF,60.68,1.75,150.12,2.74,-2.9043,-1.4487,0.4038,-0.2227,1.3042,1.8586,6.0687,8.506,0.4366,1.0274,10.1851,6.2708,12.4849,9.8405,1.5684,1.5172,1.6272,0.375,1.6716,0.051,25.2
FUZWII,84.8,-3.19,213.91,2.78,-4.5845,-2.6598,0.2695,-0.1751,1.3648,1.8456,5.9253,6.9742,0.4367,0.994,10.1447,6.297,12.6735,9.76,1.5949,1.4689,1.6388,0.4301,1.388,0.009,18.9
LIMZUC,60.83,1.86,150.28,2.43,-3.0001,-1.7394,0.3883,-0.2153,1.3618,1.905,6.0387,8.5233,0.4368,1.0317,10.1817,6.2734,12.4935,9.8448,1.5362,1.5185,1.65,0.3349,1.6782,0.0475,23.2
CIKVEA,69.61,-0.41,178.75,2.25,-2.8827,-1.4275,0.1431,-0.2095,1.4179,2.897,5.9438,7.1859,0.4368,1.0674,10.204,6.3307,12.6596,9.8666,1.4061,1.3918,1.1664,0.0846,1.3747,0.0105,31.8
LIVSAL01,84.11,0.3,185.74,3.49,-4.2191,-2.929,0.3775,-0.184,1.3546,1.9845,5.9565,8.4037,0.4369,1.0071,10.1475,6.284,12.5793,9.7592,1.4735,1.4808,1.6949,0.3851,1.5188,0.0484,0.1
IVEREH,85.75,12.26,211.61,2.11,-4.0928,-2.5014,0.291,-0.1779,1.3404,1.9104,5.9117,6.974,0.4369,1.0963,10.1565,6.3164,12.6431,9.7494,1.519,1.5386,1.6717,0.4268,1.4367,0.011,17.8
MRUBFN,84.53,11.57,179.22,1.76,-3.7608,-1.8917,0.3835,-0.2026,1.3394,1.9434,5.9473,8.6071,0.4369,1.0251,10.1676,6.279,12.5487,9.7889,1.5066,1.478,1.716,0.409,1.4926,0.0851,13.4
ARANOW,79.83,13.1,182.98,2.06,-4.4041,-2.605,0.4011,-0.1766,1.3406,3.0628,5.8656,8.4836,0.4371,1.0056,10.154,6.264,12.5757,9.7592,1.1414,1.1632,1.2216,0.1352,1.4995,0.0982,8
IYIKIM,59.71,2.94,148.07,1.88,-3.1831,-2.8981,0.3962,-0.2221,1.3348,1.8486,6.063,8.4932,0.4377,1.0769,10.1997,6.2658,12.511,9.827,1.5908,1.5578,1.5717,0.3581,1.665,0.0821,26.2
EBAMOM,70.65,7.87,168.36,1.73,-4.4808,-2.7536,0.3668,-0.1506,1.3163,2.9899,5.7575,8.4189,0.4378,0.9697,10.1361,6.283,12.6012,9.749,1.175,1.2012,1.3552,0.1131,1.4895,0.056,29.6
WITMUH,80.72,3.37,226.31,3.48,-4.7321,-3.9321,0.2834,-0.1359,1.3232,1.9799,5.801,6.8208,0.4378,1.0185,10.1246,6.3139,12.6999,9.7029,1.5038,1.4562,1.7251,0.477,1.4245,0.0101,4.4
ABIVAL,79.44,14.1,178.54,1.7,-4.5151,-3.2532,0.4054,-0.13,1.2938,1.9693,5.7766,8.4148,0.4379,1.0076,10.117,6.2826,12.5995,9.7125,1.45,1.463,1.7226,0.3773,1.4353,0.0604,9.7
GUVREV,90.47,3.2,187.23,1.1,-3.3461,-1.8228,0.3663,-0.2037,1.3475,1.8659,5.9206,8.3874,0.438,1.0555,10.1801,6.2872,12.56,9.7865,1.7061,1.4535,1.539,0.3686,1.4535,0.05,13
MABXOE,85.77,-3.72,221.69,3.2,-4.6411,-2.8041,0.2625,-0.168,1.3584,1.844,5.9148,6.8902,0.4381,0.9863,10.1363,6.3031,12.678,9.7565,1.6163,1.4448,1.6458,0.4409,1.3792,0.009,35.3
DIQPOL,81.42,2.7,191.37,3.5,-4.3475,-3.4796,0.3076,-0.1646,1.3357,2.0346,5.8765,6.9709,0.4382,0.9941,10.1414,6.3232,12.6349,9.7344,1.4853,1.4698,1.7103,0.3963,1.4156,0.0082,5.6
GESTAZ,61.33,1.27,151.93,2.45,-3.5322,-1.6148,0.3548,-0.2107,1.3958,1.9285,6.0095,8.5467,0.4382,1.0487,10.1801,6.3111,12.5194,9.8148,1.548,1.5186,1.6473,0.3291,1.6778,0.0457,14.8
REHQUR,62.9,1.6,194.97,2.39,-3.5026,-1.5686,0.2262,-0.2221,1.3571,2.9452,6.0475,7.2249,0.4383,1.0368,10.1811,6.3434,12.5847,9.8457,1.3164,1.4191,1.1873,0.0798,1.4224,0.0093,10.3
TUDPEP,78.93,3.91,229.11,3.14,-3.5908,-1.7213,0.2047,-0.2384,1.3276,3.0005,6.1318,6.9804,0.4383,1.0339,10.1742,6.3454,12.6105,9.8394,1.3828,1.3249,1.1437,0.1173,1.3394,0.0167,22.5
YOMKAN,79.15,3.99,166.81,3.7,-4.4969,-3.644,0.3864,-0.1424,1.3348,2.0525,5.8566,8.3203,0.4386,0.9943,10.1295,6.2887,12.5887,9.7363,1.3449,1.5171,1.7108,0.3472,1.5531,0.0473,1.9
IBOGUE,87.5,0.33,183.72,1.7,-3.8929,-3.0503,0.272,-0.2037,1.4056,2.0613,5.9822,6.8881,0.4387,1.0613,10.169,6.3064,12.6108,9.8108,1.4555,1.4509,1.7485,0.3874,1.3757,0.0122,19.4
RIMFOK,85.04,-3.31,214.66,2.88,-4.5469,-2.6131,0.2695,-0.1777,1.3674,1.8448,5.917,6.9892,0.4387,1.0117,10.1468,6.2949,12.6715,9.764,1.5936,1.464,1.6446,0.4287,1.3815,0.0083,20
CACQAA,83.61,3.55,197.42,1.95,-3.807,-2.6078,0.2192,-0.2235,1.3381,2.943,6.0661,7.054,0.439,1.0206,10.1683,6.3502,12.6117,9.819,1.3676,1.2664,1.3162,0.0767,1.346,0.0131,21.9
BAWREW,61.45,1.07,151.79,2.01,-3.5106,-1.6063,0.3514,-0.2094,1.4021,1.9148,6.0163,8.5107,0.439,1.0641,10.1793,6.3104,12.5228,9.8153,1.5434,1.5358,1.6312,0.3285,1.6688,0.0509,16.4
QUDKIM,74.41,0.75,183.66,1.84,-4.9786,-3.1323,0.2522,-0.1627,1.3307,2.7446,5.8621,6.9603,0.4393,0.9955,10.1239,6.3647,12.6465,9.7367,1.2656,1.2379,1.051,0.1281,1.4155,0.0259,7
TEYQET,87.67,4.45,180.07,3.65,-4.3604,-2.9203,0.3891,-0.1721,1.3417,1.9459,5.8427,8.2961,0.4395,0.9978,10.1392,6.2955,12.5838,9.7317,1.561,1.4764,1.5819,0.4276,1.473,0.0621,13.4
LIDBOP,77.33,3.51,184.74,1.95,-4.7973,-3.2355,0.3019,-0.1535,1.3179,2.0148,5.8964,6.8353,0.4395,1.0005,10.1256,6.3275,12.6546,9.716,1.5122,1.4624,1.693,0.4335,1.4025,0.0185,9.9
NUCKUR,77.03,4.83,167.02,3.78,-4.4301,-3.5679,0.3916,-0.1431,1.3263,2.0851,5.8385,8.3428,0.4396,0.9937,10.13,6.2845,12.5917,9.7322,1.3496,1.498,1.7317,0.4206,1.5308,0.05,11.6
HOJSAB,61.36,1.26,151.6,2.32,-3.567,-2.0573,0.3607,-0.2092,1.3957,1.9104,6.0056,8.5207,0.4396,1.0297,10.1774,6.3081,12.5138,9.8175,1.5333,1.5157,1.6597,0.3264,1.6802,0.0474,16.2
ODERIB,62.25,1.32,153.92,2.29,-3.534,-1.7147,0.353,-0.2082,1.3914,1.8904,6.008,8.5214,0.4396,1.0417,10.1784,6.3081,12.5298,9.8091,1.545,1.5138,1.6579,0.3345,1.6777,0.0454,16.1
POFTIN,60.96,1.27,161.03,2.87,-3.0909,-1.4868,0.3384,-0.2236,1.2957,1.9467,6.0796,7.1723,0.4397,1.0508,10.1837,6.2893,12.5206,9.8517,1.5728,1.5496,1.6328,0.4124,1.3954,0.0104,38
RUGSIW06,71.2,8.16,190.16,2.03,-4.5126,-2.8312,0.3612,-0.1517,1.3395,2.9498,5.8599,8.3988,0.4398,0.9992,10.1343,6.299,12.6004,9.7395,1.3675,1.2853,1.1045,0.1126,1.4501,0.0907,23.1
OJUMOX,85.22,7.95,178.97,1.4,-3.6062,-1.9424,0.3652,-0.2095,1.3728,2.0399,5.991,8.3797,0.44,1.0617,10.1704,6.2793,12.5482,9.8073,1.4826,1.4385,1.6925,0.3952,1.4541,0.0557,17.6
WIKTOZ,61.93,0.99,153.21,3.24,-3.4719,-1.5908,0.3567,-0.2102,1.3893,1.8846,6.0113,8.5153,0.44,1.075,10.1808,6.3073,12.522,9.8141,1.5752,1.5071,1.6257,0.3442,1.6779,0.0543,15
RUDLOT,88.76,9.76,211.92,2.46,-3.4356,-1.8367,0.303,-0.2029,1.3321,3.1226,5.9917,8.4745,0.44,1.0194,10.1717,6.3036,12.5982,9.7952,1.2693,1.3747,1.2447,0.0878,1.4622,0.0646,20.9
WODZIZ,81.47,-0.27,171.96,1.86,-4.8958,-3.0269,0.2297,-0.1713,1.3216,2.9649,5.8573,6.8543,0.4402,0.9868,10.1277,6.36,12.6543,9.7561,1.1974,1.3997,1.1199,0.1163,1.3747,0.0113,4.7
KDECEO,62.02,1.09,153.35,2.18,-3.5301,-1.6154,0.3534,-0.2094,1.3935,1.8879,6.004,8.5181,0.4403,1.0542,10.179,6.309,12.5259,9.8116,1.5518,1.5135,1.6516,0.331,1.6816,0.0468,16.6
RUSZOV,71.39,8.1,167.35,1.7,-4.4719,-2.8389,0.3566,-0.1511,1.3224,2.943,5.8037,8.4138,0.4404,0.9722,10.1345,6.2884,12.6061,9.7489,1.1784,1.2087,1.3385,0.1172,1.4958,0.0536,26.7
QQQGEM01,63.28,0.81,183.56,1.98,-3.4844,-1.5974,0.2796,-0.2176,1.3947,1.9461,6.0116,7.2724,0.4405,1.0529,10.1848,6.3264,12.5565,9.8374,1.571,1.518,1.6714,0.3421,1.382,0.01,21.4
YIXPOL,82.55,-1.95,212.39,1.92,-4.6348,-2.8581,0.2655,-0.1686,1.3486,3.225,5.9174,8.465,0.4405,0.9913,10.1364,6.3205,12.6695,9.7446,1.2428,1.2856,1.2429,0.1196,1.4839,0.0766,26.7
VESMAJ,88.33,3.19,178.99,1.7,-4.4704,-2.7017,0.381,-0.1737,1.3382,2.0564,5.8886,8.334,0.4406,1.0025,10.1341,6.3025,12.5819,9.7346,1.5639,1.492,1.5663,0.3648,1.4909,0.0651,8.5
YUMPIG,81.22,-13.28,176.5,1.82,-4.4062,-2.6625,0.2134,-0.1731,1.326,2.7795,5.8818,7.0986,0.4407,0.9938,10.143,6.3491,12.6614,9.776,1.2815,1.3036,0.9819,0.1191,1.2897,0.0096,28.3
XOCFAW,76.92,7.45,176.32,2.27,-3.2757,-2.0916,0.2656,-0.2259,1.3617,3.0774,6.0182,7.0494,0.4411,1.046,10.1815,6.2978,12.5781,9.8585,1.2477,1.2521,1.3313,0.0924,1.3117,0.014,42.8
DIQPEB,81.86,2.46,191.22,2.43,-4.3242,-3.4446,0.3062,-0.1678,1.3412,2.052,5.876,6.9925,0.4413,0.996,10.1435,6.323,12.6327,9.7381,1.4881,1.472,1.7097,0.3717,1.4164,0.0081,6.5
POFPIK,61.55,1.18,152.29,2.52,-3.4987,-1.5937,0.3594,-0.2106,1.3828,1.917,6.019,8.5239,0.442,1.0261,10.1785,6.3094,12.5172,9.8139,1.5426,1.5281,1.6448,0.3322,1.67,0.048,15.7
FUZTIE,61.91,1.19,152.95,2.67,-3.5701,-1.6158,0.3619,-0.21,1.3881,1.9293,6.0193,8.5533,0.442,1.0732,10.1772,6.3052,12.5177,9.8152,1.5846,1.4957,1.629,0.3464,1.673,0.0512,15
YULMOK,82.62,3.82,188.8,1.44,-4.5266,-3.7228,0.2907,-0.1736,1.3368,2.0359,5.8193,6.9823,0.4421,1.0086,10.1391,6.3331,12.6406,9.7357,1.4148,1.4784,1.742,0.385,1.4003,0.0086,13.2
OJIRUX,79.52,7.24,191.8,1.86,-4.6029,-3.6525,0.3051,-0.1518,1.3412,2.1061,5.8213,6.9044,0.4422,1.0122,10.1376,6.318,12.6339,9.743,1.3725,1.5083,1.7381,0.3339,1.4214,0.0083,10.9
UTOHAN,61.23,1.48,151.28,2.06,-3.6866,-1.68,0.3552,-0.2108,1.4002,1.9408,6.0247,8.5876,0.4425,1.0494,10.1747,6.3106,12.5172,9.8171,1.5266,1.5123,1.6473,0.3442,1.6837,0.0482,13.9
HISGEY,61.56,1.22,153.11,2.74,-3.5298,-1.6559,0.3553,-0.2086,1.41,1.846,6.0336,8.4859,0.4426,1.0307,10.1785,6.3086,12.5202,9.816,1.5373,1.5254,1.5947,0.4087,1.6745,0.0434,16.5
KAMJOZ01,82.91,8.36,184.48,1.83,-3.8298,-2.462,0.3351,-0.1646,1.3178,1.9678,5.8581,7.1131,0.4427,0.9988,10.1553,6.3018,12.5916,9.7715,1.5267,1.4915,1.6941,0.3825,1.2776,0.0284,32.3
FORHAV,78.6,7.03,175.33,3.65,-4.4725,-2.7494,0.2842,-0.1815,1.3683,3.1105,5.7701,8.4402,0.4428,0.9989,10.1346,6.3368,12.6254,9.7535,2.8466,3.2188,2.8176,0.1795,1.4619,0.0698,16.5
