Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,Cu-I-C,N-Cu-I,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
HUJBOE,85.63,1.62,16.1,-3.1188,-2.175,1.98,1.94,-0.07,-0.01,2.43,82.06,83.63,0.0237,-0.588,-0.8355,2.2876,2.5786,1.3674,28.8482,7.2507,25.2688,8.4238,0.7041,0.2991,0.4381,1.2206,3.216,3.6161,3.5266,2.0175,2.0281,6.2936,9.8343,1.4513,0.4305,0.0567,2.7893,3.5581,-377.01,1.23,126.39,40.3
NELKEV,63.41,1.25,23.1,-3.4497,-2.1941,2.02,2.18,0.02,-0.09,2.4,82.9,83.14,0.0647,-0.235,-0.2305,2.057,2.5941,1.4203,28.8451,7.2393,25.2171,8.4315,0.7722,0.2993,0.4373,1.2137,3.2121,3.5609,3.5594,2.0189,2.0262,6.3782,9.9091,1.3888,0.0833,0.0172,2.7889,3.5584,-380.18,1.23,126.63,43.7
APAPIR,85.74,-2.47,15,-3.2817,-2.6221,2.06,1.93,0.01,0.01,2.56,76.44,87.16,-0.0295,-0.4734,-0.6652,2.1796,2.5563,1.3847,28.9081,7.2147,25.2588,8.4401,0.6216,0.2997,0.3711,1.2599,3.2172,3.6669,3.738,2.0219,2.0343,6.3152,9.8678,1.4548,0.3805,0.034,2.7851,3.55,-378.6,1.24,126.08,46.2
OJIVUA,97.87,-2.12,26.3,-3.3495,-2.2421,1.9,1.93,-0.02,-0.02,2.45,76.23,82.32,0.0019,-0.8445,-0.6081,2.372,2.5841,1.2668,28.7979,7.2596,25.299,8.4021,0.6925,0.3001,0.5858,1.1949,3.2167,3.5598,3.6386,2.0196,2.0185,6.2758,9.8168,1.7641,0.4574,0.0633,2.7912,3.5575,-427.17,1.23,126.15,41.2
VINCAM,84.12,-0.22,21.1,-3.2128,-2.6474,1.93,2.08,0.02,0,2.58,76.3,87.9,-0.0564,-0.8006,-0.4952,2.1772,2.5499,1.3539,28.8995,7.1928,25.282,8.4092,0.5911,0.3002,0.6122,1.2558,3.2187,3.7444,3.7539,2.0238,2.0346,6.3181,9.8613,1.7613,0.4181,0.0666,2.7869,3.5511,-372.1,1.24,126.06,46.3
LOBXOS,83.89,0.68,23.8,-3.1402,-2.4541,1.97,2.06,0,-0.06,2.52,76.47,85.22,-0.0143,-0.7941,-0.474,2.1094,2.5559,1.3808,28.8831,7.2096,25.2693,8.4325,0.6642,0.3002,0.5752,1.2622,3.2197,3.7632,3.7688,2.0223,2.0446,6.309,9.8718,1.7507,0.4233,0.0708,2.7864,3.5498,-399.11,1.23,125.57,47.6
SAQHUN,86.68,8.19,14.3,-3.2437,-2.5467,1.93,1.96,-0.08,-0.06,2.49,80.76,86.88,0.0127,-0.6096,-0.6819,2.3673,2.6264,1.3816,28.879,7.2747,25.266,8.4139,0.6361,0.3002,0.5223,1.2319,3.218,3.4771,3.6777,2.0228,2.0179,6.2902,9.8374,1.5089,0.3999,0.0487,2.7905,3.5564,-397.18,1.23,125.97,38.1
GLITOX10,90.34,8.06,20.5,-3.0366,-2.2783,1.93,2.07,-0.03,-0.08,2.47,82.58,83.48,0.0237,-0.854,-0.6106,2.2247,2.5986,1.3534,28.8576,7.2459,25.2763,8.404,0.6775,0.3006,0.6203,1.2152,3.2234,3.4923,3.7044,2.0209,2.0217,6.3149,9.8386,1.6397,0.4306,0.0876,2.7914,3.5569,-397.06,1.23,125.85,42.5
MANRAX,84.08,0.2,16.7,-3.0479,-2.5609,2.08,1.92,-0.02,0.01,2.56,76.51,87.01,-0.0551,-0.4906,-0.8477,2.16,2.5512,1.347,28.8731,7.2055,25.2875,8.4353,0.6,0.3006,0.3531,1.2636,3.2184,3.7486,3.7645,2.0261,2.0325,6.3177,9.859,1.4779,0.4636,0.0723,2.7873,3.5551,-367.81,1.24,126.19,46.6
MIKFAN,84.5,-0.65,17.8,-3.2085,-2.2478,1.97,2.12,0,-0.04,2.45,80.57,85.88,0.0279,-0.8127,-0.5867,2.1355,2.5888,1.3968,28.8745,7.2372,25.2627,8.4239,0.6651,0.3007,0.5785,1.2202,3.2133,3.4455,3.6899,2.023,2.0196,6.3075,9.8722,1.7741,0.3773,0.0368,2.7893,3.5582,-377.01,1.23,126.66,40.4
