Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,Cu-I-C,N-Cu-I,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
BATNOB,84.44,0.5,12.9,-3.4118,-2.2508,1.97,2.02,0.01,-0.05,2.43,82.22,83.58,0.0294,-0.2303,-0.1233,2.2486,2.6233,1.3951,28.8569,7.2507,25.2434,8.4234,0.7189,0.292,0.5512,1.2237,3.2161,3.4743,3.6598,2.0266,2.0197,6.372,9.8702,1.3902,0.0946,0.0133,2.7894,3.5566,-391.03,1.23,126.64,36.5
NEQNEE,85.14,0.15,18.3,-3.4183,-2.1951,1.98,2.01,0.01,-0.05,2.41,81.54,83.39,0.0509,-0.7347,-0.095,2.2513,2.5817,1.4038,28.8847,7.2514,25.235,8.4211,0.7152,0.2996,0.5873,1.1959,3.2145,3.4869,3.6239,2.0222,2.0204,6.3244,9.8642,1.5997,0.0953,0.0157,2.7891,3.5568,-380.91,1.23,126.7,37.9
NILLAX,96.66,-1.94,14.2,-3.3409,-2.3003,1.94,1.96,-0.03,-0.02,2.43,78.28,81.24,0.0442,-0.6848,-0.5008,2.1088,2.5441,1.4187,28.8422,7.2166,25.2126,8.4581,0.7208,0.242,0.5759,1.3081,3.217,3.5195,3.7371,2.0243,2.0288,6.2882,9.8682,1.5917,0.3935,0.0327,2.7843,3.5546,-392.59,1.23,126.41,42.5
TCYMBP10,86.83,8.42,19.3,-3.7125,-2.403,1.97,1.97,-0.07,-0.07,2.48,79.63,86.68,0.0282,-0.6795,-0.6632,2.4152,2.6496,1.3492,28.8825,7.2532,25.2666,8.4122,0.7365,0.387,0.5882,1.1854,3.2078,3.7386,3.4576,2.0143,2.0383,6.2723,9.8239,1.6157,0.4632,0.0674,2.7903,3.5589,-395.5,1.23,125.94,35.4
JOWTIA,86.72,-1.78,15.1,-4.5595,-3.7777,1.92,2.07,0.01,0.05,2.57,73.81,92,0.0334,-0.5054,-0.5379,2.5911,2.8268,1.4062,28.8912,7.2294,25.2034,8.3819,0.5814,0.5116,0.6458,1.1476,3.1999,3.5177,3.6321,2.0134,2.0161,6.2842,9.7812,1.4647,0.3621,0.0462,2.7912,3.5527,-426.65,1.22,124.63,32.3
PEWROA,100.85,-0.27,21.9,-2.9174,-1.5376,1.94,2.04,0.03,-0.03,2.3,97.06,59.1,0.1742,-0.8189,-0.1879,2.2276,2.6253,1.5594,28.9487,7.164,25.1735,8.5025,0.73,0,0.6466,1.5558,3.2027,3.8675,3.6837,2.0579,2.0563,6.3369,9.8384,1.7001,0.0796,0.0162,2.7828,3.5602,-271.36,1.24,128.73,48.5
HECRIQ,62.76,-0.02,15.5,-3.1651,-2.0011,2.12,2.08,-0.04,0.02,2.37,82.79,65.23,0.0936,-0.5796,-0.5862,2.2624,2.7523,1.4595,29.0083,7.1814,25.2068,8.5102,0.7434,0,0.4173,1.587,3.1933,3.5973,3.7425,2.0361,2.0452,6.292,9.8613,1.5967,0.3399,0.058,2.7747,3.5106,-336.78,1.27,127.88,48.8
BIYVOV,84.63,-1.38,20.1,-4.2302,-3.3567,2,2.04,-0.03,0.05,2.34,84.19,63.56,0.1783,-0.0368,-0.5879,2.6471,2.8017,1.5115,28.9917,7.1335,25.1129,8.4449,0.7679,0,0.5453,1.6255,3.1961,3.6591,3.555,2.0373,2.021,6.2806,9.8164,1.2057,0.3981,0.0399,2.776,3.5016,-372.47,1.27,128.2,34.9
TOKQUF,87.27,-3.5,14.9,-4.6699,-3.9544,1.89,2.08,0.28,-0.15,2.59,72.74,93.02,0.0617,-0.5078,-0.5471,2.632,2.8582,1.4406,28.8647,7.2251,25.1745,8.3875,0.5651,0.54,0.6312,1.1502,3.1921,3.5356,3.6146,2.0152,2.0145,6.2821,9.7617,1.4632,0.3844,0.0328,2.7904,3.5532,-417.33,1.22,124.39,20.9
OXTETK,85.3,6.77,19.9,-2.8281,-2.519,1.89,2.02,-0.02,-0.05,2.64,76.59,90.76,-0.1003,-0.6721,-0.6265,2.4845,2.5935,1.3081,28.9756,7.2051,25.3284,8.4132,0.5041,0.3644,0.7044,1.2587,3.2158,3.6084,3.7492,2.0227,2.0306,6.3092,9.8207,1.5953,0.4219,0.0464,2.7855,3.5532,-328.72,1.24,125.85,44.2
UXEYIG,83.57,0.61,16.5,-3.4451,-2.1495,1.99,2,-0.01,-0.04,2.4,82,81.35,0.0658,-0.1843,-0.1284,2.2185,2.5725,1.3969,28.8825,7.2467,25.226,8.4132,0.7298,0.2604,0.5143,1.2206,3.2153,3.4588,3.6552,2.0193,2.0223,6.3765,9.8765,1.3493,0.0958,0.0179,2.7881,3.5559,-380.9,1.23,126.39,40.2
DEFFID,82.86,2.66,17,-4.1544,-2.5338,2.13,2,-0.1,0.01,2.34,81.58,63.74,0.1461,-0.5215,-0.5319,2.2528,2.7474,1.4193,28.8651,7.1752,25.1627,8.5032,0.7832,0,0.2816,1.5636,3.1972,3.7916,3.5364,2.0507,2.0234,6.2589,9.8439,1.5141,0.3883,0.0614,2.7749,3.498,-372.38,1.27,128.25,24.9
MISLIK,82.64,-0.34,14.9,-4.1113,-3.7269,2.02,2.02,0,0,2.51,76.13,88.26,-0.0109,-0.1109,-0.1028,2.2877,2.7441,1.3326,28.7906,7.2615,25.2581,8.4162,0.6451,0.4162,0.46,1.1704,3.212,3.5302,3.6505,2.0157,2.0177,6.3504,9.8545,1.214,0.0933,0.0154,2.7923,3.5526,-438.37,1.22,124.5,33.7
HOFWEF,82.64,-0.18,14.9,-4.1106,-3.7268,2.02,2.02,0,0,2.51,76.16,88.27,-0.011,-0.1109,-0.1027,2.2881,2.7439,1.3329,28.7907,7.2612,25.258,8.4162,0.6449,0.4157,0.4601,1.1705,3.212,3.5313,3.6485,2.0156,2.0178,6.3503,9.8544,1.2146,0.0933,0.0153,2.7923,3.5526,-438.19,1.22,124.5,33.8
JABCUN,85.75,-1.57,20.5,-4.0793,-3.353,1.99,2.05,-0.05,0.08,2.53,72.38,90.55,0.0154,-0.5583,-0.5329,2.3705,2.7558,1.3583,28.8769,7.2477,25.2439,8.3894,0.5935,0.4645,0.533,1.1591,3.2023,3.4967,3.6732,2.0172,2.0161,6.2821,9.834,1.4956,0.3569,0.0387,2.7915,3.5545,-440.31,1.22,124.93,22
ZIPQEW,96.17,-2.05,17.2,-3.0459,-2.2574,1.96,2.01,-0.01,-0.02,2.43,81.55,83.69,0.0293,-0.7673,-0.57,2.2231,2.5907,1.3577,28.8158,7.2553,25.2734,8.425,0.6953,0.2887,0.5368,1.2132,3.215,3.4625,3.6701,2.0221,2.0206,6.2838,9.8561,1.6049,0.3635,0.0408,2.7889,3.5572,-384.33,1.23,126.2,33.9
WOBNOQ,80.98,0.85,19.2,-4.5336,-3.4145,2.01,2.04,0,-0.06,2.51,77.12,87.26,0.0346,-0.0238,-0.5946,2.4351,2.7303,1.3713,28.8786,7.267,25.2132,8.3783,0.6503,0.472,0.5746,1.1208,3.211,3.6405,3.6421,2.0238,2.0164,6.3311,9.8043,1.2988,0.4147,0.0494,2.7921,3.5513,-431.22,1.22,124.69,26.4
OKAGOW,92.9,1.74,24.1,-3.4043,-2.0462,2,2.02,-0.02,-0.07,2.4,78.16,81.45,0.0263,-0.2114,-0.161,2.1181,2.5898,1.3138,28.8091,7.2658,25.2792,8.4147,0.7352,0.3138,0.4791,1.1951,3.2094,3.4303,3.7246,2.0233,2.0216,6.3564,9.8958,1.3734,0.1206,0.0158,2.7873,3.5556,-394.7,1.23,126.58,36.9
KULNEN,84.7,13.45,18.7,-3.3754,-2.1819,2.01,2.05,-0.1,-0.13,2.42,84.81,80.7,0.0694,-0.6755,-0.1647,2.1949,2.6106,1.3909,28.8585,7.2502,25.2378,8.4073,0.7652,0.2371,0.4889,1.2495,3.2207,3.5056,3.6782,2.0186,2.0187,6.332,9.8732,1.5896,0.0856,0.0215,2.7881,3.5553,-393.46,1.23,126.33,44
MALPAR,82.52,1.44,19.1,-4.6708,-4.1546,2,2.07,-0.01,-0.05,2.55,76.79,89.43,0.0121,-0.0938,-0.1037,2.4832,2.8026,1.3899,28.8035,7.2439,25.207,8.4283,0.6318,0.477,0.5363,1.1506,3.2087,3.5754,3.5887,2.0117,2.0197,6.3558,9.7987,1.2166,0.0909,0.015,2.7917,3.5493,-438.92,1.22,124.16,31.7
RUZSIQ,84.67,0.77,18.8,-3.4265,-2.1479,1.99,2.02,-0.01,-0.04,2.4,84.19,81.55,0.0652,-0.7327,-0.0943,2.2075,2.5665,1.4308,28.8877,7.2518,25.2146,8.4257,0.7585,0.2637,0.5749,1.208,3.2171,3.4351,3.6793,2.0266,2.0194,6.3317,9.8677,1.6192,0.0938,0.0154,2.7886,3.5565,-372.42,1.23,126.89,38.5
LALJIV,79.98,-1.7,8.4,-3.9477,-2.6792,2.21,2.03,0.04,-0.01,2.47,75.84,83.57,0.0248,-0.3183,-0.5916,1.8082,2.5259,1.4225,28.7355,7.2315,25.2026,8.5021,0.7138,0.2793,0.2775,1.2462,3.2139,3.6913,3.73,2.0239,2.0321,6.34,9.9123,1.299,0.3758,0.038,2.7865,3.5512,-433.53,1.24,124.9,34.9
SUPKUK,82.32,-0.08,14.9,-3.9776,-2.5948,2.03,2.02,0,0,2.47,76.37,85.84,0.003,-0.1143,-0.1069,2.2273,2.7081,1.3294,28.7861,7.2692,25.2561,8.4159,0.6792,0.3925,0.4593,1.1731,3.2116,3.5179,3.6458,2.0158,2.0185,6.3524,9.8619,1.2125,0.0942,0.0166,2.7922,3.5539,-437.47,1.22,125.21,35.5
RUSKEV,92.67,0.77,20.1,-3.9366,-2.5526,2.15,1.97,-0.14,0.04,2.49,73.09,88.14,0.0098,-0.5299,-0.4693,1.9984,2.6937,1.2944,28.7751,7.2734,25.2744,8.3979,0.6432,0.4439,0.2932,1.1654,3.2071,3.5413,3.6413,2.0153,2.016,6.2863,9.8759,1.5138,0.3692,0.0439,2.7923,3.556,-443.03,1.22,124.94,33.8
ZELFOO,90.2,-1.22,8,-3.4865,-2.5043,2.15,2.06,-0.02,-0.02,2.48,74.67,84.93,0.0181,-0.5837,-0.5224,1.9823,2.5174,1.411,28.8957,7.2239,25.2231,8.4292,0.6911,0.2916,0.4093,1.2256,3.2142,3.8276,3.6715,2.0451,2.0297,6.3097,9.909,1.5841,0.3258,0.0757,2.7863,3.5551,-425.87,1.23,125.57,51.9
KUBJOI,87.98,-3,23.4,-4.3593,-2.4505,2.3,2.04,-0.03,0.05,2.44,71.99,84.99,0.0405,1.0455,-0.6229,2.365,2.6148,1.3203,28.9561,7.2756,25.2404,8.3977,0.6624,0.3949,0.8136,1.148,3.2075,3.5312,3.6216,2.0161,2.0185,6.3689,9.8787,2.8455,0.3935,0.0471,2.7909,3.5553,-441.57,1.22,125.78,30.1
SESBAN,64.64,-2.52,13.8,-3.4752,-2.483,2.06,2.07,-0.06,0.19,2.47,73.44,85.04,-0.0052,-0.0995,-0.6212,2.0561,2.5787,1.3901,28.895,7.2501,25.2392,8.4613,0.7194,0.3424,0.3982,1.2317,3.2128,3.7572,3.7442,2.0286,2.0382,6.3481,9.9064,1.2563,0.3622,0.0643,2.7863,3.5566,-440.73,1.23,125.82,52.9
WILTIV,83.5,1.88,22,-3.2205,-2.0731,2.04,2,-0.05,-0.04,2.39,80.52,80.73,0.0953,-0.1068,-0.5852,2.0115,2.5466,1.4015,28.7952,7.2681,25.2447,8.4019,0.7619,0.2798,0.4094,1.1799,3.2165,3.527,3.6238,2.0262,2.0264,6.3273,9.8878,1.2514,0.3724,0.0475,2.789,3.5556,-398.17,1.23,126.53,46.5
COSVOX,82.56,-0.02,16,-3.819,-2.3626,2.05,2.05,-0.03,-0.01,2.45,75.41,83.79,-0.0205,-0.1382,-0.1572,2.0968,2.6598,1.253,28.7836,7.2944,25.3023,8.4005,0.706,0.4041,0.4642,1.1141,3.2106,3.5372,3.6554,2.0145,2.021,6.3613,9.8848,1.2238,0.0927,0.0155,2.7923,3.5533,-445.43,1.22,125.42,36.7
EDIXIA,86.45,2.8,21.7,-4.0254,-2.9644,2.06,1.99,-0.07,-0.03,2.35,83.38,62.91,0.1402,-0.5593,-0.5645,2.3811,2.7363,1.4351,28.903,7.1694,25.1671,8.4878,0.7976,0,0.3946,1.5589,3.1976,3.7574,3.5541,2.0482,2.0223,6.2527,9.8304,1.5081,0.4207,0.0535,2.7749,3.5024,-360.13,1.27,128.27,33.4
DINNUJ10,110.25,-4.74,19.2,-3.0472,-2.002,1.91,1.96,-0.03,-0.05,2.39,80.18,80.16,0.046,-0.8725,-0.6027,2.3669,2.5597,1.3044,28.8644,7.2386,25.2806,8.4159,0.7385,0.2689,0.6623,1.2181,3.2135,3.5297,3.6193,2.0204,2.0204,6.2844,9.8384,1.7848,0.4446,0.079,2.7879,3.5571,-388.36,1.23,126.62,39.9
LUQJEN,78.79,1.13,19.9,-4.0285,-2.5778,2.08,2.09,0,-0.08,2.34,88.13,62.44,0.1618,-0.1441,-0.078,2.3307,2.7613,1.4993,28.9348,7.1674,25.1516,8.4606,0.7631,0,0.3835,1.5753,3.1967,3.7314,3.5681,2.0492,2.0235,6.3256,9.8798,1.3162,0.1175,0.0319,2.7739,3.5138,-357.88,1.26,128.12,42.2
IKIZOT,92.76,1.27,10.8,-3.597,-2.3813,2,1.98,-0.05,-0.02,2.47,79.9,87.07,0.0204,-0.5872,-0.5606,2.1982,2.6296,1.3664,28.8082,7.2582,25.2633,8.4111,0.6676,0.3616,0.4097,1.1986,3.2135,3.6027,3.5675,2.0157,2.0261,6.2805,9.8585,1.5013,0.3572,0.0246,2.7904,3.5569,-399.55,1.23,125.86,36.5
FAWFEP,82.18,-0.11,15.1,-3.9935,-2.6671,2.03,2.02,-0.01,0,2.48,76.28,86.53,-0.0015,-0.1146,-0.1079,2.2455,2.7206,1.3311,28.7886,7.2643,25.2571,8.4139,0.67,0.3988,0.4546,1.1743,3.2119,3.5273,3.6415,2.0155,2.0187,6.3534,9.8604,1.2262,0.0934,0.0157,2.7922,3.5534,-438.6,1.22,125.03,34.2
SOBJUQ,80.34,-1.31,17.4,-4.383,-3.0964,1.98,2.11,0.01,-0.01,2.55,77.57,90.08,-0.0128,-0.5942,-0.0096,2.3592,2.7405,1.3499,28.8352,7.2353,25.2496,8.3824,0.6297,0.4203,0.5085,1.1566,3.2132,3.5752,3.6326,2.0154,2.0168,6.3226,9.8309,1.5247,0.1213,0.0236,2.793,3.5545,-434.14,1.22,124.22,21.6
PRUVAC,83.65,-0.45,7,-3.4807,-2.5465,1.94,2,0.01,0,2.53,76.29,89.93,-0.0097,-0.5338,-0.5529,2.3411,2.7108,1.3425,28.8323,7.2461,25.2804,8.3886,0.5912,0.4285,0.5196,1.1723,3.2086,3.5418,3.6351,2.0155,2.0201,6.2866,9.8368,1.4047,0.3504,0.0315,2.7915,3.5539,-419.78,1.22,125.48,37
MELVUV,81.49,0.3,16.6,-3.9316,-2.9472,2.01,2.12,-0.03,-0.01,2.46,79.05,85.06,0.0322,-0.6044,-0.0757,2.1891,2.6418,1.362,28.8533,7.2684,25.236,8.3892,0.6823,0.3875,0.4755,1.142,3.2164,3.6364,3.6584,2.0289,2.0187,6.3293,9.8666,1.5287,0.1139,0.0196,2.7916,3.553,-424.71,1.22,125.44,37.4
WUKZAE,93.1,1.14,16.7,-3.3615,-2.2627,1.97,1.96,-0.06,-0.04,2.42,80.23,80.52,0.0638,-0.7067,-0.5109,2.0462,2.539,1.4539,28.8382,7.2014,25.1983,8.4461,0.7155,0.21,0.5316,1.3497,3.2154,3.6369,3.7123,2.0305,2.0329,6.2973,9.8723,1.5737,0.417,0.0581,2.7826,3.55,-382.54,1.24,126.69,44
VUXVIU,83.26,0.83,16.4,-3.4668,-2.1826,2,2,0,-0.04,2.4,81.94,81.26,0.0705,-0.1843,-0.1269,2.2032,2.5654,1.4019,28.8775,7.2431,25.2193,8.4109,0.7359,0.2571,0.5069,1.2196,3.215,3.4482,3.6812,2.0229,2.0219,6.377,9.878,1.3279,0.0957,0.0176,2.7881,3.5558,-381.68,1.23,126.38,40.2
GEKCIL,63.43,0.24,17.1,-3.6925,-2.4127,2.05,2.11,0.02,-0.05,2.48,80.08,88.54,0.0351,-0.5727,-0.5521,2.1523,2.6228,1.4307,28.9467,7.258,25.2323,8.4183,0.6511,0.3674,0.4682,1.1818,3.2129,3.5076,3.6906,2.0239,2.0171,6.3248,9.8716,1.5422,0.3266,0.0449,2.79,3.5566,-396.18,1.23,125.86,24.1
DUKXAL,63.19,0.28,21.4,-3.1823,-2.6427,2.05,2.11,0.02,-0.04,2.37,83.26,64.55,0.1129,-0.6265,-0.5561,2.3148,2.7136,1.4394,29.002,7.1753,25.2043,8.4817,0.7726,0,0.4335,1.5656,3.1987,3.494,3.7498,2.0418,2.0296,6.2901,9.8409,1.5048,0.3156,0.0529,2.7751,3.5034,-365.92,1.27,128.48,45.8
AGOSUM,82.29,-0.07,15.1,-3.9364,-2.5082,2.03,2.02,-0.01,-0.01,2.46,76.53,85.33,0.0059,-0.1163,-0.1106,2.2148,2.6975,1.3301,28.785,7.2674,25.2573,8.4119,0.6813,0.3845,0.4545,1.1757,3.2117,3.5197,3.6437,2.0161,2.0189,6.3533,9.8648,1.2135,0.0942,0.0165,2.792,3.5542,-435.57,1.22,125.34,35.2
YISNEW,62.95,0.3,14.3,-3.1652,-1.993,2.09,2.1,0,-0.03,2.39,83.22,65.4,0.0736,-0.5901,-0.5888,2.2963,2.7443,1.4369,28.9917,7.1718,25.2221,8.4575,0.7034,0,0.4163,1.5635,3.2047,3.6246,3.704,2.0447,2.0378,6.2907,9.8496,1.5714,0.3366,0.0546,2.7764,3.5005,-343.64,1.27,128.42,51.9
EWADAI01,88.53,-5.74,12.9,-4.41,-3.6056,2.15,2.07,0.37,-0.14,2.35,82.81,64.56,0.1659,-0.3426,-0.3385,2.5239,2.7524,1.5086,28.9624,7.1829,25.1015,8.4654,0.7579,0,0.3587,1.5685,3.1955,3.9092,3.5324,2.056,2.0299,6.3112,9.849,1.2422,0.0891,0.0192,2.7741,3.5042,-364.33,1.27,128.34,32.8
DAMNEM,82.78,-0.38,14.9,-4.0116,-3.1832,2.02,2.02,0,0,2.48,76.29,86.6,-0.0016,-0.1143,-0.1073,2.2482,2.7211,1.3308,28.7861,7.2672,25.2575,8.4153,0.6693,0.4003,0.4598,1.1729,3.2116,3.5163,3.6538,2.0163,2.018,6.3515,9.86,1.2145,0.0935,0.0158,2.7922,3.5535,-439.99,1.22,125.05,34.9
CEDGUN,82.42,-1.21,13.6,-4.2315,-3.2076,2.12,1.94,-0.07,0.1,2.54,74.34,91.21,0.0128,-0.5927,-0.4564,2.2022,2.7654,1.3619,28.7548,7.2459,25.2458,8.3862,0.5905,0.4632,0.3269,1.1609,3.2042,3.5232,3.638,2.013,2.0177,6.2842,9.8381,1.523,0.3827,0.0368,2.7923,3.555,-431.32,1.22,124.43,22.3
DIVLOM,82.76,-0.32,14.9,-4.0205,-3.2979,2.02,2.02,0,0,2.48,76.23,86.61,-0.0013,-0.1142,-0.1071,2.2474,2.7229,1.3302,28.7855,7.2684,25.2575,8.4156,0.6694,0.4022,0.4587,1.1726,3.2116,3.5135,3.6568,2.0164,2.0178,6.3514,9.86,1.2122,0.0935,0.0159,2.7922,3.5535,-440.52,1.22,125.03,34.7
SEZREV,80.74,0.42,18.7,-4.1018,-2.655,2.01,2.11,-0.01,-0.03,2.48,78.41,86.57,0.0452,-0.597,-0.0641,2.243,2.6663,1.4043,28.8491,7.246,25.2234,8.3857,0.6748,0.3611,0.4772,1.1696,3.2146,3.5161,3.642,2.0164,2.0199,6.3285,9.8638,1.5261,0.115,0.0208,2.7921,3.5555,-432.16,1.23,125.15,35.3
XAJDOC,86.73,0.52,19.3,-3.2359,-2.2743,1.94,2.03,0,-0.08,2.45,82.85,84.39,0.0259,-0.7399,-0.0896,2.275,2.5926,1.4109,28.8771,7.2606,25.2469,8.4168,0.6914,0.2547,0.6349,1.2538,3.2197,3.4868,3.6489,2.0253,2.0201,6.3313,9.8661,1.6331,0.0949,0.0133,2.7905,3.559,-383.53,1.23,126.72,34.1
YESLUG,84.88,0.25,11.2,-3.5847,-2.724,1.97,1.98,-0.01,-0.02,2.5,77.51,87.54,0.0137,-0.1052,-0.5938,2.3335,2.6629,1.3496,28.829,7.2553,25.2553,8.389,0.6346,0.4068,0.5033,1.1565,3.2119,3.6039,3.615,2.0194,2.0225,6.3201,9.8413,1.2104,0.3746,0.0372,2.7914,3.5535,-418.21,1.22,125.46,34.2
CERDIM,80.38,-13.66,18.1,-4.3897,-3.6778,2.11,1.99,0.38,0.06,2.45,71.5,86.23,0.2184,-0.0318,-0.627,2.2939,2.6667,1.4402,28.7972,7.2463,25.1889,8.3785,0.7063,0.4211,0.4452,1.1264,3.2055,3.4801,3.6459,2.0229,2.0226,6.3245,9.8183,1.2663,0.4519,0.0468,2.7909,3.5521,-463.98,1.22,124.79,33
PUQQAT,86.62,-1.74,16.5,-4.1298,-3.2433,1.96,2.07,0.13,-0.09,2.53,72.95,90.63,0.0167,-0.5222,-0.6056,2.3787,2.7573,1.358,28.863,7.2378,25.2451,8.3869,0.5936,0.4668,0.5246,1.1611,3.2017,3.5024,3.6585,2.0145,2.0187,6.2807,9.83,1.4908,0.402,0.0381,2.7916,3.5547,-437.12,1.22,124.78,36.9
ZULXUC,85.36,-0.13,19.1,-3.7113,-2.3811,1.96,2.03,-0.01,-0.03,2.36,83.91,78.57,0.1241,-0.1805,-0.125,2.1668,2.5681,1.4433,28.9019,7.2648,25.1969,8.4304,0.7654,0.2097,0.5709,1.241,3.2152,3.4224,3.6437,2.0274,2.0211,6.3868,9.8818,1.3392,0.0902,0.016,2.787,3.5566,-367.47,1.23,126.59,40.4
YIRFAH,80.04,0.41,17.6,-4.1275,-2.891,2.1,2.03,-0.01,-0.06,2.47,77.6,85.73,0.0264,-0.0472,-0.5909,2.2007,2.6681,1.3406,28.837,7.274,25.2445,8.3833,0.6606,0.413,0.4597,1.1305,3.2146,3.6012,3.6375,2.0214,2.0176,6.327,9.861,1.3021,0.4066,0.0437,2.7921,3.5529,-433.03,1.22,125.1,25.5
IGODIU,82.34,-0.41,14.5,-4.3087,-3.0566,1.99,2.05,0.02,-0.02,2.52,77.37,89.02,-0.0024,-0.1093,-0.0737,2.3951,2.7499,1.3552,28.8275,7.2472,25.2411,8.4061,0.6507,0.4377,0.5114,1.1603,3.211,3.5334,3.6386,2.0148,2.0181,6.3506,9.8417,1.2229,0.1115,0.0221,2.7925,3.5546,-432.3,1.22,124.31,33.4
OHOVEP,86.42,0.34,16.2,-3.0709,-2.1015,1.95,1.98,-0.01,-0.06,2.43,82.52,83.75,0.0294,-0.8145,-0.6069,2.2885,2.5904,1.3813,28.8542,7.2529,25.2614,8.4243,0.7094,0.2976,0.5813,1.2254,3.2152,3.5503,3.5853,2.0164,2.0254,6.291,9.8396,1.7099,0.4368,0.0413,2.789,3.5582,-368.38,1.23,126.55,45.6
ZEQREV,83.28,0.13,17.6,-3.8607,-2.4016,2.02,2.03,-0.01,-0.01,2.43,77.26,83.96,0.0195,-0.1181,-0.1124,2.1798,2.6655,1.3306,28.7841,7.2768,25.2543,8.4148,0.7092,0.3678,0.4607,1.1761,3.2114,3.5379,3.6087,2.0148,2.0216,6.3527,9.8718,1.2165,0.0948,0.0178,2.7914,3.5551,-429.48,1.23,125.86,35.1
FACVUB,90.84,0.02,14.1,-3.4503,-2.2941,2.01,1.97,-0.04,-0.02,2.45,80.56,85.77,0.0288,-0.6625,-0.5416,2.1332,2.5958,1.3803,28.8148,7.2492,25.2586,8.4125,0.6793,0.334,0.4019,1.2027,3.2126,3.6058,3.5764,2.0192,2.0257,6.2809,9.8677,1.5393,0.3652,0.0302,2.7897,3.5577,-386.84,1.23,126.36,36.1
TEKRIN,87.61,-1.62,16.3,-4.3774,-3.7461,1.93,2.07,0.04,-0.01,2.52,73.21,89.84,0.0349,-0.5801,-0.1116,2.5352,2.7897,1.3773,28.89,7.2468,25.2156,8.4213,0.6077,0.4728,0.6477,1.1618,3.2013,3.5301,3.6227,2.0138,2.0186,6.3016,9.8103,1.4814,0.0925,0.0146,2.7904,3.5519,-445.38,1.22,124.49,34.7
LOSMUC,108.01,-1.67,25.9,-3.1053,-2.0412,1.92,1.98,-0.02,-0.01,2.39,82.03,79.64,0.056,-0.8593,-0.4703,2.2199,2.541,1.3245,28.8863,7.2576,25.2595,8.4014,0.7294,0.2401,0.6982,1.2185,3.2208,3.4854,3.6502,2.02,2.0207,6.2887,9.8604,1.6892,0.4083,0.0373,2.7888,3.5543,-385.54,1.23,126.71,47.3
MARZUA,92.92,2.81,17.6,-3.6203,-2.2839,2.03,2.06,-0.07,-0.08,2.41,76.78,81.1,0.031,-0.6535,-0.1731,1.9706,2.5803,1.314,28.7668,7.2678,25.2805,8.4002,0.6771,0.3427,0.3959,1.1524,3.2146,3.5093,3.6764,2.017,2.0258,6.3252,9.893,1.5995,0.0887,0.0128,2.7909,3.5555,-426.6,1.23,125.97,43.9
QABWAV,82.69,-0.17,15.2,-3.9848,-2.605,2.03,2.02,0,0,2.47,76.29,85.89,0.0025,-0.1156,-0.1088,2.2256,2.7112,1.327,28.7838,7.2703,25.2577,8.4144,0.678,0.3948,0.4549,1.1729,3.2114,3.5153,3.65,2.0159,2.0183,6.3519,9.8629,1.212,0.094,0.0164,2.7922,3.5539,-437.4,1.22,125.17,34.9
YEJQAH,82.27,-0.07,14.9,-3.9812,-2.5966,2.03,2.02,-0.01,0,2.47,76.47,85.77,0.0032,-0.1134,-0.1082,2.2246,2.7096,1.3283,28.7843,7.2707,25.2573,8.4156,0.675,0.3933,0.454,1.1747,3.2117,3.516,3.6466,2.0158,2.0184,6.3523,9.8621,1.2077,0.094,0.0166,2.7922,3.5539,-436.55,1.22,125.23,35.3
EWIQUY,90.26,5.86,15.7,-3.3945,-2.2419,1.95,1.98,-0.05,-0.1,2.43,82.24,84.07,0.0359,-0.6778,-0.6252,2.2503,2.5783,1.3866,28.8255,7.2492,25.2485,8.4175,0.7229,0.3283,0.5219,1.1978,3.2143,3.5841,3.5577,2.0158,2.026,6.2779,9.8471,1.6253,0.4437,0.057,2.7895,3.5578,-379.12,1.23,126.45,38.3
PUWZAJ,93.72,3.97,16.5,-3.5181,-2.2025,1.93,2.02,-0.03,-0.1,2.41,83.44,81.32,0.0554,-0.7282,-0.0971,2.2313,2.5627,1.4012,28.8472,7.2577,25.2327,8.4165,0.7111,0.258,0.5967,1.2238,3.2184,3.5024,3.6283,2.0171,2.0229,6.3295,9.8636,1.5576,0.1182,0.0177,2.7895,3.5572,-372.58,1.23,126.37,46.4
