Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu_L1,Cu_L2,D_Cu_L1,D_Cu_L2,Cu_I,Cu_I_C,I_C_Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
FOMZUC,62.08,0.94,153.69,2.83,6.67,12.06,24.8,18.5,13.4,701.51,-3.435,-1.6168,2.15,2.09,-0.08,0.01,2.58,59.6,68.46,0.3457,-0.2089,0.2636,-0.5773,-0.5875,2.4464,3.832,1.4114,1.9243,1.9083,29.0385,6.0021,25.1217,8.4835,8.5211,0.5896,0.3685,0.452,2.9253,1.0477,1.0329,1.1119,3.5079,3.6453,3.7002,10.1829,2.0509,2.041,2.0337,2.0406,2.0167,6.3103,12.5247,4.2406,4.1684,4.1157,9.8193,1.9771,1.9803,1.9761,1.9364,1.9495,1.5385,1.5139,1.6359,0.3605,0.0562,0.0539,1.543,1.6697,1.4808,0.3684,0.0584,0.0478,-80.15,16.8
EFUZUD,61.68,1.42,152.41,1.77,6.01,10.16,23.6,14,9.4,629.58,-3.6437,-1.6585,2.19,2.09,-0.1,0,2.59,57,70.42,0.3568,-0.2093,0.2633,-0.5872,-0.5867,2.4779,3.8615,1.4004,1.8844,1.9487,29.0097,6.0085,25.112,8.5198,8.5221,0.577,0.3388,0.4528,2.9234,1.0505,1.041,1.1024,3.5523,3.6631,3.6408,10.1763,2.0432,2.0412,2.0372,2.0373,2.0174,6.3067,12.5224,4.2338,4.1746,4.114,9.814,1.9646,1.9793,1.9794,1.9468,1.944,1.5437,1.5224,1.6398,0.3431,0.0484,0.0454,1.5452,1.6783,1.4837,0.3493,0.0612,0.0452,-131.42,15
MEHROH,82.73,1.56,174.07,2.61,7.47,9.39,27.5,18.4,13.1,687.56,-4.4485,-3.894,2.29,1.99,-0.36,0.16,2.53,47.05,70.01,0.3857,-0.1596,0.1424,-0.4714,-0.5289,2.9336,3.8784,1.3341,2.0919,2.1376,29.1058,5.8492,25.1235,8.3889,8.4137,0.7445,0.2269,0.4536,2.9152,1.006,1.0309,1.1143,3.3347,3.8074,3.8205,10.1317,2.0458,2.0301,2.0143,2.0342,2.0073,6.299,12.5908,4.2609,4.2105,4.1193,9.7246,1.9866,1.9753,1.9862,1.8707,1.9058,1.3726,1.4962,1.7191,0.3417,0.0263,0.0444,1.4807,1.5263,1.6172,0.3954,0.0404,0.047,-156.47,-1.2
WIPVUM,83.88,8.37,176.31,3.49,6.09,8.15,33.1,29.1,20.8,629.07,-4.6699,-3.9043,2.3,1.96,-0.37,-0.05,2.52,46.01,67.27,0.3988,-0.122,0.1395,-0.5801,-0.4972,3.077,3.7497,1.3471,1.9102,2.1415,29.2107,5.7753,25.1108,8.3496,8.266,0.7686,0.2034,0.4556,2.9151,0.9796,1.0308,1.1063,3.266,3.7952,3.9024,10.1161,2.0441,2.0226,2.007,2.0366,2.0059,6.2949,12.6001,4.2696,4.1976,4.133,9.7062,1.9836,1.9821,1.9358,1.8619,1.9428,1.4395,1.4443,1.7299,0.4457,0.0619,0.0618,1.5765,1.4517,1.5169,0.4597,0.0522,0.0697,-173.62,8.3
XODWOF,82.41,3.84,189.05,1.7,8.03,10.3,31.6,22.7,15.1,680.16,-4.573,-3.8556,2.26,2.01,-0.3,0.05,2.53,47.18,69.63,0.2912,-0.168,0.1208,-0.5309,-0.0877,2.9401,3.6963,1.3273,2.063,3.2046,29.1174,5.7442,25.1034,8.3745,7.0018,0.6982,0.2472,0.4556,2.9181,1.0277,1.0417,1.0886,3.4361,3.8302,3.7079,10.1363,2.0364,2.038,2.0188,2.0281,2.0151,6.3327,12.6463,4.2534,4.2379,4.1551,9.7298,2.0004,1.9812,1.9694,1.8746,1.9042,1.3952,1.4756,1.7463,0.3731,0.0397,0.0505,1.2701,1.407,1.1633,0.0902,0.0162,0.0089,-152.65,13.7
HIZMAH,81.72,3.69,225.68,2.23,8.71,9.21,39.1,28.7,18.3,711.58,-4.5582,-3.7273,2.14,2.01,-0.2,-0.05,2.56,47.56,70.73,0.2677,-0.169,0.1689,-0.6591,0.0052,3.1169,3.8469,1.3728,1.9674,3.2264,29.2266,5.9283,25.082,8.4771,6.9041,0.6983,0.377,0.4559,2.919,0.9866,1.0608,1.1107,3.2726,3.8182,3.8373,10.1401,2.0381,2.0348,2.0099,2.0456,2.0117,6.3248,12.6707,4.2784,4.2238,4.1685,9.7368,1.9671,1.9921,1.9394,1.8787,1.9595,1.536,1.4645,1.6958,0.4379,0.0379,0.0644,1.2208,1.3571,1.1449,0.126,0.0278,0.0159,-151.86,9.8
UREGII,70.64,9.8,187.33,2.41,9.9,8.16,30.5,24.6,16.4,729.05,-4.4469,-2.6242,2.58,1.99,-0.49,0.01,2.5,46.88,69.76,0.3607,-0.1609,0.1392,-0.0837,-0.6177,2.9731,3.7441,1.3458,2.9415,2.0759,29.1005,5.8159,25.135,7.0428,8.4215,0.7572,0.1043,0.4562,2.9132,1.0073,1.0826,1.0637,3.3675,3.7667,3.83,10.1424,2.0421,2.0394,2.0176,2.0351,2.0082,6.2938,12.5952,4.2486,4.154,4.1926,9.7502,1.947,1.9585,1.9222,1.9485,1.9742,1.4537,1.2298,1.0854,0.1133,0.0403,0.013,1.4895,1.4965,1.6965,0.4354,0.0992,0.1016,-112.33,26
BUJROP,63.69,1.88,197.15,3.95,6.15,9.39,36,33.3,18.1,653.28,-3.0778,-1.4097,2.2,2,-0.18,0.06,2.65,58.67,71.12,0.2285,-0.228,0.2195,-0.2771,-0.2687,2.4427,3.7906,1.3266,2.6668,2.7139,28.8945,5.988,25.1409,7.1209,7.049,0.4282,0.2697,0.4562,2.9272,1.0317,1.0343,1.1427,3.3029,3.6738,3.9101,10.1927,2.0776,2.0292,2.015,2.0564,2.0145,6.3541,12.5866,4.2312,4.2051,4.1503,9.8309,1.989,1.9806,1.9754,1.9342,1.9516,1.3854,1.4249,1.192,0.0766,0.0111,0.009,1.431,1.4022,1.1875,0.0799,0.0148,0.0091,-64.22,21
URENUB,61.92,1.19,153.16,1.93,7.99,12.83,23.7,14,8.9,720.22,-3.5867,-2.1584,2.17,2.08,-0.09,0,2.59,57.36,70.29,0.3587,-0.2091,0.2607,-0.593,-0.5935,2.478,3.8604,1.3941,1.8908,1.9379,29.0098,6.0096,25.1188,8.52,8.5321,0.5708,0.3614,0.4566,2.9239,1.0519,1.0418,1.0998,3.5531,3.6776,3.6276,10.1774,2.0424,2.0427,2.0373,2.0373,2.0179,6.305,12.5228,4.2341,4.174,4.1147,9.8135,1.9683,1.9804,1.9768,1.9434,1.9445,1.5507,1.516,1.6413,0.3468,0.0496,0.0457,1.546,1.6795,1.4855,0.3506,0.0619,0.0458,-128.95,15.7
QIJXUC,61.91,1.05,153.34,2.3,5.84,12.46,24.1,15.4,9.8,676.28,-3.5288,-1.6138,2.17,2.08,-0.09,0.01,2.59,58.06,69.92,0.3543,-0.2102,0.2615,-0.5913,-0.6023,2.4611,3.8451,1.3938,1.8985,1.9191,29.0094,6.0052,25.1214,8.5189,8.5377,0.5653,0.3666,0.4566,2.9246,1.0625,1.0389,1.0926,3.6969,3.5899,3.5701,10.1791,2.0341,2.0368,2.051,2.0339,2.0233,6.3099,12.5214,4.2099,4.1826,4.1288,9.8145,1.9455,1.9886,1.9806,1.9608,1.9389,1.5604,1.5069,1.6408,0.3424,0.0526,0.0497,1.5416,1.6802,1.4902,0.3556,0.072,0.0501,-110.48,15.3
TALHEV,83.62,-4.29,223.03,3.32,12.68,8.98,34.4,26.8,18.7,884.62,-4.5311,-3.0566,2.08,1.99,0.1,-0.05,2.55,46.54,71.74,0.2842,-0.184,0.1476,-0.6421,-0.0608,2.9622,3.94,1.3425,1.8202,3.2306,29.1021,5.9561,25.0944,8.4919,7.0133,0.6902,0.4386,0.4569,2.9142,0.9945,1.0643,1.1161,3.2663,3.8324,3.8524,10.1429,2.0496,2.0372,2.0105,2.0382,2.0074,6.3009,12.6565,4.2562,4.2165,4.1838,9.7584,1.971,1.9714,1.9365,1.9213,1.9582,1.5904,1.4947,1.6325,0.417,0.052,0.0827,1.2118,1.378,1.2456,0.0919,0.0141,0.0097,-89.3,27.7
DALZIA,84.68,2.07,181.74,3.05,7.49,8.97,34.9,29.5,20.4,732.17,-4.3737,-2.8824,2.4,2.03,-0.1,-0.03,2.51,47.16,68.93,0.2668,-0.1492,0.1694,1.0682,-0.6176,3.1286,3.6205,1.3759,3.3032,2.0533,29.2462,5.6942,25.0775,14.2691,8.4462,0.7641,0.5271,0.457,2.9154,1.0003,1.0384,1.1033,3.3405,3.8002,3.7925,10.1335,2.0412,2.0332,2.0171,2.034,2.008,6.3022,12.6785,4.2488,4.2262,4.2036,9.7524,1.9864,1.9775,1.9571,1.9066,1.9248,2.8238,3.0356,2.8039,0.2702,0.0564,0.0958,1.5371,1.4797,1.6674,0.4268,0.0432,0.0537,-137.45,29.7
DETNIA,60.91,1.74,151.75,1.84,12.47,7.87,24.8,17.7,12.9,725.09,-2.8693,-1.4587,2.23,2.08,-0.14,0.01,2.66,56,73.13,0.3973,-0.2203,0.2534,-0.6261,-0.6035,2.504,3.8913,1.3282,1.8402,1.914,29.0213,6.0548,25.1543,8.4951,8.4998,0.4742,0.2958,0.4574,2.9218,1.0291,1.0469,1.1298,3.6528,3.4565,3.7526,10.1863,2.0467,2.0294,2.0368,2.0458,2.0276,6.2736,12.4897,4.1735,4.1821,4.134,9.8394,1.8925,1.9956,1.9872,1.9896,1.9746,1.5664,1.5224,1.6239,0.3752,0.0609,0.0581,1.5418,1.6791,1.4941,0.3597,0.0738,0.0565,-123.31,23.9
GOCKIV,61.81,1.16,153.08,1.86,5.78,13.17,23.7,13.9,9.2,746.21,-3.5305,-1.9876,2.17,2.09,-0.1,0.01,2.6,57.34,70.57,0.3575,-0.211,0.258,-0.601,-0.6181,2.4707,3.8348,1.3822,1.898,1.9236,29.0016,6.0033,25.1243,8.5261,8.5458,0.5516,0.3755,0.4574,2.9241,1.0461,1.0484,1.1005,3.6173,3.6267,3.6163,10.1783,2.0409,2.0392,2.0425,2.0374,2.0183,6.3102,12.522,4.2203,4.1848,4.1169,9.8103,1.9397,1.9788,1.9836,1.9625,1.9457,1.5532,1.5235,1.6415,0.3391,0.0502,0.0464,1.5588,1.6729,1.4922,0.3599,0.0641,0.0503,-124.6,15.3
VUQVUZ,61.92,1.2,153.18,1.8,5.86,10.21,23.7,14,8.9,627.79,-3.5809,-2.0086,2.17,2.08,-0.09,0,2.59,57.44,70.25,0.3563,-0.2092,0.2616,-0.5906,-0.5944,2.4723,3.8597,1.3952,1.8929,1.9402,29.0112,6.0132,25.1174,8.5191,8.5291,0.5701,0.3568,0.4575,2.924,1.0601,1.0384,1.0949,3.6371,3.6302,3.5902,10.177,2.0373,2.0393,2.045,2.0347,2.0207,6.3062,12.5232,4.2256,4.1752,4.1224,9.8142,1.9555,1.9857,1.9797,1.9521,1.9413,1.556,1.5052,1.6453,0.3461,0.0491,0.0469,1.5418,1.6859,1.484,0.3511,0.0649,0.0474,-125.19,15.2
XITHEQ,74.71,8.2,203.86,3.3,11.4,5.08,39.9,32.9,18.6,698.72,-3.3642,-1.8809,2.39,2.01,-0.36,-0.02,2.58,56.73,70.99,0.2749,-0.2206,0.2712,-0.0907,-0.2196,2.5523,3.8634,1.3966,2.8931,2.8896,28.957,5.9945,25.1106,6.9952,7.2763,0.5223,0.1806,0.4576,2.9208,1.0283,1.0473,1.1314,3.4941,3.5529,3.7963,10.1922,2.0619,2.0352,2.0286,2.0482,2.0183,6.306,12.5595,4.2049,4.2005,4.1542,9.8596,1.9468,1.9878,2.0021,1.9783,1.9446,1.3381,1.1383,1.2978,0.1227,0.0285,0.0276,1.4083,1.3702,1.2144,0.08,0.0207,0.0175,-123.16,37.5
YENKUX,81.81,2.11,183.42,1.82,8.09,7.28,31.3,20.7,12.1,572.16,-3.6286,-2.1875,2.07,2,-0.13,0,2.6,54.03,72.59,0.3047,-0.2205,0.2265,-0.0237,-0.5939,2.7439,3.9742,1.3606,3.0917,1.9879,28.9849,6.0587,25.1184,6.9239,8.4216,0.5572,0.3728,0.458,2.9213,1.0463,1.0384,1.1209,3.4003,3.7468,3.7415,10.1747,2.0526,2.0417,2.026,2.0405,2.0138,6.2996,12.5952,4.2455,4.1906,4.159,9.8006,1.9973,1.9911,1.9735,1.9121,1.9265,1.1898,1.2679,1.2726,0.1325,0.0215,0.0151,1.566,1.4995,1.6391,0.377,0.0395,0.048,-136.35,20.8
UJASII,61.89,1.25,153.07,2.57,11.76,13.94,23.7,14,9.5,915.16,-3.6151,-2.477,2.18,2.08,-0.1,0,2.59,57.38,70.22,0.3572,-0.2099,0.2629,-0.5858,-0.5926,2.4741,3.8597,1.4005,1.8981,1.9385,29.0103,6.0095,25.1147,8.517,8.5312,0.5772,0.3501,0.4588,2.9238,1.0568,1.0447,1.0929,3.6651,3.6167,3.5746,10.1774,2.0353,2.0381,2.0474,2.0357,2.0208,6.3051,12.5228,4.2169,4.1828,4.1231,9.8149,1.9389,1.9823,1.9843,1.9644,1.945,1.5428,1.521,1.6413,0.3434,0.0504,0.0469,1.5482,1.6755,1.4856,0.3528,0.0636,0.0487,-129.27,14.8
BUDPEW01,82.23,-2.87,214.01,2.63,6.51,9.2,34.9,24.9,13.6,610.72,-4.6005,-2.7651,2.07,2.07,0.06,-0.08,2.54,46.91,70.3,0.2642,-0.1701,0.1323,-0.0377,-0.6854,3.0491,3.9103,1.3491,3.2044,1.8668,29.1983,5.9206,25.0999,7.0317,8.4662,0.7303,0.4904,0.4588,2.9173,0.994,1.0527,1.1133,3.2968,3.8367,3.8306,10.1385,2.0472,2.0344,2.0122,2.0368,2.0078,6.3163,12.6747,4.269,4.2344,4.1712,9.7448,1.991,1.982,1.9604,1.8852,1.9263,1.2398,1.3406,1.1901,0.1194,0.0286,0.0109,1.5769,1.4627,1.6874,0.4455,0.0506,0.0797,-111.18,29.8
GUPMEL,90.92,6.38,187.36,1.7,8.21,5.13,35.2,25.2,14.3,598.19,-3.0236,-1.5592,2.09,2.02,-0.14,-0.07,2.51,60.08,65.71,0.3489,-0.1842,0.1993,-0.6095,-0.5922,2.7514,3.6531,1.3621,1.8458,1.9552,28.9876,5.8671,25.2018,8.4038,8.3853,0.6559,0.3777,0.459,2.9302,1.0512,1.0274,1.0865,3.5589,3.7451,3.6001,10.1912,2.0431,2.052,2.0349,2.0361,2.025,6.2941,12.5851,4.2432,4.1785,4.1634,9.772,1.9956,1.9869,1.9291,1.9069,1.9535,1.7195,1.4487,1.5418,0.3781,0.0377,0.0505,1.5902,1.4487,1.6553,0.3912,0.0475,0.0506,-179.77,13.7
ZZZLGU11,62.07,1.12,153.57,2.42,5.13,15.68,23.8,14,8.3,725.8,-3.5239,-1.6111,2.16,2.08,-0.08,0,2.59,57.84,69.95,0.3563,-0.2088,0.2583,-0.6032,-0.5983,2.4734,3.8463,1.3938,1.882,1.9302,29.0094,6.0072,25.1225,8.5215,8.5299,0.5722,0.3646,0.4595,2.9245,1.0406,1.0371,1.115,3.5258,3.6168,3.7172,10.1788,2.0508,2.0382,2.0333,2.0402,2.0163,6.3064,12.5236,4.2325,4.1777,4.1134,9.8137,1.9576,1.9771,1.9755,1.9502,1.9533,1.5533,1.5019,1.6606,0.349,0.0493,0.0452,1.5572,1.6849,1.4745,0.3495,0.0608,0.0453,-119.51,15.4
RECGEL,78.03,4.51,167.54,2.95,5.86,15.76,26.8,19.4,15,798.04,-4.4375,-3.4098,2.36,2,-0.35,0.03,2.52,46.87,69.32,0.3886,-0.1492,0.1256,-0.4735,-0.4846,3.0618,3.8614,1.3319,2.0873,2.1519,29.1912,5.8286,25.1366,8.3521,8.3405,0.7777,0.175,0.4601,2.9142,1.0107,1.0371,1.0943,3.3852,3.8208,3.7725,10.1322,2.0377,2.0375,2.0159,2.0308,2.0103,6.2868,12.5911,4.2258,4.2129,4.1525,9.7336,1.9933,2.0033,1.9549,1.8848,1.8972,1.3553,1.5065,1.7222,0.3487,0.0257,0.0506,1.3934,1.5358,1.643,0.4107,0.0453,0.0529,-140.98,1.4
CAMGOP,82.59,1.74,173.75,2.91,8.92,12.64,27.3,17.1,11.6,825.84,-4.433,-3.8516,2.29,2,-0.36,0.16,2.53,47.02,70,0.3863,-0.1592,0.1365,-0.4723,-0.5257,2.9401,3.8841,1.3358,2.0862,2.1488,29.1175,5.8593,25.1225,8.3958,8.3933,0.7489,0.2286,0.4602,2.9153,0.9854,1.037,1.1284,3.2549,3.8179,3.8952,10.1312,2.0446,2.0245,2.0083,2.0472,2.0066,6.2999,12.5904,4.2682,4.2132,4.1089,9.7235,1.9989,1.9831,1.9713,1.8452,1.9249,1.3728,1.5035,1.7125,0.3423,0.0249,0.0454,1.4786,1.5191,1.6283,0.3891,0.0388,0.0489,-154.07,11.2
JOWTAS,82.79,1.37,174.48,1.7,10.45,9.85,28.3,19.5,13.6,713.38,-4.4658,-3.8808,2.29,1.98,-0.36,0.18,2.53,46.79,69.82,0.3865,-0.1587,0.1332,-0.474,-0.5292,2.9553,3.881,1.337,2.0931,2.1373,29.1208,5.8518,25.1201,8.385,8.3822,0.7592,0.2303,0.4602,2.9149,0.9927,1.0357,1.122,3.2948,3.8135,3.8634,10.1298,2.0402,2.0277,2.0103,2.0438,2.0078,6.2984,12.5938,4.2596,4.2203,4.1139,9.7213,1.9914,1.986,1.9719,1.8509,1.921,1.3721,1.4988,1.7197,0.3419,0.0256,0.0456,1.4689,1.526,1.6235,0.404,0.044,0.0517,-153.8,-2.1
VUHKAN,86.76,10.46,205.75,1.97,10.49,10.12,32.8,26.3,19.4,892.42,-3.6481,-2.4373,2.06,2.03,-0.17,-0.12,2.62,53.89,73.13,0.3899,-0.2139,0.2626,-0.6126,-0.6897,2.7207,3.9298,1.349,1.8779,1.9469,29.0292,5.9935,25.1158,8.4494,8.4632,0.5589,0.4119,0.4614,2.922,1.1023,1.0414,1.0555,3.7341,3.7463,3.377,10.1706,2.0231,2.0395,2.0491,2.0266,2.0322,6.2671,12.5541,4.2145,4.1803,4.1594,9.7889,1.9715,1.9859,1.9855,1.9455,1.9005,1.5001,1.4422,1.6954,0.4728,0.062,0.0604,1.5877,1.441,1.7185,0.4233,0.0265,0.0491,-137.77,16.9
NAMMAS,84.01,13.47,190.25,2.03,9.74,15.32,31.2,21.8,12.6,823.31,-3.8036,-2.5323,2.26,1.97,-0.3,-0.09,2.62,53.69,72.89,0.3336,-0.2116,0.2433,0.1441,-0.6304,2.6279,3.8431,1.3552,2.9748,1.9811,28.9416,5.9466,25.1148,6.9495,8.4503,0.5289,0.2765,0.4616,2.9246,1.0394,1.0441,1.1112,3.3907,3.7472,3.7326,10.1675,2.0502,2.041,2.0232,2.0401,2.0131,6.2998,12.5673,4.2393,4.1926,4.1354,9.7993,1.9877,1.9608,1.9835,1.9348,1.9325,1.2564,1.2061,1.0924,0.1209,0.0184,0.0226,1.4995,1.4514,1.7435,0.4326,0.0607,0.0753,-118.34,28.7
HOKSEH,77.76,4.43,166.71,3.32,6.29,7.74,28.4,22.5,16.9,601.91,-4.3682,-3.2786,2.37,2.01,-0.29,-0.03,2.53,46.9,69.34,0.3917,-0.1434,0.1243,-0.4862,-0.4884,3.0604,3.841,1.3133,2.0683,2.1421,29.1851,5.8117,25.1465,8.3641,8.3484,0.7572,0.1834,0.4619,2.9151,0.996,1.027,1.1131,3.331,3.7993,3.8477,10.1305,2.048,2.0295,2.0131,2.0332,2.0066,6.2907,12.5881,4.2502,4.2024,4.1355,9.7295,1.9635,1.9847,1.9777,1.8895,1.9141,1.3855,1.4975,1.7152,0.3483,0.0261,0.0453,1.4074,1.535,1.6393,0.4021,0.0423,0.0492,-148.24,-0.8
OFUGUU,79.98,2.81,202.69,3.69,10.27,10.17,35.5,29.8,24.7,802.47,-4.4709,-3.5174,2.2,2.01,-0.23,0.02,2.54,47.15,70.63,0.293,-0.1732,0.1424,-0.5675,-0.0459,2.994,3.8303,1.3477,2.0328,3.3619,29.1343,5.8636,25.1054,8.4193,6.9902,0.7054,0.3048,0.4621,2.9171,1.0069,1.0433,1.1131,3.3183,3.827,3.8065,10.1434,2.0482,2.0334,2.0151,2.0374,2.0093,6.326,12.6487,4.2736,4.2392,4.136,9.7322,2.0052,1.9824,1.9737,1.8632,1.9076,1.4565,1.4784,1.7052,0.3937,0.0371,0.0502,1.2304,1.385,1.2008,0.092,0.018,0.0087,-142.3,6.2
TICLAU,62.02,1.17,153.46,1.85,3.93,13.75,23.7,14,8.3,658.59,-3.5521,-1.621,2.17,2.08,-0.09,0.01,2.59,57.69,70,0.3552,-0.2089,0.258,-0.5993,-0.6011,2.4683,3.8478,1.3953,1.8809,1.9326,29.0032,5.9996,25.1213,8.5204,8.5318,0.5737,0.3548,0.4632,2.9244,1.0523,1.0383,1.1022,3.5662,3.6584,3.6353,10.1786,2.0432,2.0414,2.0389,2.0369,2.0182,6.3074,12.5246,4.232,4.1761,4.1164,9.8128,1.9681,1.9822,1.9778,1.9428,1.9418,1.5579,1.5116,1.6449,0.346,0.0494,0.0459,1.5524,1.6804,1.4844,0.3522,0.063,0.0465,-122.6,15.2
AMAYIY,62.02,1.17,153.46,3.06,5.11,16.72,23.7,14,8.3,794.67,-3.5438,-1.622,2.17,2.08,-0.09,0,2.59,57.68,70.05,0.3568,-0.2093,0.2576,-0.6022,-0.5999,2.4695,3.8463,1.3918,1.8807,1.93,29.0041,6.0033,25.123,8.5215,8.532,0.5704,0.3584,0.4634,2.9245,1.0463,1.0365,1.1104,3.5117,3.6597,3.6886,10.1786,2.0485,2.0409,2.0337,2.0393,2.0163,6.3072,12.5236,4.2361,4.1745,4.113,9.8124,1.9719,1.9797,1.9749,1.9395,1.9464,1.5569,1.508,1.651,0.3474,0.0493,0.0453,1.5547,1.682,1.4798,0.3514,0.0617,0.0455,-124.15,16
IBPRAC04,61.72,1.14,152.76,2.69,9.65,10.48,24.1,16.5,11.3,698.78,-3.5013,-1.6024,2.18,2.08,-0.09,0,2.59,57.92,69.92,0.3574,-0.2103,0.2598,-0.5978,-0.5816,2.4648,3.855,1.3945,1.8541,1.9699,29.004,6.0124,25.1221,8.505,8.5038,0.5693,0.338,0.4639,2.9248,1.0273,1.0466,1.12,3.5485,3.5445,3.7649,10.1794,2.0551,2.0337,2.0306,2.043,2.017,6.309,12.5187,4.2189,4.193,4.1067,9.8149,1.9231,1.9689,1.9794,1.9758,1.9677,1.5382,1.5253,1.6442,0.3541,0.0544,0.0493,1.5629,1.6687,1.4814,0.3361,0.0577,0.0469,-119.12,15
BITLUN,88.15,0.39,187.82,2.47,8.87,6.02,39.9,28.9,18.3,704.36,-4.86,-3.3021,1.97,2.07,-0.04,-0.02,2.55,45.39,68.63,0.378,-0.1456,0.1083,-0.6086,-0.0005,3.0492,3.6961,1.3159,2.0205,3.1105,29.1671,5.7854,25.1127,8.3936,6.9772,0.7566,0.4679,0.4641,2.9166,1.1261,1.0519,0.9595,3.8649,3.7765,3.3505,10.1132,2.0121,2.0179,2.0263,2.0153,2.0416,6.2808,12.613,4.1555,4.2443,4.2131,9.7282,1.9872,1.9887,1.8439,1.9963,1.9121,1.479,1.5087,1.716,0.3974,0.0793,0.1177,1.1866,1.1694,1.3661,0.1301,0.0381,0.0401,-133.51,6
NUNPUJ,62.74,1.31,154.72,2.59,4.28,9.06,23.9,14.8,9.8,583.77,-3.3977,-1.57,2.16,2.07,-0.1,0.01,2.6,58.5,69.72,0.3557,-0.2104,0.2548,-0.6456,-0.645,2.4443,3.8296,1.3833,1.8676,1.9219,28.9955,5.9946,25.1315,8.5771,8.5778,0.5548,0.3523,0.4642,2.925,1.0391,1.0365,1.1183,3.539,3.5976,3.7258,10.181,2.0524,2.0374,2.0335,2.0405,2.0171,6.3059,12.5213,4.2263,4.181,4.1139,9.8171,1.96,1.9791,1.9776,1.9506,1.9499,1.6119,1.4942,1.6459,0.3564,0.0499,0.0471,1.6147,1.6742,1.4643,0.3619,0.0655,0.049,-102.43,16.2
XEJVIU,61.11,2.83,187.71,3.5,9.25,9.78,31.5,27.3,21.4,820.01,-2.9449,-1.5748,2.25,2.05,-0.18,0,2.63,57.67,71.16,0.3992,-0.2193,0.2657,-0.6021,-0.6201,2.519,3.813,1.3711,1.91,1.8303,29.0192,6.0141,25.1453,8.5109,8.5207,0.5186,0.3072,0.4644,2.9231,1.0531,1.0274,1.1237,3.5395,3.5814,3.7279,10.1889,2.0568,2.035,2.0353,2.038,2.0237,6.2702,12.4949,4.1936,4.1659,4.1355,9.8356,1.966,2.0138,1.9614,1.9445,1.9499,1.5828,1.4774,1.6541,0.3473,0.0446,0.0505,1.5269,1.6956,1.4704,0.4051,0.0856,0.06,-101.41,25.9
MINWUE,62.03,1.46,153.48,2.27,5.92,18.66,23.7,14,8.3,807.91,-3.6174,-2.567,2.17,2.08,-0.1,-0.01,2.59,56.85,70.6,0.3634,-0.2094,0.2584,-0.5915,-0.5894,2.5045,3.8607,1.3921,1.8897,1.9404,29.0109,6.0088,25.1165,8.5152,8.5247,0.5717,0.3566,0.4647,2.9237,1.0456,1.0367,1.1115,3.5277,3.6395,3.6933,10.1757,2.0477,2.039,2.0344,2.0383,2.0163,6.3038,12.5249,4.2342,4.1777,4.1129,9.8079,1.9566,1.9796,1.9778,1.946,1.948,1.5444,1.5081,1.654,0.3463,0.0485,0.0456,1.5451,1.6848,1.4773,0.3512,0.0613,0.046,-147.65,14.8
