Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu_L1,Cu_L2,D_Cu_L1,D_Cu_L2,Cu_I,Cu_I_C,I_C_Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
AFERUY,109.52,-2.53,208.61,3.83,9.17,7.85,40.8,36.9,26.7,753.55,-2.6913,-1.3915,2.05,2.04,-0.05,-0.02,2.56,57.98,68.29,0.391,-0.1922,0.1748,-0.7632,-0.7756,2.8844,3.6234,1.2883,1.6778,1.7817,29.0463,5.819,25.2643,8.4602,8.5336,0.5937,0.5424,0.5562,2.929,1.0509,1.038,1.0841,3.5929,3.7229,3.6011,10.205,2.0479,2.0497,2.0445,2.0388,2.0242,6.2751,12.5803,4.2193,4.1768,4.1843,9.7536,1.9865,1.9785,1.9253,1.9221,1.9412,1.7181,1.4528,1.6306,0.4305,0.0491,0.071,1.727,1.4052,1.6448,0.4616,0.0494,0.0839,-172.74,13.9
OHOYES,77.67,2.45,184.7,1.55,10.35,7.27,31.8,24.5,15.6,712.36,-3.53,-2.3553,2.47,1.98,-0.18,-0.04,2.62,55.37,72.51,0.2439,-0.2338,0.243,-0.097,-0.2135,2.3862,3.8107,1.3922,2.8858,2.9991,28.9104,6.0073,25.0714,7.005,7.1672,0.5017,0.1336,0.5567,2.924,1.0438,1.0286,1.1448,3.2873,3.7215,3.8614,10.1793,2.066,2.029,2.0183,2.0534,2.0126,6.3538,12.5561,4.2625,4.1992,4.0943,9.8462,2.0028,1.979,1.9748,1.9471,1.9425,1.2391,1.4392,1.0748,0.1135,0.0217,0.013,1.4345,1.3577,1.1055,0.1131,0.0233,0.0127,-105.53,19.7
ROXCAL,81.01,17.59,189.84,1.7,8.79,12.73,32.5,24.2,17,737.03,-3.7141,-3.2158,2.16,1.98,-0.29,-0.09,2.57,48.78,73.67,0.4278,-0.1907,0.1783,-0.5951,-0.6646,3.0925,3.9389,1.3222,2.0325,2.0068,29.1649,5.9386,25.1402,8.3943,8.432,0.6522,0.3104,0.5568,2.9144,1.0584,1.0438,1.0791,3.5071,3.7769,3.6493,10.1566,2.0317,2.0487,2.0205,2.027,2.0287,6.2555,12.5666,4.1891,4.2104,4.1671,9.7501,1.9775,2.0064,1.8961,1.9343,1.9358,1.4695,1.4546,1.7216,0.4177,0.0407,0.0642,1.5623,1.4295,1.7384,0.4212,0.0382,0.0602,-109.24,23
GELHIQ,82.2,2.38,193.13,2.87,7.79,9.77,32.3,24.7,17.6,743.1,-3.7811,-2.4953,2.2,1.96,-0.18,-0.01,2.62,54.79,72.42,0.2818,-0.2135,0.2331,-0.5625,-0.132,2.66,3.9022,1.3649,2.0245,3.2324,29.0055,6.009,25.1006,8.3945,7.0145,0.5098,0.2889,0.5573,2.9242,1.0662,1.0415,1.0898,3.5519,3.7582,3.5697,10.1726,2.0399,2.0459,2.0347,2.0297,2.0225,6.3186,12.6004,4.2325,4.2107,4.1573,9.7992,1.976,1.9841,1.9803,1.9237,1.935,1.4528,1.4677,1.7155,0.3828,0.0391,0.0501,1.2825,1.4097,1.184,0.0916,0.0137,0.0104,-135.41,19.7
DAVXUT,75.63,8.41,165.31,3.39,5.94,9.19,30.1,26.6,17.9,625.24,-3.7203,-3.2459,2.39,1.98,-0.43,-0.05,2.55,49.13,72.03,0.4051,-0.1783,0.1465,-0.4916,-0.777,3.0325,3.872,1.3072,2.1129,1.7417,29.153,5.8966,25.1792,8.2998,8.4579,0.6893,0.1262,0.5576,2.9168,1.0111,1.0484,1.1083,3.3836,3.789,3.7833,10.1606,2.0523,2.04,2.0195,2.0377,2.011,6.2691,12.5738,4.2178,4.2087,4.1473,9.752,1.9964,1.9997,1.9666,1.902,1.8874,1.3481,1.499,1.7113,0.4062,0.0424,0.0522,1.7319,1.4669,1.5854,0.4673,0.0477,0.0683,-135,25
IFAPOV01,79.52,5.01,212.7,2.51,10.58,10.64,38.2,32.1,18.7,774.82,-3.7622,-2.6443,2.22,1.97,-0.26,-0.01,2.61,49.72,74.36,0.243,-0.2165,0.1628,-0.1093,-0.2064,2.8473,3.8572,1.3201,3.0312,2.8782,28.9929,5.9534,25.1247,7.0006,7.1531,0.5392,0.2774,0.5578,2.9204,1.0386,1.0461,1.1176,3.3634,3.7971,3.7722,10.1714,2.058,2.0384,2.0234,2.0373,2.0143,6.3415,12.6432,4.2297,4.24,4.1735,9.7724,2.0091,1.9819,1.9901,1.9024,1.8889,1.1606,1.2795,1.3825,0.0918,0.013,0.0102,1.3797,1.4016,1.1772,0.0786,0.0109,0.0085,-107.35,23
TUSLOJ,82.37,4.02,171.77,2.88,5.88,12.35,31,21.7,11.9,664.77,-3.4523,-1.8583,2.34,2.02,-0.27,-0.03,2.61,56.46,70.94,0.3824,-0.212,0.243,-0.5421,-0.8003,2.49,3.86,1.3493,2.0014,1.7408,28.9496,5.9932,25.1431,8.4401,8.5735,0.5393,0.1939,0.5579,2.9255,1.0223,1.042,1.1303,3.471,3.5649,3.8343,10.1794,2.0648,2.0299,2.0215,2.0458,2.0174,6.3127,12.512,4.2209,4.1932,4.0979,9.7929,1.9281,1.9647,1.9785,1.9652,1.9565,1.5397,1.4741,1.6461,0.344,0.0294,0.0491,1.7766,1.4854,1.5815,0.4046,0.0503,0.0545,-154.59,23.3
XEXDAH,94.86,3.14,189.12,4.12,8.55,7.72,39.6,34,23,696.46,-3.2819,-1.6104,2.14,2.01,-0.1,-0.1,2.64,53.45,74.34,0.3774,-0.2142,0.2599,-0.5613,-0.855,2.6876,3.8538,1.3132,1.9401,1.7682,28.985,5.9723,25.1415,8.4241,8.4824,0.4719,0.301,0.558,2.9203,1.0584,1.0311,1.1098,3.5083,3.7027,3.6459,10.1801,2.046,2.0422,2.037,2.0365,2.0185,6.2766,12.5509,4.2278,4.1653,4.1577,9.7952,1.9727,1.9783,1.9877,1.9407,1.9158,1.5392,1.4395,1.6428,0.4383,0.0565,0.0646,1.7225,1.4416,1.6846,0.4648,0.0586,0.0794,-101.34,18.9
MXSALO,81.21,18.04,182.41,1.6,8.24,7.45,33.8,22.8,11.3,565.02,-3.3501,-1.6346,2.23,1.96,-0.32,-0.07,2.61,56.13,71.52,0.3339,-0.2217,0.2461,0.123,-0.7398,2.6355,3.8174,1.365,2.9829,1.9822,28.9846,5.9684,25.1198,6.9486,8.4904,0.5429,0.2962,0.5581,2.9247,1.0316,1.0265,1.1465,3.3098,3.6761,3.8835,10.1802,2.0732,2.0288,2.0138,2.0513,2.013,6.3105,12.5461,4.2372,4.1909,4.118,9.8095,1.9934,1.9824,1.9705,1.9279,1.9353,1.2508,1.1646,1.1508,0.1197,0.0203,0.0242,1.5623,1.4759,1.7586,0.4218,0.0645,0.0827,-150.56,35.2
JOTSIW,72.81,8.62,208.31,1.7,7.21,6.48,38.5,26,13.4,572.41,-4.0006,-2.9731,2.59,1.94,-0.63,0.24,2.52,45.1,68.83,0.3535,-0.1621,0.075,-0.1235,-0.141,2.956,3.8735,1.3071,2.8703,2.8503,29.0994,5.8266,25.1225,7.0292,7.0639,0.7488,0.1073,0.5582,2.9154,0.9647,1.0594,1.1307,3.2328,3.8558,3.9315,10.1262,2.0433,2.0199,2.007,2.0498,2.0063,6.3111,12.6059,4.2289,4.2545,4.1225,9.7295,1.9925,1.9893,1.9482,1.8808,1.9187,1.2126,1.4158,1.1294,0.1132,0.0178,0.0129,1.461,1.3425,1.0497,0.1029,0.025,0.0137,-115.8,7.9
