Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
GUGLIE,90.86,-2.28,15.9,-3.1174,-1.6123,1.99,1.91,0.04,0.08,2.34,78.87,77.16,0.0024,-0.9043,-0.8225,2.9315,2.7472,1.0977,29.1677,7.178,25.3592,8.4104,0.8094,0.676,0.5389,1.0198,3.176,3.753,3.4993,2.0242,2.0415,6.2499,9.7778,1.7513,0.4277,0.0846,2.7758,3.5691,-347.07,1.26,127,56
BAGYOY,85.85,-2.15,13,-4.5564,-3.8741,2,1.84,0,0.08,2.59,91.98,73.58,0.0842,-0.579,-0.5639,2.7863,2.857,1.4617,28.8451,7.2352,25.1557,8.3894,0.5823,0.546,0.5093,1.1357,3.1922,3.573,3.5848,2.0181,2.0144,6.28,9.714,1.5643,0.4305,0.0493,2.7905,3.5538,-415.22,1.22,124.47,23.2
CURHUV,80,13.06,19.5,-3.7487,-2.3252,2.29,1.77,-0.33,0.15,2.46,78.12,82.59,0.0574,-0.5866,-0.6175,3.1109,2.6723,1.2129,29.2001,7.0832,25.2797,8.2754,0.7566,0.2146,0.2078,1.3509,3.2065,3.8496,3.4497,2.0318,2.0623,6.2067,9.802,1.5394,0.4454,0.0853,2.7731,3.5149,-436.86,1.25,125.44,86.4
HANHAI,104.4,-8.62,21.9,-3.627,-2.6151,2,1.84,-0.09,0.15,2.46,86.73,73.09,0.1259,-0.8533,-0.5209,2.9805,2.6632,1.3346,29.1497,7.2195,25.2463,8.4104,0.6563,0.3735,0.5825,1.209,3.2027,3.5102,3.5778,2.016,2.0207,6.2462,9.7718,1.7416,0.4144,0.0945,2.7891,3.5539,-441.16,1.23,125.28,53.7
NIZVAU02,85.77,-1.98,9.7,-4.659,-3.9137,2.16,1.86,0.02,0.06,2.57,91.6,73.36,0.0667,-0.5043,-0.5136,2.602,2.8155,1.427,28.8467,7.2415,25.1804,8.3716,0.5761,0.5372,0.3538,1.1229,3.196,3.52,3.6094,2.0119,2.0182,6.2939,9.7572,1.4734,0.3892,0.0212,2.7902,3.5504,-420.69,1.22,124.65,21.4
JEVPIJ,90.12,-0.67,15.9,-4.9659,-4.5175,1.81,1.86,0.08,0.13,2.69,90.89,78.38,0.2328,-0.5566,-0.6315,3.0661,2.909,1.6075,28.885,7.178,24.9928,8.361,0.5469,0.647,0.7091,1.0576,3.1913,3.7719,3.4489,2.0256,2.019,6.2813,9.6093,1.5677,0.4489,0.053,2.7902,3.55,-362.44,1.21,123.06,0.1
XUGKOZ,80.02,11.14,21.5,-3.6823,-2.3691,2.3,1.76,-0.29,0.14,2.47,78.77,83.19,0.086,-0.5921,-0.6242,3.1422,2.6787,1.2527,29.2244,7.0785,25.2427,8.2714,0.7468,0.2124,0.1977,1.3625,3.2066,3.8712,3.4394,2.039,2.0636,6.2067,9.8071,1.5457,0.4438,0.089,2.7728,3.5124,-428.69,1.25,125.58,91
XILYEX,85.49,-2.57,16.6,-4.7457,-4.0259,2,1.84,-0.04,0.12,2.59,92.05,72.17,0.0941,-0.5705,-0.5646,2.7827,2.8678,1.4736,28.844,7.2229,25.1438,8.388,0.5721,0.5546,0.4993,1.1438,3.1895,3.5691,3.6046,2.0204,2.0123,6.2786,9.7103,1.5037,0.4324,0.043,2.79,3.5535,-415.7,1.22,124.63,33.5
IXEGIB,86.35,-3.51,15.4,-4.8416,-4.1789,1.94,1.84,0.01,0.14,2.62,92.52,74.57,0.1344,-0.5684,-0.5767,2.9126,2.8919,1.5322,28.8627,7.2213,25.0914,8.3869,0.5732,0.5765,0.6121,1.1206,3.1911,3.6618,3.5496,2.026,2.015,6.2793,9.6779,1.5259,0.4342,0.0444,2.7901,3.553,-404.87,1.22,124.19,32.7
FAZMIF,86.75,-0.92,13,-4.2136,-3.5344,1.93,1.83,0.05,0.02,2.65,94.26,78.44,0.0442,-0.5737,-0.5569,2.9436,2.8143,1.4643,28.9521,7.1903,25.1716,8.3808,0.571,0.5375,0.6283,1.1307,3.2025,3.6146,3.6103,2.022,2.0169,6.28,9.7192,1.4854,0.4534,0.04,2.7912,3.5493,-357.26,1.22,124.5,37.8
ASIZEI,80.48,-3.29,15.3,-4.686,-3.8664,2.04,1.87,-0.01,0.05,2.57,90.11,72.36,0.0236,-0.1186,-0.0651,2.7674,2.8556,1.3743,28.8869,7.2624,25.1969,8.4105,0.6112,0.5359,0.4357,1.1615,3.1994,3.5541,3.6329,2.0141,2.0171,6.3676,9.7421,1.2191,0.1254,0.0106,2.7907,3.5514,-434.01,1.22,124.71,27.4
LIYQUI,79.1,1.56,15.8,-4.8002,-3.8415,2.26,1.93,-0.3,0.14,2.62,90.82,73.2,-0.0066,-0.5422,0.2643,2.7035,2.7411,1.3815,28.9505,7.1657,25.204,8.4065,0.6221,0.508,0.2775,1.1457,3.1969,3.6451,3.6524,2.019,2.0134,6.3286,9.7462,1.4359,0.1297,0.0262,2.785,3.5391,-413.04,1.22,124.5,22.9
VEHDEU,91.34,-0.34,19.2,-2.5534,-1.9106,1.97,1.9,-0.07,0.02,2.44,63.96,83.89,-0.0047,-0.785,-0.8511,2.9238,2.714,1.2951,29.0648,7.1368,25.3389,8.4145,0.5837,0,0.568,1.6487,3.2205,3.7171,3.6594,2.0584,2.0236,6.2602,9.7581,1.6609,0.4792,0.0622,2.7862,3.5154,-261.36,1.28,126.23,45.2
COKZEH,81.96,2.79,22.6,-4.6562,-3.9538,2.34,1.81,-0.2,0.07,2.59,92.16,75.25,0.093,-0.4196,-0.5632,2.4688,2.8135,1.4459,28.7615,7.2493,25.1662,8.3905,0.6011,0.5507,0.1867,1.1124,3.1965,3.7069,3.5932,2.0311,2.0198,6.3152,9.7366,1.4404,0.4328,0.0406,2.7896,3.5524,-404.64,1.22,123.67,22.1
RONKAJ,84.89,-1.72,20.4,-4.4857,-3.3961,2.14,1.88,-0.07,0.1,2.55,91.19,73.5,0.0318,-0.5383,-0.0863,2.5586,2.8144,1.3762,28.8874,7.248,25.2179,8.3997,0.5994,0.5152,0.3566,1.1589,3.1976,3.5289,3.6303,2.0138,2.0164,6.3353,9.787,1.4906,0.0929,0.0137,2.7914,3.5553,-429.96,1.22,124.23,32.7
EVIYOY,85.59,-1.65,13.6,-4.6212,-3.8016,2.15,1.85,-0.13,0.17,2.57,92.47,73.28,0.0518,-0.5237,-0.5276,2.594,2.8321,1.422,28.8648,7.2298,25.1896,8.3882,0.5756,0.5277,0.3693,1.1513,3.1951,3.5251,3.6187,2.0136,2.0153,6.2905,9.7605,1.4582,0.4016,0.0417,2.7911,3.5545,-419.17,1.22,124.36,34.5
VIFBEU,84.65,-2.55,16.7,-4.4426,-3.3276,2.08,1.91,0.07,0.02,2.55,90.4,73.95,0.0466,-0.4938,-0.0318,2.5261,2.7702,1.3923,28.8643,7.27,25.2054,8.3756,0.6073,0.513,0.3439,1.1165,3.2022,3.617,3.6306,2.0222,2.0187,6.3319,9.7961,1.4782,0.0923,0.0103,2.791,3.5514,-424.51,1.22,124.59,25.6
DOZREP10,85,-1.92,12.3,-4.6467,-3.7707,2.2,1.83,-0.07,0.11,2.58,92.89,73.33,0.0473,-0.4937,-0.5258,2.5648,2.8358,1.4154,28.8414,7.2344,25.1954,8.3888,0.5712,0.5352,0.3137,1.1492,3.1943,3.5252,3.6213,2.0129,2.0154,6.2966,9.7586,1.421,0.3933,0.047,2.791,3.5542,-414.14,1.22,124.3,35.9
