Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
OGAPET,83.74,-18.54,17.4,-4.1561,-3.027,1.97,2.12,-0.05,0.92,2.47,85.06,79.28,0.0222,-0.1362,-0.3872,2.2335,2.6769,1.3743,28.7983,7.2196,25.2163,8.4551,0.6993,0.3094,0.5357,1.2355,3.2207,3.6481,3.5657,2.018,2.0258,6.3651,9.8604,1.4245,0.0622,0.014,2.792,3.5534,-437.65,1.23,124.73,28.5
ZERHOT,82.33,-0.55,12.9,-3.8848,-2.4735,2.01,2.08,0,0,2.46,85.82,74.98,0.0167,-0.0966,-0.5082,2.1147,2.6565,1.3209,28.7923,7.2624,25.2599,8.3829,0.6582,0.4072,0.482,1.1452,3.2102,3.5957,3.6258,2.0177,2.0249,6.3272,9.8678,1.2232,0.3753,0.0453,2.7919,3.5542,-440.96,1.22,125.44,37.2
AFEQUZ,62.33,0.74,8.4,-3.5087,-2.4104,2.03,2.19,0.06,-0.11,2.48,88.17,80.78,0.0272,-0.5852,-0.5827,2.0772,2.6046,1.4269,28.8916,7.2533,25.2399,8.4197,0.6557,0.3548,0.5072,1.1874,3.2129,3.5365,3.6215,2.0209,2.0185,6.3337,9.8727,1.5377,0.3357,0.0519,2.7903,3.558,-390.71,1.23,126.28,37.9
SATJIH,62.46,0.4,15.2,-3.3932,-2.5596,2.01,2.19,0.07,-0.1,2.53,90.61,77.2,-0.0181,-0.5992,-0.5689,2.0824,2.6723,1.3625,28.8965,7.2654,25.2773,8.4101,0.599,0.384,0.5216,1.1917,3.2119,3.5619,3.6933,2.0265,2.0178,6.3363,9.8751,1.5326,0.3264,0.053,2.793,3.5585,-402.28,1.23,125.62,36.3
DOMZIQ,94.38,-16.69,25.6,-3.907,-2.0759,2.1,2.08,0.13,0.14,2.34,64.01,83.11,0.1548,-0.6811,-0.631,2.2,2.8061,1.4319,28.8864,7.1679,25.1859,8.5023,0.7667,0,0.3448,1.5706,3.195,3.5093,3.6546,2.0281,2.0344,6.2524,9.8657,1.5625,0.426,0.1139,2.7742,3.5052,-378.12,1.26,128.29,16.8
AHUMEW,86.82,2.66,25.1,-3.9424,-2.426,2.06,2.09,-0.03,-0.05,2.43,84.86,76.18,0.0622,-0.5494,-0.4659,1.949,2.628,1.3549,28.7758,7.2799,25.2465,8.3977,0.6716,0.3902,0.4023,1.1461,3.2114,3.6608,3.4828,2.015,2.0357,6.2841,9.8891,1.5225,0.3666,0.0363,2.7912,3.5556,-439.64,1.23,125.53,27.6
TIJWUE,62.09,1.04,11.7,-3.4289,-2.3432,2.05,2.19,0.03,-0.1,2.45,86.27,82.89,0.0492,-0.5557,-0.5469,2.0552,2.5976,1.4612,28.9126,7.2453,25.2184,8.4195,0.7079,0.3176,0.5002,1.2059,3.2151,3.8963,3.7095,2.044,2.0435,6.3429,9.874,1.6119,0.3316,0.0741,2.7891,3.5591,-380.42,1.24,126.4,39.1
EROYAN,62.23,0.57,14.5,-3.3939,-2.3987,2.03,2.18,0.05,-0.09,2.48,87.88,80.95,0.0206,-0.587,-0.619,2.0492,2.6067,1.4234,28.8962,7.255,25.245,8.4208,0.6528,0.3352,0.5052,1.2043,3.214,3.5174,3.6348,2.0214,2.0202,6.3389,9.8762,1.5525,0.3692,0.0561,2.7902,3.5582,-390.53,1.23,126.31,38.1
CEYNUQ,85.04,-0.48,16.7,-3.0034,-2.5513,1.93,2.08,0,0.03,2.56,87.14,76.34,-0.0509,-0.8071,-0.5148,2.1749,2.6177,1.3546,28.8993,7.2059,25.2854,8.4584,0.6128,0.3025,0.6241,1.3106,3.2175,3.629,3.7815,2.0194,2.0297,6.3212,9.8591,1.7835,0.4183,0.0598,2.784,3.5527,-367.45,1.24,126.15,49.4
DIXKAY,62.07,0.54,15.3,-3.4811,-2.3392,2.04,2.19,0.04,-0.08,2.45,87.1,81.18,0.0407,-0.5889,-0.5897,2.0342,2.5901,1.4342,28.8857,7.256,25.2335,8.4193,0.6762,0.3367,0.4801,1.1964,3.2125,3.4715,3.6695,2.0229,2.0177,6.338,9.8766,1.5474,0.3317,0.0519,2.7895,3.5581,-383.34,1.23,126.4,37.8
FIRKEZ,92.29,7.8,14.9,-4.1329,-3.1691,1.98,2.11,-0.01,-0.13,2.37,63.83,85.6,0.1237,-0.5568,-0.5643,2.3346,2.7532,1.3923,28.8352,7.1704,25.1859,8.5085,0.7693,0,0.4533,1.579,3.1991,3.784,3.5795,2.0494,2.025,6.2549,9.8185,1.5646,0.3634,0.0594,2.7756,3.4967,-371.87,1.27,128.33,26.8
WICNAY,90.3,0.65,23.9,-3.5798,-2.265,2,2.09,0.01,-0.04,2.41,82.52,79.91,0.0644,-0.1819,-0.6489,2.0405,2.5813,1.3862,28.8384,7.2444,25.2351,8.4415,0.6922,0.2636,0.493,1.2339,3.2128,3.677,3.7784,2.0281,2.0401,6.3346,9.8962,1.3209,0.4027,0.08,2.7884,3.5576,-393.62,1.23,126.33,38.4
ULEDOG,62.03,0.94,16.6,-3.286,-2.4419,2.03,2.2,0.05,-0.11,2.49,88.81,80.34,-0.0007,-0.6073,-0.5837,2.0506,2.6764,1.396,28.8887,7.2531,25.2637,8.4547,0.6412,0.3551,0.4984,1.2129,3.2138,3.5382,3.6396,2.0199,2.0191,6.3387,9.8735,1.5473,0.332,0.0499,2.7904,3.5594,-397.39,1.23,125.7,40
CIZVUC,79.35,16.67,21.6,-3.4332,-2.2531,1.97,2.13,-0.09,-0.2,2.44,83.34,79.07,0.0045,-0.7243,-0.0774,2.0976,2.6365,1.307,28.7778,7.2957,25.2856,8.4059,0.7217,0.3584,0.5137,1.1642,3.2146,3.5687,3.5994,2.0151,2.0225,6.3226,9.8749,1.5203,0.1101,0.0273,2.7909,3.5566,-414.56,1.23,126.17,36.4
ABORUE,81.48,0.53,21.5,-3.7138,-2.0055,1.95,2.12,-0.01,-0.03,2.34,76.1,88.9,0.1543,-0.132,-0.1466,2.1005,2.5569,1.4978,28.8753,7.2547,25.166,8.4201,0.8267,0.1642,0.5954,1.26,3.2183,3.4898,3.5546,2.0265,2.0244,6.4111,9.8795,1.3108,0.0874,0.0197,2.787,3.557,-348.06,1.23,126.93,43.8
ZITNUL,62.44,1.09,17.9,-3.41,-2.4018,2.01,2.2,0.04,-0.11,2.48,88.18,81.29,0.0379,-0.574,-0.556,2.0996,2.5943,1.4295,28.907,7.2402,25.244,8.4231,0.6694,0.3364,0.5519,1.1945,3.2134,3.8377,3.4916,2.0317,2.0429,6.3258,9.8679,1.565,0.3375,0.06,2.7901,3.5587,-386.38,1.23,126.38,38.8
HEBKEF,87.27,7.89,15.9,-3.636,-2.3769,1.93,2.11,-0.03,-0.14,2.45,84.54,81.73,0.0423,-0.7187,-0.0962,2.1809,2.5978,1.4151,28.8358,7.2623,25.2259,8.4124,0.6883,0.3053,0.579,1.2117,3.2196,3.4906,3.6895,2.022,2.0183,6.3315,9.8732,1.5957,0.1154,0.0167,2.7906,3.5564,-392.15,1.23,125.87,45.8
FOGJOB,62.31,0.84,8.5,-3.4619,-2.4105,2.03,2.19,0.05,-0.1,2.48,87.96,81.27,0.0238,-0.5893,-0.5894,2.0668,2.6032,1.4317,28.8882,7.252,25.2392,8.4201,0.6662,0.3452,0.4999,1.1917,3.2139,3.5192,3.6351,2.0202,2.0191,6.3358,9.8727,1.5507,0.3379,0.0486,2.7902,3.5581,-388.79,1.23,126.3,38.5
HAXVAF,62.64,0.9,7.4,-3.452,-2.4163,2.02,2.18,0.04,-0.1,2.48,88.13,81.16,0.0216,-0.5836,-0.6032,2.1103,2.608,1.4286,28.8951,7.2525,25.2416,8.4193,0.6643,0.3502,0.5281,1.1889,3.2137,3.5252,3.6292,2.0204,2.019,6.3361,9.8649,1.5433,0.339,0.0503,2.7903,3.558,-389.15,1.23,126.29,38.5
MELWOQ,62.14,0.85,11.5,-3.3406,-2.2946,2.04,2.18,0.04,-0.1,2.45,86.76,82.45,0.0429,-0.5618,-0.5896,2.0786,2.597,1.4488,28.9251,7.2488,25.2311,8.4211,0.6917,0.3347,0.5202,1.1941,3.2144,3.5223,3.6043,2.0194,2.0229,6.3433,9.8738,1.5445,0.344,0.0529,2.7892,3.5586,-377.34,1.23,126.34,40.3
DILXAX,61.97,0.79,12.4,-3.4952,-2.4184,2.04,2.2,0.06,-0.11,2.48,88.37,80.94,0.028,-0.5963,-0.5752,2.057,2.6006,1.4302,28.9042,7.2481,25.2394,8.4177,0.666,0.3478,0.497,1.1901,3.2133,3.5392,3.6126,2.0197,2.0195,6.3358,9.8787,1.54,0.3336,0.0506,2.7903,3.558,-387.63,1.23,126.2,44.9
EFUDIV,62.31,0.86,9.6,-3.4962,-2.4179,2.03,2.19,0.05,-0.11,2.48,88.01,81.35,0.0281,-0.5832,-0.582,2.0749,2.6024,1.4353,28.8914,7.2489,25.2365,8.4199,0.6637,0.3478,0.5,1.1928,3.2138,3.6877,3.5637,2.0232,2.0336,6.3357,9.8716,1.5757,0.3377,0.0506,2.7902,3.5579,-389.92,1.23,126.26,38.8
HTENTX10,62.66,0.6,22.7,-3.3328,-2.1546,1.99,2.21,0.01,-0.04,2.42,84.59,81.57,0.0403,-0.154,-0.7091,2.1299,2.6353,1.3885,28.8777,7.2584,25.2477,8.4522,0.718,0.3546,0.5351,1.1929,3.2097,3.5421,3.5948,2.0192,2.0225,6.3583,9.874,1.3616,0.3773,0.0583,2.7881,3.5586,-377.33,1.23,126.48,41
WANSEM,83.62,-2.87,17.4,-3.3473,-2.3888,1.96,2.11,0,0.07,2.45,81.35,78.54,0.0261,-0.2177,-0.5176,2.0923,2.5179,1.4054,28.9382,7.1981,25.2198,8.431,0.7103,0.2334,0.5979,1.2935,3.2181,3.8768,3.6717,2.0344,2.0493,6.3744,9.8801,1.3174,0.3911,0.0616,2.7823,3.544,-390.64,1.24,126.26,48.7
HIZCIE,83.86,-3.17,17.4,-4.9634,-3.7458,2.05,2.13,0.03,-0.05,2.62,87.6,69.44,-0.0603,-0.3717,-0.3213,2.1121,2.6646,1.3444,28.7399,7.2742,25.2193,8.4331,0.6697,0.3821,0.388,1.2732,3.1919,3.7361,3.7061,2.0228,2.0138,6.3676,9.886,1.3748,0.0876,0.0125,2.7801,3.5454,-465.46,1.26,125.22,42.1
QIXMIU,77.89,-3.49,17.2,-4.1999,-2.5706,2.02,2.18,0.09,-0.01,2.48,86.67,78.22,0.0418,-0.6084,-0.0699,2.1484,2.6742,1.3912,28.816,7.2479,25.2254,8.3807,0.6819,0.3541,0.4682,1.1721,3.2157,3.597,3.5707,2.0177,2.0209,6.3223,9.8632,1.4965,0.1145,0.0284,2.7925,3.556,-436.41,1.23,124.96,36.3
AKAKOM,88.26,-2.83,23.8,-4.3913,-2.8002,1.96,2.09,0,-0.01,2.51,89.02,72.13,0.0281,-0.5595,-0.4798,2.2723,2.6963,1.3153,28.837,7.2529,25.2459,8.3805,0.6345,0.4593,0.4964,1.1441,3.2053,3.5082,3.6582,2.0119,2.017,6.2868,9.844,1.5696,0.4033,0.0429,2.792,3.554,-449.36,1.22,124.73,26
HAVJIX,74.39,2.57,14.9,-4.1763,-2.4908,2.18,2.09,-0.08,0.02,2.33,62.01,83.24,0.1384,-0.0788,-0.3618,2.1471,2.7878,1.4601,28.8336,7.1704,25.1388,8.4704,0.7923,0,0.2985,1.5728,3.1919,3.6181,3.5588,2.034,2.0189,6.3339,9.866,1.4907,0.0641,0.0216,2.7714,3.5065,-380.5,1.26,127.82,41.9
CIWSEJ,82.71,0.54,10.2,-3.3892,-2.9167,1.95,2.15,-0.01,-0.08,2.5,87.56,78.05,-0.0045,-0.5926,-0.0793,2.0871,2.6506,1.3319,28.7859,7.2599,25.2786,8.3938,0.62,0.3904,0.4604,1.1686,3.2162,3.5975,3.6183,2.0178,2.023,6.3314,9.8788,1.6339,0.1166,0.0263,2.7918,3.5551,-420.21,1.23,125.27,41.9
JIMTIJ,81.95,-0.64,16.2,-4.0629,-2.6771,2.02,2.08,-0.02,0.02,2.49,87.23,74.29,0.0321,-0.0031,-0.5248,2.1629,2.7094,1.3326,28.7944,7.2744,25.2486,8.3855,0.6436,0.462,0.5375,1.1332,3.2089,3.7303,3.6083,2.0301,2.0274,6.3347,9.851,1.1723,0.3715,0.0441,2.792,3.5544,-442.27,1.22,124.71,22.7
HOKWEK,62.48,0.5,15.1,-3.5062,-2.4288,2.03,2.17,0.04,-0.08,2.49,88.34,81.38,0.0264,-0.5804,-0.5794,2.0624,2.5964,1.4431,28.9212,7.2493,25.2357,8.4176,0.656,0.3283,0.5045,1.2033,3.2151,3.5604,3.619,2.0213,2.0244,6.3394,9.8773,1.5779,0.3871,0.0585,2.7901,3.5578,-385.69,1.23,126.15,36.8
CEPHAP,62.7,-0.94,16,-3.047,-2.8766,2.12,2.12,-0.07,0.1,2.41,83.67,80.22,0.0726,-0.5289,-0.5146,2.0216,2.5652,1.353,28.8823,7.2548,25.2699,8.4109,0.6745,0.2835,0.3824,1.1864,3.2175,3.8077,3.5265,2.0431,2.04,6.2949,9.8941,1.5066,0.3483,0.0752,2.7888,3.5555,-411.03,1.23,125.71,48
CAHCIT,63.02,0.52,11.3,-3.344,-2.5485,1.99,2.18,0.06,-0.09,2.58,94.45,78.08,-0.0381,-0.5741,-0.5486,2.191,2.6971,1.382,28.9409,7.253,25.291,8.4241,0.5563,0.4022,0.5157,1.215,3.2115,3.5365,3.6642,2.0205,2.0184,6.3346,9.8685,1.5509,0.3111,0.047,2.7906,3.5581,-369.56,1.23,125.5,40.4
IMEDOT,92.4,4.03,16.9,-3.9342,-2.3,1.94,2.13,-0.04,-0.18,2.4,83.98,78.96,0.113,-0.4088,-0.1891,2.5981,2.6586,1.4079,28.9678,7.2707,25.1862,8.4325,0.7328,0.3557,0.6249,1.1919,3.2068,3.5591,3.5229,2.014,2.0243,6.3344,9.85,1.2017,0.0861,0.0104,2.7888,3.555,-400.73,1.23,126.05,52.4
UHITEK,62.07,0.69,16.6,-3.4109,-2.4125,2.04,2.2,0.05,-0.1,2.48,88.33,80.61,0.0192,-0.5936,-0.579,2.0515,2.6261,1.4197,28.8982,7.2701,25.2466,8.4185,0.652,0.3483,0.5037,1.2076,3.2136,3.5568,3.6055,2.0188,2.0234,6.3394,9.8774,1.5593,0.3285,0.0478,2.7902,3.558,-394.35,1.23,126.14,37.8
NOXGEP,62.32,0.8,12.6,-3.4663,-2.3913,2.03,2.19,0.05,-0.1,2.47,87.89,81.35,0.028,-0.5862,-0.5839,2.0737,2.6111,1.4331,28.8982,7.2535,25.2382,8.4202,0.6655,0.3471,0.5089,1.1918,3.214,3.5477,3.6653,2.0266,2.0168,6.3353,9.8726,1.5357,0.3348,0.0538,2.79,3.5581,-388.49,1.23,126.26,38.8
RICHAM,112.54,-8.2,25.5,-3.1846,-2.2584,1.94,2.07,-0.03,0.01,2.43,81.01,77.91,0.0057,-0.8463,-0.537,2.0795,2.5044,1.3321,28.8025,7.2185,25.2638,8.4615,0.7477,0.2884,0.5895,1.2373,3.2153,3.6272,3.6914,2.0304,2.0165,6.2909,9.8695,1.7366,0.4042,0.0761,2.7867,3.5549,-406.76,1.23,125.87,44.2
WUJGOZ,83.89,0.22,20.2,-3.1034,-2.5967,1.92,2.1,0.02,-0.03,2.58,88.06,76.22,-0.0566,-0.7834,-0.4803,2.1825,2.557,1.3547,28.9086,7.2052,25.2867,8.4197,0.5871,0.3142,0.627,1.2353,3.2182,3.7084,3.7282,2.0271,2.0315,6.3198,9.8617,1.7639,0.4001,0.0529,2.7846,3.5492,-368.5,1.24,125.88,46.7
FEMFAE,80.57,0.77,33.5,-3.7267,-2.4037,2.17,2.12,0,-0.08,2.44,84.15,78.79,0.035,-0.2307,-0.5185,1.8467,2.6097,1.3489,28.709,7.2702,25.252,8.3963,0.7028,0.3098,0.2748,1.1732,3.2191,3.5248,3.6545,2.0161,2.02,6.3265,9.9124,1.2846,0.4134,0.0682,2.7926,3.5557,-430.46,1.22,125.42,35.5
SERNEK,75.93,6.65,17.2,-3.4638,-2.5238,1.97,2.11,0.01,-0.08,2.42,83.23,76.43,0.0285,-0.0231,-0.5614,2.5215,2.6723,1.2741,28.9111,7.2688,25.2743,8.4274,0.7048,0.404,0.5321,1.1866,3.202,3.5118,3.6928,2.0186,2.0152,6.307,9.8051,1.2463,0.4049,0.0589,2.7879,3.5538,-415.54,1.23,126.19,48.6
MAYDEY,87.18,-1.03,14.2,-3.0522,-2.5386,1.95,2.13,0,-0.01,2.54,86.09,76.2,-0.0345,-0.78,-0.4724,2.1348,2.5689,1.3593,28.9401,7.2318,25.2725,8.4602,0.6491,0.3039,0.6401,1.2568,3.2177,3.62,3.7458,2.0223,2.0279,6.3262,9.8697,1.7685,0.359,0.0455,2.7861,3.5557,-387.02,1.24,126.19,46.8
LILJOG,79.87,-0.41,21.9,-3.8148,-2.0817,2.21,2.08,0.11,-0.01,2.32,61.59,84.82,0.1929,-0.1675,-0.512,2.0551,2.7631,1.5218,28.8962,7.1684,25.1282,8.4834,0.7955,0,0.2734,1.5741,3.1933,3.8689,3.5884,2.0548,2.0344,6.2905,9.9067,1.3981,0.4122,0.0762,2.7721,3.5163,-364.46,1.26,128.3,46.5
PEYBIE,62.27,0.85,8.6,-3.4302,-2.3778,2.03,2.18,0.05,-0.1,2.47,87.26,81.79,0.0336,-0.5919,-0.5906,2.0556,2.598,1.4373,28.8877,7.2494,25.2351,8.4192,0.6698,0.3345,0.5009,1.1991,3.2143,3.5144,3.6394,2.0184,2.0228,6.3379,9.8727,1.5581,0.3399,0.0463,2.79,3.5586,-384.65,1.23,126.38,38.4
OBUMEF,73.52,0.85,18.1,-3.7719,-2.5742,2.16,2.21,-0.05,-0.04,2.41,82.75,76.25,0.0541,-0.6013,-0.0482,2.0266,2.6374,1.2975,28.7686,7.2735,25.2637,8.4031,0.7132,0.3819,0.3348,1.1598,3.2072,3.5969,3.7113,2.0257,2.0257,6.2947,9.8785,1.5075,0.1152,0.0331,2.7898,3.555,-425.86,1.23,125.73,30.1
HOCFEN,81.34,0.28,15.6,-3.8856,-2.5105,2.03,2.12,0.03,-0.08,2.46,85.64,74.5,0.0288,-0.5079,-0.1616,1.9751,2.6616,1.3554,28.7688,7.2694,25.2536,8.391,0.6304,0.4019,0.3932,1.154,3.2122,3.56,3.6981,2.0203,2.028,6.319,9.8929,1.4893,0.0911,0.0174,2.7926,3.5556,-437.28,1.22,125.12,45.2
NUCBAQ,62.19,0.67,8.3,-3.5035,-2.3634,2.04,2.19,0.05,-0.1,2.45,86.87,80.57,0.0344,-0.5884,-0.5849,2.0535,2.601,1.4134,28.8796,7.259,25.2404,8.4181,0.6758,0.3539,0.512,1.1791,3.2117,3.5319,3.6,2.0175,2.0213,6.3312,9.873,1.5543,0.3338,0.0473,2.7901,3.5581,-396.37,1.23,126.28,37.8
WEFKUP,62.56,0.13,9,-3.6731,-2.5368,2.02,2.19,0.07,-0.08,2.49,88.44,74.76,-0.011,-0.5783,-0.5744,2.0565,2.6739,1.3151,28.8661,7.2749,25.2864,8.3948,0.6223,0.4123,0.5215,1.1623,3.2083,3.52,3.6581,2.0139,2.0201,6.325,9.8704,1.554,0.3301,0.0441,2.7923,3.5573,-437.56,1.23,125.36,37.4
DHBFZO,83.22,-2.77,13.1,-4.6568,-2.9113,1.95,2.19,-0.03,0.16,2.53,89.8,74.29,0.0072,0.1655,0.1778,2.391,2.7884,1.3558,28.8829,7.2654,25.2252,8.466,0.6323,0.4497,0.6952,1.2032,3.2066,3.5534,3.6336,2.0135,2.017,6.3579,9.8485,1.1869,0.1341,0.031,2.7898,3.5352,-450.11,1.23,124.44,38.2
CAXKIV,93.53,2.91,15.9,-3.4173,-2.2584,1.98,2.1,-0.03,-0.12,2.45,85.99,80.29,0.0384,-0.5618,-0.5702,2.0782,2.6081,1.3828,28.7956,7.256,25.27,8.4157,0.6756,0.3396,0.459,1.2024,3.2116,3.6314,3.5166,2.015,2.0317,6.2849,9.8766,1.574,0.3595,0.0363,2.7895,3.5575,-384.93,1.23,126.5,33.6
JURVAT,61.84,0.73,10.4,-3.4073,-2.3609,2.04,2.2,0.05,-0.1,2.46,87.34,81.45,0.0313,-0.591,-0.5805,2.0415,2.5934,1.4309,28.8994,7.2495,25.2399,8.421,0.6702,0.331,0.5,1.1974,3.2138,3.6294,3.545,2.017,2.0318,6.3427,9.876,1.5849,0.3217,0.0464,2.7899,3.5584,-386.17,1.23,126.39,38.8
OCAMEL,89.9,6.04,16.6,-3.6191,-2.3555,1.93,2.12,-0.02,-0.14,2.45,84.09,81.89,0.0348,-0.7147,-0.102,2.1583,2.5903,1.4046,28.824,7.2629,25.2335,8.4117,0.684,0.2995,0.5829,1.2101,3.219,3.4437,3.7093,2.0235,2.0208,6.3306,9.8751,1.6279,0.1139,0.0146,2.7903,3.5562,-391.58,1.23,126.04,45.8
ATEYIJ,74.11,1.43,16.2,-3.7787,-2.9216,2.15,2.17,-0.02,-0.13,2.46,85.54,77.53,0.0199,-0.0308,-0.1288,2.1082,2.7305,1.3184,28.75,7.2688,25.2611,8.4388,0.701,0.3787,0.379,1.2182,3.2094,3.5583,3.6077,2.0146,2.0202,6.3387,9.8687,1.2265,0.0889,0.0151,2.7899,3.5525,-432.31,1.23,125.55,32.4
EFOJIT,79.32,0.85,13.2,-4.3346,-2.9783,2.14,2.09,-0.08,-0.03,2.35,64.48,83.4,0.1541,-0.0868,-0.0915,2.248,2.7551,1.4897,28.8727,7.171,25.1136,8.5067,0.7599,0,0.2681,1.5574,3.1962,3.8288,3.4886,2.0513,2.0243,6.3191,9.8789,1.2153,0.1281,0.0308,2.7755,3.5065,-373.14,1.27,127.7,32.1
CIWVUB,86.34,-3.96,15.9,-4.5,-3.5994,1.84,2.19,0.1,-0.18,2.6,92.74,76.76,0.0291,-0.5724,0.1466,2.5545,2.8422,1.4157,28.7679,7.1887,25.1966,8.3944,0.5972,0.5103,0.5263,1.1744,3.1978,3.5311,3.6209,2.0132,2.0167,6.317,9.7689,1.5617,0.1234,0.0171,2.7894,3.5557,-380.45,1.23,124.01,42.9
GETTUW,61.87,0.98,18.5,-3.2794,-2.5409,2.02,2.22,0.06,-0.12,2.54,91.09,77.53,-0.0453,-0.5973,-0.5622,2.0874,2.7113,1.3315,28.9008,7.2721,25.3029,8.4034,0.598,0.4154,0.5322,1.197,3.2116,3.5857,3.6176,2.0137,2.0235,6.3317,9.8723,1.5507,0.3137,0.0455,2.7918,3.5586,-412.58,1.23,125.49,37.9
JABDOF,91.02,0.32,13.2,-4.0779,-3.386,1.92,2.07,0.03,-0.09,2.53,90.39,74.37,0.0223,-0.4855,-0.5581,2.3123,2.7636,1.3493,28.7725,7.2657,25.2416,8.3969,0.6176,0.4768,0.4876,1.1653,3.203,3.6195,3.586,2.0199,2.016,6.2837,9.8151,1.5357,0.3726,0.0391,2.7921,3.5557,-429.29,1.22,124.5,26.6
EVIGEW,62.42,0.74,8.4,-3.4583,-2.3884,2.03,2.18,0.05,-0.1,2.47,87.69,81.35,0.0291,-0.5922,-0.5937,2.0709,2.5973,1.4325,28.893,7.2496,25.2382,8.4208,0.6653,0.3412,0.5089,1.1935,3.2136,3.539,3.6003,2.0181,2.0218,6.3361,9.8726,1.5563,0.3392,0.0484,2.7902,3.5582,-387.18,1.23,126.38,38.9
FUNDUN01,79.54,2.3,12.7,-3.5736,-2.1774,1.97,2.16,-0.02,-0.09,2.41,81.38,84.87,0.0476,-0.4175,-0.0824,2.1213,2.601,1.4203,28.8391,7.2495,25.2214,8.4036,0.7578,0.2563,0.5498,1.2116,3.2188,3.5085,3.613,2.022,2.0229,6.4012,9.8834,1.3737,0.1235,0.026,2.7898,3.5574,-383.82,1.23,126.72,40.2
DUMJUQ01,85.44,-0.16,17.5,-3.0058,-2.5154,1.95,2.08,0,-0.02,2.54,86.65,75.91,-0.059,-0.8081,-0.4497,2.1483,2.5945,1.3245,28.9028,7.2485,25.295,8.4373,0.6228,0.3583,0.6335,1.2267,3.2168,3.6483,3.7792,2.0226,2.0277,6.3117,9.8672,1.77,0.369,0.034,2.7878,3.5584,-382.14,1.23,126.11,44.9
EVIHUN,75.06,-0.1,25.3,-4.0788,-2.4894,2.14,2.18,0.04,-0.06,2.44,81.24,74.32,0.0402,-0.6046,-0.037,1.999,2.5451,1.3792,28.772,7.1765,25.2134,8.4333,0.8054,0.2943,0.3496,1.2777,3.2084,3.725,3.8584,2.0213,2.0384,6.2983,9.8818,1.4682,0.1159,0.0212,2.7817,3.54,-429.98,1.23,125.63,33
NAMQIE,84.65,14.82,16.8,-3.3991,-2.2226,1.96,2.15,-0.06,-0.18,2.42,81.74,78.13,0.0208,-0.7282,-0.1292,2.1269,2.5935,1.2979,28.8815,7.2662,25.2764,8.3981,0.7093,0.3561,0.5622,1.157,3.2147,3.477,3.7336,2.0218,2.0261,6.3313,9.8864,1.464,0.1118,0.0264,2.7905,3.5561,-416.32,1.23,126.25,42.2
ESASUO,77.19,1.99,13.7,-3.4342,-2.0174,2,2.12,-0.05,-0.07,2.35,62.63,91.24,0.1444,-0.3755,-0.6535,2.3089,2.7075,1.5158,28.9272,7.1517,25.1708,8.457,0.7561,0,0.5765,1.5893,3.203,3.7018,3.569,2.0491,2.025,6.3237,9.8483,1.4949,0.3907,0.0476,2.7827,3.5261,-313.95,1.27,126.3,44.5
SOCXIT,82.47,-1.18,16.9,-4.1128,-2.6996,2.02,2.06,-0.03,0.03,2.5,88.11,74.65,0.0229,0.0167,-0.5259,2.214,2.7089,1.3418,28.8132,7.2669,25.2426,8.3806,0.6308,0.4555,0.5324,1.134,3.2084,3.6326,3.6278,2.021,2.0233,6.3301,9.8507,1.1674,0.3784,0.0478,2.792,3.5541,-439.61,1.22,124.78,28.7
OPIJIH,80.55,-0.54,16.2,-4.1076,-2.5678,1.94,2.19,0.08,-0.14,2.49,87.94,74.4,0.0057,-0.1165,0.1549,2.2537,2.7204,1.3276,28.8293,7.2717,25.2584,8.3948,0.643,0.4224,0.583,1.1637,3.208,3.5642,3.6589,2.0203,2.0152,6.3632,9.8598,1.3158,0.128,0.0251,2.7922,3.556,-442.26,1.22,125.14,31.5
HZPCBX,75.98,0.61,20,-3.6606,-3.4232,2.12,2.16,0.01,-0.11,2.5,87.56,77.9,-0.0369,-0.0512,-0.1323,2.1113,2.7177,1.2775,28.7314,7.2488,25.2894,8.4528,0.7022,0.4056,0.3951,1.1998,3.213,3.5852,3.6673,2.0244,2.021,6.3611,9.8801,1.4157,0.0891,0.0248,2.7896,3.5496,-429.96,1.22,125.56,30.1
