Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PX_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,Cu-O,C-I,N-Cu-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Lowdin_Charge_Amide_C,Lowdin_Charge_Amide_O,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Bonded_Valence_Amide_C,Bonded_Valence_Amide_O,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Atomic_Population_Amide_C,Atomic_Population_Amide_O,Bond_Order_Cu-I,Bond_Order_Cu-C,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Bond_Order_Amide_C-O,Bond_Order_Amide_C-N,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_p,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dxy,Orbital_Charge_L2_dz2,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_C_p,Orbital_Charge_Amide_C_pz,Orbital_Charge_Amide_C_px,Orbital_Charge_Amide_C_py,Orbital_Charge_Amide_O_s,Orbital_Charge_Amide_O_p,Orbital_Charge_Amide_O_pz,Orbital_Charge_Amide_O_px,Orbital_Charge_Amide_O_py,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
DIJGIN,90.88,-0.44,187.04,3.73,8.12,7.12,34,27.4,16.1,661.43,-3.9185,-2.5006,2.03,2.05,-0.06,-0.02,2.55,3,3.03,2.47,87.26,73.4,90.66,95.5,0.33,-0.1714,-0.0358,0.0201,-0.6002,-0.5859,0.2084,-0.5839,2.0018,2.6586,3.7031,1.3166,2.0195,2.1237,4.0036,2.0779,28.7485,7.2694,5.9298,25.2638,8.5534,8.5042,5.7549,8.3954,0.5519,0,0.6541,0.4031,0.3549,0.375,1.9741,1.1615,2.9299,0.9894,1.0964,0.9259,3.209,3.8819,1.3114,1.2062,1.3644,3.7674,3.5853,3.8537,3.6287,10.1449,2.0321,2.0459,2.0216,2.0285,2.0168,6.2804,12.5116,4.1825,4.1363,4.1928,9.878,1.9721,1.9841,1.9739,1.9802,1.9676,1.684,1.5221,1.4717,0.4183,0.0531,0.1011,0.0596,1.5231,1.686,1.4796,0.3968,0.0385,0.1089,0.0576,2.792,2.7599,0.9836,0.9737,0.8026,3.5563,4.7219,1.6434,1.6003,1.4781,-443.55,1.22,125.13,34.5
OBISUQ,75.6,5.95,238.75,2.53,7.44,6.06,46.8,33.4,17.4,595.76,-3.5077,-2.0069,1.98,2.12,-0.01,-0.14,2.57,3.31,3.16,2.37,78.62,83.98,89.72,100.95,0.2525,-0.1902,-0.0553,0.1058,-0.2096,0.1626,0.199,-0.6407,2.4278,2.5551,3.7699,1.3423,2.938,2.769,3.9911,2.0708,28.9216,7.2354,5.8421,25.2344,7.257,6.9813,5.7462,8.4328,0.5218,0,0.7879,0.2056,0.5746,0.375,1.9631,1.2547,2.9273,0.9971,1.1365,0.8973,3.2146,3.8969,1.2981,1.2896,1.3091,3.7431,3.5055,3.8866,3.5965,10.1626,2.0228,2.0632,2.0175,2.0357,2.0235,6.3318,12.5777,4.1902,4.1567,4.2308,9.8379,1.9778,1.9693,1.9335,1.9712,1.9861,1.2133,1.4118,1.3508,0.079,0.0204,0.0091,0.0159,1.1472,1.1952,1.1943,0.1276,0.0236,0.0345,0.0154,2.7865,2.7716,1.0027,0.9516,0.8173,3.5562,4.7615,1.5978,1.6402,1.5235,-375.64,1.23,126.61,48
TESMEK,62.49,0.95,193.53,2.17,9.21,9.26,28.7,24.7,18.4,709.74,-3.4236,-2.3276,2.02,2.17,0.04,-0.1,2.48,3.21,2.98,2.46,87.82,80.92,88.86,101.37,0.2884,-0.1793,-0.0398,0.0291,-0.6182,-0.5737,0.2147,-0.5984,2.0891,2.6448,3.7296,1.4209,1.9593,1.9585,3.9006,2.0371,28.8909,7.256,5.8553,25.2448,8.5603,8.5337,5.7073,8.4416,0.6498,0,0.6711,0.3671,0.483,0.3753,1.8976,1.1801,2.9348,0.9868,1.137,0.8899,3.2121,3.888,1.3583,1.2354,1.2944,3.7576,3.5298,3.9045,3.6266,10.1523,2.0207,2.058,2.0187,2.034,2.0209,6.3264,12.5149,4.1897,4.1054,4.2198,9.8703,1.9847,1.9875,1.9723,1.9515,1.9743,1.539,1.4674,1.6614,0.438,0.0894,0.1024,0.0684,1.5598,1.6375,1.5013,0.3392,0.0451,0.0953,0.048,2.7881,2.7565,1.0013,0.9477,0.8075,3.5578,4.7332,1.6685,1.5679,1.4969,-386.53,1.23,125.97,40
HINBAJ,85.14,-0.35,199.25,1.82,7.4,8.18,33.6,25.5,15.4,630.3,-3.8513,-2.2733,1.98,2.14,0,-0.04,2.54,3.2,3.1,2.43,84.32,80.28,89.54,101.93,0.1136,-0.1922,-0.0456,0.0309,-0.1496,-0.1564,0.2053,-0.6065,2.1799,2.6271,3.7197,1.3759,3.2831,3.121,3.9869,2.0759,28.8927,7.266,5.8374,25.2473,7.0976,7.1001,5.7418,8.426,0.5788,0,0.7108,0.3265,0.563,0.3753,1.9533,1.2026,2.9307,1.0003,1.1132,0.9073,3.2132,3.8994,1.3165,1.2565,1.3264,3.7604,3.5002,3.9204,3.6356,10.1524,2.02,2.0591,2.019,2.0348,2.0195,6.3618,12.6216,4.192,4.1799,4.2498,9.903,1.9841,1.9892,1.9945,1.9652,1.97,1.311,1.1835,1.4085,0.0932,0.0147,0.0381,0.0102,1.2794,1.2776,1.3219,0.0923,0.0169,0.0179,0.0096,2.7901,2.7632,1.0076,0.9712,0.7844,3.5556,4.7451,1.6001,1.6723,1.4727,-402.05,1.23,126.3,36.2
ALGLYL,65.22,-4.24,168.88,1.4,7.97,6.5,27.5,19.3,10.9,558.82,-3.8084,-2.2878,1.98,2.08,0.06,0.18,2.62,3.23,2.43,2.41,83.61,79.83,87.2,109.36,0.3671,-0.1598,-0.0436,0.0741,-0.5324,-0.5914,0.1476,-0.6524,2.6254,2.6829,3.8313,1.3128,1.9729,1.887,4.0966,1.9791,29.0827,7.1679,5.8527,25.2637,8.439,8.4374,5.7653,8.3958,0.4839,0,0.7563,0.5426,0.5018,0.3756,1.816,1.0446,2.9305,1.1016,0.9958,0.9206,3.1879,3.8846,1.2058,1.3652,1.3136,3.7553,3.8451,3.722,3.4504,10.153,2.0305,2.0247,2.0307,2.02,2.0472,6.2596,12.5214,4.1352,4.1812,4.2051,9.8519,1.9987,1.9799,1.9276,1.9811,1.9646,1.5748,1.4989,1.6166,0.3202,0.0655,0.0899,0.0535,1.5165,1.635,1.5474,0.3605,0.0656,0.0766,0.0582,2.776,2.825,0.9994,0.9775,0.8481,3.5626,4.7643,1.4698,1.7543,1.5401,-384.38,1.25,126.64,64.7
CANMAF,83.98,0.95,183.21,2.8,9.83,15.4,33.9,26.2,18.2,944.9,-3.0926,-3.0537,1.94,2.06,-0.01,-0.07,2.53,3.18,3.09,2.45,85.37,79.07,89.25,99.31,0.3102,-0.1809,-0.0449,0.0115,-0.8101,-0.558,0.1999,-0.6123,2.2164,2.6001,3.695,1.3413,1.821,1.9928,4.0559,2.0902,28.8493,7.2458,5.8645,25.2865,8.547,8.4196,5.7771,8.4192,0.5976,0,0.6544,0.3198,0.6151,0.3756,1.9836,1.2122,2.934,1.0018,1.0586,0.958,3.2149,3.8866,1.287,1.2582,1.3414,3.7627,3.5122,3.9125,3.6448,10.1563,2.0243,2.0599,2.0166,2.0325,2.023,6.2994,12.5431,4.1747,4.1435,4.225,9.8472,1.9774,1.9994,1.9783,1.9529,1.9391,1.7736,1.5841,1.4993,0.4076,0.0497,0.1152,0.0515,1.4111,1.7184,1.4843,0.4335,0.042,0.1294,0.0576,2.7899,2.769,1.0113,0.9691,0.7886,3.5576,4.7545,1.5782,1.6922,1.484,-399.29,1.23,126.14,41.1
SECCOV,75.81,3.07,220.67,3.23,7.21,6.66,38.7,34.4,21.7,694.92,-4.0441,-2.578,2.32,1.97,-0.19,0.05,2.55,3.28,1.93,2.34,63.45,84.19,88.98,76.05,0.3547,-0.184,-0.0613,0.1717,-0.3426,-0.5899,0.2257,-0.6576,2.0567,2.7628,3.6712,1.4764,2.9368,2.0225,3.9132,2.0161,28.7487,7.1673,5.8289,25.14,7.6659,8.5568,5.6593,8.4747,0.5783,0,0.8029,0,0.1646,0.376,1.3369,1.5592,2.9259,0.9156,1.0302,1.0901,3.195,3.9093,1.3107,1.395,1.2035,3.7346,3.8223,3.5272,3.5786,10.1655,2.0272,2.0307,2.0539,2.0295,2.0242,6.2819,12.504,4.1574,4.156,4.1906,9.8595,1.9804,1.9813,1.9578,1.9725,1.9675,1.2528,1.3434,1.4871,0.0606,0.0087,0.006,0.0178,1.4877,1.7077,1.4329,0.488,0.0793,0.0991,0.0855,2.7734,2.7641,0.9751,0.8308,0.9582,3.5044,4.7643,1.7133,1.6136,1.4373,-368.92,1.26,128.09,26.6
EFAYUF,62.34,0.42,155.1,3.13,5.87,9.64,25.4,19.2,13.2,630.73,-3.411,-2.3542,2.04,2.16,0.05,-0.08,2.49,3.22,3.03,2.46,87.41,81.18,89.13,101.45,0.277,-0.1817,-0.0393,0.0301,-0.5898,-0.6095,0.2006,-0.6116,2.0817,2.5886,3.7141,1.4268,1.9326,1.8578,4.0658,2.0909,28.9253,7.2486,5.8394,25.2424,8.5215,8.529,5.7908,8.4208,0.6655,0,0.6696,0.3388,0.5197,0.376,1.9927,1.1925,2.9349,0.9874,1.1394,0.8862,3.2129,3.8895,1.3696,1.2098,1.3101,3.7594,3.5208,3.9272,3.6114,10.1511,2.0182,2.0592,2.0196,2.0337,2.0205,6.3358,12.5127,4.1827,4.1048,4.2251,9.8746,1.9821,1.9967,1.9881,1.9488,1.9588,1.5475,1.5039,1.6536,0.3595,0.0634,0.0943,0.0498,1.5631,1.6213,1.5269,0.3637,0.0557,0.097,0.0545,2.7899,2.7685,0.9928,0.9719,0.8037,3.5582,4.7588,1.6804,1.5722,1.5061,-383.32,1.23,126.44,38.5
JOTSIW,81.59,-0.16,199.19,1.56,6.91,7.91,34.2,24.4,12.7,577.59,-3.9556,-2.5898,2.03,2.11,-0.07,0.07,2.59,3.08,3.08,2.45,84.62,75.38,89.24,99.79,0.1454,-0.1892,-0.0378,0.0354,-0.085,-0.1274,0.2085,-0.5931,2.0965,2.6614,3.7177,1.3176,3.0794,2.9732,3.9971,2.0975,28.8021,7.2886,5.8961,25.2695,6.9748,7.2069,5.7423,8.3953,0.4977,0,0.6718,0.4181,0.482,0.3761,1.9979,1.1441,2.9286,1.0212,1.0771,0.9161,3.2083,3.9,1.2445,1.2977,1.3578,3.7696,3.5502,3.8611,3.6317,10.1519,2.0233,2.058,2.0136,2.0328,2.0243,6.3539,12.6024,4.1909,4.1749,4.2366,9.8983,1.9886,1.9582,1.998,1.978,1.9755,1.2443,1.1129,1.4127,0.1198,0.0173,0.0516,0.0128,1.4277,1.1243,1.2781,0.0984,0.014,0.019,0.0121,2.7918,2.76,1.0098,0.9704,0.7797,3.5555,4.7255,1.528,1.7374,1.4602,-438.04,1.22,125.48,49
WULYAE,95.31,-0.01,204.34,2.51,9.49,7.29,41.5,34.6,24.6,762.87,-3.2465,-2.0866,1.93,2.01,-0.02,-0.05,2.57,3.27,3.04,2.4,82.45,82.04,89.03,102.76,0.3455,-0.1851,-0.0549,0.0703,-0.8708,-0.623,0.1957,-0.6258,2.3109,2.5636,3.7571,1.365,1.7665,1.8924,4.0476,2.0856,28.8784,7.236,5.8356,25.2537,8.5209,8.4663,5.7867,8.4243,0.557,0,0.747,0.31,0.6628,0.3761,1.9835,1.2171,2.9328,1.0548,1.0181,0.9551,3.2111,3.8941,1.2093,1.3345,1.3504,3.7554,3.6353,3.8154,3.5631,10.1605,2.0284,2.055,2.0216,2.0229,2.0326,6.2845,12.5308,4.1584,4.1694,4.203,9.8393,1.9736,1.9935,1.9706,1.9636,1.9379,1.7653,1.6574,1.4288,0.4808,0.0766,0.1323,0.0681,1.4871,1.6994,1.4796,0.4479,0.066,0.1013,0.0656,2.7887,2.7733,1.0036,0.9794,0.7902,3.5592,4.7672,1.5003,1.7725,1.4944,-363.58,1.23,126.7,38.4
GAPZAA,84.1,0.73,220.04,2.01,8.98,7.35,36.9,26.5,16.2,644.69,-3.8454,-3.2859,2,2.05,0,-0.07,2.55,3.18,2.94,2.49,85.47,78.2,86.8,102.24,0.2686,-0.1745,-0.0323,0.0632,-0.108,-0.5536,0.2089,-0.586,2.2515,2.6788,3.6643,1.3659,3.2038,1.9703,3.9642,2.1156,28.8052,7.2643,5.8664,25.2369,7.1683,8.4447,5.7364,8.3776,0.5461,0,0.6483,0.428,0.5029,0.3762,2.0329,1.1349,2.9308,1.0665,1.0631,0.8797,3.2124,3.8829,1.194,1.3756,1.3134,3.7656,3.6695,3.7303,3.6186,10.1528,2.0304,2.0463,2.029,2.024,2.0231,6.332,12.567,4.1544,4.1953,4.2173,9.8324,1.9906,1.9683,1.942,1.9647,1.9669,1.2762,1.2105,1.36,0.0935,0.0174,0.0229,0.0095,1.5394,1.6717,1.4645,0.3646,0.0305,0.1146,0.0492,2.7918,2.7602,0.9849,0.989,0.7863,3.5543,4.7151,1.4955,1.7779,1.4417,-424.75,1.23,124.74,36.9
MIGRAW,88.03,6.72,190.95,1.84,9.53,8.92,35.7,27.7,20.2,768.5,-4.4032,-3.475,1.9,2.08,-0.01,-0.1,2.55,3.26,2.28,2.57,87.78,79.16,87.18,105.87,0.439,-0.1489,-0.0172,0.0638,-0.6148,-0.5595,0.2221,-0.5606,2.5895,2.7259,3.8245,1.4062,2.0892,2.0313,3.8198,1.9103,28.8789,7.1862,5.9648,25.1884,8.4092,8.3859,5.7201,8.4037,0.5535,0,0.6503,0.4083,0.6022,0.3762,1.6375,1.221,2.9326,1.1261,1.0062,0.8622,3.2106,3.8576,1.3097,1.2955,1.2524,3.7839,3.8776,3.5408,3.6164,10.1175,2.0167,2.0146,2.0444,2.0165,2.0254,6.2796,12.5244,4.1096,4.2074,4.2074,9.7569,1.9684,1.9754,1.8597,1.9954,1.958,1.4852,1.691,1.49,0.4463,0.0719,0.0856,0.0879,1.471,1.7401,1.4346,0.396,0.0374,0.1099,0.0594,2.7896,2.7503,0.9407,0.9749,0.8346,3.5553,4.6785,1.6825,1.5265,1.4695,-437.51,1.24,121.53,36
EWELIB,62.06,0.9,154.38,3.9,7.82,9.41,27.2,22.2,18.3,741.62,-3.3023,-2.4667,2.04,2.19,0.04,-0.1,2.49,3.21,3.01,2.5,89.08,79.99,89.22,101.05,0.2775,-0.1774,-0.0328,-0.004,-0.6167,-0.5945,0.2042,-0.6009,2.0705,2.6365,3.7281,1.3911,1.867,1.8714,4.0279,2.0846,28.9236,7.2693,5.8688,25.2638,8.5397,8.519,5.7731,8.4177,0.6571,0,0.6416,0.3748,0.5339,0.3764,1.9765,1.1935,2.936,0.986,1.1384,0.8822,3.2133,3.8848,1.3724,1.2016,1.3108,3.7678,3.5522,3.924,3.6138,10.1462,2.0187,2.0564,2.0169,2.0322,2.0219,6.3368,12.5113,4.1877,4.1028,4.2207,9.8745,1.9812,1.9936,1.9797,1.9519,1.9681,1.5527,1.488,1.6685,0.3837,0.0702,0.0997,0.0579,1.5425,1.641,1.5173,0.3579,0.0565,0.1017,0.0556,2.791,2.7649,1.0046,0.9682,0.792,3.5585,4.7483,1.716,1.5569,1.4754,-398.9,1.23,125.96,36.8
PERBEU,63.02,0.58,203.77,3.43,7.8,8.59,30.6,31.1,23.8,672.27,-3.3667,-2.4953,2.06,2.11,0,-0.04,2.47,3.23,2.99,2.53,90.43,80.21,88.31,101,0.2759,-0.1765,-0.0234,0.0108,-0.561,-0.6112,0.2048,-0.6067,2.1044,2.63,3.7518,1.4168,1.9225,1.7644,4.0722,2.0825,28.9343,7.2491,5.878,25.2654,8.5031,8.5031,5.7911,8.4189,0.6713,0,0.6624,0.3524,0.4924,0.3765,1.9789,1.2131,2.9368,0.9829,1.1358,0.879,3.2139,3.8836,1.3671,1.196,1.3205,3.7659,3.5758,3.9111,3.5885,10.1479,2.0213,2.0528,2.017,2.0335,2.0234,6.3272,12.5231,4.2031,4.1102,4.2099,9.8738,1.9767,1.9795,1.9886,1.9649,1.9641,1.5783,1.49,1.6258,0.3447,0.0617,0.092,0.0486,1.5324,1.6184,1.5311,0.4073,0.0732,0.1053,0.0615,2.7907,2.7643,1.004,0.9754,0.7849,3.5575,4.7523,1.7107,1.5641,1.4775,-383.56,1.23,125.97,35.4
HABJIE,63.58,0.56,157.23,1.96,4.31,9.04,24.2,14.9,9.7,571.06,-3.2569,-2.3072,2.03,2.14,0.04,-0.07,2.49,3.23,3.05,2.45,86.96,81.44,89.15,101.19,0.278,-0.1816,-0.0435,0.0325,-0.6395,-0.6445,0.1988,-0.6151,2.0786,2.5807,3.7159,1.4289,1.9255,1.8825,4.0748,2.0915,28.903,7.2445,5.8463,25.2445,8.5889,8.5879,5.7959,8.423,0.6649,0,0.6728,0.3281,0.502,0.3765,1.9948,1.1988,2.9353,0.9954,1.1297,0.8915,3.213,3.8892,1.3278,1.2489,1.3125,3.7576,3.5373,3.9116,3.6067,10.1543,2.0215,2.0588,2.0213,2.0321,2.0207,6.3267,12.5163,4.1834,4.108,4.2248,9.8791,1.9865,2.0049,1.9884,1.951,1.9482,1.5855,1.5156,1.6548,0.3552,0.0662,0.081,0.058,1.6301,1.6143,1.5099,0.3529,0.0551,0.0943,0.0497,2.7897,2.7705,1.0006,0.9654,0.8045,3.5587,4.7625,1.624,1.631,1.5075,-376.61,1.23,126.58,39.6
EJEGIJ,78.07,1.64,186.24,1.7,6.41,6.17,34.7,24.6,12.8,600.23,-4.5597,-3.5552,2.09,2.14,-0.04,-0.09,2.48,3.3,1.99,2.39,65.55,85.25,88.98,76.21,0.2552,-0.1776,-0.0428,0.1888,0.2074,0.205,0.233,-0.6958,2.4038,2.8486,3.6513,1.5868,3.0066,2.9747,3.9737,1.8705,28.9684,7.1717,5.82,25.0602,7.0213,7.0305,5.6942,8.4482,0.7532,0,0.7398,0,0.4301,0.3767,1.2601,1.6509,2.9284,1.0724,0.9856,0.96,3.1967,3.9013,1.3498,1.3124,1.2391,3.7386,3.6195,3.7921,3.5122,10.1487,2.029,2.0411,2.0264,2.0231,2.0291,6.3415,12.5659,4.2026,4.1703,4.193,9.8373,1.9846,1.9653,1.9714,1.9398,1.9761,1.266,1.1502,1.079,0.1269,0.0298,0.0208,0.0186,0.9636,1.3244,1.2026,0.127,0.0418,0.0115,0.0294,2.7728,2.7606,0.8581,0.9882,0.9143,3.5107,4.7559,1.6253,1.5618,1.5688,-374.03,1.27,127.4,29
XUBXOI,62.21,0.5,154.6,2.65,5.6,8.8,25.9,18.3,12.5,610.8,-3.3709,-2.3471,2.05,2.17,0.06,-0.09,2.49,3.23,3.02,2.46,87.19,81.37,89.13,101.68,0.2788,-0.1817,-0.04,0.0304,-0.6106,-0.5937,0.2001,-0.6124,2.0748,2.5859,3.7263,1.4271,1.9342,1.867,4.0715,2.0906,28.9227,7.247,5.8471,25.243,8.5411,8.5321,5.7963,8.4208,0.6617,0,0.6724,0.338,0.5174,0.3767,1.993,1.1913,2.9346,0.9912,1.1366,0.886,3.213,3.8894,1.3497,1.2326,1.307,3.7592,3.5268,3.9161,3.6161,10.1515,2.0195,2.0586,2.0209,2.0329,2.0196,6.3362,12.5093,4.1825,4.1009,4.2259,9.8757,1.9837,2.0011,1.9877,1.9495,1.9537,1.5489,1.5149,1.6549,0.3644,0.0692,0.0891,0.0527,1.5706,1.6115,1.5317,0.3442,0.0533,0.0933,0.0535,2.7899,2.769,0.9962,0.9644,0.8084,3.5582,4.7594,1.6473,1.5999,1.5122,-384.9,1.23,126.48,38.5
EPUKIL,77.77,0.38,188.05,2.87,7.53,5.74,40.6,31.4,15.9,579.85,-3.8821,-2.4629,2.3,2.04,-0.04,-0.04,2.54,3.07,3,2.46,86.3,75.85,90.08,98.63,0.256,-0.1811,-0.041,0.0317,-0.2235,-0.4826,0.2097,-0.5829,1.8487,2.6736,3.6325,1.3444,2.5731,2.089,3.9875,2.0778,28.7325,7.2693,5.876,25.256,7.075,8.428,5.749,8.394,0.5591,0,0.6752,0.4053,0.2122,0.3768,1.9733,1.1657,2.9296,1.0181,1.072,0.9268,3.2125,3.8884,1.2517,1.2909,1.3458,3.7635,3.5222,3.8806,3.6486,10.1533,2.0203,2.0599,2.0159,2.0345,2.0228,6.3293,12.5088,4.1738,4.1243,4.2107,9.9059,1.9726,1.9856,2.0007,1.9748,1.9722,1.2126,1.4039,1.3554,0.0993,0.0175,0.0153,0.0271,1.4722,1.6275,1.5223,0.3679,0.038,0.1052,0.0503,2.7925,2.7584,1.0106,0.9667,0.7811,3.5562,4.7211,1.528,1.7273,1.4658,-439.83,1.22,125,32.8
GEFCUP,81.43,0.17,209.82,2.69,10.82,6.84,31.9,24.3,15.8,690.65,-3.8252,-2.5082,2.1,2.05,-0.03,-0.03,2.56,3.07,3.03,2.47,85.9,75.24,89.14,98.41,0.2411,-0.1795,-0.039,0.0157,-0.1636,-0.4981,0.2088,-0.5872,1.9892,2.6598,3.6562,1.3427,3.1168,2.0703,4.0253,2.0919,28.7825,7.2671,5.8934,25.2683,7.0826,8.4754,5.7616,8.3913,0.5392,0,0.637,0.4034,0.3769,0.3768,1.9968,1.1595,2.9312,1.0343,1.0426,0.9373,3.212,3.8875,1.2092,1.3449,1.3334,3.7693,3.5974,3.7746,3.6865,10.1566,2.0265,2.0524,2.0233,2.029,2.0254,6.3219,12.543,4.1465,4.1815,4.215,9.894,1.986,1.9782,1.993,1.9672,1.9696,1.3317,1.2697,1.3135,0.0912,0.0165,0.0173,0.0097,1.4842,1.6304,1.5127,0.3713,0.0471,0.1068,0.0507,2.7925,2.7592,1.0039,0.9791,0.7762,3.5559,4.7235,1.4984,1.7622,1.4628,-437.8,1.22,125.22,47.2
JUSLIU,83.18,-0.79,220.45,1.99,10.3,7.94,37.3,28.5,17.2,713.52,-3.8313,-2.3542,2.01,2.13,0.02,-0.07,2.58,3.08,3.15,2.42,83.8,75.75,90.67,98.7,0.1388,-0.1861,-0.0462,0.0278,-0.1358,-0.1555,0.2118,-0.6126,2.0957,2.6457,3.6996,1.3109,3.3121,3.1372,3.973,2.038,28.8295,7.2573,5.8785,25.2613,7.1072,7.0637,5.7336,8.4341,0.5122,0,0.6974,0.3566,0.5282,0.3768,1.8927,1.1875,2.928,0.9922,1.0776,0.9523,3.2095,3.8961,1.2992,1.2248,1.3721,3.766,3.5345,3.8993,3.6222,10.1502,2.0297,2.0515,2.0175,2.0327,2.0188,6.3589,12.6018,4.1988,4.1665,4.2365,9.9005,1.9844,1.965,1.9894,1.9813,1.9804,1.2899,1.1806,1.416,0.0935,0.0149,0.037,0.0112,1.268,1.3098,1.301,0.0923,0.0146,0.0159,0.0117,2.7902,2.7574,1.0103,0.9659,0.7811,3.5541,4.7318,1.6175,1.6357,1.4787,-430.02,1.23,125.73,35.2
MANQOK,94.32,3.75,194.07,2.8,6.29,13.11,35,26.4,18.3,774.08,-3.1689,-2.4649,1.93,2.05,-0.02,-0.06,2.51,3.13,3.38,2.51,84.66,77.03,86.49,94.49,0.2721,-0.186,-0.0339,-0.019,-0.8487,-0.473,0.2061,-0.5961,2.18,2.5398,3.711,1.3748,1.8994,2.0724,4.047,2.0374,28.8959,7.199,5.9502,25.2594,8.5506,8.4597,5.7986,8.4263,0.6618,0,0.6552,0.2748,0.6286,0.3768,1.8315,1.2829,2.9352,1.0378,0.9133,1.0576,3.2174,3.89,1.3859,1.2673,1.2367,3.7707,3.7475,3.6208,3.7343,10.1457,2.0337,2.0308,2.0254,2.0152,2.0406,6.3129,12.5583,4.157,4.1757,4.2256,9.8567,1.9976,1.9871,1.9389,1.9583,1.9748,1.6927,1.6644,1.5043,0.4451,0.0739,0.115,0.0738,1.6613,1.495,1.4468,0.3838,0.04,0.0995,0.0495,2.7891,2.7659,0.9918,0.8621,0.9121,3.5579,4.732,1.7192,1.5014,1.5114,-387.52,1.24,126.43,41.8
GUHFIY,82.77,-0.69,194.11,2.24,8.61,9.63,32.5,24.1,15.2,695.37,-4.4906,-3.7818,1.87,2.09,0.04,-0.01,2.51,3.06,2.99,2.56,90.8,74.09,86.92,98.79,0.2776,-0.1666,-0.0172,0.0256,-0.629,-0.0763,0.2159,-0.5875,2.5124,2.8348,3.6896,1.3761,2.1467,3.1517,3.9388,2.0423,28.7804,7.2485,5.9371,25.2188,8.5234,7.0664,5.7277,8.4108,0.578,0,0.5954,0.4914,0.6372,0.3769,1.8925,1.1762,2.933,1.0179,1.1033,0.873,3.2014,3.8834,1.2525,1.2929,1.338,3.7794,3.5542,3.8911,3.6222,10.1275,2.02,2.0459,2.0138,2.0299,2.018,6.3072,12.6372,4.2141,4.1853,4.2379,9.7781,1.9613,1.9178,1.9515,1.9708,1.9767,1.4495,1.7572,1.4485,0.4786,0.049,0.1335,0.0543,1.1866,1.2209,1.4212,0.0902,0.0146,0.0326,0.0097,2.791,2.7525,0.9908,0.9684,0.7933,3.5517,4.7138,1.5202,1.7329,1.4607,-432.16,1.22,124.43,33.1
