Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
DOFCUW,-2.8319,-2.7615,-0.0530,-0.0618,-0.0755,0.1705,2.4514,3.2173,1.8582,2.0837,29.1762,7.2160,8.6243,8.4065,0.9564,0.7599,0.4134,3.0260,3.7869,1.2147,1.3151,1.2571,6.4462,12.5132,4.1470,4.1859,4.1804,10.0931,2.0214,1.9750,2.0501,2.0482,1.9985,3.4011,4.6036,1.5114,1.4748,1.6175,0.0664,0.0188,0.0106,0.0120,0.0112,0.0138,3.3540,4.3884,1.3637,1.5499,1.4748,0.0810,0.0143,0.0169,0.0194,0.0096,0.0208
EFAJOM,-3.1515,-2.6571,-0.0725,-0.0892,0.1506,0.1764,2.1299,3.1747,2.1195,2.1089,29.1106,7.2928,8.4384,8.3742,0.9982,0.5931,0.3059,3.0253,3.8191,1.3429,1.3302,1.1459,6.4361,12.5024,4.1783,4.1817,4.1424,10.1337,1.9756,2.0547,2.0449,2.0342,2.0243,3.3261,4.4326,1.3960,1.4839,1.5527,0.0848,0.0189,0.0154,0.0174,0.0164,0.0166,3.3452,4.3949,1.4228,1.4900,1.4821,0.0774,0.0214,0.0170,0.0089,0.0203,0.0098
ELUFUN,-3.7490,-3.1200,0.0369,-0.0334,0.1525,0.0841,2.6879,3.3142,3.1546,3.2695,29.2084,7.2039,7.0604,7.0148,1.0211,0.5422,0.7071,3.0264,3.7554,1.2272,1.3333,1.1949,6.3988,12.5602,4.1359,4.2287,4.1955,10.0038,2.0181,1.9453,2.0536,1.9968,1.9899,3.0041,3.5258,1.1550,1.3011,1.0697,0.2884,0.0374,0.0667,0.0704,0.0454,0.0685,3.0299,3.5444,1.3155,1.0995,1.1294,0.3144,0.0663,0.0445,0.0737,0.0483,0.0816
FUCKOD01,-3.1352,-2.5533,-0.0642,-0.0833,0.0621,0.0962,2.4370,3.1863,2.0201,3.2488,29.2121,7.2788,8.4080,6.9674,0.9799,0.4164,0.7158,3.0301,3.8091,1.2539,1.2269,1.3282,6.4318,12.5453,4.1971,4.1948,4.1534,10.0867,2.0408,1.9363,2.0378,2.0645,2.0072,3.3732,4.4876,1.4554,1.5356,1.4966,0.0715,0.0166,0.0174,0.0086,0.0185,0.0104,3.0213,3.5367,1.1610,1.1422,1.2335,0.3190,0.0609,0.0336,0.0821,0.0504,0.0920
GAPNIW,-3.2791,-2.5477,-0.0856,-0.0808,0.1144,0.1168,2.2743,3.1807,3.1803,2.0140,29.1887,7.3180,7.0048,8.5097,0.9719,0.5714,0.4161,3.0276,3.8109,1.3161,1.3112,1.1836,6.4236,12.5044,4.1540,4.1979,4.1526,10.1573,1.9940,2.0562,2.0581,2.0306,2.0185,3.0073,3.5505,1.1430,1.3414,1.0661,0.3011,0.0443,0.0753,0.0614,0.0468,0.0733,3.3509,4.4467,1.4452,1.4683,1.5332,0.0798,0.0223,0.0151,0.0103,0.0206,0.0114
GAQZAB,-3.3951,-2.6497,-0.0568,-0.0773,0.1186,0.0694,2.3034,3.2115,2.0298,3.0615,29.1585,7.2564,8.5180,7.1603,1.0140,0.4232,0.5328,3.0258,3.8069,1.1839,1.2584,1.3646,6.4149,12.5030,4.1592,4.1993,4.1445,10.1386,1.9909,2.0293,2.0431,2.0820,1.9933,3.3512,4.4456,1.4615,1.4874,1.4967,0.0787,0.0220,0.0093,0.0162,0.0141,0.0172,3.0196,3.5862,1.1184,1.2894,1.1784,0.2991,0.0493,0.0687,0.0448,0.0756,0.0608
GUZZAD,-2.7869,-1.8552,-0.0905,-0.1149,0.0683,0.1336,2.0710,3.0615,2.0313,2.0586,29.1285,7.3512,8.4830,8.4039,0.9175,0.6036,0.3407,3.0362,3.8418,1.3450,1.3238,1.1729,6.4596,12.4564,4.1933,4.1527,4.1104,10.1742,1.9845,2.0739,2.0498,2.0706,1.9953,3.3466,4.5038,1.4528,1.5234,1.5276,0.0759,0.0143,0.0150,0.0179,0.0126,0.0161,3.3568,4.4237,1.4217,1.4740,1.5279,0.0799,0.0137,0.0142,0.0226,0.0100,0.0195
HTCDOD,-2.7465,-1.5873,-0.1239,-0.1069,-0.0489,0.1272,2.4124,3.0697,1.8982,2.0392,29.1865,7.3004,8.5691,8.3882,0.9098,0.7563,0.4330,3.0370,3.8340,1.2043,1.3280,1.3017,6.4533,12.4979,4.1047,4.2054,4.1877,10.1723,2.0220,2.0417,1.9717,2.0280,2.1090,3.3789,4.5954,1.5263,1.5680,1.5011,0.0700,0.0101,0.0184,0.0134,0.0144,0.0137,3.3648,4.4153,1.5220,1.5048,1.3885,0.0868,0.0191,0.0215,0.0125,0.0217,0.0121
HUKPUY,-3.1299,-2.6372,-0.0929,-0.0992,0.1209,0.1161,2.0608,3.1615,2.1047,2.1738,29.1565,7.2976,8.3962,8.3751,0.9750,0.2677,0.6254,3.0234,3.8262,1.2947,1.3412,1.1904,6.4705,12.4934,4.1680,4.1610,4.1645,10.1286,2.0065,2.0266,1.9955,2.0628,2.0371,3.3757,4.4257,1.4896,1.4114,1.5247,0.0719,0.0101,0.0174,0.0167,0.0125,0.0153,3.3461,4.4498,1.4217,1.4185,1.6095,0.0821,0.0212,0.0174,0.0095,0.0237,0.0103
KEVSUB,-2.9148,-0.6337,-0.1156,-0.1375,-0.0333,0.1254,1.7452,3.0577,1.8428,2.1542,29.3251,7.2969,8.6150,8.3140,0.9215,0.7830,0.0000,3.0336,3.8635,1.1933,1.2775,1.3928,6.5844,12.3833,4.1023,4.1670,4.1139,10.1476,1.9725,2.0389,2.0314,2.0569,2.0479,3.3681,4.5874,1.4433,1.6028,1.5412,0.0730,0.0157,0.0193,0.0099,0.0184,0.0096,3.3920,4.4095,1.3900,1.4460,1.5735,0.0669,0.0229,0.0072,0.0122,0.0101,0.0144
