Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
TUHXAV01,-4.0037,-2.0975,-0.0618,-0.1089,0.1215,0.1434,1.9947,3.0491,2.0059,2.0514,28.9893,7.3269,8.4763,8.4081,0.9330,0.4565,0.3731,3.0207,3.8445,1.1786,1.3098,1.3561,6.4019,12.4392,4.0637,4.1850,4.1905,10.2203,2.0574,2.0364,2.0266,1.9999,2.0999,3.3368,4.4600,1.4760,1.5212,1.4628,0.0762,0.0212,0.0129,0.0125,0.0172,0.0123,3.3515,4.4183,1.5114,1.5774,1.3296,0.0812,0.0217,0.0162,0.0102,0.0191,0.0140
UBOJUS,-3.6807,-1.1154,-0.2206,-0.1211,0.1439,0.1491,2.0312,2.9903,2.9631,2.0925,29.1118,7.3736,7.2451,8.4373,0.9019,0.4270,0.4168,3.0242,3.8579,1.2029,1.1923,1.4627,6.3667,12.5018,4.1524,4.1756,4.1738,10.3518,2.0386,2.0497,2.0900,2.0704,2.1031,2.9574,3.6574,1.2190,1.1543,1.2841,0.2241,0.0437,0.0361,0.0581,0.0325,0.0538,3.3252,4.4397,1.4751,1.4337,1.5310,0.0800,0.0137,0.0129,0.0233,0.0103,0.0197
UDEGUH,-5.3678,-1.8769,0.1768,-0.0593,0.1263,0.1725,2.5137,3.2359,2.0985,2.0850,29.0846,7.2011,8.3626,8.3418,1.1229,0.7448,0.1126,3.0234,3.7816,1.2640,1.2953,1.2223,6.3358,12.4837,4.1307,4.2173,4.1357,10.0028,2.0312,2.0086,2.0683,1.9149,1.9798,3.3417,4.4317,1.4392,1.4356,1.5570,0.0929,0.0285,0.0160,0.0123,0.0227,0.0134,3.3624,4.3893,1.4721,1.3966,1.5206,0.0696,0.0128,0.0225,0.0068,0.0193,0.0083
ULUHUE,-4.1077,-2.6840,0.0295,-0.0489,0.0276,0.0994,2.3981,3.1584,2.0148,2.0227,28.9278,7.2181,8.5070,8.4578,0.9262,0.6098,0.5028,3.0253,3.7765,1.2424,1.2634,1.2707,6.3722,12.4975,4.1944,4.1513,4.1518,10.1004,2.0698,1.9847,2.0297,2.0488,1.9674,3.3491,4.5438,1.4639,1.4868,1.5931,0.0744,0.0166,0.0112,0.0167,0.0119,0.0179,3.3592,4.4554,1.4484,1.5011,1.5060,0.0806,0.0191,0.0094,0.0237,0.0090,0.0194
VANCET,-3.8854,-1.8675,-0.0821,-0.1020,0.0332,0.0896,2.0241,3.0443,2.0024,1.9320,29.0007,7.3013,8.5047,8.5338,0.9017,0.5486,0.3270,3.0181,3.8407,1.1581,1.3908,1.2918,6.4104,12.4549,4.0778,4.1993,4.1778,10.2164,2.0341,1.9968,2.0411,2.0311,2.1133,3.3527,4.5358,1.4648,1.5395,1.5315,0.0732,0.0207,0.0148,0.0093,0.0180,0.0104,3.3640,4.4629,1.4374,1.4243,1.6012,0.0783,0.0216,0.0143,0.0070,0.0233,0.0121
VEKTOW,-3.8892,-1.7485,-0.1367,-0.0839,-0.0585,0.1408,2.5648,3.0749,1.7387,2.0055,29.1017,7.2446,8.6972,8.4401,0.9188,0.6109,0.4567,3.0260,3.8184,1.2859,1.2334,1.2991,6.3583,12.5334,4.2190,4.1361,4.1783,10.2446,2.0966,1.9758,2.0556,2.0639,2.0526,3.3776,4.6077,1.5492,1.4621,1.5964,0.0687,0.0192,0.0104,0.0140,0.0120,0.0131,3.3554,4.4114,1.4985,1.5064,1.4065,0.0866,0.0199,0.0166,0.0207,0.0129,0.0166
VILZEV,-4.3109,-1.1089,-0.0301,-0.1391,0.0586,0.0193,1.6401,3.0022,2.0842,2.0402,29.1314,7.3234,8.4579,8.4480,0.9070,0.6514,0.0000,3.0205,3.8773,1.4158,1.3160,1.1455,6.5465,12.3648,4.1631,4.1425,4.0592,10.1184,1.9779,2.0209,2.0206,2.0702,2.0289,3.3277,4.5301,1.4662,1.4640,1.5998,0.0778,0.0174,0.0164,0.0166,0.0136,0.0139,3.3998,4.5106,1.5154,1.5084,1.4868,0.0645,0.0005,0.0162,0.0159,0.0081,0.0239
VUXRAH,-3.9067,-2.5210,-0.0450,-0.0721,0.1249,-0.1444,2.4057,3.1225,2.0622,1.8482,29.0218,7.2416,8.4081,8.6157,0.8996,0.4444,0.7034,3.0239,3.8018,1.1766,1.3249,1.3002,6.4002,12.5006,4.1253,4.2028,4.1725,10.1437,2.0468,1.9789,2.0050,2.0489,2.0641,3.3637,4.4236,1.4406,1.3988,1.5842,0.0820,0.0191,0.0186,0.0079,0.0242,0.0122,3.4044,4.6691,1.5988,1.4231,1.6471,0.0666,0.0174,0.0071,0.0144,0.0099,0.0177
WEGNON,-4.4961,-1.6484,-0.0571,-0.1134,0.1009,0.1506,2.0808,3.0841,3.3937,2.0937,29.2145,7.2688,6.8463,8.3804,1.0075,0.7523,0.1380,3.0132,3.8541,1.3490,1.2863,1.2188,6.4560,12.4696,4.1341,4.2317,4.1039,10.1311,1.9969,2.0508,2.0191,2.0323,2.0320,3.0075,3.5252,1.1578,1.2545,1.1129,0.3340,0.0646,0.0495,0.0863,0.0520,0.0816,3.3721,4.4029,1.4122,1.4700,1.5207,0.0684,0.0201,0.0046,0.0147,0.0087,0.0203
WELSUD,-4.8262,-1.0596,0.0926,-0.0998,0.1551,0.1215,2.3429,3.0656,2.1075,2.1130,29.0142,7.2857,8.3296,8.3527,0.9797,0.1266,0.6346,3.0147,3.8385,1.2554,1.4190,1.1641,6.3430,12.4453,4.2082,4.1228,4.1143,10.1185,2.0765,1.9833,2.0425,1.9579,2.0582,3.3677,4.4034,1.4041,1.4730,1.5263,0.0677,0.0094,0.0070,0.0260,0.0083,0.0171,3.3372,4.4450,1.4441,1.4936,1.5074,0.0892,0.0259,0.0167,0.0122,0.0221,0.0123
WIBNAY,-4.8764,-1.7205,-0.1416,0.0850,0.2227,0.1545,1.9791,3.2262,3.1887,3.0958,28.9866,7.2623,7.1653,6.9093,0.4500,0.4386,0.3744,2.9616,3.6988,1.1615,1.2396,1.2976,6.3110,12.5050,4.1225,4.2058,4.1767,10.3255,2.1001,2.0388,2.0617,2.0331,2.0919,2.9690,3.5480,1.2189,1.1186,1.2105,0.2415,0.0514,0.0514,0.0410,0.0544,0.0433,2.9648,3.5049,1.2968,1.1456,1.0624,0.3470,0.0590,0.0557,0.0743,0.0622,0.0958
XIFKON01,-4.3317,-0.5726,-0.0385,-0.1266,0.1412,-0.1340,1.8400,3.0276,3.3701,2.6645,29.2469,7.2960,7.0539,7.3828,0.9262,0.7193,0.0000,3.0186,3.8685,1.4192,1.2243,1.2250,6.5020,12.4081,4.1766,4.1261,4.1054,10.1280,1.9926,2.0079,2.0307,2.0620,2.0348,2.9593,3.6287,1.2350,1.2159,1.1778,0.2515,0.0334,0.0517,0.0671,0.0380,0.0613,3.0980,3.8303,1.3543,1.2553,1.2207,0.1907,0.0191,0.0392,0.0612,0.0296,0.0415
XITCIM,-3.8006,-1.5890,-0.1431,-0.1247,0.1141,0.0811,1.9190,3.0096,2.0837,2.6675,29.1154,7.3332,8.4527,7.2400,0.9158,0.4042,0.4300,3.0191,3.8638,1.3279,1.3331,1.2029,6.4241,12.4556,4.1572,4.1635,4.1349,10.2630,2.0213,2.0606,2.0448,2.0709,2.0654,3.3542,4.4505,1.4228,1.5607,1.4669,0.0755,0.0095,0.0170,0.0190,0.0099,0.0202,3.0167,3.6160,1.3032,0.9814,1.3314,0.2619,0.0679,0.0249,0.0586,0.0346,0.0760
YORBAL,-3.8012,-1.5389,-0.1605,-0.1086,0.1363,0.2083,2.1398,2.9816,3.0200,3.2183,29.1766,7.3513,7.2699,7.1440,0.8337,0.5025,0.5301,3.0210,3.8495,1.2412,1.4371,1.1712,6.3879,12.5023,4.1795,4.1600,4.1629,10.2700,2.0520,2.0454,2.0565,2.0402,2.0760,2.9616,3.6634,1.2816,1.1181,1.2637,0.2217,0.0555,0.0200,0.0568,0.0291,0.0603,2.9662,3.5492,1.0730,1.3374,1.1388,0.2570,0.0294,0.0541,0.0730,0.0284,0.0720
ZZZLWW03,-3.7969,-1.3955,-0.3020,-0.1098,0.2400,0.1102,2.0076,3.0255,2.0429,2.0420,29.0155,7.3482,16.5272,8.3955,0.9112,0.5645,0.3354,3.0161,3.8510,1.1501,1.3683,1.3326,6.4504,12.5046,4.0726,4.2636,4.1684,10.3468,2.0218,2.0152,2.0922,2.0521,2.1654,5.3060,10.2428,3.1289,3.5181,3.5958,0.1837,0.0412,0.0389,0.0158,0.0716,0.0162,3.3529,4.4537,1.4342,1.5832,1.4364,0.0775,0.0177,0.0208,0.0039,0.0314,0.0037
