Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
TUHXAV01,-3.4667,-2.3231,-0.0130,-0.0949,0.1202,0.1356,2.1418,3.1094,1.9880,2.0320,29.0024,7.3362,8.4882,8.4230,0.9494,0.4947,0.4293,3.0288,3.8231,1.1767,1.3072,1.3392,6.4136,12.4488,4.0666,4.1885,4.1937,10.1503,2.0572,2.0185,2.0187,1.9966,2.0593,3.3406,4.4570,1.4768,1.5147,1.4655,0.0766,0.0209,0.0129,0.0128,0.0177,0.0124,3.3539,4.4229,1.5140,1.5777,1.3312,0.0819,0.0212,0.0168,0.0106,0.0193,0.0140
UBOJUS,-2.9512,-1.4599,-0.2022,-0.1192,0.1442,0.1490,2.1472,3.0133,2.9892,2.0729,29.1448,7.3965,7.2868,8.4452,0.9156,0.4397,0.4472,3.0306,3.8504,1.2028,1.1927,1.4549,6.3834,12.5137,4.1571,4.1790,4.1776,10.3049,2.0207,2.0400,2.0869,2.0652,2.0921,2.9623,3.6502,1.2154,1.1536,1.2812,0.2261,0.0436,0.0366,0.0585,0.0329,0.0543,3.3288,4.4352,1.4744,1.4303,1.5305,0.0811,0.0138,0.0131,0.0231,0.0106,0.0204
UDEGUH,-4.7714,-2.2303,0.1793,-0.0532,0.1225,0.1749,2.5324,3.2626,2.0642,2.0718,29.1459,7.2185,8.3707,8.3431,1.1234,0.7808,0.1228,3.0305,3.7689,1.2552,1.2965,1.2172,6.3462,12.4933,4.1365,4.2168,4.1400,9.9803,2.0253,2.0032,2.0626,1.9152,1.9741,3.3457,4.4312,1.4377,1.4393,1.5541,0.0933,0.0284,0.0161,0.0124,0.0227,0.0137,3.3659,4.3833,1.4715,1.3947,1.5171,0.0697,0.0128,0.0223,0.0069,0.0193,0.0084
ULUHUE,-3.6492,-2.8057,0.0627,-0.0390,0.0302,0.0920,2.4899,3.2064,2.0029,2.0007,28.9559,7.2305,8.5129,8.4747,0.9457,0.6413,0.5461,3.0327,3.7601,1.2441,1.2490,1.2670,6.3839,12.5053,4.1963,4.1541,4.1548,10.0477,2.0585,1.9653,2.0250,2.0438,1.9551,3.3535,4.5365,1.4622,1.4875,1.5868,0.0745,0.0166,0.0112,0.0166,0.0122,0.0179,3.3617,4.4606,1.4606,1.4955,1.5045,0.0803,0.0188,0.0094,0.0234,0.0091,0.0196
VANCET,-3.3171,-2.0643,-0.0393,-0.0930,0.0337,0.0841,2.1672,3.0982,1.9863,1.9085,29.0245,7.3162,8.5121,8.5543,0.9176,0.5892,0.3806,3.0255,3.8248,1.1622,1.3715,1.2911,6.4234,12.4647,4.0806,4.2035,4.1806,10.1509,2.0329,1.9841,2.0365,2.0242,2.0732,3.3568,4.5308,1.4663,1.5411,1.5233,0.0736,0.0202,0.0151,0.0096,0.0182,0.0104,3.3669,4.4646,1.4421,1.4187,1.6038,0.0791,0.0214,0.0146,0.0071,0.0237,0.0123
VEKTOW,-3.3593,-1.9646,-0.1036,-0.0762,-0.0524,0.1334,2.6739,3.1077,1.6747,1.9593,29.1151,7.2646,8.7050,8.4647,0.9309,0.6268,0.4963,3.0333,3.8040,1.2760,1.2287,1.2993,6.3688,12.5435,4.2207,4.1393,4.1835,10.1910,2.0853,1.9512,2.0483,2.0574,2.0487,3.3830,4.5961,1.5444,1.4601,1.5915,0.0688,0.0191,0.0105,0.0139,0.0122,0.0131,3.3579,4.4164,1.5010,1.5033,1.4121,0.0864,0.0196,0.0163,0.0204,0.0131,0.0170
VILZEV,-3.5785,-1.5352,-0.0371,-0.1402,0.0611,0.0241,1.6430,3.0179,2.0792,2.0288,29.1964,7.3435,8.4613,8.4531,0.9127,0.6716,0.0000,3.0269,3.8727,1.4119,1.3142,1.1465,6.5723,12.3727,4.1664,4.1460,4.0604,10.0916,1.9681,2.0161,2.0162,2.0650,2.0263,3.3327,4.5216,1.4629,1.4607,1.5979,0.0788,0.0173,0.0164,0.0166,0.0143,0.0142,3.4035,4.5021,1.5112,1.5042,1.4867,0.0645,0.0005,0.0164,0.0161,0.0080,0.0235
VUXRAH,-3.4410,-2.6603,-0.0038,-0.0581,0.1154,-0.1399,2.5306,3.1784,2.0480,1.8407,29.0444,7.2474,8.4170,8.6202,0.9200,0.4961,0.7327,3.0320,3.7802,1.1810,1.3003,1.2989,6.4109,12.5111,4.1290,4.2063,4.1758,10.0813,2.0442,1.9658,2.0007,2.0424,2.0282,3.3658,4.4312,1.4459,1.3959,1.5895,0.0818,0.0190,0.0185,0.0080,0.0243,0.0120,3.4095,4.6596,1.5948,1.4263,1.6385,0.0663,0.0173,0.0072,0.0145,0.0101,0.0174
WEGNON,-3.8903,-1.9979,-0.0402,-0.1090,0.0873,0.1509,2.1372,3.1312,3.3781,2.0776,29.2618,7.2911,6.8736,8.3873,1.0161,0.7900,0.1555,3.0202,3.8433,1.3392,1.2870,1.2171,6.4719,12.4839,4.1416,4.2326,4.1097,10.0840,1.9812,2.0492,2.0067,2.0214,2.0257,3.0111,3.5345,1.1639,1.2534,1.1172,0.3348,0.0655,0.0494,0.0871,0.0516,0.0812,3.3755,4.3989,1.4112,1.4707,1.5170,0.0687,0.0201,0.0047,0.0149,0.0089,0.0201
WELSUD,-4.1655,-1.4293,0.1018,-0.0974,0.1580,0.1182,2.4021,3.1020,2.1026,2.0963,29.0725,7.3182,8.3200,8.3510,0.9953,0.1377,0.6633,3.0214,3.8299,1.2543,1.4103,1.1653,6.3541,12.4555,4.2086,4.1295,4.1174,10.0880,2.0725,1.9751,2.0363,1.9493,2.0548,3.3713,4.3968,1.4018,1.4697,1.5253,0.0678,0.0097,0.0071,0.0257,0.0082,0.0172,3.3410,4.4438,1.4466,1.4912,1.5060,0.0898,0.0257,0.0167,0.0124,0.0226,0.0124
WIBNAY,-3.9987,-2.0252,-0.1174,0.0841,0.2160,0.1460,2.1463,3.2727,3.1993,3.0996,29.0193,7.2917,7.1908,6.9172,0.4772,0.4757,0.3972,2.9667,3.6943,1.1637,1.2374,1.2932,6.3287,12.5202,4.1280,4.2108,4.1814,10.2682,2.0900,2.0335,2.0325,2.0271,2.0852,2.9721,3.5509,1.2191,1.1235,1.2083,0.2421,0.0514,0.0517,0.0410,0.0544,0.0436,2.9682,3.5115,1.2951,1.1500,1.0664,0.3456,0.0588,0.0556,0.0745,0.0624,0.0943
XIFKON01,-3.6469,-0.9319,-0.0345,-0.1266,0.1359,-0.1321,1.8520,3.0476,3.3707,2.6542,29.3042,7.3170,7.0645,7.4203,0.9284,0.7348,0.0000,3.0250,3.8629,1.4142,1.2241,1.2245,6.5227,12.4189,4.1804,4.1298,4.1088,10.0925,1.9864,2.0018,2.0230,2.0487,2.0328,2.9639,3.6277,1.2344,1.2148,1.1785,0.2532,0.0336,0.0518,0.0672,0.0390,0.0616,3.1034,3.8213,1.3488,1.2530,1.2195,0.1920,0.0195,0.0394,0.0614,0.0299,0.0419
XITCIM,-3.0754,-1.8912,-0.1225,-0.1207,0.1144,0.0823,2.0169,3.0436,2.0741,2.6928,29.1560,7.3508,8.4551,7.2377,0.9257,0.4448,0.4476,3.0258,3.8539,1.3226,1.3293,1.2019,6.4430,12.4651,4.1597,4.1679,4.1375,10.2142,2.0139,2.0534,2.0423,2.0639,2.0406,3.3579,4.4458,1.4215,1.5571,1.4673,0.0761,0.0098,0.0169,0.0189,0.0101,0.0204,3.0221,3.6071,1.2943,0.9830,1.3297,0.2641,0.0688,0.0247,0.0588,0.0350,0.0767
YORBAL,-3.0911,-1.8178,-0.1351,-0.1048,0.1360,0.1988,2.2342,3.0139,3.0292,3.2172,29.2053,7.3765,7.3181,7.1748,0.8409,0.5226,0.5700,3.0277,3.8395,1.2415,1.4251,1.1730,6.4043,12.5144,4.1828,4.1641,4.1675,10.2162,2.0456,2.0365,2.0529,2.0237,2.0575,2.9666,3.6569,1.2780,1.1196,1.2592,0.2234,0.0559,0.0201,0.0571,0.0295,0.0608,2.9697,3.5542,1.0772,1.3365,1.1405,0.2578,0.0306,0.0542,0.0729,0.0283,0.0719
ZZZLWW03,-3.1504,-1.6558,-0.2738,-0.1051,0.2383,0.1055,2.1328,3.0717,2.0325,2.0319,29.0437,7.3723,16.5372,8.3963,0.9279,0.6017,0.3701,3.0230,3.8402,1.1531,1.3593,1.3278,6.4676,12.5135,4.0747,4.2655,4.1733,10.2924,2.0175,2.0007,2.0868,2.0495,2.1380,5.3084,10.2377,3.1328,3.5053,3.5996,0.1880,0.0432,0.0397,0.0165,0.0720,0.0167,3.3560,4.4541,1.4357,1.5843,1.4341,0.0786,0.0180,0.0222,0.0041,0.0308,0.0036
