Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
CIVVEK,-7.1476,2.0455,-0.1274,0.2365,0.0781,0.0810,0.7628,2.8886,1.8329,2.6320,28.4415,7.1288,8.6434,7.4362,0.3236,0.2087,0.1794,2.8947,3.5804,1.1885,1.0938,1.2981,6.2254,12.4578,4.1331,4.1496,4.1751,10.4416,2.0616,2.1058,2.0586,2.0769,2.1388,3.3292,4.5194,1.4774,1.4554,1.5866,0.0679,0.0189,0.0054,0.0140,0.0082,0.0215,2.9910,3.6337,1.1906,1.3745,1.0686,0.2698,0.0388,0.0646,0.0537,0.0479,0.0647
COJTUQ,-7.0228,2.6861,-0.2080,-0.0599,0.3477,0.0093,1.0854,2.5952,3.0043,1.7355,28.6061,7.6736,7.4045,8.6461,0.6521,0.1873,0.2169,3.0056,3.8402,1.2918,1.1453,1.4031,6.3255,12.5277,4.2054,4.1806,4.1417,10.3522,2.0664,2.0453,2.0689,2.0887,2.0830,2.8761,3.5984,1.2762,1.1002,1.2220,0.1660,0.0487,0.0236,0.0182,0.0221,0.0533,3.3395,4.5806,1.4633,1.6340,1.4833,0.0653,0.0163,0.0157,0.0041,0.0248,0.0044
DOFCUW,-6.5795,0.8830,-0.3076,-0.0413,-0.1336,0.1320,1.2192,2.6005,1.5570,1.8530,28.6640,7.6397,8.8331,8.5768,0.6460,0.4220,0.1438,2.9920,3.8267,1.1681,1.4174,1.2413,6.3367,12.5820,4.1655,4.2101,4.2065,10.3843,2.0429,2.0637,2.0782,2.0766,2.1229,3.3779,4.6893,1.5335,1.4769,1.6789,0.0621,0.0206,0.0086,0.0104,0.0094,0.0130,3.3368,4.4532,1.3810,1.5824,1.4898,0.0725,0.0125,0.0168,0.0183,0.0073,0.0176
EFAJOM,-6.9843,1.3543,-0.2364,-0.0458,0.1174,0.1349,1.1097,2.6240,1.8593,1.8534,28.6097,7.6416,8.6260,8.5757,0.7092,0.2789,0.1130,2.9946,3.8315,1.3711,1.3536,1.1068,6.3134,12.5575,4.2067,4.1986,4.1522,10.3614,2.0320,2.0843,2.0608,2.0885,2.0957,3.3117,4.4916,1.4234,1.5006,1.5676,0.0739,0.0184,0.0150,0.0161,0.0098,0.0146,3.3292,4.4612,1.4299,1.5140,1.5173,0.0692,0.0220,0.0148,0.0069,0.0171,0.0083
ELUFUN,-6.9843,0.2521,-0.2721,-0.0349,0.1607,0.2069,1.3018,2.6047,2.8191,3.0722,28.6056,7.6341,7.3894,7.1372,0.6979,0.2611,0.2621,2.9878,3.8232,1.2454,1.3771,1.2006,6.3064,12.6208,4.1421,4.2725,4.2062,10.3405,2.0380,2.0521,2.0741,2.0466,2.1298,2.9935,3.5341,1.1540,1.3257,1.0543,0.2823,0.0342,0.0660,0.0722,0.0475,0.0625,3.0267,3.4394,1.2815,1.0646,1.0933,0.3000,0.0661,0.0420,0.0712,0.0462,0.0745
FUCKOD01,-6.8733,1.4581,-0.2783,-0.0488,0.0030,0.1722,1.3043,2.6339,1.7346,3.0298,28.6714,7.6350,8.6381,7.1617,0.7152,0.1991,0.3386,2.9971,3.8331,1.2413,1.2226,1.3692,6.3219,12.5981,4.2321,4.2170,4.1490,10.3540,2.0660,2.0360,2.0624,2.0904,2.0992,3.3544,4.5728,1.4616,1.5862,1.5250,0.0646,0.0156,0.0174,0.0072,0.0158,0.0086,3.0083,3.4918,1.1365,1.1364,1.2189,0.3012,0.0598,0.0305,0.0821,0.0413,0.0874
GAPNIW,-7.0518,1.4891,-0.2456,-0.0470,0.1699,0.1113,1.0641,2.5811,2.8926,1.7836,28.5774,7.6635,7.3229,8.6583,0.6519,0.2317,0.1635,2.9957,3.8344,1.3545,1.3153,1.1646,6.3059,12.5500,4.1708,4.2170,4.1622,10.3863,2.0437,2.0918,2.0705,2.0695,2.1109,2.9924,3.5317,1.1373,1.3433,1.0511,0.2803,0.0369,0.0696,0.0622,0.0457,0.0660,3.3287,4.4853,1.4487,1.4824,1.5542,0.0694,0.0235,0.0121,0.0081,0.0161,0.0096
GAQZAB,-7.0320,1.3115,-0.2467,-0.0442,0.1115,0.1497,1.1269,2.6453,1.7850,2.8110,28.5934,7.6251,8.6625,7.3735,0.7310,0.1677,0.1804,2.9933,3.8316,1.1444,1.2446,1.4426,6.3042,12.5547,4.1744,4.2285,4.1517,10.3843,2.0596,2.0741,2.0614,2.0960,2.0932,3.3297,4.4845,1.4950,1.4738,1.5157,0.0690,0.0201,0.0082,0.0137,0.0105,0.0165,3.0024,3.5489,1.1080,1.2861,1.1548,0.2746,0.0451,0.0667,0.0406,0.0744,0.0478
GUZZAD,-6.8475,2.0568,-0.2305,-0.0645,0.0142,0.1053,1.0357,2.5531,1.7402,1.8386,28.5873,7.6829,8.6902,8.5822,0.6164,0.2946,0.1163,3.0060,3.8449,1.3745,1.3221,1.1483,6.3194,12.5242,4.2351,4.1670,4.1221,10.3832,2.0609,2.1043,2.0616,2.0927,2.0636,3.3312,4.5813,1.4889,1.5484,1.5439,0.0683,0.0131,0.0146,0.0176,0.0091,0.0139,3.3383,4.4812,1.4460,1.4789,1.5563,0.0699,0.0118,0.0107,0.0231,0.0084,0.0159
HTCDOD,-6.5980,2.7987,-0.3069,-0.0631,-0.1114,0.1154,1.2024,2.5237,1.6030,1.8505,28.6465,7.6726,8.8175,8.5514,0.5577,0.4354,0.1440,3.0073,3.8428,1.1917,1.3264,1.3247,6.3242,12.5663,4.1065,4.2411,4.2187,10.4124,2.0705,2.0656,2.1035,2.0431,2.1296,3.3559,4.6866,1.5393,1.6344,1.5130,0.0645,0.0084,0.0203,0.0114,0.0126,0.0117,3.3462,4.4579,1.5304,1.5266,1.4009,0.0753,0.0172,0.0186,0.0115,0.0203,0.0076
