Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
OLUVIC,-2.9002,-1.6199,0.4942,-1.0150,-0.6769,-0.4812,1.9495,2.7254,1.8690,3.3001,28.7617,7.2464,8.5034,7.2684,0.7839,0.4546,0.3166,3.2141,4.1908,1.3419,1.6109,1.2380,6.3809,12.4191,4.1519,4.1587,4.1085,9.7058,1.9368,1.8939,1.9581,1.9403,1.9766,3.5192,4.8235,1.4419,1.7158,1.6658,0.3343,0.0804,0.0982,0.0328,0.1028,0.0202,3.1203,3.6628,1.1823,1.1510,1.3295,0.6982,0.1724,0.1749,0.0888,0.1680,0.0941
PETNIO,-2.9955,-2.3341,0.4573,-1.0062,-0.6114,-0.5557,2.0848,2.7772,3.4209,1.8329,28.6965,7.3722,7.0304,8.4510,0.8164,0.5805,0.2961,3.2165,4.1749,1.4421,1.4511,1.2816,6.3658,12.4910,4.1465,4.1861,4.1584,9.6860,1.9121,1.9649,1.9532,1.9308,1.9250,3.1486,3.8606,1.2836,1.3865,1.1905,0.6022,0.0902,0.1171,0.1584,0.0866,0.1499,3.5321,4.7359,1.5178,1.5749,1.6433,0.2877,0.0621,0.0559,0.0568,0.0549,0.0580
POPJEK,-3.5514,-2.3428,0.4834,-1.0020,-0.4524,-0.4020,1.7809,2.8730,2.0151,3.3810,28.5730,7.3098,8.4196,6.7369,0.8817,0.1423,0.3984,3.2056,4.1780,1.5493,1.3904,1.2383,6.4118,12.4483,4.1562,4.2006,4.0915,9.6565,1.8860,1.9701,1.9403,1.9084,1.9518,3.5465,4.6535,1.4811,1.4934,1.6789,0.2524,0.0615,0.0400,0.0519,0.0428,0.0561,3.0829,3.6039,1.2246,1.2520,1.1273,0.7152,0.1099,0.1366,0.1803,0.1064,0.1820
POXPEX,-3.1452,0.1862,0.3877,-1.0390,-0.5121,-0.7736,1.6567,2.6502,2.0168,2.8617,28.8124,7.3599,8.4344,7.2106,0.7668,0.0000,0.6452,3.2193,4.2214,1.4796,1.3861,1.3557,6.5219,12.3760,4.1382,4.1009,4.1369,9.7144,1.9366,1.9131,1.9345,1.9766,1.9536,3.5468,4.7364,1.5439,1.6908,1.5016,0.2289,0.0184,0.0556,0.0629,0.0314,0.0607,3.1805,3.9993,1.3254,1.3921,1.2818,0.5937,0.0974,0.1510,0.1223,0.1062,0.1168
PUKKEM,-2.7543,-1.4728,0.4041,-1.0308,-0.6841,-0.7396,2.0889,2.7130,3.3179,1.7023,28.7680,7.3487,7.0055,8.5853,0.7865,0.5547,0.3635,3.2132,4.2001,1.3953,1.5271,1.2777,6.3823,12.5117,4.1902,4.1386,4.1828,9.7020,1.9121,1.9082,1.9543,1.9662,1.9612,3.1706,3.8839,1.3498,1.2277,1.3064,0.6296,0.1035,0.1610,0.1156,0.1369,0.1127,3.5602,4.8645,1.5579,1.7240,1.5826,0.3149,0.0474,0.0740,0.0587,0.0771,0.0577
PUTYUA,-2.4757,-1.7443,0.4460,-1.0363,-0.6208,-0.7511,1.8219,2.6092,1.8779,1.5836,28.6710,7.4413,8.5338,8.5833,0.7219,0.3443,0.3910,3.2223,4.2015,1.4589,1.4944,1.2483,6.3852,12.4361,4.1605,4.1573,4.1183,9.7327,1.9436,1.9119,1.9487,1.9569,1.9716,3.5217,4.6954,1.4939,1.6607,1.5408,0.4037,0.0767,0.0838,0.0822,0.0768,0.0842,3.5788,4.8463,1.4899,1.6312,1.7252,0.3260,0.0806,0.0748,0.0424,0.0712,0.0570
QERCEW,-3.5062,-3.0713,0.4953,-0.9764,-0.5608,-0.5613,1.8065,2.8116,1.8237,1.8237,28.5494,7.3986,8.5261,8.5297,0.7349,0.3778,0.3830,3.2096,4.1306,1.4115,1.4528,1.2662,6.3987,12.4194,4.1467,4.1568,4.1159,9.6867,1.9043,1.9509,1.9750,1.9317,1.9247,3.5486,4.7294,1.5208,1.5499,1.6587,0.2828,0.0518,0.0635,0.0523,0.0560,0.0592,3.5478,4.7300,1.6357,1.6110,1.4832,0.2836,0.0342,0.0683,0.0663,0.0453,0.0695
REXDUW,-3.1762,-2.4934,0.5983,-0.9442,-0.4543,-0.7849,2.3804,2.8196,1.9540,1.6444,28.6374,7.2183,8.4190,8.5650,0.7651,0.1463,0.5116,3.2299,4.1062,1.4596,1.3910,1.2555,6.2964,12.4845,4.1912,4.1928,4.1006,9.6208,1.8250,1.9224,1.9729,1.9500,1.9506,3.5275,4.6470,1.5147,1.5156,1.6167,0.2798,0.0653,0.0481,0.0559,0.0424,0.0682,3.5496,4.9028,1.5969,1.6748,1.6311,0.3325,0.0592,0.0710,0.0707,0.0788,0.0529
SODRUA,-3.5799,-2.3546,0.4887,-1.0013,-0.3978,-0.4476,1.7675,2.8954,3.2933,2.0106,28.5688,7.2978,6.7015,8.4231,0.8901,0.3915,0.1229,3.2052,4.1787,1.4026,1.3261,1.4499,6.4196,12.4407,4.1585,4.1785,4.1038,9.6510,1.8988,1.9569,1.9226,1.9268,1.9459,3.0827,3.6055,1.2287,1.2203,1.1565,0.7097,0.1788,0.0972,0.1556,0.1308,0.1473,3.5491,4.6522,1.5393,1.5571,1.5558,0.2462,0.0643,0.0392,0.0405,0.0499,0.0523
SOHRIQ01,-2.8367,-1.0454,0.4309,-1.0350,-0.4727,-0.6766,1.8284,2.6181,1.9040,2.8945,28.8019,7.4086,8.4437,7.1622,0.7618,0.2381,0.4989,3.2275,4.2127,1.3582,1.5664,1.2881,6.4043,12.4205,4.1092,4.2188,4.0925,9.7443,1.9149,1.9522,1.9575,1.9687,1.9510,3.5122,4.6393,1.4604,1.7233,1.4556,0.3211,0.0820,0.0809,0.0391,0.0841,0.0351,3.1709,3.9618,1.3580,1.3706,1.2332,0.5439,0.0970,0.0973,0.1296,0.0907,0.1293
