Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,PC_Buried_Volume_35A,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-N,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_Cu,Atomic_Population_I,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_dyz,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,ImgFreq,Ea
IWODUT,88.48,8.54,189.97,32.1,15.5,-2.9461,-1.5929,2.01,1.96,89.07,98.81,0.3596,-0.3217,-0.1602,0.1066,1.2377,1.945,28.8448,25.249,0.3004,0.8267,0.6251,3.2404,1.2791,1.2774,1.4484,3.7248,3.9155,4.2244,9.818,1.508,0.0803,1.5916,1.692,0.4199,-123.07,14.4
BEBFET,82.75,-1.83,213.87,39.2,21.5,-3.8191,-2.6762,2.01,1.96,88.92,101.89,0.2415,-0.2743,-0.1158,0.1316,1.4241,2.0775,28.8565,25.1856,0.5293,0.74,0.5859,3.2418,1.3534,1.2094,1.3923,3.7302,3.8931,4.2372,9.8183,1.5086,0.0811,1.3412,1.1325,0.1267,-252.95,14.4
KAGXEY,99.45,-1.12,205.94,38.7,12.9,-3.0462,-1.2276,1.92,1.95,91.17,102.22,0.3407,-0.3386,-0.1795,0.0975,1.1404,1.7355,28.7933,25.235,0,0.9378,0.6307,3.2418,1.2977,1.2888,1.4347,3.7255,3.9188,4.2162,9.7841,1.7406,0.0774,1.4038,1.0982,0.1528,-99.35,14.4
FUWDAD,91.15,3.32,215.89,38.4,16.7,-3.445,-2.3254,1.99,1.98,92.97,108.04,0.2361,-0.3102,-0.1455,0.0244,1.1163,3.1539,28.7855,25.2762,0.1189,0.8656,0.6017,3.2483,1.2915,1.2409,1.4531,3.7539,3.9106,4.2547,9.805,1.2421,0.0157,1.4071,1.2522,0.06,-162.73,14.4
DUDHOA,81.6,-0.7,213.67,37,17.2,-3.7706,-2.8414,2.13,1.96,88.71,102.79,0.2556,-0.2831,-0.1218,0.1373,1.4318,3.0928,28.8459,25.1789,0.5169,0.757,0.5883,3.2432,1.3504,1.2052,1.4072,3.729,3.9056,4.2437,9.8215,1.3661,0.0193,1.5072,1.6564,0.4329,-240.51,14.4
DUBJIV,79.34,2.45,209.02,37.7,20.1,-3.1371,-1.8197,2.26,1.96,89.72,99.4,0.2569,-0.3283,-0.162,0.112,1.2313,1.9891,28.8027,25.2405,0.2628,0.8509,0.6181,3.2408,1.3271,1.2521,1.4324,3.7217,3.907,4.1544,9.8344,1.5092,0.0698,1.2677,1.3094,0.0788,-105.84,14.4
JENFUG,97.22,2.98,215.83,40.5,21.8,-2.8478,-1.4293,1.97,1.97,92.15,102.9,0.3134,-0.3349,-0.1844,0.0933,1.133,1.9575,28.8,25.2364,0,0.9398,0.6114,3.2443,1.371,1.1889,1.4554,3.7235,3.6636,4.1906,9.8104,1.527,0.0792,1.3351,1.2074,0.0883,-96.66,14.4
KEYYEU,82.2,10.91,214.97,39.8,21.8,-3.4056,-2.229,1.98,1.97,91.5,105.46,0.3454,-0.3132,-0.1521,0.0673,1.177,1.9152,28.8294,25.2449,0.1852,0.863,0.6366,3.244,1.2695,1.2801,1.4433,3.7426,3.9162,4.2291,9.8047,1.5417,0.102,1.1841,1.3545,0.1172,-146.7,14.4
KUJBEW,81.58,2.5,182.23,28.7,10.7,-2.8524,-1.6098,2.04,1.95,92.33,102.81,0.2617,-0.3229,-0.1706,0.0447,1.1207,1.715,28.8019,25.2715,0.1122,0.8937,0.6163,3.2421,1.3145,1.2333,1.456,3.7367,3.8689,4.248,9.8076,1.6732,0.0975,1.4748,1.1933,0.0636,-118.5,14.4
SICZIQ,83.06,3.28,179.86,29.5,14.8,-2.8056,-2.3261,2.16,1.95,88.78,100.16,0.3198,-0.3203,-0.166,0.0938,1.2497,2.0437,28.8467,25.2564,0.3202,0.8133,0.6073,3.2393,1.254,1.2986,1.4514,3.7224,3.903,4.2411,9.8077,1.4197,0.07,1.7967,1.5693,0.3936,-113.26,14.4
URUQUU,81.15,4.53,177.49,32.6,19.5,-2.688,-1.2487,2.17,1.93,87.91,99.84,0.3317,-0.3429,-0.1813,0.135,1.2437,2.0429,28.8852,25.2241,0.26,0.8789,0.6345,3.2357,1.321,1.2634,1.4461,3.7133,3.8898,4.2392,9.8018,1.4164,0.0621,1.7561,1.5744,0.4274,-66.88,14.4
IWUQAU,87.21,5.23,190.23,33,20.4,-3.8568,-3.4936,1.94,1.95,89.34,99.97,0.3733,-0.2867,-0.1203,0.1322,1.3702,1.8041,28.7563,25.198,0.4251,0.7381,0.6504,3.2398,1.3058,1.295,1.3699,3.7343,3.8678,4.1835,9.7915,1.5525,0.1072,1.6066,1.5565,0.3491,-263.89,14.3
OJUGIM,91.11,0.58,208.5,42.3,31.2,-3.3046,-1.6967,2.02,1.96,90.41,101.44,0.3765,-0.3187,-0.1684,0.1645,1.2701,1.9519,28.7654,25.2111,0.2702,0.8648,0.6263,3.2401,1.3705,1.2441,1.3876,3.7103,3.9059,4.1862,9.8392,1.7289,0.0918,1.5356,1.6686,0.4785,-96.53,14.3
GEKROG,84.25,2.89,184.01,31.9,19.2,-3.3632,-1.9636,2.09,1.95,89.88,99.04,0.3555,-0.3197,-0.1575,0.148,1.2734,2.0005,28.795,25.2197,0.3078,0.8195,0.6625,3.2389,1.2821,1.3012,1.4209,3.7187,3.8975,4.2044,9.8452,1.5481,0.0872,1.5389,1.6931,0.4071,-125.61,14.3
DEGDAV01,89.5,5.39,228.7,36.1,24.6,-3.1835,-2.2846,1.94,1.97,88.9,101.84,0.3721,-0.3093,-0.1521,0.1072,1.2718,1.9541,28.7356,25.2462,0.3169,0.8153,0.5914,3.2427,1.2596,1.298,1.4326,3.7252,3.8456,4.199,9.8089,1.6155,0.0899,1.6353,1.5501,0.38,-144.99,14.3
OSUWAB,82.24,4.1,188.96,35.2,18.6,-2.8588,-1.8235,1.93,1.94,89.96,103.02,0.3802,-0.3168,-0.1661,0.087,1.184,1.7391,28.8281,25.2625,0.1912,0.8571,0.612,3.2394,1.267,1.2817,1.451,3.7273,3.9121,4.2353,9.7834,1.7249,0.0616,1.4522,1.7243,0.4201,-115.16,14.3
UPEJAC,83.65,11.15,183.21,30.9,17.8,-3.0417,-1.476,1.96,1.95,89.99,100.12,0.3746,-0.3181,-0.1581,0.0997,1.2078,1.909,28.8707,25.2513,0.261,0.8354,0.6382,3.2399,1.2879,1.2773,1.4364,3.7289,3.914,4.2247,9.807,1.6044,0.0858,1.4891,1.696,0.4044,-128.84,14.3
MEDDOR,89.37,4.84,188.87,30.6,12.7,-2.7878,-1.1663,2.06,1.95,92.21,101.82,0.2697,-0.3497,-0.1916,0.0943,1.1207,1.9437,28.8023,25.2234,0,0.9814,0.6577,3.241,1.3964,1.1893,1.4476,3.7242,3.6792,4.2249,9.8208,1.577,0.0717,1.4677,1.217,0.0644,-80.76,14.3
KUFLUU01,96.8,0.89,222.55,39.1,18.7,-3.2572,-3.2511,1.94,2,90.69,98.26,0.2823,-0.288,-0.1387,0.0539,1.23,3.2479,28.7871,25.2742,0.3118,0.7784,0.5402,3.244,1.2366,1.2831,1.4476,3.737,3.9052,4.2459,9.8034,1.2694,0.0156,1.5758,1.67,0.4453,-254.24,14.3
