Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,PC_Buried_Volume_35A,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-N,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_Cu,Atomic_Population_I,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_dyz,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,ImgFreq,Ea
VESKAG,90.62,0.73,183.66,29.2,7.8,-2.7371,-1.4416,2.04,1.97,87.12,92.78,0.2621,-0.3105,-0.1451,0.1055,1.4038,1.9656,28.9485,25.2577,0.588,0.657,0.569,3.2443,1.3393,1.2079,1.4432,3.7117,3.888,4.2182,9.8567,1.5952,0.0462,1.5766,1.7097,0.3254,-133.15,28.5
MICGAJ,63.09,0.12,156.56,24.1,9.9,-2.9999,-1.4376,2.06,1.93,88.11,95.97,0.2936,-0.3244,-0.1573,0.1368,1.3577,1.9122,28.9145,25.2195,0.4719,0.7611,0.6223,3.237,1.285,1.2679,1.4575,3.7126,3.9181,4.2098,9.8427,1.5634,0.0457,1.555,1.6611,0.3423,-113.64,28.5
IHAVUL,63.58,0.37,158.72,26.3,13.7,-2.9196,-1.4997,2.02,1.95,87.28,93.79,0.2614,-0.3135,-0.1457,0.1089,1.3961,1.9471,28.9822,25.2502,0.5661,0.6829,0.5909,3.2419,1.2685,1.2821,1.4445,3.7149,3.9063,4.2193,9.8468,1.5449,0.0508,1.5726,1.6478,0.3287,-131.71,28.5
AFUVUS,63.21,0.89,179.67,29.5,17.6,-3.015,-1.665,2.04,1.93,88.25,94.38,0.3065,-0.3236,-0.1585,0.14,1.3255,1.885,28.9708,25.2142,0.427,0.7929,0.6323,3.2347,1.3009,1.2538,1.4571,3.7128,3.9128,4.2009,9.841,1.5633,0.0529,1.5312,1.6741,0.3557,-121.98,28.5
OSOKUD,63.25,0.12,156.62,26.2,16.2,-3.051,-1.4616,2.07,1.93,88.37,96.15,0.2942,-0.3195,-0.1538,0.1279,1.3496,1.8835,28.9547,25.2287,0.4747,0.7537,0.627,3.2364,1.3338,1.2244,1.4474,3.7136,3.9143,4.2073,9.8477,1.5325,0.0679,1.5401,1.6494,0.3282,-123.14,28.5
ITACON,63.38,-0.16,157.21,24.5,10.1,-3.1004,-1.5046,2.08,1.94,88.05,96.3,0.2903,-0.3184,-0.1522,0.139,1.3818,1.8778,28.9285,25.2142,0.4973,0.7441,0.6145,3.239,1.3025,1.2534,1.4467,3.7122,3.9187,4.2094,9.844,1.541,0.0611,1.5555,1.6504,0.3371,-127.97,28.5
IYAQOP01,62.89,0.2,163.76,26.9,8.8,-2.9498,-1.3765,2.21,1.94,88.05,96.73,0.2256,-0.3409,-0.1648,0.1434,1.3351,1.95,28.8881,25.2156,0.4199,0.7952,0.6268,3.237,1.3255,1.2319,1.4701,3.7131,3.9145,4.2376,9.8545,1.5616,0.062,1.3586,1.1936,0.0803,-95.96,28.5
IHUMIJ,63.43,0.19,157.73,24.5,10.4,-2.9558,-1.4872,2.11,1.95,87.14,94.35,0.2638,-0.3124,-0.1444,0.1027,1.3916,1.9538,28.9506,25.2476,0.5622,0.6813,0.598,3.2417,1.3412,1.2099,1.443,3.7164,3.8969,4.2206,9.8479,1.5505,0.0539,1.5638,1.4765,0.3592,-138.19,28.5
BODMOW,62.29,0.59,157.34,24,13.8,-2.9742,-1.4241,2.18,1.93,87.96,94.81,0.2897,-0.3305,-0.1599,0.1471,1.3639,1.888,28.9262,25.2137,0.4794,0.77,0.6297,3.2366,1.3082,1.245,1.464,3.7101,3.9119,4.217,9.8483,1.5366,0.0443,1.5627,1.4851,0.3415,-105.08,28.5
LEBBID,85.26,-0.34,218.57,40,18.1,-3.1981,-2.1484,1.95,1.98,88.43,97.8,0.2412,-0.2889,-0.1397,0.1201,1.3416,2.8896,28.8997,25.2222,0.4103,0.7629,0.5502,3.2423,1.3572,1.1897,1.4239,3.7217,3.7683,4.2471,9.7917,1.3506,0.0079,1.4816,1.6985,0.4638,-188.95,28.5
DOCMAK,63.52,-0.95,159.22,24.5,11,-3.404,-2.3559,2.16,1.95,87.25,97.67,0.2755,-0.296,-0.1278,0.1176,1.4325,1.8728,28.952,25.2128,0.5845,0.6756,0.5977,3.2439,1.3061,1.2573,1.4121,3.7199,3.9026,4.2132,9.8393,1.5684,0.0607,1.5476,1.6238,0.3774,-201.87,28.5
CAZZEI,87.72,1.44,189.53,30.2,13.1,-2.1236,-1.5604,1.94,1.98,82.31,89.88,0.2384,-0.2739,-0.1264,-0.0803,1.3039,1.9499,28.9992,25.4031,0.6965,0.404,0.5616,3.2565,1.372,1.2028,1.3671,3.7402,3.8715,4.2437,9.8053,1.6082,0.0862,1.6622,1.5876,0.4022,-145.69,28.5
IZARAC,87.42,-0.11,181.81,28.3,9.7,-3.8027,-3.3112,1.87,1.94,87.93,99.45,0.3178,-0.2712,-0.1074,0.1122,1.4268,2.1517,28.8757,25.2001,0.5755,0.6712,0.5905,3.2412,1.3089,1.2616,1.382,3.7311,3.898,4.1888,9.8058,1.5025,0.0792,1.5114,1.5961,0.3216,-308.32,28.4
RINDID01,63.15,0.28,156.85,24.2,8.6,-2.9649,-1.4791,2.05,1.95,87.24,93.98,0.2577,-0.3178,-0.1483,0.1226,1.4088,1.9241,28.9611,25.2319,0.5648,0.6958,0.5942,3.2424,1.3183,1.2341,1.4469,3.7124,3.9199,4.2162,9.852,1.5594,0.0468,1.56,1.6577,0.3241,-126.74,28.4
NEBFIM,90.58,4.69,219.21,38.7,19.7,-3.2114,-1.9523,1.96,1.94,84.39,98.27,0.3296,-0.3127,-0.1333,0.2176,1.4369,2.0099,28.9345,25.2105,0.5097,0.6884,0.627,3.239,1.1857,1.4056,1.4052,3.7033,3.7268,4.2145,9.8075,1.5373,0.0985,1.563,1.6903,0.3671,-130.97,28.4
GIGHUB,63.98,-0.22,159.15,24.4,8.4,-3.0161,-1.5146,2.03,1.95,87.31,95.2,0.2706,-0.3146,-0.1475,0.1262,1.4084,1.9157,28.9507,25.2254,0.5558,0.7013,0.6008,3.2411,1.3333,1.2191,1.4446,3.7129,3.9135,4.2232,9.8432,1.5618,0.0476,1.5507,1.6584,0.3431,-131.19,28.4
ODUTUF,62.93,0.15,165.3,27.1,11.8,-3.019,-1.4013,2.21,1.94,88.06,96.99,0.2256,-0.3356,-0.1611,0.1424,1.3426,1.9545,28.8943,25.2146,0.4336,0.7847,0.6228,3.2378,1.3021,1.2543,1.4648,3.7134,3.9217,4.2345,9.8524,1.5441,0.0587,1.3491,1.1893,0.081,-107.15,28.4
CAWBIL,88.84,0.96,189.93,30.9,18.8,-2.2947,-1.5905,1.95,1.95,81.82,89.78,0.2847,-0.2855,-0.143,-0.122,1.2192,1.8169,28.9178,25.4494,0.6438,0.376,0.61,3.2503,1.2134,1.3552,1.3902,3.7521,3.8925,4.2421,9.7608,1.78,0.071,1.7556,1.6765,0.456,-116.86,28.4
COMPOJ,82.27,0.39,204.54,36.7,13.4,-3.3647,-1.7438,1.95,1.97,87.71,101.27,0.2126,-0.3062,-0.1398,0.1323,1.4108,1.988,28.83,25.2075,0.4944,0.7515,0.577,3.2446,1.3489,1.2076,1.429,3.7206,3.9061,4.2521,9.8428,1.5548,0.0805,1.37,1.1279,0.1217,-162.83,28.3
GLHPRC,62.36,0.59,158.32,25.7,15.6,-3.0758,-1.4637,2.1,1.94,88.46,97.09,0.2915,-0.324,-0.158,0.1372,1.3593,1.9579,28.9281,25.2235,0.4615,0.7689,0.6297,3.2378,1.3748,1.2005,1.4338,3.7109,3.8838,4.2068,9.8517,1.5417,0.0437,1.5512,1.4828,0.3601,-109.19,28.3
UMIPOX,63.23,0.31,157.03,24.5,10.7,-3.0035,-1.488,2.05,1.95,87.3,94.01,0.2669,-0.3158,-0.1461,0.1215,1.4019,1.8711,28.9586,25.2285,0.5596,0.7012,0.5945,3.2421,1.3517,1.199,1.4469,3.7134,3.876,4.2141,9.8518,1.5565,0.0605,1.5419,1.669,0.3198,-135.36,28.3
VELZOB,103.26,-7.04,220.19,41.3,19.5,-3.0625,-1.5538,1.93,1.96,87.91,94.43,0.2623,-0.332,-0.169,0.2319,1.3719,2.9766,28.9823,25.1548,0.3982,0.8445,0.5976,3.2363,1.3706,1.2118,1.4379,3.694,3.8753,4.241,9.8131,1.197,0.0098,1.596,1.6859,0.4048,-94.05,28.3
ZOKSOH,64.85,-1.21,161.15,24.6,7.5,-3.31,-2.2551,2.04,1.94,87.87,96.82,0.2846,-0.3011,-0.1372,0.1347,1.413,1.93,28.943,25.2076,0.5423,0.7124,0.6031,3.24,1.3213,1.2298,1.4326,3.7157,3.9184,4.221,9.8349,1.5489,0.051,1.5317,1.648,0.3557,-186.48,28.3
XACGUE,62.94,0.34,165.96,27.5,12,-3.1488,-1.4811,2.26,1.95,88.01,96.25,0.2111,-0.3289,-0.1528,0.1485,1.3762,1.9639,28.898,25.2042,0.4803,0.7609,0.6102,3.2391,1.3096,1.2458,1.4582,3.7126,3.9194,4.2428,9.852,1.5388,0.0565,1.3456,1.1929,0.0825,-132.85,28.3
FAYTOP,64.63,-0.08,162.39,25.7,16.1,-2.8569,-1.475,2.08,1.95,85.91,93.53,0.2572,-0.3002,-0.1362,0.0636,1.3704,1.9409,29.0017,25.28,0.5894,0.6326,0.5976,3.2436,1.3591,1.1984,1.4223,3.7209,3.8607,4.2213,9.8443,1.557,0.0552,1.5451,1.469,0.358,-156.49,28.3
GIVYOC,62.49,0.23,155.77,27.8,16.6,-3.0937,-1.4336,2.07,1.93,88.56,97.86,0.3113,-0.3171,-0.1542,0.1203,1.3256,1.9108,28.9443,25.2296,0.4384,0.7706,0.6295,3.2367,1.257,1.2969,1.4488,3.7168,3.8939,4.2033,9.8432,1.5159,0.0682,1.544,1.4808,0.398,-121.33,28.2
TOSFAL,92.8,1.5,192.62,35.7,11,-3.1628,-2.2105,2.05,1.95,89.78,100.83,0.1853,-0.3252,-0.1563,0.1023,1.2512,3.0603,28.8345,25.2333,0.2877,0.8295,0.6141,3.2428,1.2025,1.3607,1.4425,3.7258,3.7406,4.2097,9.8454,1.2777,0.0097,1.4248,1.2503,0.0636,-145.65,28.2
TUNMUN,62.11,0.72,154.34,24.3,11.9,-3.0949,-1.4554,2.21,1.94,88.42,95.72,0.2886,-0.3222,-0.155,0.1456,1.3741,1.8787,28.9599,25.2079,0.4924,0.7612,0.6203,3.2377,1.3723,1.1794,1.4563,3.7108,3.7903,4.2213,9.8484,1.5315,0.0499,1.5561,1.4856,0.3409,-120.09,28.2
DIYJUR,90,0.91,192.56,31.5,11.5,-2.3197,-1.6952,1.94,1.98,80.94,89.07,0.2491,-0.2666,-0.1291,-0.1473,1.2257,1.8849,29.0117,25.4483,0.7195,0.3224,0.5801,3.2589,1.3465,1.223,1.363,3.7513,3.8878,4.2454,9.7728,1.7462,0.0803,1.7147,1.6829,0.4361,-143.67,28.2
EVEMAU,73.52,-0.12,214.07,43,18.4,-3.504,-2.8476,2.21,1.98,91.15,100.44,0.3613,-0.2975,-0.146,0.1474,1.2958,2.0064,28.7616,25.1969,0.3203,0.8171,0.6153,3.24,1.2505,1.2997,1.4315,3.7259,3.886,4.1905,9.8327,1.5436,0.0716,1.2352,1.305,0.1118,-190.37,28.1
CAHCIT,63.39,0.18,157.29,25.2,11.2,-2.9931,-1.4953,2.04,1.94,87.27,94.8,0.2662,-0.3116,-0.1445,0.1091,1.3996,1.8691,28.9654,25.24,0.5677,0.683,0.6078,3.241,1.3354,1.2176,1.441,3.7149,3.9142,4.2183,9.8494,1.5537,0.0616,1.5372,1.6534,0.3145,-134.32,28.1
ESABIJ,63.51,-0.08,159.46,24.7,11.6,-3.1186,-1.6172,2.03,1.93,88.12,95.97,0.2898,-0.3188,-0.1518,0.1447,1.3772,1.913,28.9414,25.2081,0.4933,0.749,0.6168,3.2375,1.3001,1.2552,1.4489,3.7121,3.9189,4.2087,9.8453,1.5812,0.0729,1.5467,1.6651,0.3382,-128.99,28.1
PONQIT,63.16,0.07,156.79,24.1,8.7,-3.0089,-1.4518,2.06,1.93,88.11,95.96,0.2924,-0.3235,-0.1565,0.1362,1.3582,1.9156,28.9205,25.2188,0.4718,0.7603,0.6215,3.2372,1.3157,1.2391,1.4543,3.7128,3.9201,4.2062,9.8429,1.5607,0.0445,1.5557,1.6698,0.3433,-115.35,28.1
NOQTEV,62.25,0.4,166.2,25.3,16.4,-3.0675,-1.4447,2.18,1.94,88.39,95.1,0.2934,-0.3214,-0.154,0.1354,1.356,1.8964,28.9248,25.2193,0.4772,0.7606,0.6203,3.2368,1.3009,1.2496,1.457,3.7133,3.9154,4.2136,9.8511,1.5384,0.0505,1.5568,1.4787,0.3351,-122.45,28.1
JINVAG,85.9,-3.73,181.53,29.7,11.8,-3.6732,-2.9779,2.21,1.94,89.51,97.31,0.2036,-0.2919,-0.1254,0.1316,1.3882,2.0519,28.8939,25.1924,0.4994,0.7318,0.6051,3.2386,1.3133,1.2454,1.417,3.7251,3.9195,4.2002,9.8536,1.5208,0.071,1.2326,1.1435,0.122,-258.49,28.1
XOWDAP,77.64,-3.45,197.05,33.8,16.1,-3.0182,-1.387,1.97,1.95,90.38,98.66,0.3139,-0.3371,-0.1727,0.1037,1.1693,3.0274,28.8043,25.2405,0.183,0.8957,0.6403,3.2393,1.3716,1.2015,1.449,3.7235,3.8223,4.1922,9.8145,1.3889,0.0117,1.4812,1.677,0.3559,-100.64,28
VICGOE,63.39,-1.31,157.16,26.5,12.8,-3.2069,-1.3662,2.1,1.91,90.27,102.01,0.3397,-0.3101,-0.1592,0.1103,1.21,1.9204,28.9213,25.2501,0.2599,0.8246,0.6709,3.232,1.1949,1.3552,1.4476,3.7197,3.7342,4.2174,9.8363,1.5888,0.0745,1.5299,1.6396,0.3572,-134.07,28
XOCFED,62.44,0.31,154.84,25.5,15.5,-2.9818,-1.5017,2.14,1.93,88.23,96.42,0.2952,-0.3252,-0.1589,0.13,1.3457,1.9336,28.9289,25.2305,0.4522,0.772,0.6275,3.2367,1.259,1.2943,1.4579,3.7133,3.9069,4.2171,9.8433,1.5483,0.0486,1.5531,1.4938,0.3486,-109.65,28
SIHVOU01,62.9,0.26,157.22,24.4,13.4,-2.9616,-1.4177,2.13,1.93,88.13,95.19,0.292,-0.3249,-0.1578,0.1336,1.3567,1.9105,28.9265,25.2239,0.48,0.76,0.6257,3.2365,1.2866,1.2698,1.4549,3.7115,3.912,4.2202,9.8479,1.5405,0.0508,1.5661,1.5054,0.3461,-111.02,28
XAQNOT,63.96,-0.71,158.82,24.4,8.2,-3.2124,-2.078,2.1,1.94,87.98,96.78,0.2839,-0.3084,-0.1439,0.1316,1.3987,1.9422,28.938,25.215,0.5297,0.7222,0.6073,3.2397,1.3265,1.226,1.4391,3.7147,3.9171,4.2198,9.8407,1.5414,0.0532,1.5497,1.4772,0.3506,-160.47,28
CAXZEG,84.4,1.17,193.69,31.6,15.7,-3.5401,-2.4585,2.32,1.96,90.55,99.78,0.2231,-0.3095,-0.1448,0.136,1.3368,2.0165,28.8376,25.1953,0.4014,0.7945,0.6182,3.2406,1.3133,1.254,1.4255,3.7226,3.9089,4.1853,9.8584,1.5136,0.0626,1.3223,1.075,0.1186,-160.8,28
AMIMDZ,87.38,-0.38,186.23,31.7,12.8,-3.0081,-1.414,2.15,1.98,88.04,96.89,0.0961,-0.3384,-0.162,0.1538,1.4053,3.1296,28.8888,25.1942,0.4828,0.7907,0.5685,3.242,1.3592,1.2009,1.4613,3.7067,3.8888,4.2637,9.8682,1.3261,0.0147,1.4233,1.2191,0.0658,-92.82,28
KEQCOA,82.74,13.24,226.24,42.8,20.8,-3.8305,-3.3737,2.09,1.92,86.92,102.59,0.4569,-0.237,-0.0933,0.0995,1.3554,1.9403,29.0483,25.2127,0.5333,0.7022,0.6357,3.2312,1.3303,1.2396,1.3577,3.7444,3.9177,4.2114,9.701,1.6103,0.0944,1.5158,1.6872,0.4535,-302.92,28
WENPAG,86.75,10.2,207.39,42,22.8,-3.7838,-2.5358,2.15,1.9,87.57,95.92,0.3705,-0.2564,-0.1054,0.1671,1.4132,1.8939,29.1934,25.1659,0.5224,0.675,0.6794,3.2245,1.3364,1.2367,1.3811,3.728,3.5509,4.2265,9.7239,1.5932,0.0875,1.5668,1.6863,0.4485,-261.24,28
XEHZAL,62.18,0.72,159.61,25.3,13.4,-3.0797,-1.4511,2.02,1.94,88.47,95.36,0.2892,-0.3209,-0.1543,0.1417,1.3657,1.9794,28.956,25.212,0.4861,0.7576,0.6174,3.2372,1.373,1.1799,1.4542,3.7118,3.7781,4.2202,9.8481,1.5573,0.051,1.5287,1.5757,0.4026,-123.03,27.9
JUMYIB,63.11,0.32,157.1,25.1,12.3,-2.9352,-1.4434,2.03,1.94,87.13,94.33,0.2731,-0.3144,-0.1473,0.1045,1.373,1.9315,28.9488,25.2463,0.5345,0.7018,0.6045,3.24,1.3681,1.1825,1.447,3.7162,3.6902,4.2174,9.8456,1.5399,0.0741,1.578,1.6309,0.3524,-133.68,27.9
HABVAK,63.67,-0.04,173.35,29.9,20,-2.979,-1.5735,2.04,1.94,88.14,96.48,0.2356,-0.3403,-0.1664,0.156,1.347,3.0493,28.8774,25.2038,0.4085,0.8112,0.6286,3.2367,1.2796,1.2769,1.4705,3.7092,3.9182,4.2304,9.8503,1.3585,0.0081,1.5686,1.6501,0.3658,-91.86,27.9
PUGCAW,63.79,-0.38,158.47,24.5,10.8,-3.1163,-1.8189,2.03,1.94,87.98,95.85,0.2859,-0.3162,-0.1503,0.1421,1.3924,1.9006,28.9498,25.2068,0.5146,0.7409,0.6122,3.2383,1.269,1.2874,1.4446,3.7121,3.8983,4.2144,9.843,1.5573,0.0709,1.5548,1.6497,0.336,-133.64,27.9
SEDDUD,63.73,-0.31,158.37,24.3,8.4,-3.053,-1.7644,2.04,1.94,87.66,95.85,0.2814,-0.3162,-0.1501,0.1339,1.3912,1.9209,28.9369,25.219,0.5215,0.7273,0.607,3.2398,1.3201,1.2332,1.4463,3.7122,3.9193,4.216,9.8431,1.5571,0.0465,1.5505,1.6607,0.3412,-132.6,27.9
DIXKUS,62.71,0.22,155.65,24.4,13.8,-3.0331,-1.4671,2.09,1.94,87.43,97.08,0.2738,-0.3123,-0.1457,0.1048,1.3816,1.9071,28.9294,25.2415,0.5314,0.7008,0.6124,3.2412,1.3438,1.2152,1.435,3.7171,3.9158,4.2124,9.8481,1.5505,0.0509,1.5572,1.6471,0.3454,-131.53,27.9
KUJYUL,62.63,0.13,163.5,25.6,16.8,-2.9415,-1.3783,2.1,1.92,88.09,96.47,0.2971,-0.3311,-0.1634,0.1365,1.328,1.9193,28.9312,25.221,0.4256,0.7961,0.6455,3.2352,1.3767,1.1827,1.4589,3.7117,3.8146,4.2073,9.8439,1.5686,0.0582,1.536,1.4894,0.3376,-95.27,27.9
ETYTAC,62.49,0.21,154.68,24.1,12.3,-3.0799,-1.4679,2.15,1.94,88.3,95.62,0.2797,-0.3207,-0.1528,0.1378,1.3767,1.9646,28.9183,25.2164,0.5003,0.7441,0.6173,3.2377,1.2307,1.3291,1.4461,3.7114,3.8209,4.2061,9.8527,1.5447,0.0634,1.5546,1.4927,0.382,-124.81,27.9
SEVLUA,62.83,0.23,164.94,25.9,19.9,-2.9299,-1.4185,2.11,1.94,87.92,95.36,0.29,-0.3276,-0.1602,0.139,1.3717,1.9485,28.9505,25.218,0.4898,0.7557,0.6265,3.2374,1.3232,1.2296,1.4605,3.7091,3.9187,4.2101,9.8452,1.5509,0.0568,1.5434,1.4741,0.3863,-103.36,27.9
FOCFEI,62.88,-2.73,156.06,28.8,14,-2.8796,-1.3537,2.11,1.92,88.26,96.05,0.3143,-0.3291,-0.1637,0.1271,1.3131,1.8231,28.9514,25.2306,0.4197,0.7946,0.6411,3.2348,1.2873,1.2655,1.4641,3.7135,3.9207,4.2082,9.8408,1.5482,0.0648,1.5467,1.4905,0.3396,-102.57,27.9
CAPMSU,63.07,0.01,156.79,24.7,11.8,-3.1272,-1.7323,2.17,1.94,88.42,94.54,0.2917,-0.3194,-0.1528,0.1524,1.3763,1.8883,28.947,25.2016,0.4903,0.7575,0.6129,3.2367,1.32,1.2294,1.4566,3.7109,3.895,4.2199,9.8434,1.5563,0.0571,1.556,1.4696,0.3513,-133.34,27.9
FOVWIX,62.13,0.67,154.59,24.3,12.1,-3.0552,-1.4168,2.01,1.93,88.34,94.83,0.2972,-0.324,-0.1555,0.1444,1.354,1.9907,28.9671,25.2132,0.4739,0.7755,0.6293,3.2361,1.2522,1.3153,1.4435,3.7117,3.8947,4.2213,9.8451,1.5584,0.0483,1.5303,1.554,0.4222,-122.54,27.8
DOQSUX,64.02,0.69,158.29,26.6,8.7,-3.0291,-1.3708,1.99,1.94,88.63,96.9,0.224,-0.3417,-0.1666,0.1563,1.3133,3.1578,28.8791,25.1971,0.3699,0.8372,0.6257,3.2358,1.3325,1.2261,1.4714,3.7133,3.9087,4.238,9.8486,1.2943,0.011,1.6194,1.6632,0.3489,-92.44,27.8
AXCPRO,62.48,0.5,157.24,25,15.7,-3.0024,-1.4345,2.06,1.93,88.35,95.84,0.2925,-0.3272,-0.1604,0.1419,1.3479,1.8575,28.9236,25.2195,0.4506,0.7839,0.6291,3.2359,1.3282,1.2447,1.4413,3.7103,3.9217,4.2083,9.8483,1.5434,0.0483,1.5517,1.6501,0.3142,-106.19,27.8
MERREG,62.87,0.52,155.78,26.6,16.9,-3.0447,-1.4623,2.07,1.94,88.17,97.14,0.2878,-0.3207,-0.1541,0.127,1.3631,1.9163,28.9445,25.2297,0.4836,0.7514,0.6257,3.2386,1.3254,1.2325,1.4471,3.714,3.922,4.2106,9.8485,1.5454,0.0506,1.5403,1.4953,0.366,-115.94,27.8
LELQUQ,63.08,0.08,168.55,24.9,13.1,-3.011,-1.4496,2.08,1.94,87.97,95.61,0.296,-0.3238,-0.1568,0.141,1.3658,1.9251,28.9357,25.2141,0.4677,0.7687,0.6212,3.2373,1.2549,1.2969,1.4576,3.7122,3.9016,4.2135,9.8421,1.5481,0.0472,1.5445,1.6251,0.3511,-114.05,27.8
CUCKIU10,84.81,1.25,198.45,36.2,20.2,-3.0347,-1.403,1.97,1.97,88.42,97.75,0.2175,-0.3316,-0.1589,0.1473,1.3348,2.9109,28.934,25.21,0.4132,0.8035,0.6073,3.2406,1.3028,1.2713,1.4415,3.7126,3.8841,4.2511,9.8521,1.5027,0.0089,1.5215,1.6698,0.3644,-111.92,27.7
BIPDEJ01,62.46,0.55,165.79,27.5,11.3,-3.1193,-1.4569,1.97,1.94,88.02,96.49,0.2103,-0.3319,-0.1542,0.1485,1.3725,3.0657,28.8978,25.2048,0.4726,0.7644,0.6119,3.2388,1.3256,1.2303,1.4612,3.7129,3.9132,4.2464,9.848,1.3533,0.0098,1.5449,1.6959,0.3267,-123.91,27.7
QUKTOG,66.12,-0.36,171.49,28.6,11.4,-3.1512,-1.5549,1.95,1.98,87.04,93.58,0.1628,-0.3115,-0.1356,0.1258,1.4263,3.0735,28.9623,25.2178,0.5853,0.6761,0.5675,3.2452,1.3487,1.2221,1.4201,3.7143,3.8938,4.2517,9.8656,1.3617,0.0153,1.5473,1.7008,0.3568,-168.07,27.7
LUVGIU,86.7,10.9,213.28,42.5,19,-3.7743,-2.4843,1.78,1.9,87.43,95.45,0.3694,-0.2561,-0.1051,0.1614,1.4063,2.1155,29.1837,25.1741,0.5235,0.6638,0.6743,3.2246,1.3138,1.2689,1.3712,3.7283,3.4551,4.2203,9.7291,1.6137,0.093,1.6029,1.7203,0.4016,-263.26,27.7
BARKAJ,62.56,0.2,155.24,24.5,13.9,-2.971,-1.4157,2.08,1.93,88.14,95.45,0.2927,-0.3274,-0.16,0.1392,1.3561,1.8895,28.9287,25.2162,0.4689,0.7709,0.6259,3.2366,1.3751,1.1805,1.4581,3.7108,3.7914,4.2126,9.8458,1.5482,0.0591,1.5588,1.6353,0.3332,-106.57,27.7
ERESOJ,62.59,0.25,154.81,24.6,14.1,-3.0399,-1.4438,2.08,1.93,88.22,95.9,0.2884,-0.322,-0.1555,0.1333,1.3643,1.8937,28.9265,25.2203,0.4873,0.7583,0.6237,3.2373,1.2594,1.2935,1.4547,3.7116,3.897,4.209,9.8505,1.5438,0.057,1.5533,1.6278,0.3323,-119.13,27.7
AFEREJ,62.18,0.35,154.31,25.8,12.1,-3.1215,-1.4728,2.12,1.94,88.53,96.27,0.2956,-0.3196,-0.1522,0.1294,1.3484,1.8927,28.9131,25.2213,0.4615,0.7621,0.621,3.2379,1.3229,1.2359,1.446,3.7161,3.9188,4.1985,9.85,1.5472,0.0594,1.5445,1.6576,0.3163,-129.33,27.7
MISXUJ,63.44,-0.08,166.14,24.3,11,-3.0906,-2.1095,2.08,1.93,88.22,96.82,0.2892,-0.3181,-0.1528,0.1346,1.3672,1.9848,28.9453,25.2161,0.4815,0.7545,0.6203,3.2379,1.2916,1.2714,1.44,3.7135,3.9026,4.1997,9.8437,1.561,0.059,1.5603,1.4685,0.4647,-129.62,27.7
YOZPOU,62.58,0.16,155.42,24.1,10.8,-3.0074,-2.08,2.16,1.94,88.06,95.94,0.2826,-0.32,-0.1537,0.1215,1.3563,1.9475,28.9274,25.2326,0.4838,0.7461,0.6147,3.2382,1.3005,1.2507,1.4535,3.7141,3.9163,4.2216,9.8467,1.5441,0.0423,1.565,1.4928,0.3411,-131.85,27.7
BOCPRO01,62.66,0.28,157.33,24.6,15.3,-2.9853,-1.4069,2.15,1.93,88.34,95.5,0.2991,-0.3223,-0.1569,0.1264,1.3342,1.8441,28.9338,25.2302,0.4558,0.767,0.6284,3.2359,1.3132,1.247,1.4488,3.7137,3.904,4.2113,9.846,1.5341,0.0518,1.5616,1.4896,0.3328,-117.77,27.7
EPYROB,82.08,-0.37,177.85,28.7,15,-3.5473,-2.5369,2.24,1.96,89.17,98.46,0.2368,-0.2937,-0.1317,0.1255,1.4085,2.8313,28.8537,25.1996,0.5282,0.7187,0.584,3.2434,1.3141,1.2502,1.4097,3.7208,3.9173,4.2379,9.8553,1.2864,0.0151,1.5021,1.6268,0.4363,-223.04,27.7
ACIXAL,63.69,-0.26,165.05,25.6,16.7,-3.0826,-1.7125,2.11,1.94,88.23,94.51,0.2955,-0.3172,-0.1524,0.1437,1.3696,1.8964,28.9753,25.2112,0.488,0.7495,0.616,3.2365,1.3217,1.2276,1.4544,3.7115,3.8899,4.2195,9.845,1.5631,0.0597,1.5523,1.4778,0.3485,-134.44,27.7
BEKKOU,88.18,-3.42,189.78,31.3,14.6,-3.7488,-2.9714,2.02,1.94,86.32,98.81,0.2151,-0.274,-0.1001,0.0756,1.403,2.9462,28.9264,25.2242,0.591,0.6435,0.5954,3.2416,1.3567,1.2075,1.391,3.7354,3.8878,4.242,9.8198,1.1783,0.0172,1.5638,1.5803,0.362,-301.3,27.7
VONYUS,101.39,2.66,200.87,34.9,12.7,-2.0469,-1.157,2,1.97,85.7,92.2,0.3191,-0.3232,-0.1687,0.058,1.3025,1.6571,28.8347,25.3336,0.4955,0.6741,0.5745,3.2453,1.3006,1.246,1.4556,3.7122,3.9015,4.2247,9.8013,1.7869,0.0954,1.7507,1.68,0.408,-89.75,27.7
