Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
RAKXAE,77.32,3.98,208.56,3.56,-3.3736,-3.3272,0.2784,-0.2054,1.3483,1.9694,5.9264,6.8612,0.2467,1.0893,10.1554,6.3203,12.6442,9.7571,1.3458,0.0164,12.7
VOHJOU,75.03,4.81,224.06,1.77,-3.2958,-2.8278,0.2906,-0.2152,1.3496,1.9718,5.936,6.9962,0.2467,1.1044,10.1603,6.3116,12.6355,9.7623,1.1611,0.019,11.3
KHXBIU,83.08,8.17,177.13,1.98,-2.5698,-1.4892,0.2408,-0.2235,1.3643,2.9624,5.921,8.4944,0.2468,1.0537,10.1948,6.3524,12.5941,9.8127,1.4487,0.055,25.4
JADJAA,80.26,1.95,169.78,1.98,-3.5558,-2.2861,0.3671,-0.1871,1.3913,1.9817,5.9344,8.3834,0.247,1.0196,10.1481,6.3094,12.5648,9.7587,1.4578,0.0642,11.5
JEGTEX,73.05,5.05,202.3,3.1,-3.2585,-3.2825,0.3183,-0.2023,1.3051,1.9545,5.9654,7.4274,0.2474,1.097,10.1514,6.3417,12.6127,9.7273,1.2536,0.0116,12.1
FEBDOH,78.8,5.17,171.65,2.5,-2.5144,-1.5307,0.35,-0.2162,1.2999,1.6645,5.9668,8.4031,0.2477,1.0424,10.187,6.3219,12.5395,9.7886,1.5479,0.0481,21.4
MIZPUG,78.74,4.38,171.54,1.41,-2.4538,-1.4891,0.3425,-0.2161,1.3325,1.7116,5.9598,8.4097,0.248,1.072,10.1914,6.3193,12.5486,9.7896,1.5472,0.0525,15.9
JAWJEZ,85.2,3.38,178.37,3.82,-2.8414,-1.9635,0.369,-0.2128,1.3537,1.9783,5.9199,8.4176,0.2495,1.0356,10.1713,6.3136,12.5106,9.8068,1.4524,0.0538,13.4
PAZDAW,75.43,1.91,162.69,2.23,-2.8946,-2.0418,0.2794,-0.1971,1.331,1.9952,5.8634,7.619,0.2499,1.0155,10.166,6.3444,12.5917,9.7845,1.2657,0.008,17
MAPKOE,79.72,6.65,209.27,2.61,-2.9321,-2.4333,0.3292,-0.1989,1.2125,1.8598,5.8615,7.0971,0.2501,1.1207,10.1511,6.315,12.6253,9.7305,1.2666,0.0108,25.6
VUHKIV,75.04,1.75,199.18,1.72,-3.2447,-2.8479,0.2876,-0.216,1.3434,1.9842,5.9432,7.0161,0.2502,1.1008,10.1619,6.3168,12.6367,9.7589,1.2668,0.0198,10.1
TIWXAY,87.95,1.03,176.09,1.49,-2.5713,-1.6777,0.3266,-0.2083,1.4293,2.0013,5.8719,8.4402,0.2507,1.0309,10.1848,6.324,12.5323,9.817,1.5212,0.0419,27.5
ANITUN,87.31,-17.11,176.25,1.32,-2.6874,-1.758,0.2863,-0.2115,1.4069,2.0577,5.8887,7.0551,0.251,1.0305,10.1783,6.3327,12.546,9.8349,1.4123,0.0093,31.6
ANAGUT,76.16,4.49,220.88,2.7,-3.0726,-2.7251,0.3073,-0.2119,1.3166,2.01,5.7755,7.0225,0.251,1.016,10.1648,6.3358,12.5781,9.7788,1.2043,0.0118,16.5
LOYDIP,74.34,4.79,162.61,2.03,-2.9635,-2.2013,0.2945,-0.1948,1.341,2.9511,5.8446,8.4841,0.2511,1.036,10.1649,6.3398,12.5768,9.7889,1.4604,0.0563,15.1
XIZXAI,77.12,4.79,211.87,2.48,-3.229,-2.7908,0.3001,-0.219,1.3373,2.0056,5.9593,7.0322,0.2511,1.1158,10.1595,6.3054,12.6304,9.7641,1.2042,0.0204,14.9
