Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFre,Ea
AGADIX,75.06,4.54,204.95,2.72,8.88,11.13,32.9,25.7,18.7,828.48,-2.9426,-2.4424,2.16,2.24,-0.16,-0.12,2.66,2.14,2.2,75.6,0.2937,-0.2192,0.2116,-0.6535,-0.0505,2.6092,3.9206,1.326,1.9884,3.1253,28.9894,6.0578,25.1294,8.5064,7.0409,0.4722,0.4597,0.8016,0.3354,0.2925,2.9202,1.0289,1.086,1.0895,3.7214,3.4299,3.8109,3.6544,10.1719,2.0397,2.0507,2.0201,2.0444,2.0169,6.3301,12.5803,4.2576,4.1816,4.1411,9.7958,1.9611,1.9733,1.9724,1.9265,1.9625,1.5322,1.489,1.6765,0.4264,0.0499,0.0589,1.2292,1.2653,1.272,0.1176,0.0234,0.0141,-82.22,14.5
DOBBUS,83.84,9.8,183.58,2.21,8.15,10.23,35.9,27.9,19.4,726.06,-2.662,-2.1468,2.09,2.19,-0.15,-0.22,2.6,2.21,2.23,71.81,0.3478,-0.1983,0.2502,-0.4871,-0.606,2.5586,3.7454,1.3455,2.0238,1.8701,28.9763,5.9186,25.124,8.4173,8.4129,0.5625,0.2812,0.7926,0.3323,0.293,2.924,1.0417,1.0358,1.1048,3.7178,3.4534,3.7545,3.6544,10.1697,2.0437,2.0441,2.029,2.0365,2.0163,6.3067,12.5561,4.2549,4.166,4.1352,9.7894,2.0089,1.9944,1.9668,1.8933,1.9261,1.5155,1.4237,1.651,0.4078,0.0523,0.0737,1.5758,1.4739,1.6374,0.4096,0.0536,0.0703,-154.64,16.3
OKATEA,83.91,7.14,177.66,1.72,10.26,10.39,29.6,21,14.6,830.24,-3.3412,-2.7934,1.99,2.19,-0.04,-0.18,2.56,2,2.3,72.44,0.3669,-0.1843,0.1575,-0.5243,-0.6465,2.8885,3.7852,1.3222,1.9596,1.9738,29.0946,5.9007,25.1404,8.3868,8.4619,0.6704,0.488,0.6457,0.4226,0.2934,2.917,1.0276,1.0337,1.1111,3.7422,3.448,3.7078,3.7962,10.1483,2.0346,2.0351,2.0165,2.0422,2.0198,6.2931,12.5928,4.2428,4.2223,4.1277,9.7472,1.8513,2.007,1.9512,1.9609,1.9768,1.4846,1.4545,1.6859,0.4156,0.0444,0.0672,1.5387,1.4626,1.7217,0.3966,0.0416,0.0617,-124.42,14.9
BUKFIZ,73.6,3.69,230,2.5,10.46,9.59,34.2,28.6,19.6,784.01,-3.0322,-2.466,2.19,2.24,-0.12,-0.17,2.65,2.02,2.26,76.24,0.3188,-0.2281,0.1614,-0.698,-0.0225,2.7645,3.8041,1.3374,1.9457,3.1408,29.006,6.0436,25.1394,8.5385,6.9803,0.5222,0.4453,0.7746,0.3275,0.2937,2.9238,1.0847,1.1011,1.0254,3.7377,3.627,3.8833,3.4225,10.168,2.0119,2.0709,2.0264,2.03,2.0289,6.3142,12.6116,4.2662,4.1498,4.1956,9.7553,1.9227,1.92,1.9879,1.9313,1.9934,1.4981,1.6047,1.6056,0.4605,0.085,0.0832,1.3262,1.1285,1.2899,0.1155,0.0205,0.0124,-103.44,13.2
DUMJUQ01,81.43,3.86,173.7,2.09,8.63,12.75,32.9,25.2,17.5,760.27,-2.4831,-1.5561,2.07,2.15,-0.11,-0.1,2.6,2.34,2.19,70.05,0.3417,-0.2117,0.2009,-0.8398,-0.4544,2.522,3.6974,1.3175,1.7117,2.0515,28.9907,5.9179,25.1837,8.574,8.4049,0.5323,0.2242,0.764,0.4862,0.2937,2.9295,1.045,1.0415,1.1046,3.709,3.4583,3.7778,3.6635,10.1906,2.0466,2.0499,2.0289,2.044,2.0212,6.3163,12.5507,4.2519,4.1598,4.1391,9.7914,1.994,1.9884,1.9659,1.8955,1.9476,1.7433,1.408,1.6904,0.4464,0.0421,0.0729,1.4534,1.5358,1.6129,0.3501,0.0451,0.0494,-148.48,21.4
HUKKED,82.44,0.74,181.4,3.25,8.04,9.87,31.2,24,16.9,802.86,-2.6557,-1.817,1.97,2.15,-0.02,-0.06,2.6,2.36,2.2,69.32,0.2474,-0.2098,0.1848,-0.1385,-0.6516,2.6431,3.7848,1.3594,3.1735,1.9852,29.0299,5.9271,25.1691,7.016,8.4895,0.5427,0.2211,0.7469,0.5148,0.2938,2.9311,1.0415,1.0402,1.107,3.7115,3.4009,3.7902,3.7236,10.189,2.0424,2.0499,2.0205,2.053,2.0233,6.3312,12.6248,4.2776,4.1907,4.1564,9.7966,1.9779,1.9966,1.9521,1.8961,1.9739,1.2627,1.4148,1.1929,0.094,0.0166,0.0098,1.5327,1.4575,1.7088,0.4203,0.0491,0.0586,-141.08,25.2
POJTOZ,82.42,7.81,175.48,1.71,13.82,12.96,29.6,20.7,14.1,946.58,-3.4234,-3.2185,2.05,2.15,-0.03,-0.2,2.55,2.04,2.29,71.86,0.3703,-0.191,0.1844,-0.5043,-0.5224,2.8223,3.7721,1.3445,2.0649,1.9449,29.0399,5.8738,25.1165,8.3917,8.3947,0.6651,0.426,0.664,0.3709,0.2942,2.9193,1.0458,1.0368,1.0956,3.7378,3.4746,3.7638,3.6908,10.1487,2.0307,2.0453,2.0199,2.033,2.0198,6.2958,12.5821,4.2383,4.2117,4.1321,9.7518,1.9183,1.9928,1.9564,1.9481,1.9362,1.5041,1.45,1.6767,0.3849,0.0356,0.0599,1.4617,1.4649,1.6946,0.3992,0.0491,0.0614,-121.45,14.3
QEDWEE,78.11,3.51,209.1,2.53,8.9,8.15,33.9,26.2,16.8,687.14,-3.4821,-3.4631,2.18,2.2,-0.16,-0.12,2.57,1.99,2.39,71.14,0.2826,-0.1955,0.0905,-0.0251,-0.5095,2.844,3.7134,1.3271,2.8796,1.9719,29.0117,5.9069,25.1435,6.8926,8.4231,0.6733,0.4733,0.5657,0.268,0.2944,2.9277,1.0888,1.052,1.0373,3.7682,3.7832,3.7346,3.4764,10.1471,2.0195,2.0523,2.0281,2.0157,2.0316,6.3193,12.653,4.2755,4.1864,4.1911,9.7451,1.8838,2.0081,2.0024,1.8783,1.9725,1.2965,1.3273,1.1086,0.1148,0.0209,0.0161,1.4699,1.5312,1.6114,0.3851,0.058,0.0576,-151.06,11.8
UQUDOA,84.43,7.5,179.99,3.11,8.48,7.8,30.7,25.1,18.6,729.79,-2.8848,-2.3753,2,2.13,-0.12,-0.15,2.58,2.23,2.21,71.17,0.3671,-0.2103,0.2405,-0.6393,-0.5089,2.7351,3.7351,1.3587,1.9222,2.0173,29.0239,5.9119,25.1294,8.5039,8.406,0.5757,0.2759,0.7533,0.4574,0.2944,2.924,1.1281,1.0293,1.0368,3.7106,3.8043,3.7527,3.3215,10.1704,2.0187,2.0424,2.0479,2.0172,2.0442,6.2903,12.5686,4.2143,4.161,4.1933,9.774,1.9592,1.9296,1.9862,1.9996,1.8995,1.504,1.4865,1.699,0.4383,0.0612,0.0864,1.4626,1.4522,1.6951,0.3992,0.0585,0.0635,-150.55,17.9
NATSEJ,80.44,1.08,185.14,1.68,10.56,8.1,33.1,23.6,13.5,702.88,-3.4026,-2.4185,1.99,2.22,0.1,-0.23,2.56,2.02,2.31,72.09,0.1883,-0.1952,0.1282,-0.1376,-0.0817,2.9113,3.7785,1.3384,3.199,2.9597,29.0752,5.8844,25.1313,7.0108,6.9181,0.6242,0.4336,0.6515,0.4353,0.2945,2.921,0.9939,1.0628,1.1239,3.7463,3.2663,3.8229,3.8782,10.1581,2.0428,2.031,2.0117,2.0614,2.0113,6.3508,12.6783,4.2878,4.2283,4.1622,9.7827,2.0049,1.9905,1.9608,1.8743,1.9522,1.2591,1.3752,1.2451,0.0901,0.0139,0.009,1.1988,1.3915,1.1701,0.1229,0.023,0.0127,-125.48,20.2
OPUREY,78.78,2.16,211.85,2.31,9.06,9.31,34.6,26,17.9,734.34,-3.2464,-2.3718,2.14,2.2,-0.16,-0.06,2.62,2.03,2.26,75.01,0.282,-0.2234,0.1682,-0.0132,-0.5092,2.7642,3.7676,1.3598,2.9269,2.0035,29.0037,6.0185,25.1097,6.9273,8.4124,0.5628,0.4254,0.7525,0.316,0.2946,2.9237,1.1063,1.0476,1.0536,3.7387,3.7588,3.7455,3.4234,10.1655,2.0197,2.0542,2.0333,2.0172,2.0409,6.3156,12.6248,4.2601,4.1844,4.1802,9.7777,1.8758,2.0147,2.0021,1.9323,1.9528,1.2707,1.3626,1.0893,0.116,0.0219,0.018,1.49,1.5041,1.629,0.3668,0.0548,0.0618,-101.01,13.8
SEWROD,88.92,8.01,182.98,3.89,9.6,8.62,36.5,33.1,22.7,775.52,-2.6681,-2.1174,2.03,2.13,-0.11,-0.18,2.63,2.09,2.23,74.88,0.3877,-0.2037,0.193,-0.8769,-0.5129,2.781,3.7504,1.2581,1.6072,1.9514,29.0269,5.8938,25.1844,8.4936,8.4221,0.4987,0.3785,0.7676,0.4913,0.2951,2.9205,1.0018,1.0467,1.1394,3.7232,3.2709,3.7617,3.88,10.1713,2.0634,2.0274,2.0142,2.056,2.0103,6.2937,12.567,4.226,4.1761,4.165,9.7516,2.005,1.9646,1.9813,1.8866,1.9142,1.7425,1.4158,1.6617,0.5133,0.0688,0.0802,1.6463,1.4296,1.5326,0.4044,0.0509,0.0627,-129,22.6
POJXIW,80.42,5.46,174.64,2.39,8.79,8.36,30.9,25.7,18.8,681.15,-2.5089,-1.937,2.01,2.16,-0.05,-0.2,2.59,2.36,2.2,68.95,0.3507,-0.2192,0.177,-0.79,-0.5209,2.6147,3.6149,1.348,1.6393,2.1322,29.0168,5.837,25.2107,8.6165,8.3818,0.5577,0.207,0.6864,0.5378,0.2951,2.9323,1.0592,1.0383,1.0991,3.7074,3.5147,3.7611,3.6465,10.1933,2.0419,2.0566,2.0291,2.0403,2.0253,6.3095,12.5652,4.2542,4.1782,4.1329,9.7746,1.9809,1.992,1.9543,1.9024,1.945,1.7297,1.5125,1.5345,0.4677,0.0701,0.0622,1.3861,1.4839,1.7378,0.3868,0.0358,0.0567,-142.56,22.1
RBFURC10,62.38,-0.13,155.28,2.16,5.13,9.68,25.4,17.9,11.7,629.17,-2.9988,-3.1121,1.99,2.22,0.04,-0.05,2.56,2.16,2.21,71.69,0.3615,-0.2148,0.23,-0.5138,-0.5882,2.6733,3.7368,1.398,2.0437,1.8083,29.0867,5.9259,25.1063,8.4452,8.58,0.6083,0.3193,0.7413,0.5189,0.2958,2.9224,1.0224,1.0394,1.1372,3.7151,3.2635,3.7588,3.8617,10.1707,2.0531,2.0312,2.014,2.0625,2.0099,6.3015,12.5541,4.2579,4.1955,4.1008,9.7828,1.9822,1.9846,1.9773,1.8999,1.9389,1.5037,1.6343,1.4935,0.3744,0.0593,0.0539,1.5498,1.5692,1.5685,0.3745,0.0788,0.059,-126.21,20.8
LIQMEF,80.69,4.54,171.04,1.7,12.65,8.36,31,24.4,16.9,840.83,-3.0235,-2.2933,2.2,2.11,-0.19,-0.12,2.65,2.1,2.24,75.05,0.3746,-0.2064,0.2023,-0.547,-0.5727,2.5704,3.8574,1.3093,2.0299,2.0024,28.9471,5.9465,25.1355,8.3958,8.3621,0.5158,0.4313,0.7813,0.2548,0.296,2.9201,1.0536,1.0382,1.1007,3.7332,3.4785,3.7734,3.6566,10.1559,2.0367,2.0469,2.0266,2.0299,2.0159,6.3057,12.5458,4.232,4.1967,4.1171,9.7739,2.0201,1.9793,1.9847,1.9039,1.8859,1.4369,1.4846,1.7192,0.3856,0.0435,0.059,1.5178,1.503,1.6196,0.4205,0.0478,0.0538,-133.97,15.2
ESASUO,74.72,4.44,169.47,1.1,7.8,8.5,27.9,19.5,13.8,642.12,-2.5983,-1.737,2.02,2.17,-0.07,-0.12,2.61,2.33,2.19,70.6,0.2482,-0.2251,0.1697,-0.3676,-0.6755,2.5034,3.7204,1.3357,2.7235,1.9644,28.9744,5.9125,25.1776,7.5879,8.4799,0.5091,0.2257,0.7502,0.5211,0.2962,2.9306,1.0563,1.0458,1.1015,3.7112,3.4859,3.7923,3.6506,10.1902,2.0417,2.0538,2.0263,2.0419,2.0265,6.3504,12.6046,4.2668,4.1987,4.139,9.7969,1.9913,1.9989,1.9569,1.9012,1.9486,1.5516,1.329,1.1321,0.0823,0.0088,0.0108,1.5582,1.4394,1.731,0.4087,0.0387,0.054,-141.01,25
YIFNOR,61.86,-2.53,170.17,2.51,6.32,9.02,33.2,23.5,15.2,614.41,-4.7794,-2.9389,2,2.24,-0.05,0.18,2.56,1.95,2.42,70.74,0.3952,-0.1772,0.1397,-0.5992,-0.5898,2.7143,3.7956,1.3084,1.9224,1.7905,29.0034,5.8499,25.1154,8.4711,8.4771,0.7066,0.5169,0.5424,0.5008,0.2964,2.9182,1.0647,1.0288,1.0727,3.7758,3.6653,3.7163,3.5771,10.1257,2.0274,2.0278,2.032,2.0171,2.0215,6.2997,12.5738,4.1911,4.2142,4.1685,9.7312,1.9641,2.0094,1.9304,1.9353,1.892,1.5013,1.6784,1.5082,0.3894,0.0854,0.082,1.6308,1.4811,1.5819,0.3544,0.0615,0.052,-124.79,8.4
WIHFID,58.66,-9.02,144.86,2.13,6.68,8.7,23.6,18.3,12.8,606.23,-2.7168,-1.8094,2.22,2.23,0.69,-0.33,2.61,2.29,2.18,71.45,0.3466,-0.2169,0.2775,-0.7286,-0.5602,2.3422,3.6597,1.3577,1.8354,1.9868,28.9923,5.8681,25.1414,8.6113,8.475,0.5187,0.2205,0.7936,0.3293,0.297,2.9262,1.0415,1.0321,1.1246,3.6991,3.6295,3.448,3.762,10.184,2.0512,2.0295,2.0321,2.0399,2.0313,6.3472,12.5037,4.2217,4.1699,4.1121,9.8025,1.9118,1.9902,1.9762,1.9634,1.9609,1.5919,1.6889,1.4718,0.44,0.0918,0.0481,1.5609,1.4915,1.635,0.3385,0.0478,0.0519,-131.56,28.3
CEJSOA,74.63,5.31,206.31,3.05,7.06,8.85,36.1,29.2,18.3,655.46,-3.2545,-2.363,2.16,2.24,-0.16,-0.17,2.62,2,2.28,75.42,0.2876,-0.216,0.1683,-0.6931,-0.0711,2.766,3.8387,1.345,1.9649,3.0718,28.9746,6.0098,25.1062,8.5494,7.0852,0.5569,0.4744,0.7689,0.3366,0.297,2.9211,1.1071,1.0731,1.0216,3.7427,3.8086,3.8338,3.2856,10.161,2.0132,2.0575,2.032,2.0172,2.0411,6.3153,12.6309,4.2827,4.1623,4.1858,9.7661,1.908,1.9941,2.0133,1.8839,1.9668,1.5347,1.5566,1.623,0.4535,0.0746,0.0802,1.294,1.1761,1.3133,0.112,0.0192,0.0194,-89.07,16.9
NATSIN,80.35,1.1,185.21,1.67,8.52,8.51,33.1,23.7,13.5,654.2,-3.4229,-2.4499,1.99,2.22,0.11,-0.24,2.55,2.02,2.31,71.9,0.1878,-0.1938,0.1265,-0.1371,-0.0793,2.9226,3.7739,1.3382,3.1999,2.9548,29.0785,5.8717,25.132,7.0107,6.9213,0.631,0.4294,0.6395,0.4345,0.297,2.9211,1.0119,1.0592,1.1081,3.7473,3.3658,3.8213,3.7821,10.1569,2.0417,2.0396,2.0175,2.045,2.0132,6.3512,12.6804,4.2879,4.2352,4.1574,9.7806,2.0225,2.0027,1.9648,1.8573,1.9334,1.2783,1.3812,1.2197,0.0901,0.0157,0.0096,1.1912,1.3637,1.2025,0.123,0.0227,0.0139,-127.41,21
HILVAA,76.12,2.98,221.48,4.12,7.67,7.75,35.4,29.8,21.3,732.72,-2.9722,-2.4021,2.16,2.22,-0.12,-0.11,2.64,2.06,2.24,75.43,0.3089,-0.2277,0.1723,-0.0168,-0.6161,2.7556,3.8621,1.3553,3.0362,1.9981,29.023,6.0829,25.1207,6.9482,8.4452,0.5336,0.4253,0.7997,0.3488,0.2972,2.9243,1.0862,1.0893,1.0356,3.7324,3.7419,3.8384,3.3437,10.1712,2.015,2.071,2.0298,2.0199,2.0355,6.3162,12.6085,4.2767,4.1478,4.184,9.7664,1.9301,1.9996,2.011,1.851,1.9747,1.2125,1.1966,1.3347,0.1145,0.0197,0.0142,1.4951,1.5565,1.6088,0.4294,0.0697,0.0674,-97.16,17.7
IKATIY,58.86,-9.12,145.28,2.44,6,10.57,23.6,17,11.2,621.21,-2.7124,-1.8605,2.21,2.23,0.68,-0.33,2.6,2.31,2.19,70.52,0.3416,-0.2128,0.2542,-0.7161,-0.5564,2.3383,3.6643,1.3612,1.8394,1.9555,28.9744,5.8796,25.1554,8.6375,8.4878,0.5314,0.2184,0.775,0.3284,0.2974,2.9276,1.0443,1.027,1.1221,3.7034,3.6737,3.4082,3.7771,10.1834,2.0478,2.0277,2.0322,2.0386,2.037,6.3475,12.5112,4.2165,4.1744,4.1202,9.7997,1.9006,1.9947,1.965,1.9687,1.9707,1.5807,1.7041,1.4722,0.4224,0.0957,0.0507,1.5575,1.4868,1.6451,0.3297,0.0465,0.0424,-129.72,27.4
QIRNAI,79.17,1.99,211.73,3.41,9.18,9.35,34.6,28.3,21.3,783.16,-3.2259,-2.4139,2.14,2.18,-0.14,-0.06,2.62,2.04,2.26,74.99,0.2829,-0.2251,0.1755,-0.0105,-0.5146,2.7639,3.7765,1.3648,2.9819,1.9832,29.0131,6.0095,25.1054,6.9134,8.4036,0.561,0.4029,0.7652,0.3174,0.2976,2.9246,1.1017,1.0559,1.0509,3.7365,3.7874,3.738,3.3956,10.1669,2.0214,2.0524,2.0348,2.0182,2.0403,6.313,12.6245,4.2713,4.1708,4.1824,9.7796,1.9098,2.0029,2.0038,1.8946,1.9685,1.2741,1.3544,1.0922,0.1159,0.0218,0.016,1.4694,1.5162,1.6269,0.3885,0.0527,0.0582,-100.07,13.6
VIPPIU,87.76,9.12,180.44,4.47,11.4,10.3,36.4,31.3,21.5,907.32,-2.5874,-1.5257,2.06,2.15,-0.14,-0.15,2.63,2.25,2.18,72.75,0.3689,-0.216,0.2335,-0.8584,-0.5141,2.6011,3.7196,1.2909,1.6152,1.9097,29.0022,5.8807,25.1791,8.4889,8.4322,0.4796,0.2465,0.8044,0.4748,0.2976,2.9257,1.0615,1.0372,1.0984,3.7038,3.4981,3.7739,3.602,10.1886,2.0416,2.051,2.0348,2.0364,2.0248,6.3068,12.5418,4.2544,4.1539,4.1335,9.7825,1.9974,1.9826,1.9672,1.8992,1.9361,1.6861,1.4403,1.6536,0.5247,0.0686,0.1075,1.5058,1.4409,1.6704,0.3973,0.0644,0.0634,-145.7,23.4
ATMHYD,78.27,6.62,169.65,1.6,6.09,8.49,28.5,20.7,13.8,595.98,-3.2311,-2.2213,2.13,2.12,-0.17,-0.07,2.55,2.09,2.26,71.73,0.3563,-0.1967,0.2043,-0.5532,-0.5782,2.7112,3.7435,1.3652,2.0013,2.017,29.0164,5.8746,25.1089,8.3602,8.4462,0.6408,0.3932,0.6983,0.2982,0.2978,2.9205,1.0306,1.041,1.1113,3.7292,3.3755,3.7813,3.7554,10.1542,2.0373,2.0416,2.017,2.0442,2.014,6.307,12.5669,4.2576,4.1942,4.1151,9.7698,1.986,1.9913,1.9615,1.896,1.9349,1.4324,1.4688,1.7261,0.4119,0.0453,0.0587,1.5301,1.4541,1.6929,0.3951,0.029,0.0579,-103.13,12
YERRUI,78.35,1.93,185.65,2.14,10,12.67,32.8,24.2,17.2,843.02,-3.2066,-2.229,1.98,2.15,0.03,-0.12,2.58,2.1,2.23,72.98,0.2671,-0.2082,0.2032,-0.0962,-0.5676,2.8154,3.8645,1.3723,3.1804,2.0351,29.0859,5.9648,25.103,6.9462,8.4164,0.5823,0.3902,0.7478,0.4348,0.2981,2.9204,1.0269,1.069,1.0982,3.7234,3.323,3.8146,3.7681,10.1677,2.0372,2.0471,2.0126,2.0522,2.0187,6.3165,12.6289,4.2736,4.1982,4.157,9.7875,2.0097,1.9958,1.9363,1.878,1.9677,1.2562,1.3222,1.2747,0.0931,0.017,0.0092,1.4891,1.4821,1.6635,0.4241,0.0518,0.0588,-83.29,19.3
BILSAQ,80.44,10.07,174.69,1.7,8.76,16.64,31,25.9,18.5,941.13,-3.1134,-2.7675,2.14,2.11,-0.19,-0.15,2.59,2.03,2.31,72.91,0.37,-0.1843,0.1449,-0.5783,-0.5379,2.8007,3.8293,1.3097,1.9994,2.0401,29.0285,5.8869,25.1553,8.352,8.331,0.6146,0.479,0.6578,0.3083,0.2985,2.9177,1.0101,1.0378,1.1251,3.7493,3.3458,3.7948,3.8176,10.1476,2.0433,2.0344,2.015,2.0461,2.0089,6.3012,12.5835,4.2569,4.2082,4.1184,9.7454,2.0293,1.9919,1.9784,1.851,1.8947,1.4373,1.5082,1.6844,0.4351,0.0528,0.0599,1.4023,1.4869,1.7172,0.4237,0.0309,0.0572,-146.4,17.7
LILVAG,78.86,1.26,176.26,1.82,7.54,9.95,30.3,22.4,13.4,679.61,-2.7277,-1.7701,1.95,2.2,0.02,-0.15,2.61,2.33,2.19,70.55,0.1735,-0.2191,0.1924,-0.3669,-0.1054,2.6139,3.6185,1.3585,3.1028,2.8804,28.9814,5.8501,25.1335,7.448,7.0321,0.4983,0.1777,0.8055,0.4938,0.2987,2.9301,1.0294,1.0344,1.1341,3.7114,3.2677,3.7852,3.8547,10.1887,2.0517,2.034,2.0178,2.0701,2.0151,6.3654,12.6464,4.2853,4.1989,4.1622,9.8148,1.9853,2.001,1.967,1.8916,1.9697,1.377,1.4161,1.2589,0.0672,0.0059,0.0074,1.2864,1.2245,1.2775,0.1165,0.0184,0.0133,-145.81,26
MOTCII,81,0.45,205.96,2.15,9.81,9.12,35,28.1,17.8,713.9,-3.5478,-2.6913,2.01,2.26,0.12,-0.27,2.55,1.99,2.38,70.7,0.3028,-0.1894,0.1265,-0.5423,-0.0471,2.9697,3.6889,1.3152,2.0363,2.9452,29.1352,5.737,25.1457,8.3662,7.0376,0.6909,0.438,0.5695,0.4023,0.2988,2.9217,1.1002,1.0624,1.0127,3.7613,3.7116,3.7984,3.4617,10.1406,2.0213,2.0441,2.0295,2.0151,2.0306,6.3165,12.6301,4.236,4.2222,4.1719,9.7507,1.9804,2.0014,1.9594,1.901,1.9086,1.4851,1.4963,1.6383,0.4275,0.0512,0.0607,1.2388,1.414,1.0791,0.1139,0.0233,0.0125,-159.6,23.4
OYUKAW,81.26,2.58,180.25,1.8,7.88,8.81,29.6,22,13.1,654.91,-2.8848,-2.5162,2.04,2.23,0.02,-0.2,2.6,2.17,2.2,73.06,0.2925,-0.2213,0.2147,-0.6032,-0.1517,2.6372,3.5966,1.366,1.984,2.7881,29.0207,5.8618,25.104,8.4632,7.2196,0.5526,0.2996,0.8009,0.4299,0.2989,2.9221,1.0236,1.0301,1.1519,3.7155,3.193,3.7814,3.9218,10.1735,2.055,2.0228,2.0127,2.073,2.0101,6.3197,12.5723,4.2624,4.182,4.128,9.8155,1.9872,1.999,1.9865,1.8972,1.9456,1.5329,1.4962,1.6604,0.3874,0.0428,0.0491,1.3958,1.3008,1.1315,0.1077,0.0162,0.0126,-88.92,25.1
EMAWUL,82.52,11.83,178.68,1.55,10.19,13.38,29.6,20.2,11.4,752.46,-3.3881,-3.1275,1.94,2.16,-0.04,-0.25,2.57,2.06,2.27,72.48,0.3743,-0.1967,0.1869,-0.6408,-0.5885,2.927,3.7584,1.3425,2.0142,1.9946,29.0815,5.8766,25.1243,8.4073,8.3476,0.6296,0.4175,0.6905,0.547,0.2989,2.9205,1.0166,1.0378,1.1283,3.7347,3.3303,3.7549,3.8409,10.1524,2.0369,2.031,2.014,2.0558,2.0148,6.2881,12.5956,4.2532,4.2189,4.1236,9.742,1.8863,1.9988,1.9629,1.9399,1.954,1.5017,1.4565,1.7444,0.436,0.0292,0.0658,1.4185,1.4906,1.7432,0.4127,0.0367,0.0582,-134.39,18.6
XOKXUS,60.22,2.05,149.19,2.23,7.51,9.02,24.3,18.5,14.3,690.03,-2.5366,-1.6088,2.13,2.24,0,-0.16,2.58,2.47,2.18,67.01,0.3224,-0.2147,0.256,-0.6165,-0.5705,2.3244,3.5872,1.4148,1.8666,1.9365,28.9941,5.8399,25.1606,8.5451,8.4984,0.5648,0.1264,0.7628,0.4028,0.2993,2.9314,1.0209,1.0506,1.122,3.6963,3.2696,3.7115,3.8703,10.1962,2.0663,2.0342,2.0149,2.066,2.0148,6.3498,12.5196,4.2346,4.1655,4.1194,9.8083,1.9749,1.9579,1.984,1.9273,1.9642,1.5833,1.6448,1.4812,0.3806,0.0691,0.057,1.5131,1.5513,1.636,0.3285,0.0569,0.0443,-76.72,24.7
QOQVAT,81.04,-0.43,183.07,1.79,7.64,7.45,30,22.3,15,638.83,-3.3397,-2.6988,2,2.19,0.13,-0.19,2.55,1.98,2.32,72.31,0.2986,-0.1898,0.1133,-0.5408,-0.1358,2.9224,3.6878,1.3018,2.0017,3.098,29.0993,5.8242,25.1641,8.3866,7.034,0.6613,0.4563,0.5929,0.4213,0.2993,2.9171,0.9984,1.0524,1.1263,3.7478,3.3173,3.8143,3.8546,10.1527,2.0433,2.0315,2.0145,2.0542,2.0092,6.3101,12.6274,4.2696,4.2147,4.1431,9.7639,2.0034,1.9984,1.9818,1.857,1.9234,1.5055,1.4899,1.6272,0.423,0.0496,0.0576,1.2809,1.3492,1.2359,0.0885,0.015,0.01,-124.86,24.1
CBOHAZ,75.33,3.47,161,2.19,4.3,7.85,26.7,15.3,7.3,514.47,-2.7309,-1.7465,2.35,2.17,-0.11,-0.15,2.66,2.31,2.17,72.84,0.2832,-0.2213,0.2545,-0.3442,-0.6762,2.1908,3.8394,1.3528,2.7337,1.9919,28.8382,6.0111,25.097,7.62,8.5328,0.45,0.3066,0.878,0.1772,0.2994,2.9241,1.0545,1.0284,1.1214,3.7077,3.4745,3.6785,3.7084,10.1764,2.0478,2.0407,2.0304,2.0396,2.018,6.3462,12.5413,4.2569,4.1676,4.1167,9.8292,2.0132,1.9982,1.9785,1.9051,1.9343,1.2388,1.6579,1.128,0.0823,0.0273,0.0164,1.582,1.4678,1.6967,0.4037,0.0562,0.0656,-152.3,18.2
