Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
BAPPOZ,99.5,204.41,3.75,14.05,8.36,38.9,31.2,22.5,834.04,-3.2811,-2.0524,1.97,1.87,1.91,0.4644,-0.2383,-0.5945,-0.8888,2.1527,2.9069,2.0265,1.8048,28.7381,7.2638,8.4291,8.5683,0.6408,0.484,0.6046,3.1662,3.9916,1.2971,1.2825,1.412,6.3512,12.4577,4.1384,4.1328,4.1866,9.7266,1.9793,1.9086,1.9814,1.982,1.8753,3.5131,4.6495,1.653,1.5303,1.4661,0.4319,0.0882,0.0644,0.1033,0.0775,0.0985,3.5397,4.8744,1.7637,1.5516,1.5592,0.4747,0.0927,0.0896,0.1135,0.0543,0.1245,22.5
BAPPUF,95.03,194.69,2.03,13.79,13.33,32.3,21.3,13.4,807.07,-2.7762,-2.3478,2.07,1.92,1.91,0.3637,-0.2429,-0.5077,-0.8875,1.8517,2.9005,2.1019,1.773,28.8532,7.2723,8.4662,8.5526,0.6313,0.331,0.6454,3.1671,3.9938,1.2082,1.3597,1.4259,6.4094,12.4457,4.0726,4.226,4.147,9.7811,1.9422,1.969,1.9689,1.9547,1.9463,3.507,4.6319,1.4815,1.631,1.5194,0.3688,0.0814,0.082,0.0559,0.0833,0.0662,3.5745,4.9236,1.7684,1.6076,1.5477,0.3894,0.0491,0.0779,0.1028,0.0464,0.1131,25.1
BAPRAM,76.3,187.95,1.84,7.09,5.69,34.5,27.7,16.2,516.54,-3.562,-2.18,1.91,2.3,1.99,0.4768,-0.2274,-0.6625,-0.3399,1.9707,2.9124,2.0939,2.9256,28.7077,7.2413,8.5538,7.6501,0.4882,0.4794,0.1613,3.1804,3.9661,1.3445,1.2825,1.3392,6.2916,12.4057,4.1794,4.1386,4.0877,9.8259,1.9405,1.9574,1.9731,1.9767,1.9782,3.4959,4.7204,1.5002,1.566,1.6542,0.4462,0.0859,0.0558,0.1281,0.0753,0.1011,3.197,4.0815,1.4864,1.2353,1.3598,0.0613,0.0055,0.0132,0.0212,0.0094,0.012,-7.8
BARTIY,81.64,178.81,2,8.04,7.97,31.9,25.6,19.8,687.17,-3.0091,-2.0186,1.92,2.16,1.89,0.3575,-0.2532,-0.8517,-0.5377,1.754,2.92,1.7876,2.1109,28.8453,7.2771,8.5589,8.4302,0.6413,0.6332,0.2822,3.1644,4.0058,1.2399,1.3706,1.3953,6.4335,12.4226,4.0894,4.1651,4.1681,9.7863,1.9453,1.9324,1.9427,1.9744,1.9915,3.5485,4.8629,1.6246,1.5298,1.7084,0.4403,0.0874,0.0747,0.101,0.0841,0.0931,3.5299,4.6281,1.4452,1.6099,1.5729,0.3797,0.0761,0.0755,0.0834,0.0583,0.0865,20.2
BASBAY,87.02,222.27,2.75,8.13,8.37,39.3,29.4,19.4,573.79,-4.6242,-3.6984,2,1.91,1.92,0.4961,-0.1865,0.0072,-0.4772,2.7064,3.0206,3.1563,2.1591,28.8661,7.168,7.0686,8.4867,0.5727,0.5896,0.5546,3.1586,3.9454,1.257,1.297,1.3914,6.2479,12.5252,4.1837,4.1956,4.1459,9.7308,1.9923,1.959,1.9985,1.8693,1.9117,3.1555,3.7131,1.1634,1.3501,1.1996,0.1242,0.0234,0.0229,0.0311,0.0231,0.0238,3.486,4.6324,1.5685,1.495,1.5689,0.3587,0.0776,0.0595,0.0772,0.059,0.0854,20.2
BASMUF,89.69,191.8,3.13,8.13,9.48,39.7,29.3,21.1,663.2,-3.4868,-1.8842,2.2,1.93,2,0.4558,-0.2283,-0.4339,-0.574,2.1603,2.9115,2.1091,2.1581,28.8896,7.1724,8.402,8.4841,0.4523,0.2635,0.5541,3.1795,3.9675,1.2487,1.3713,1.3475,6.2487,12.4482,4.1799,4.1578,4.1105,9.8473,1.964,1.9852,1.9867,1.9414,1.9701,3.5073,4.5999,1.6063,1.5666,1.427,0.3266,0.0648,0.0571,0.0661,0.0676,0.0711,3.4862,4.6728,1.5083,1.5918,1.5728,0.415,0.0806,0.0593,0.0953,0.0723,0.1076,9.7
BAWBOT,62.79,172.3,3.55,7.16,7.8,30.1,27.1,21.3,643.21,-3.0971,-0.9732,2.1,2.08,1.86,0.3864,-0.2581,-0.5971,-0.5657,1.6755,2.9258,1.8608,1.9889,28.8775,7.3257,8.5476,8.5009,0.6801,0.4343,0.4773,3.1598,4.0139,1.3085,1.3724,1.333,6.4336,12.3634,4.1027,4.1596,4.1011,9.8167,1.9151,1.9692,1.9656,1.9757,1.9911,3.5321,4.7056,1.525,1.6892,1.4914,0.3594,0.0629,0.0841,0.0769,0.0516,0.0839,3.5333,4.7025,1.5916,1.4713,1.6395,0.3299,0.0709,0.0517,0.0792,0.0443,0.0838,25.8
BAWHIQ,92.97,194.75,2.16,9.04,9.64,30.1,20.6,13.6,633.8,-3.0766,-1.7162,1.97,1.95,1.93,0.3887,-0.2545,-0.5166,-0.6677,1.7049,2.9265,2.1399,2.0728,28.731,7.2746,8.5001,8.5561,0.6275,0.3966,0.472,3.1727,4.001,1.4151,1.3299,1.256,6.3565,12.4432,4.1343,4.1753,4.1336,9.8116,1.9164,1.9552,1.9863,1.9797,1.974,3.4892,4.6575,1.4935,1.5428,1.6212,0.3698,0.0785,0.0754,0.0699,0.0679,0.0781,3.5009,4.7388,1.5172,1.5686,1.653,0.428,0.0964,0.065,0.0966,0.0808,0.0892,24
BAWREW,62.38,154.83,2.06,8.68,9.52,24.1,15.1,9.2,557.42,-3.1537,-0.892,2.08,2.13,1.86,0.3779,-0.2586,-0.5707,-0.5912,1.6484,2.9228,1.9534,1.8933,28.8525,7.3282,8.5171,8.5232,0.6823,0.4491,0.3827,3.1602,4.0141,1.2587,1.3802,1.3752,6.4452,12.3587,4.1339,4.1364,4.0883,9.8182,1.9114,1.9748,1.9696,1.9731,1.9893,3.535,4.7212,1.5422,1.6659,1.5131,0.3145,0.0579,0.0754,0.0658,0.0503,0.0651,3.5377,4.7208,1.6215,1.4878,1.6115,0.3327,0.0738,0.0597,0.0793,0.0436,0.0764,16.4
BAWWOO,85.89,186.86,2.92,9.33,10.42,31.3,25.5,21.3,741.63,-4.1707,-3.0698,2.24,1.79,1.93,0.5155,-0.2005,-0.5656,-0.5112,2.4899,2.9986,2.0105,2.2709,28.8264,7.1431,8.4925,8.5101,0.5112,0.2717,0.728,3.1646,3.9527,1.2435,1.385,1.3243,6.2467,12.489,4.1837,4.1821,4.1231,9.7488,1.9547,1.9798,1.9581,1.8952,1.961,3.5454,4.69,1.5177,1.5057,1.6666,0.3302,0.071,0.0526,0.0694,0.0594,0.0777,3.4709,4.6131,1.4381,1.659,1.516,0.4271,0.0737,0.0866,0.0914,0.0933,0.0822,1.5
