Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
NUYYOX,79.99,191.87,23.1,-4.3827,2.1,1.98,0.281,-0.2681,0.1436,1.9479,2.9831,28.7643,7.3201,0.7065,0.3649,0.5747,3.1691,6.416,12.4901,4.1889,9.8129,1.9735,1.1966,1.3878,0.0916,0.0092,1.1366,33.8
FETXAE,84.71,185.89,17.5,-2.933,2,1.94,0.3833,-0.2506,-0.8567,1.9265,2.8984,28.7773,7.2842,0.6203,0.4283,0.5749,3.1673,6.3909,12.4576,4.1259,9.7682,1.9707,1.5635,1.6368,0.4088,0.0551,1.5237,19.2
VELZES01,81.23,226.23,27,-4.4247,2.03,2,0.4187,-0.2476,-0.0005,2.0505,2.9822,28.7286,7.2917,0.7179,0.4264,0.5752,3.1704,6.3724,12.4499,4.1725,9.7589,1.9767,1.5345,1.6457,0.3949,0.0801,1.4173,31.3
WEBYIN,92.75,188.62,24.8,-3.3746,2.22,1.95,0.2848,-0.2545,-0.386,1.7111,2.9139,28.8306,7.2894,0.6559,0.221,0.5753,3.1667,6.4567,12.4443,4.12,9.8142,1.8988,1.4874,1.6285,0.3745,0.0788,1.2,35.5
WEBYOT,92.98,188.85,24.8,-3.3674,2.22,1.95,0.2842,-0.255,-0.3868,1.7158,2.9154,28.8342,7.2842,0.6589,0.2191,0.5755,3.1671,6.4586,12.4448,4.1264,9.8124,1.9097,1.6581,1.5084,0.3727,0.0806,1.3771,32.9
TECDEL,94.02,236.51,41.9,-3.2844,1.99,2,0.2931,-0.2403,-0.2009,2.199,2.994,28.9413,7.1907,0.5919,0.4242,0.5757,3.1744,6.3689,12.5262,4.2223,9.8118,1.9846,1.62,1.5485,0.3804,0.0873,1.3995,36.3
GIDZIC10,101.66,196.73,27.8,-3.3003,2.26,1.91,0.3951,-0.2428,-0.8344,1.6705,2.93,28.7793,7.2526,0.6524,0.1886,0.5761,3.1637,6.4229,12.393,4.117,9.789,1.8917,1.5013,1.71,0.368,0.0623,1.6366,20.3
FAMYUO,103.52,203.28,35,-1.5269,1.98,2,0.3278,-0.2356,-0.8897,2.023,2.879,28.8935,7.2508,0.5768,0.5618,0.5762,3.168,6.3588,12.5031,4.1882,9.8104,1.9341,1.5398,1.6634,0.4798,0.0968,1.6,17.1
ZEVMIY,89.15,193.72,17.4,-2.2113,1.92,1.92,0.3717,-0.2432,-0.7529,2.0905,2.8722,28.8063,7.2925,0.6034,0.5828,0.5762,3.1637,6.3643,12.5021,4.1846,9.7619,1.9402,1.5137,1.7105,0.3897,0.0601,1.6537,22
ELORAB,80.78,212.2,31.6,-3.7459,2.17,1.98,0.3561,-0.2566,-0.1181,1.9354,2.9672,28.8071,7.2757,0.6765,0.2949,0.5766,3.1652,6.3919,12.4401,4.1916,9.8119,1.9845,1.5494,1.5888,0.359,0.0552,1.3602,27.2
BEJTAL,93.25,188.7,30.7,-3.1011,2.22,1.92,0.3937,-0.2465,-0.8985,1.6679,2.9319,28.7864,7.2759,0.6587,0.2234,0.5769,3.1632,6.4191,12.3996,4.1191,9.7875,1.8926,1.4992,1.7133,0.3727,0.0792,1.6686,43.1
HATPIC,92.69,201.45,32.5,-4.2805,2.08,1.87,0.5265,-0.2141,-0.6329,2.1686,3.0853,28.8157,7.1757,0.7237,0.3743,0.5769,3.1604,6.2954,12.4139,4.1004,9.7641,1.9175,1.5152,1.5798,0.3967,0.0581,1.7388,3.3
CITXOS10,89.71,209.11,30.7,-2.2792,1.93,1.92,0.3958,-0.2387,-0.8179,2.1987,2.9053,28.8098,7.2645,0.6145,0.5714,0.5773,3.169,6.3647,12.5017,4.1926,9.7378,1.9202,1.5803,1.6386,0.4126,0.0708,1.5894,4.5
DUPCEX,88,188.06,25,-3.3097,2.06,1.91,0.4281,-0.2494,-0.7238,1.8509,2.9101,28.7863,7.2969,0.6604,0.3507,0.578,3.1659,6.3729,12.4124,4.1449,9.7866,1.9452,1.4792,1.7468,0.3748,0.0851,1.5949,17.4
VULTAY,83.76,226.27,33.5,-4.2049,2.07,1.94,0.3365,-0.2409,-0.1259,2.1332,3.0142,28.777,7.2704,0.7113,0.3781,0.5784,3.1634,6.4063,12.4883,4.159,9.7688,1.9283,1.4099,1.2503,0.0906,0.017,1.2205,25.9
IZASOS,81.93,245.53,32.5,-3.6765,1.99,1.93,0.3275,-0.2536,-0.1401,2.2957,2.9506,28.8059,7.2792,0.6876,0.5667,0.5784,3.1614,6.3991,12.5191,4.204,9.7544,1.9601,1.4223,1.1436,0.1199,0.0235,1.1716,12.2
SUMVIG,79.83,174.67,21.4,-4.0712,2.29,1.93,0.3453,-0.2644,-0.0342,1.7613,2.963,28.7789,7.3136,0.7187,0.195,0.5786,3.165,6.4428,12.4114,4.1807,9.8004,1.9899,1.5279,1.6249,0.3333,0.0522,1.2937,26.7
PUSZAF,85.49,182.64,28.2,-3.7201,2.3,1.84,0.478,-0.2117,-0.531,2.2047,2.97,28.8052,7.1463,0.4802,0.2256,0.5788,3.1699,6.2567,12.4593,4.1177,9.806,1.9498,1.6505,1.5232,0.3249,0.08,1.4786,-1.7
HELCUW,94.32,192.81,30.5,-2.8607,2.15,1.95,0.2958,-0.2558,-0.7664,1.6827,2.9282,28.7869,7.2862,0.6387,0.2683,0.5789,3.1673,6.4047,12.4623,4.1814,9.8373,1.913,1.5616,1.2596,0.0823,0.0137,1.59,15.6
ENHCIT,85.3,183.95,22.9,-2.1863,2.08,1.94,0.3392,-0.249,-0.8481,1.7772,2.8977,28.8469,7.2894,0.6249,0.3941,0.5789,3.166,6.416,12.4508,4.1762,9.794,1.8878,1.6687,1.5084,0.3525,0.0777,1.4956,28.2
JESJIB,84.14,184.66,21.6,-4.5069,1.97,2.02,0.4897,-0.2004,0.2033,2.5442,3.0044,28.8135,7.2088,0.5673,0.4347,0.5792,3.1658,6.2566,12.5005,4.1616,9.7533,1.9972,1.4805,1.672,0.3841,0.0595,1.14,8.6
YOKJOY,81.27,207.79,27.3,-4.6863,2,1.95,0.3595,-0.2556,-0.0578,2.3034,3.0003,28.7495,7.3262,0.7493,0.5326,0.5792,3.1721,6.3959,12.5151,4.2382,9.7295,1.9017,1.3964,1.1169,0.1135,0.0309,1.1321,25.2
XBPINO,81.57,213.68,32.1,-2.9568,2.28,1.94,0.486,-0.2262,-0.7314,2.0825,2.9347,28.8294,7.2434,0.6798,0.2488,0.5797,3.1582,6.3383,12.4188,4.1673,9.7569,1.9545,1.6115,1.5215,0.3216,0.0597,1.4858,23.8
QECLAL,90.72,192.95,22.3,-3.1585,2.01,1.94,0.2724,-0.2556,-0.3932,1.8745,2.8976,28.8498,7.291,0.6299,0.3892,0.5801,3.1715,6.4364,12.4901,4.2125,9.8011,1.9742,1.6713,1.5257,0.4072,0.0886,1.4257,28.8
THYPTR10,79.69,173.44,25.4,-3.3274,2.28,1.93,0.3833,-0.2508,-0.8413,1.6421,2.9699,28.8201,7.2715,0.6862,0.2188,0.5802,3.16,6.4306,12.3908,4.0883,9.7952,1.9252,1.6302,1.5605,0.3369,0.0578,1.4129,22.6
