Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
PUSZIN,83.01,175.62,22.5,-4.0334,2.14,2.07,0.425,-0.259,-0.5054,1.5788,2.9378,28.7339,7.3254,0.7153,0.322,0.3848,3.1641,6.3849,12.3641,4.1245,9.826,1.9561,1.6259,1.5456,0.3371,0.0744,1.4947,17.6
BUCQEV,63.41,157.71,13.2,-3.063,2.04,2.11,0.381,-0.2588,-0.5943,1.6938,2.9193,28.8388,7.3272,0.676,0.4809,0.385,3.1612,6.4372,12.37,4.1631,9.8117,1.9625,1.4563,1.5788,0.322,0.037,1.702,16.2
SUVCET,82.49,182.51,20.9,-4.3663,1.92,2.06,0.5286,-0.2348,-0.5566,2.0315,2.9962,28.6494,7.3069,0.7354,0.571,0.3856,3.1682,6.3342,12.4175,4.1485,9.7197,1.9667,1.6384,1.5618,0.3787,0.0602,1.4811,11.2
YIBGOF,79.88,193.06,22.8,-4.132,1.96,2.1,0.3835,-0.241,0.2197,1.8583,3.0381,28.7595,7.2898,0.7128,0.5242,0.3857,3.1608,6.3932,12.4328,4.1551,9.7906,1.9766,1.6343,1.5463,0.3965,0.0854,1.0741,7.8
ROGVAN,80.21,224.47,34,-3.6918,1.98,2.11,0.2507,-0.2585,-0.071,1.979,2.9866,28.8423,7.2873,0.6772,0.5397,0.3859,3.1666,6.4434,12.4837,4.1213,9.8223,1.9509,1.1637,1.3468,0.1151,0.0119,1.4895,39.2
VIRDOP,80.39,231.72,32.8,-3.2687,1.96,2.13,0.2579,-0.259,0.1506,1.9307,2.9453,28.8411,7.2972,0.6664,0.5564,0.3862,3.1659,6.4324,12.4848,4.195,9.825,1.949,1.186,1.39,0.0831,0.0088,1.2847,-1.1
UTAQEN,82.52,202.28,26.3,-3.3454,1.99,2.04,0.1907,-0.2673,-0.1231,1.8603,2.9478,28.8469,7.3048,0.6577,0.5199,0.3864,3.1692,6.4478,12.5244,4.1943,9.8371,1.9367,1.205,1.3497,0.086,0.0127,1.4288,26.4
XAVLUC,62.75,155.8,14.1,-3.2042,2.07,2.12,0.3882,-0.2582,-0.5791,1.6564,2.9195,28.8293,7.3265,0.68,0.4468,0.387,3.1605,6.4367,12.3585,4.1502,9.8165,1.9747,1.4779,1.6216,0.3336,0.0552,1.6814,22.1
XOTCUG,62.99,211.16,27.3,-3.2774,2.1,2.08,0.4113,-0.2495,-0.5711,1.6693,2.9371,28.8402,7.2809,0.679,0.4474,0.387,3.1593,6.4193,12.355,4.159,9.8143,1.9831,1.6662,1.5155,0.3182,0.0729,1.497,13.7
XUFXEC,95.57,196.6,25.3,-2.9226,1.91,2.04,0.3848,-0.2445,-0.5822,1.9526,2.9022,28.8583,7.2559,0.6357,0.647,0.3871,3.1668,6.399,12.4483,4.1223,9.7679,1.9228,1.5976,1.7118,0.4174,0.0978,1.5345,21.1
XEXMUI,62.52,155.28,17.2,-3.1261,2.07,2.13,0.3806,-0.2585,-0.5807,1.648,2.9172,28.8514,7.3233,0.6767,0.4571,0.3872,3.1608,6.4432,12.3589,4.157,9.8173,1.9627,1.469,1.6218,0.3343,0.0496,1.6895,16.5
LAXXIU,80.68,177.94,24.5,-4.1739,2.05,2.01,0.4792,-0.2515,-0.5233,1.7597,2.9695,28.6303,7.3154,0.7222,0.3631,0.3873,3.1661,6.3559,12.3919,4.1445,9.773,1.977,1.6569,1.5285,0.3978,0.081,1.5019,8.8
TIDDOA,62.63,158.68,20.9,-3.137,2.06,2.13,0.3825,-0.2588,-0.5833,1.657,2.9281,28.8698,7.3288,0.6851,0.5009,0.3876,3.1597,6.4388,12.362,4.1701,9.8167,1.9826,1.5539,1.5061,0.3225,0.0683,1.5971,16.6
VAWMUD,96.43,198.26,26.4,-2.6702,1.96,2.04,0.3909,-0.2405,-0.5142,1.8899,2.9692,28.8336,7.2717,0.6303,0.6062,0.3876,3.1675,6.3472,12.449,4.1316,9.813,1.9608,1.4773,1.6492,0.4017,0.0478,1.6253,16.8
MENBUD,79.82,222.76,28.1,-3.7099,2,2.11,0.3773,-0.249,-0.041,1.8503,2.9592,28.7442,7.2974,0.6989,0.4564,0.3877,3.1614,6.3804,12.4276,4.1606,9.8148,1.9695,1.5016,1.632,0.4133,0.0685,1.4619,26.1
FETZAG,80.46,223.01,27.8,-3.7975,1.97,2.1,0.3712,-0.2551,-0.0686,1.8522,2.9619,28.7297,7.2892,0.691,0.4748,0.3877,3.1616,6.3916,12.4328,4.1716,9.8044,1.9554,1.508,1.7062,0.4123,0.0879,1.268,22.1
YOWYOY,85.95,183.44,21.4,-3.6786,2.02,2.02,0.4553,-0.2487,-0.4978,1.7327,2.964,28.7198,7.3124,0.695,0.395,0.3878,3.1651,6.3469,12.3913,4.153,9.8065,1.9724,1.5604,1.5571,0.3522,0.0495,1.5995,13.6
TIGYUE,80.33,204.3,25.2,-3.9324,2.02,2.05,0.2594,-0.2692,-0.1146,1.8438,2.9734,28.7496,7.3113,0.6945,0.4467,0.3879,3.1698,6.4284,12.493,4.1874,9.8192,1.9725,1.4112,1.2045,0.092,0.0199,1.2013,24.2
EBANAZ01,63.11,156.93,14.1,-3.128,2.05,2.12,0.3847,-0.2585,-0.574,1.6724,2.9222,28.8382,7.3295,0.6794,0.4665,0.3879,3.1611,6.4353,12.364,4.1706,9.816,1.9769,1.6971,1.5156,0.3373,0.0716,1.4671,20.2
KDECEO,62.89,156.15,13.1,-3.1157,2.07,2.11,0.3791,-0.2586,-0.5968,1.6592,2.9178,28.8341,7.3289,0.6754,0.4516,0.3883,3.1605,6.4417,12.3641,4.1295,9.8151,1.9817,1.6448,1.5009,0.3176,0.0782,1.5119,16.6
NICCEH,78.56,209.58,27.2,-3.5835,2.1,2.09,0.3493,-0.2557,-0.5949,1.7182,2.9772,28.7631,7.3066,0.6823,0.4099,0.3884,3.1648,6.4013,12.4127,4.1293,9.8367,1.9782,1.4399,1.1069,0.1171,0.0312,1.5112,12.8
PEFFOX,62.95,156.48,14.1,-3.1696,2.06,2.12,0.3868,-0.258,-0.5796,1.6684,2.919,28.8327,7.3251,0.6791,0.4584,0.3884,3.1602,6.4368,12.3617,4.1554,9.8147,1.9784,1.4825,1.6146,0.3351,0.0565,1.6798,15.1
XISVEB,62.52,162.05,21.2,-3.1698,2.08,2.12,0.3874,-0.2582,-0.5791,1.6719,2.9237,28.8503,7.3259,0.6772,0.4553,0.3887,3.16,6.4372,12.3591,4.1139,9.8163,1.9809,1.6547,1.5454,0.3207,0.0586,1.4859,16.9
XIPWEA,88.93,223.96,33.3,-4.2128,1.86,2.15,0.4729,-0.1949,-0.0517,2.6928,3.0356,28.9291,7.1805,0.571,0.7591,0.389,3.1626,6.2446,12.5313,4.1933,9.7513,1.9943,1.7098,1.4743,0.3915,0.0806,1.1941,-1.8
SEWCAA,62.84,156.16,15,-3.1632,2.05,2.13,0.386,-0.2587,-0.5692,1.6793,2.9259,28.8541,7.3306,0.6813,0.4701,0.3892,3.1603,6.4402,12.3614,4.1637,9.8124,1.9722,1.673,1.5157,0.3338,0.0763,1.4664,15.3
JODKOD,62.7,170.28,20.2,-3.2341,2.08,2.11,0.3925,-0.2583,-0.5862,1.6578,2.924,28.8324,7.3223,0.6778,0.4268,0.3895,3.1606,6.434,12.3584,4.1208,9.8152,1.9606,1.5233,1.6676,0.3224,0.0623,1.6164,15.9
RAXDAW,81.34,222.42,27.2,-3.8329,1.97,2.11,0.3774,-0.2523,-0.076,1.8754,2.9806,28.7414,7.2709,0.6933,0.4912,0.3895,3.1616,6.3859,12.431,4.1522,9.8057,1.9506,1.4982,1.6298,0.3781,0.0537,1.4304,22.3
FASDOS,85.82,183.51,21.9,-3.9025,2,2.04,0.4816,-0.233,-0.456,1.8486,3.0268,28.7373,7.2405,0.7035,0.4156,0.3896,3.1641,6.3076,12.4011,4.1657,9.8097,1.9783,1.5248,1.5048,0.3749,0.0589,1.584,13.9
VIFBUK,81.23,187.55,29.1,-4.221,2.01,2.04,0.4353,-0.2539,-0.5087,1.9615,2.9851,28.7119,7.3121,0.7196,0.5295,0.3896,3.1658,6.3681,12.4254,4.1832,9.7711,1.9745,1.1538,1.0667,0.1354,0.0224,1.5052,20.3
COSFAU,79.87,193.63,23.9,-3.8754,2.02,2.07,0.2242,-0.2687,-0.1288,1.818,2.9554,28.7888,7.3088,0.6759,0.4706,0.3897,3.1687,6.4369,12.5003,4.1797,9.8385,1.9733,1.2858,1.1703,0.1183,0.0238,1.2045,25.5
ISURET,62.8,156.58,15.6,-3.2818,2.03,2.13,0.396,-0.2584,-0.6213,1.6873,2.9259,28.8508,7.3274,0.6868,0.4861,0.3899,3.1606,6.4323,12.3594,4.1587,9.8123,1.9805,1.6743,1.5128,0.3453,0.076,1.4805,15.6
PALQUQ,81.49,221.05,34.8,-3.6989,2.06,2.07,0.3865,-0.2363,-0.1329,1.7781,3.0385,28.7515,7.2319,0.6874,0.3568,0.3904,3.1604,6.361,12.4203,4.1116,9.8323,1.9968,1.5299,1.5952,0.3654,0.0698,1.4051,27.5
EROGAU,81.2,190.57,21.2,-3.9763,1.99,2.06,0.3699,-0.2595,-0.0814,1.8377,2.9743,28.7196,7.3245,0.7065,0.45,0.3909,3.1657,6.3895,12.4438,4.16,9.7968,1.9624,1.6549,1.5435,0.3944,0.0801,1.2033,11.1
JABNAF,98.73,206.71,34,-2.9597,1.89,2,0.4104,-0.2381,-0.63,2.0766,2.9082,28.8583,7.2495,0.6294,0.6909,0.391,3.1678,6.3766,12.4561,4.1624,9.7569,1.9054,1.538,1.6662,0.4328,0.0953,1.3968,23.2
PAMPAU,62.63,155.46,14.2,-3.1278,2.07,2.13,0.3773,-0.2585,-0.5769,1.6386,2.9213,28.8447,7.3272,0.6777,0.4435,0.3911,3.1606,6.4441,12.3611,4.1469,9.8175,1.9553,1.4714,1.5816,0.3357,0.0472,1.6877,15
EWITAH,94.14,195.3,20.7,-2.9115,1.95,1.99,0.3998,-0.2465,-0.5277,1.7222,2.8966,28.7023,7.2878,0.602,0.5001,0.3911,3.1687,6.3501,12.4394,4.1866,9.8107,1.9707,1.5736,1.6444,0.4364,0.0622,1.5458,18.3
MIZXOK,63.46,157.89,13.4,-3.1073,2.04,2.1,0.3845,-0.2589,-0.5881,1.7023,2.9237,28.8391,7.3319,0.6813,0.4761,0.3913,3.1609,6.434,12.3706,4.1255,9.8109,1.9801,1.5977,1.4901,0.3206,0.0766,1.5561,16.3
CADFIA,77.93,212.41,35.6,-3.8588,2.15,2.09,0.2383,-0.2619,-0.1162,1.8575,2.9321,28.7066,7.2848,0.6576,0.245,0.3915,3.1718,6.4154,12.4923,4.216,9.854,1.9619,1.3113,1.4839,0.0633,0.011,1.2183,23.2
MOSRIW,94.74,196.4,30.7,-3.1794,1.92,2.05,0.4443,-0.241,-0.5698,2.0106,2.9321,28.8602,7.2677,0.6652,0.6399,0.3915,3.1639,6.355,12.4376,4.1577,9.7632,1.9611,1.6079,1.665,0.4039,0.0902,1.4306,22.1
MAJDAF,84.41,188.12,22.9,-4.4797,1.79,2.12,0.5602,-0.1891,-0.5217,2.6712,3.0332,28.7975,7.1354,0.5319,0.6968,0.3916,3.16,6.2283,12.5094,4.1982,9.702,1.9985,1.6789,1.5303,0.4144,0.0681,1.511,1
TAVYUM,78.82,175.05,28.2,-3.8871,2.21,2,0.3672,-0.252,-0.4986,1.5085,2.9825,28.6776,7.2863,0.6928,0.1933,0.3918,3.161,6.4045,12.3929,4.1594,9.8354,1.9905,1.1904,1.4854,0.102,0.0139,1.6507,14
WUWHUS,85.32,206.54,24.8,-2.4627,1.9,2.02,0.3214,-0.2437,-0.1896,2.1084,2.885,28.8175,7.2752,0.6279,0.6482,0.3918,3.165,6.4155,12.5066,4.2095,9.7565,1.9325,1.5917,1.7296,0.4214,0.0816,1.367,24.6
ZOZTOA,81.54,196.39,23.1,-3.3883,1.95,2.07,0.1819,-0.2543,0.077,1.8926,2.9837,28.8997,7.2905,0.6633,0.5568,0.3922,3.1646,6.4498,12.5315,4.2276,9.8367,1.9714,1.3522,1.2589,0.0964,0.0174,1.0051,18.7
OBUXIU,79.98,228.69,27,-3.59,1.97,2.07,0.2053,-0.2502,0.1515,1.9444,3.0158,28.8926,7.2571,0.6623,0.5574,0.3922,3.1659,6.4634,12.5107,4.1885,9.8206,1.9242,1.1955,1.2909,0.1084,0.0138,1.254,34.8
COHFIQ,62.31,154.7,13.8,-3.1807,2.09,2.12,0.3802,-0.259,-0.5714,1.6315,2.9187,28.8366,7.328,0.6769,0.4213,0.3923,3.1611,6.4442,12.3567,4.1338,9.8189,1.9908,1.6235,1.5077,0.329,0.0758,1.5375,16
TIDYAJ,62.91,156.45,15.7,-3.1437,2.05,2.12,0.3855,-0.2579,-0.598,1.6738,2.9188,28.838,7.3237,0.6772,0.4595,0.3923,3.1601,6.4381,12.3632,4.155,9.8132,1.9703,1.4724,1.624,0.3468,0.0564,1.6842,14.4
ROGFID,79.96,229.64,26.7,-3.5833,2.09,2.06,0.3451,-0.2554,-0.623,1.788,2.9073,28.7891,7.3215,0.677,0.4556,0.3924,3.1672,6.3943,12.4253,4.1743,9.8354,1.9852,1.4095,1.1338,0.1133,0.03,1.5032,32
SEQFAY,81.69,221.68,34.1,-4.0209,2.03,2.06,0.2497,-0.269,-0.3231,1.9024,2.9632,28.7719,7.3236,0.6864,0.4757,0.3925,3.168,6.4232,12.4977,4.1533,9.8294,1.9706,1.2014,1.32,0.094,0.0128,1.3747,27.1
WOJPIW,81.45,202.74,25.1,-3.9177,2.02,2.05,0.2556,-0.2689,-0.1155,1.8409,2.9679,28.7531,7.3155,0.689,0.4575,0.3926,3.1693,6.4271,12.4949,4.2017,9.8224,1.9769,1.4261,1.2058,0.0924,0.0187,1.2033,20
NANNOG,62.88,156.42,15.4,-3.0451,2.06,2.12,0.3751,-0.259,-0.5822,1.6685,2.9201,28.8653,7.3284,0.6777,0.478,0.3926,3.1614,6.4429,12.3647,4.1252,9.8173,1.9807,1.5983,1.4899,0.3207,0.0779,1.542,21.7
CUKTUA,81.78,209.66,26,-3.3093,2,2.05,0.3258,-0.2593,-0.5959,1.8005,2.9239,28.7932,7.3008,0.6536,0.4811,0.3928,3.1689,6.4128,12.4487,4.1272,9.8127,1.9566,1.1819,1.3996,0.0812,0.0087,1.6673,20.9
UMIYUM,63.19,157.54,16,-2.9565,2.03,2.12,0.3707,-0.2585,-0.5989,1.6878,2.9259,28.8764,7.3281,0.6805,0.4995,0.3929,3.1607,6.443,12.3723,4.1292,9.814,1.9759,1.6023,1.4802,0.3268,0.0803,1.5374,22.3
FUGTUW,94.39,195.59,28.7,-3.3981,1.92,2.04,0.4316,-0.2447,-0.4454,1.9587,2.9244,28.8314,7.275,0.6539,0.6293,0.393,3.1668,6.3702,12.4212,4.1966,9.777,1.9689,1.5103,1.5774,0.441,0.0502,1.6018,29.1
OVUGUI,80.33,223.87,26.9,-4.0564,2.01,2.05,0.2445,-0.2686,-0.1184,1.8836,2.9747,28.7903,7.305,0.6925,0.4668,0.3932,3.168,6.4264,12.5054,4.1716,9.8237,1.9701,1.3844,1.2133,0.0861,0.0188,1.1993,25.4
VOXHOF,62.43,155.14,13.8,-3.134,2.08,2.12,0.3778,-0.2587,-0.5847,1.6473,2.9205,28.8503,7.329,0.6771,0.4479,0.3933,3.1607,6.4448,12.3596,4.1474,9.8178,1.9599,1.4681,1.6315,0.3143,0.0437,1.6905,16.3
RIJGEW,84.19,219.31,33.2,-4.0713,1.97,2.04,0.4089,-0.2161,-0.5297,2.4679,2.9855,28.8914,7.187,0.5752,0.6341,0.3933,3.1696,6.2648,12.5285,4.2029,9.7978,2,1.3054,1.1781,0.1309,0.0225,1.5324,12.7
XAQVAN,80.31,193.3,22,-4.1525,1.98,2.08,0.3797,-0.2361,0.2155,1.7854,3.0357,28.7198,7.2752,0.6915,0.4332,0.3936,3.1614,6.3915,12.4266,4.1433,9.8022,1.9496,1.4911,1.6634,0.4055,0.0703,1.3561,47.1
FAJWIY,63.77,157.69,13.7,-2.9865,2.06,2.1,0.3713,-0.2566,-0.6239,1.6782,2.9181,28.8515,7.3238,0.6744,0.4513,0.3936,3.1594,6.4367,12.3736,4.2061,9.8184,1.9856,1.4929,1.6462,0.3259,0.044,1.6756,17
NAWNUV,90.26,191.26,25.1,-3.1778,1.91,2.05,0.3997,-0.242,-0.6049,1.8212,2.9553,28.842,7.2692,0.6477,0.5813,0.3937,3.163,6.377,12.4306,4.1557,9.7926,1.9712,1.5808,1.6662,0.4041,0.0795,1.4691,21.2
CACRYD,62.76,155.8,13.1,-3.1696,2.08,2.11,0.3832,-0.2588,-0.5864,1.6589,2.9189,28.8339,7.3259,0.6783,0.4408,0.3939,3.1608,6.4404,12.3613,4.1441,9.8152,1.9573,1.4733,1.5485,0.3158,0.0438,1.6796,15.5
HAXVAF,63.15,156.88,13.2,-3.1329,2.06,2.11,0.3846,-0.2584,-0.5958,1.6851,2.9196,28.8325,7.3286,0.6757,0.4598,0.3939,3.1605,6.4369,12.3658,4.1644,9.8127,1.9627,1.4573,1.5727,0.3195,0.037,1.7023,15.5
POKCIE,83.97,193.48,21,-3.3166,1.98,2.02,0.3129,-0.2605,-0.0965,1.835,2.9437,28.7904,7.3092,0.6682,0.5152,0.3939,3.1659,6.4016,12.474,4.2095,9.8115,1.9447,1.529,1.6018,0.3933,0.056,1.4279,18.7
ENUJED,79.59,221.35,24.3,-4.1578,2.07,2.04,0.3581,-0.2547,-0.6033,1.8043,3.0453,28.7548,7.2783,0.693,0.4714,0.3941,3.1675,6.4008,12.4305,4.1912,9.8106,1.9778,1.403,1.1381,0.1142,0.0299,1.5026,26.3
KULMAI,81.79,221.97,32.7,-3.6703,1.97,2.05,0.2438,-0.2691,-0.123,1.9445,2.9738,28.7911,7.2926,0.6781,0.537,0.3942,3.17,6.43,12.5156,4.2021,9.8107,1.9732,1.4143,1.2095,0.0909,0.0177,1.2018,27.8
KIYQUF,82.94,182.66,17.1,-4.5491,1.91,2.07,0.551,-0.2249,-0.519,2.11,3.0116,28.6545,7.3091,0.7574,0.6046,0.3942,3.1708,6.3283,12.4163,4.1498,9.7044,1.9703,1.6573,1.5419,0.3774,0.0644,1.4889,13.2
DAMNEM,81.47,202.77,25.1,-3.9092,2.02,2.05,0.2547,-0.269,-0.1157,1.8417,2.965,28.7538,7.3139,0.6891,0.4566,0.3943,3.1693,6.4271,12.4957,4.1973,9.8225,1.978,1.4175,1.2053,0.0923,0.0197,1.2066,21.6
PIKTUY,79.37,205.54,25.3,-3.9374,2.02,2.04,0.2633,-0.2691,-0.116,1.8538,2.9761,28.7511,7.3088,0.6956,0.4492,0.3948,3.1701,6.4283,12.4916,4.1996,9.8168,1.9738,1.4456,1.2061,0.0921,0.0183,1.2007,25.6
REDBEH,62.44,155.01,14,-3.1559,2.08,2.12,0.3788,-0.2589,-0.5662,1.6497,2.9253,28.8495,7.332,0.6801,0.4333,0.395,3.1605,6.4434,12.3593,4.1357,9.8185,1.9693,1.6157,1.6354,0.3165,0.073,1.5318,16.6
GIQNUQ,79.79,214,25.7,-3.9947,2.05,2.04,0.3584,-0.2574,-0.6795,1.8163,2.9848,28.7583,7.2693,0.6913,0.4743,0.395,3.167,6.3954,12.4365,4.1922,9.8097,1.9715,1.3751,1.1437,0.1182,0.0302,1.5156,23.4
INIDIU,94.42,195.81,23.2,-4.2563,1.87,2.07,0.5207,-0.2071,-0.5465,2.5052,3.0007,28.8458,7.1611,0.5648,0.6198,0.3951,3.1608,6.2355,12.4934,4.2086,9.7505,1.9909,1.6851,1.4623,0.4325,0.078,1.456,12
UHULOA,63.11,171.08,28.4,-3.1608,2.04,2.12,0.401,-0.2553,-0.5752,1.7761,2.9483,28.9182,7.3199,0.702,0.5311,0.3953,3.1578,6.4151,12.3683,4.165,9.8156,1.9595,1.4635,1.6103,0.3466,0.0604,1.6765,22.7
HURNIS,63.72,166.06,17.6,-3.3337,2.15,2.04,0.3155,-0.2636,-0.1532,1.6868,2.9158,28.8189,7.3337,0.674,0.3946,0.3956,3.1641,6.4505,12.3944,4.1842,9.8396,1.9707,1.4656,1.6239,0.3318,0.0343,1.2722,16.1
SEFFAL,97.35,199.19,27.8,-3.2214,1.91,2.01,0.4228,-0.2436,-0.6182,2.016,2.917,28.762,7.275,0.6075,0.645,0.3956,3.1674,6.3665,12.4495,4.1613,9.7612,1.9024,1.6499,1.7157,0.4166,0.1049,1.4215,23.9
TAKQIG,62.21,154.41,13.9,-3.1842,2.09,2.13,0.3804,-0.2591,-0.5625,1.6395,2.9234,28.8483,7.3301,0.6792,0.4302,0.3957,3.1611,6.4449,12.3558,4.1697,9.819,1.977,1.5006,1.5612,0.3303,0.0569,1.672,14.5
XUHZUX,84.36,217.01,24.5,-3.0826,2,2.03,0.2724,-0.2483,-0.6099,1.738,2.9745,28.7957,7.2724,0.6353,0.4522,0.3957,3.1653,6.4172,12.4788,4.1997,9.8317,1.9651,1.3954,1.2686,0.0818,0.0168,1.5646,27
IDIYUR,82.6,179.41,24.5,-3.7833,2.18,2.01,0.361,-0.2568,-0.6528,1.5206,2.9701,28.6705,7.2892,0.68,0.1964,0.3961,3.1631,6.4085,12.3976,4.0874,9.8329,1.9959,1.2909,1.4026,0.0606,0.0133,1.5548,5.6
WEHGAR,63.03,156.71,14.2,-3.2006,2.05,2.12,0.3916,-0.2584,-0.5753,1.6844,2.9226,28.8317,7.328,0.6815,0.459,0.3961,3.1604,6.4331,12.3623,4.1648,9.813,1.9702,1.4664,1.6227,0.3367,0.0523,1.6975,15
FOFKAO,84.15,200.15,25.8,-3.4255,2.06,2.02,0.4332,-0.2474,-0.4974,1.7769,3.0078,28.7594,7.3065,0.7024,0.4126,0.3962,3.1654,6.3515,12.4008,4.1992,9.8145,1.9762,1.7071,1.7062,0.3969,0.0994,1.4765,21.3
CUFWOP,63.05,156.75,14.1,-3.1973,2.06,2.11,0.3919,-0.2584,-0.5749,1.6863,2.9211,28.8301,7.3291,0.6794,0.4581,0.3964,3.1605,6.433,12.362,4.1617,9.8131,1.9663,1.4615,1.6157,0.3346,0.0501,1.6996,15.3
NUZPON,95.78,196.57,24.9,-2.8914,1.94,2,0.3987,-0.2435,-0.6395,1.8176,2.9032,28.7662,7.2913,0.6228,0.5447,0.3964,3.1662,6.356,12.4398,4.1276,9.8054,1.9621,1.59,1.6906,0.3952,0.0884,1.564,17.8
FAMZID,94.58,201.87,28.6,-3.1912,1.9,2,0.4225,-0.2416,-0.5769,2.0121,2.9082,28.7889,7.2767,0.6346,0.6225,0.3965,3.1669,6.3822,12.4441,4.147,9.7512,1.906,1.4983,1.6483,0.421,0.0745,1.3826,20.6
REJHOD,91.64,188.16,37.6,-3.4924,2.12,2,0.4295,-0.2418,-0.6095,1.6843,3.0226,28.7536,7.2741,0.6769,0.343,0.3966,3.1631,6.3359,12.3979,4.1237,9.8367,1.9508,1.7284,1.4927,0.4015,0.0955,1.5027,32.4
LAPVUV,87.4,235.69,31.6,-3.4503,2.01,2,0.3415,-0.2523,-0.5553,1.8917,2.9386,28.8699,7.2779,0.6348,0.5368,0.3966,3.1712,6.3927,12.4467,4.2041,9.8191,1.975,1.394,1.2504,0.082,0.0147,1.5886,22.4
VAYKEN,83.61,177.72,21.8,-4.1703,2.1,2.05,0.4436,-0.2572,-0.5118,1.6649,2.9488,28.7079,7.3267,0.7288,0.3458,0.3969,3.1649,6.3736,12.3773,4.1354,9.8055,1.9618,1.6204,1.5465,0.3563,0.0779,1.4835,15.9
AFEBOC,89.07,184.58,25.4,-3.3871,2.05,2.06,0.4231,-0.2395,-0.6177,1.6882,2.9786,28.7479,7.281,0.6647,0.4038,0.397,3.1627,6.3319,12.4024,4.1303,9.8425,1.9728,1.5651,1.5607,0.3931,0.0613,1.5637,9.7
ICUWIO,62.62,155.31,14.2,-3.1319,2.09,2.12,0.3788,-0.2583,-0.5917,1.6476,2.9178,28.8446,7.3265,0.676,0.4417,0.3972,3.1605,6.4434,12.3598,4.1574,9.8181,1.973,1.4787,1.6314,0.3151,0.0477,1.6796,16.5
MOPJOQ,87.83,210.85,31.9,-4.29,1.99,2.08,0.29,-0.2467,-0.0572,2.0622,3.0299,28.826,7.2271,0.6986,0.5563,0.3972,3.1628,6.3701,12.5004,4.1715,9.8395,1.9674,1.2189,1.3406,0.1589,0.0372,1.2662,11.1
TULRAU,83.86,206.46,37.1,-4.1821,2.29,2.08,0.0951,-0.2703,-0.1704,2.118,2.9425,28.928,7.2836,0.6627,0.8011,0.3973,3.1701,6.4796,12.594,4.2679,9.8313,1.98,3.1098,2.7626,0.2355,0.0784,1.2147,26.4
RUTJIA,98.09,219.54,34.1,-2.8698,1.91,2.05,0.4092,-0.2436,-0.6217,1.95,2.8862,28.8484,7.2522,0.6223,0.6729,0.3974,3.1665,6.372,12.4424,4.1075,9.7764,1.9407,1.5586,1.7109,0.4396,0.0811,1.6311,23.2
NUKCOL,63.5,163.24,20.5,-3.4206,2.03,2.1,0.421,-0.2585,-0.5798,1.7817,2.9342,28.842,7.3295,0.6957,0.5061,0.3975,3.1599,6.4197,12.3661,4.1662,9.7932,1.9738,1.6737,1.5029,0.3334,0.0737,1.4773,22.6
SOYYUD,81.13,219.23,24.1,-3.2668,1.99,2.05,0.3658,-0.2338,0.0014,1.8392,2.9883,28.7624,7.2383,0.6676,0.4593,0.3976,3.1607,6.3862,12.4376,4.1755,9.8105,1.9382,1.5286,1.5729,0.3633,0.0618,1.2993,17.8
XIQBEF,62.52,155.36,14.3,-3.0919,2.08,2.11,0.3754,-0.2587,-0.5782,1.6525,2.9193,28.8505,7.3268,0.6755,0.4379,0.3977,3.1609,6.4451,12.3619,4.1189,9.8176,1.9563,1.4853,1.5968,0.3172,0.0334,1.6568,14.5
NUBKEA,84.45,194.75,24.7,-3.2831,1.95,2.02,0.3208,-0.261,-0.0962,1.8829,2.9471,28.7948,7.3065,0.6614,0.5476,0.3977,3.1669,6.3966,12.482,4.1854,9.8006,1.9412,1.5336,1.6944,0.4342,0.083,1.3868,18
XOTGIZ,94.93,214.95,40.8,-3.2389,1.88,2.03,0.4649,-0.2317,-0.5095,2.1705,2.9362,28.831,7.2269,0.6718,0.6507,0.3977,3.1627,6.3466,12.4452,4.1948,9.7433,1.9668,1.6776,1.7037,0.4286,0.0897,1.6902,27.8
JUKPIQ,81.7,194.2,22.2,-3.7027,1.97,2.03,0.3585,-0.2614,-0.08,1.8368,2.9636,28.7054,7.3209,0.6817,0.4105,0.3978,3.1662,6.3907,12.4534,4.1837,9.7973,1.9673,1.4866,1.6816,0.3678,0.0537,1.3446,27.8
NOHPAE,62.95,156.42,17.9,-3.1492,2.06,2.12,0.3867,-0.258,-0.5906,1.6748,2.9175,28.8396,7.325,0.6759,0.4545,0.3978,3.1601,6.4373,12.3632,4.1695,9.8128,1.9774,1.6803,1.4887,0.3432,0.0752,1.4767,14.8
XINJAF,89.77,194.04,30,-4.2607,1.93,2,0.5735,-0.2182,-0.5551,2.3545,2.9097,28.7795,7.2152,0.4719,0.4888,0.3978,3.1813,6.2341,12.4199,4.1683,9.7725,1.9358,1.4515,1.4979,0.4242,0.0602,1.6055,7.4
