Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
ZARKAE,79.7,50.5,-3.7403,-1.8096,2.05,0.3715,-0.2438,-0.2353,1.6584,2.9544,28.7433,7.2429,0.6802,3.1669,6.3719,9.8536,1.9532,45.9
PANLEV,82.73,31.2,-4.1194,-3.6767,2.08,0.3953,-0.2546,-0.5892,1.9309,2.9887,28.7036,7.3155,0.7131,3.1669,6.3758,9.7734,1.9144,33.8
HOKWEK,62.48,24.2,-3.1607,-0.081,2.16,0.3942,-0.2566,-0.5789,1.639,2.9274,28.8445,7.329,0.6846,3.1603,6.4358,9.8147,1.9114,36.8
FARNUI,85.53,39.3,-2.9632,-1.3342,2.07,0.2872,-0.2462,-0.8894,1.8733,2.9415,28.84,7.2804,0.6262,3.1639,6.4054,9.8223,1.9476,43.3
QAQFAR,85,28.6,-4.684,-3.6853,2.18,0.5559,-0.1843,-0.4985,2.6625,3.0524,28.8164,7.1241,0.5532,3.1572,6.2323,9.7053,1.9583,21.3
SUSQOO,81.03,31.4,-4.3328,-2.952,2.11,0.3577,-0.2308,-0.5707,1.7346,3.1023,28.7468,7.2671,0.689,3.1586,6.3917,9.8288,1.9511,50.6
KOMBOG,63.83,33.7,-3.2404,-2.5732,2.13,0.348,-0.256,-0.6961,1.8187,2.911,28.8501,7.2946,0.6754,3.1622,6.4157,9.8306,1.9227,37.3
FOCZAZ,80.59,38.9,-4.0365,-3.2004,2.08,0.27,-0.2687,-0.1131,1.9358,3.0021,28.7792,7.2828,0.7046,3.1698,6.4191,9.8112,1.9366,45.3
MIZBED,90.15,31.9,-3.4953,-3.1981,2.04,0.4195,-0.246,-0.686,1.8563,2.9517,28.7822,7.274,0.6654,3.1646,6.3783,9.7758,1.9253,41.3
GAGQAK,85.6,30.9,-4.5911,-4.2727,2.06,0.4593,-0.2188,-0.536,2.022,3.0726,28.6763,7.2329,0.6769,3.1663,6.3511,9.7565,1.8851,31.9
IKUPAI,81.29,35.7,-4.009,-2.9253,2.07,0.3585,-0.2507,-0.0548,1.7426,2.9891,28.723,7.303,0.6953,3.164,6.3813,9.8326,1.9487,35.4
JOHCEO,62.37,24.2,-3.1409,-0.9438,2.16,0.3785,-0.2589,-0.5804,1.647,2.9224,28.8569,7.3279,0.6817,3.1605,6.4466,9.8153,1.9198,38.9
FIFKUD,80.05,36.4,-3.9191,-3.3346,2.1,0.2402,-0.2695,-0.1514,1.861,2.9693,28.7963,7.3088,0.6859,3.1692,6.4356,9.8279,1.9344,35.7
IJUVIS,95.62,30.5,-3.4215,-2.9836,2.01,0.4383,-0.2479,-0.5961,1.6807,2.9285,28.654,7.3003,0.6453,3.1666,6.3356,9.8132,1.9185,40.2
SASZUI,86.81,33.5,-3.4531,-1.8232,2.08,0.4288,-0.2454,-0.5378,1.6621,2.9871,28.7669,7.2994,0.6911,3.164,6.3562,9.8275,1.9705,34.4
YISNEW,63.05,24.1,-3.1114,-1.842,2.14,0.3793,-0.2583,-0.5993,1.6645,2.9152,28.8408,7.323,0.6773,3.1603,6.4425,9.8122,1.9385,51.9
LESYAL,81.41,38.7,-3.771,-2.4065,2.15,0.4129,-0.2198,-0.6369,2.1897,2.9783,28.8468,7.1925,0.584,3.1674,6.2937,9.817,1.9305,25.4
MOMXET,80.4,40.4,-4.4201,-3.1739,2.06,0.4154,-0.2557,0.2379,1.9436,2.9714,28.7553,7.2947,0.7148,3.167,6.3784,9.7862,1.9246,34.1
FEFJUX,84.68,38.5,-2.4695,-1.434,2.1,0.3387,-0.2432,-0.88,1.8171,3.0018,28.8922,7.2489,0.6508,3.1654,6.403,9.8083,1.9747,33.2
JORMEI,108.58,47.9,-3.402,-1.1569,2.06,0.4657,-0.2265,-0.5931,1.9743,2.9689,28.7802,7.2497,0.6682,3.1637,6.2745,9.8197,1.9639,34.3
TICHOD,87,32.5,-3.4604,-1.501,2.03,0.4197,-0.248,-0.685,1.7916,2.9425,28.7779,7.2893,0.6609,3.165,6.3782,9.7895,1.913,44
TEWXOI,85.92,30.5,-2.0441,0.7368,2.1,0.2947,-0.2489,-0.8579,1.8441,2.8901,28.8905,7.2718,0.6172,3.1655,6.445,9.7815,1.9084,51.8
TOMRET,89.32,33.9,-3.8127,-2.7072,2.08,0.4632,-0.2328,-0.4279,1.6936,3.014,28.7302,7.2405,0.6786,3.1636,6.308,9.8429,1.9247,31.3
TERNIO01,79.73,37.5,-3.8583,-2.8607,2.13,0.3882,-0.2485,-0.601,1.8415,2.9798,28.7317,7.2828,0.7059,3.1598,6.3781,9.8093,1.9579,32.8
AJIZAU,85.59,30.4,-3.3761,-1.7487,2.05,0.4318,-0.2504,-0.6535,1.7857,2.9324,28.7718,7.3019,0.6736,3.1658,6.3731,9.7923,1.9185,41.8
CAFKID,83.32,33,-2.6266,0.0815,2.09,0.3623,-0.2489,-0.8799,1.6996,2.905,28.7986,7.3116,0.6457,3.1618,6.4034,9.8057,1.9093,39.4
VOXKUR,79.35,31.4,-4.5954,-3.401,2.1,0.3092,-0.27,0.1734,1.9592,2.9831,28.7398,7.3251,0.7254,3.1688,6.4103,9.8042,1.9449,40.5
IQISAE02,62.33,30.8,-3.2752,-0.8366,2.16,0.3978,-0.258,-0.5979,1.6527,2.9287,28.8344,7.3246,0.6845,3.1596,6.4336,9.8152,1.9093,37.7
AKALIH,62.34,35.2,-3.0816,-1.5025,2.19,0.4013,-0.2501,-0.6326,1.7018,2.9419,28.8694,7.2902,0.6799,3.1579,6.4273,9.8098,1.9145,39.4
FAYTOP,63.5,24.6,-2.8927,-0.3694,2.14,0.3642,-0.2589,-0.5846,1.6825,2.9191,28.8857,7.3219,0.6755,3.1622,6.4471,9.8118,1.949,51
COSGIA,92.99,38.3,-2.4508,-0.3048,2.07,0.1531,-0.2495,-0.4542,1.9987,2.8756,28.9089,7.2731,0.6201,3.1668,6.4607,9.8246,1.9137,43.4
WIBLID,90.59,35.6,-3.7806,-2.9164,2.08,0.4679,-0.2483,-0.5519,1.843,2.9591,28.7219,7.2854,0.6888,3.1627,6.3297,9.7975,1.9628,33.6
LADVUK,82.87,51.8,-2.9809,-0.1146,2.11,0.3024,-0.2344,-0.1856,1.8831,3.0835,28.9194,7.2306,0.6682,3.1642,6.4099,9.8195,1.929,50
FUDGET,81.13,31.2,-3.3405,-1.3918,2.07,0.307,-0.2421,-0.6147,1.7666,3.0052,28.7958,7.2732,0.666,3.1608,6.4216,9.8113,1.9671,49.2
FAFCOH,81.11,37.7,-3.9362,-3.128,2.13,0.4007,-0.2442,-0.5955,1.9007,2.9888,28.7302,7.2818,0.7097,3.1595,6.3727,9.7986,1.9637,32.5
AKAWAK,81.46,38.2,-3.6599,-1.6076,2.09,0.2108,-0.2692,-0.1768,1.8478,2.9495,28.835,7.3112,0.6672,3.1659,6.4422,9.8399,1.9349,36.5
MIZRUL,88.28,32.1,-3.2744,-1.2991,2.04,0.4149,-0.2486,-0.7029,1.7691,2.9278,28.7846,7.289,0.6522,3.1656,6.3787,9.7934,1.9155,41.8
DAXDIQ,92.12,36.4,-3.4332,-1.136,2.06,0.4255,-0.2401,-0.5918,1.6979,3.0034,28.7617,7.2679,0.6667,3.1648,6.3302,9.8426,1.993,33.3
LOHLUR,80.87,38.5,-3.8337,-2.4708,2.15,0.415,-0.2194,-0.5944,2.1911,2.9882,28.8548,7.1996,0.5896,3.1673,6.2932,9.8173,1.93,23.5
WUMXUZ01,84.21,36.5,-4.0891,-3.5293,2.12,0.4301,-0.2503,-0.0742,2.0283,2.9822,28.7342,7.2957,0.7062,3.1653,6.3692,9.7622,1.9613,31
WUTWOY,79.34,43,-4.1681,-2.6099,2.14,0.3183,-0.2294,-0.3542,1.9255,2.961,28.7862,7.2347,0.6274,3.169,6.3506,9.8598,1.9973,33.7
TEYQET,91.83,36.3,-3.8613,-3.1206,2.08,0.4827,-0.2472,-0.5344,1.8701,2.9667,28.6936,7.2702,0.6857,3.1631,6.3219,9.785,1.9659,33.3
COGPOE,87.81,32.8,-3.475,-1.6535,2.04,0.4201,-0.2463,-0.7071,1.798,2.9698,28.7916,7.2551,0.6647,3.1656,6.3808,9.7875,1.9567,42.1
KAQFAK,82.74,39.8,-4.3644,-2.9294,2.06,0.5289,-0.226,-0.5056,2.1292,3.0577,28.7844,7.1855,0.7164,3.1606,6.3113,9.7537,1.9126,30.5
VACVUR,90.1,35.6,-3.9343,-2.4563,2.12,0.3085,-0.2335,-0.1112,1.9378,3.0855,28.8016,7.1928,0.6468,3.1623,6.361,9.8499,1.9618,29.8
THPDCB,84.02,32.2,-3.3456,-2.3919,2.09,0.3336,-0.2584,-0.0947,1.8273,2.9299,28.766,7.3161,0.6705,3.1656,6.4003,9.8107,1.9244,35.5
ZEZJUJ,64.5,34.9,-3.2348,-2.177,2.09,0.2554,-0.2608,-0.1735,1.8022,2.9364,28.8445,7.3071,0.6559,3.1656,6.4527,9.856,1.9396,36.3
ZASGUY,80.72,27.2,-3.5276,-2.5808,2.09,0.4227,-0.2537,-0.5498,1.6212,2.9289,28.7332,7.3317,0.6824,3.163,6.3777,9.8287,1.938,35.9
YAZSUQ,75.5,53.7,-4.3137,-3.4924,2.09,0.4766,-0.2232,-0.2347,2.098,3.0599,28.7557,7.2315,0.6861,3.1612,6.2925,9.7899,1.9799,26.7
JIMTIJ,81.16,36.9,-3.9251,-2.5972,2.09,0.3989,-0.2263,-0.0016,2.0804,3.0061,28.8206,7.26,0.6458,3.1664,6.3234,9.8198,1.9115,22.7
POPJIO,81.07,37.4,-3.2331,-1.6213,2.09,0.2155,-0.2581,-0.0835,1.8863,2.9437,28.825,7.2675,0.667,3.1645,6.4411,9.8356,1.9468,44.9
HONCET,72.12,44.5,-4.1749,-3.3985,2.1,0.4701,-0.2169,-0.0427,1.9103,3.0214,28.7293,7.2163,0.6747,3.1642,6.3071,9.8048,1.9434,29.6
YUZPAK,64.74,35.9,-3.3732,-1.4377,2.07,0.221,-0.2688,-0.2196,1.7392,2.9492,28.8317,7.3184,0.6607,3.1657,6.4663,9.8508,1.93,34.5
HISRIM,62.82,24.2,-3.2331,-2.2016,2.14,0.3962,-0.2582,-0.5818,1.6915,2.9284,28.8614,7.3242,0.6883,3.1602,6.4346,9.8087,1.9046,37.6
QALPAW,99.46,41.6,-3.8007,-2.9689,2.07,0.473,-0.2486,-0.6004,1.8484,2.9379,28.72,7.2912,0.6605,3.1706,6.3289,9.7901,1.9791,34.1
WASZAS,85.87,31.1,-3.0828,-1.9362,2.09,0.4023,-0.2507,-0.7012,1.7735,2.9037,28.7871,7.3109,0.6516,3.1642,6.3879,9.7985,1.9488,42.4
NAGQER,84.68,47.1,-3.0891,-1.8246,2.08,0.3228,-0.253,-0.8488,1.9052,2.8578,28.7893,7.3728,0.6138,3.168,6.3879,9.8146,1.9147,46.8
REHQUR,64.32,32.5,-3.1868,-1.346,2.06,0.2217,-0.2553,-0.1755,1.7159,3.0055,28.8518,7.2937,0.6821,3.1634,6.4685,9.8558,1.928,35.8
XIBJOI,79.65,51,-3.4865,-2.6731,2.12,0.2549,-0.2493,-0.1865,1.9725,2.9759,28.8539,7.2956,0.701,3.164,6.4373,9.8244,1.9771,45.6
MEBNAL,84.78,35.2,-3.2333,-1.4384,2.02,0.4249,-0.2501,-0.6863,1.8173,2.9313,28.7659,7.2878,0.641,3.1675,6.3702,9.7965,1.9497,57.2
QEDMIX,80.09,38,-3.9634,-2.7773,2.12,0.3978,-0.244,-0.619,1.8746,2.9874,28.7199,7.2769,0.7053,3.1596,6.3834,9.7966,1.962,33.4
VETZUR,81.32,34.6,-4.0698,-2.1666,2.08,0.2488,-0.26,-0.0813,1.8558,2.9695,28.7812,7.3205,0.6931,3.1646,6.4151,9.8452,1.9362,33.2
TMEAPI10,62.28,25.2,-3.14,-0.5453,2.14,0.3787,-0.2587,-0.6047,1.6348,2.9215,28.8445,7.3238,0.6742,3.1605,6.4467,9.8153,1.9112,43
FIQPIE,86.98,33.4,-4.0618,-3.2084,2.12,0.2634,-0.2694,-0.1194,1.8272,2.9468,28.7835,7.3262,0.6876,3.1671,6.4207,9.84,1.9449,34
FIXJAX,81.82,36.1,-4.0236,-3.4635,2.07,0.4111,-0.2549,-0.0488,2.038,2.9815,28.7349,7.3015,0.7151,3.1668,6.376,9.7603,1.9538,33
TAHRUS,86.8,30.1,-3.3713,-1.6424,2.04,0.4093,-0.2527,-0.6879,1.7926,2.9254,28.7863,7.2873,0.6596,3.166,6.3848,9.7906,1.9203,43.6
UFUJUB,85.97,33.1,-3.0062,-1.1292,2.04,0.4101,-0.2445,-0.7155,1.816,2.9949,28.8472,7.2381,0.6968,3.1643,6.3932,9.7867,1.9347,34.5
JELVAX,97.91,39.6,-2.9728,-1.1092,2.04,0.3801,-0.2386,-0.9038,2.0194,2.9588,28.9167,7.2246,0.6352,3.1635,6.3991,9.7618,1.9123,43.1
CEMNIU,79.58,37.6,-3.7726,-2.5302,2.12,0.3789,-0.2503,-0.6264,1.8285,2.9741,28.7428,7.2827,0.7012,3.1603,6.3856,9.8131,1.9431,33.4
JEYFOI,94.02,50.8,-3.663,-1.1114,2.03,0.4673,-0.2372,-0.6402,1.7877,2.9238,28.7318,7.2945,0.6569,3.1673,6.323,9.8276,1.9508,35.5
XIMXID,89.5,36,-3.8687,-2.3888,2.05,0.4541,-0.2348,-0.4875,1.8505,2.9992,28.7998,7.2587,0.686,3.1657,6.3086,9.828,1.9699,29.7
HINBAJ,83.1,33.7,-3.6524,-1.8021,2.12,0.2125,-0.2701,-0.1607,1.7972,2.9267,28.8369,7.3154,0.6674,3.1685,6.4362,9.8571,1.9475,36.2
GAGPOX,85.45,30.6,-2.1959,-0.7166,2.09,0.3081,-0.2464,-0.8772,1.8113,2.8916,28.875,7.2823,0.6224,3.1629,6.4348,9.7864,1.8693,46.1
DABTAB,88.19,49,-3.6135,-1.8456,2.12,0.3927,-0.1443,-0.0485,2.019,3.1704,28.8115,7.1418,0.5444,3.1591,6.2712,9.8544,1.9655,19.3
NUZCOA,86.87,34.7,-3.9626,-2.5292,2.04,0.4713,-0.2302,-0.4819,1.7005,3.0333,28.6946,7.2474,0.6751,3.1637,6.3066,9.8372,1.9771,26.8
JOWTIA,85.1,28.9,-4.2977,-3.8754,2.12,0.52,-0.2376,-0.4957,1.9953,2.9806,28.6916,7.3131,0.7314,3.1663,6.3384,9.7383,1.943,32.3
PODMUT,77.72,40,-3.8072,-2.1204,2.09,0.2468,-0.2619,-0.0942,1.8124,2.9565,28.7946,7.3054,0.6737,3.1681,6.4325,9.8424,1.9349,42.4
OHECAI,92.76,35.4,-3.946,-2.7891,2.06,0.4837,-0.2486,-0.5041,1.8915,2.9394,28.752,7.3018,0.6901,3.1694,6.3364,9.7944,1.931,32.4
NUZDER,83.24,33.5,-3.0957,-1.8548,2.07,0.3981,-0.2502,-0.7432,1.7731,2.9264,28.7801,7.2959,0.6496,3.1632,6.3858,9.7995,1.9282,38.7
RINLAB,83.07,36,-2.9985,-1.5378,2.08,0.3846,-0.2508,-0.8585,1.8203,2.9198,28.7981,7.2996,0.6499,3.1631,6.3867,9.8038,1.9313,39.6
KECKOV,80.11,38,-3.9575,-2.8531,2.13,0.4003,-0.2423,-0.6016,1.883,2.9951,28.7303,7.275,0.708,3.1597,6.3743,9.8019,1.9554,32.5
TODFOH,83.63,41.8,-2.8374,-1.8375,2.06,0.2985,-0.2547,-0.8968,1.8576,2.9275,28.804,7.287,0.6324,3.1676,6.4008,9.8198,1.9416,46
KISNOQ,93.78,41.1,-2.8888,-0.9179,2.04,0.2894,-0.251,-0.2338,1.7564,2.918,28.7927,7.2611,0.6188,3.1705,6.3993,9.836,1.9428,39.6
PUPHAK,62.78,24,-3.2652,-2.2009,2.13,0.3885,-0.2591,-0.5814,1.6575,2.921,28.83,7.3267,0.6804,3.1606,6.4378,9.8142,1.916,38.4
VIQWUO,85.27,34.9,-4.3251,-3.3613,2.19,0.4642,-0.2037,-0.5353,2.5895,3.0158,28.8704,7.1685,0.5534,3.161,6.2518,9.7579,1.9403,19.1
VASHII,64.84,42.3,-3.1647,-1.2279,2.09,0.2364,-0.2627,-0.1681,1.7873,2.9428,28.8366,7.2939,0.6456,3.1647,6.4496,9.8551,1.9308,43.2
BIVWUZ,77.79,47.3,-3.9918,-3.5208,2.13,0.3252,-0.2554,-0.1548,1.9277,2.9697,28.7546,7.2734,0.6862,3.1696,6.4038,9.8217,1.9567,41.9
GUGJEX,62.39,26.6,-3.167,-0.5202,2.15,0.3822,-0.2587,-0.5872,1.6545,2.9243,28.8495,7.3266,0.6772,3.1601,6.4427,9.8156,1.8942,38.3
XUZROC,89.07,36.4,-4.1456,-2.4275,2.04,0.3467,-0.2351,-0.1283,1.7587,3.0401,28.7533,7.2605,0.6711,3.1663,6.3752,9.8328,1.9271,54.2
JOFHER,87.91,35.9,-3.411,-1.134,2.07,0.4234,-0.2492,-0.6159,1.7413,2.9389,28.7482,7.2931,0.6625,3.1647,6.3494,9.8339,1.9412,36.5
IKAWOH,101.77,31.5,-3.0704,-2.2313,2.06,0.4181,-0.244,-0.6314,1.7487,2.9071,28.7317,7.2974,0.6352,3.1665,6.3439,9.8116,1.919,35.5
DODFAD,86.81,39.8,-3.962,-1.6579,2.05,0.4556,-0.1635,-0.6284,1.6264,3.1362,28.7038,7.2496,0.6098,3.1588,6.3157,9.8412,1.9611,46.5
CAPGUX,78.16,39.5,-3.8341,-2.7654,2.11,0.4308,-0.2294,-0.6231,1.8534,2.9779,28.7435,7.2418,0.6888,3.1582,6.3591,9.8021,1.9525,30.1
ZILYEB,86,39.2,-4.6748,-4.2638,2.06,0.3387,-0.2187,-0.1103,2.0019,3.0652,28.7311,7.2249,0.6674,3.1704,6.3974,9.7921,1.9708,31.8
HOFWEF,80.8,34.9,-4.04,-3.7435,2.07,0.2669,-0.2693,-0.1189,1.8284,2.972,28.7398,7.3188,0.697,3.1705,6.4271,9.82,1.9354,33.8
DUDFOY,102,36.5,-3.5988,-1.2622,2.06,0.438,-0.2338,-0.5747,1.7536,2.9917,28.7571,7.2429,0.6544,3.1642,6.3153,9.8407,1.9671,33.5
MXZTCE10,99.28,31.5,-3.5738,-2.6075,2.1,0.4918,-0.2309,-0.5501,2.2048,2.8939,28.8151,7.2075,0.4688,3.1828,6.2384,9.8203,1.9089,25.5
HEZSAJ,85.08,35.4,-4.0789,-1.7457,2.05,0.4711,-0.2412,-0.5009,1.7163,2.9966,28.7183,7.2827,0.7054,3.165,6.3465,9.8078,1.9747,34.9
LEYPEL,82.06,28,-3.6028,-2.5816,2.08,0.4299,-0.2479,-0.56,1.6869,2.9738,28.7612,7.3042,0.708,3.1613,6.3557,9.8258,1.9686,33.7
EDIQEQ,78.43,39.3,-3.8022,-2.4758,2.12,0.3913,-0.254,-0.5864,1.7619,2.9666,28.7222,7.2966,0.6995,3.1645,6.3917,9.8166,1.9358,34.8
NAFKAI,93.79,45.5,-4.4373,-2.7892,2.02,0.2383,-0.2305,-0.1283,2.297,3.0245,28.923,7.1549,0.6055,3.1661,6.3594,9.8283,1.9812,23.9
GOKSAC,82.33,32.8,-4.2324,-2.7269,2.07,0.4993,-0.227,-0.566,1.9829,3.0208,28.7704,7.2332,0.7202,3.1623,6.3283,9.7746,1.911,33.3
MISLIK,80.79,34.9,-4.0391,-3.7437,2.07,0.2667,-0.2694,-0.1189,1.8289,2.9718,28.7401,7.3182,0.697,3.1705,6.427,9.82,1.9362,33.7
ILAGOR,80.48,34.9,-4.0043,-3.6631,2.07,0.2666,-0.2701,-0.1193,1.8382,2.9719,28.746,7.3182,0.695,3.171,6.4283,9.8192,1.9375,34.3
TOSHOY,104.26,44.6,-3.319,-1.5913,2.03,0.42,-0.2312,-0.8502,1.9246,2.93,28.8691,7.2218,0.6417,3.1672,6.355,9.7904,1.9674,35.3
PUFSIT01,80.01,37,-4.0134,-2.9591,2.06,0.3568,-0.25,-0.0578,1.8137,3.05,28.784,7.265,0.6927,3.1677,6.3952,9.8195,1.929,40.4
LICKOY,78.57,28.2,-3.2906,-2.0181,2.11,0.282,-0.2597,-0.3629,1.7568,2.9026,28.7972,7.306,0.6535,3.1665,6.4427,9.8132,1.948,45.8
BAHPYC,62.29,24.2,-3.2448,-0.1725,2.14,0.388,-0.2584,-0.5766,1.6284,2.9221,28.8315,7.3271,0.684,3.1605,6.4401,9.82,1.9236,39.2
ROFJAY,61.98,23.8,-3.2569,0.1232,2.15,0.3831,-0.2584,-0.588,1.6184,2.9205,28.8349,7.3283,0.6785,3.16,6.4462,9.8179,1.9242,39
FOCVEB,79.22,34.9,-4.0382,-2.9434,2.05,0.3656,-0.2573,-0.0297,1.7982,2.9828,28.7483,7.276,0.6923,3.1667,6.3955,9.8096,1.9345,35.8
XIMCON,93.59,30.1,-2.9186,-1.4676,1.99,0.3998,-0.2463,-0.6826,1.7524,2.9025,28.7141,7.2887,0.6159,3.1682,6.3569,9.8063,1.9347,43.1
CIKXIF,86.04,32.2,-2.6279,-1.1179,2.05,0.2652,-0.2534,-0.8869,1.8389,2.8863,28.8383,7.3046,0.6138,3.1644,6.4124,9.8355,1.9431,40.6
ISUXIE,83.72,37,-3.1006,-2.2319,2.04,0.3079,-0.261,-0.8389,1.9158,2.9301,28.7917,7.3093,0.6426,3.1665,6.4064,9.8021,1.9335,41.6
GAPZAA,84.6,37.6,-3.7223,-3.3994,2.05,0.3688,-0.2494,-0.0989,2.0372,2.9826,28.7921,7.2958,0.7116,3.1653,6.3703,9.7877,1.9423,36.9
VUHKOB,76.01,41.3,-3.8677,-2.8697,2.13,0.4575,-0.2349,-0.6073,1.9259,2.9729,28.7606,7.2626,0.6795,3.1627,6.3385,9.7964,1.9224,32.4
DICPIP,80.45,40,-3.8398,-2.5093,2.08,0.2369,-0.2683,-0.1884,1.884,2.9802,28.7975,7.2827,0.6775,3.1686,6.4291,9.8286,1.9619,35.3
LUHFOK02,80.14,38.4,-3.8394,-2.5714,2.12,0.3764,-0.253,-0.6282,1.8574,2.9762,28.7324,7.2664,0.689,3.1619,6.391,9.8043,1.9522,31.6
SANZIR,81.67,31.7,-3.8522,-3.3439,2.05,0.381,-0.2563,-0.5814,1.8733,2.9892,28.6814,7.3031,0.6941,3.1667,6.3824,9.7752,1.9285,34
TENVEN,80.3,40.7,-4.1844,-2.9196,2.09,0.4146,-0.2492,-0.4944,1.7192,3.0157,28.697,7.2996,0.7092,3.1652,6.3704,9.8146,1.946,31.9
BEBFET,80.27,38.5,-3.8166,-2.8276,2.11,0.3975,-0.2473,-0.5397,1.8036,2.9639,28.6902,7.267,0.671,3.1625,6.3664,9.8181,1.952,32
SEPKUW,62.54,24.7,-3.1792,-0.9329,2.14,0.384,-0.2583,-0.589,1.6416,2.9237,28.8411,7.3278,0.6823,3.1599,6.4414,9.8163,1.9203,40.8
FOMPIH,62.34,25.7,-3.1322,-1.1244,2.16,0.3774,-0.2589,-0.5998,1.6514,2.9265,28.8573,7.3253,0.6769,3.1602,6.4471,9.8144,1.9291,41.5
YIZTOT,97.02,32.6,-3.8433,-3.0287,2.07,0.4706,-0.218,-0.5618,1.812,3.046,28.7858,7.1852,0.676,3.1634,6.3045,9.8244,1.978,27.5
KEMDAK,64.13,34.4,-3.5119,-1.353,2.09,0.219,-0.2586,-0.2608,1.6911,2.9709,28.8236,7.3064,0.6669,3.1634,6.4625,9.8578,1.9255,41.3
SETGUU,79.88,37.6,-3.7645,-2.6448,2.11,0.3804,-0.2509,-0.6364,1.848,2.9718,28.7406,7.2837,0.7009,3.16,6.3855,9.8076,1.96,32.1
EJEBIG,79.41,53.3,-2.9666,-2.0898,2.09,0.3098,-0.2337,-0.1565,2.0893,2.9482,28.799,7.2608,0.6414,3.1667,6.3505,9.8099,1.9745,41.9
KUCHEY,87.26,31,-3.8048,-3.1298,2.02,0.4786,-0.2505,-0.485,1.8096,2.95,28.6673,7.3047,0.6777,3.1679,6.3396,9.7876,1.9334,33.8
NEBGIM,81.65,35.5,-3.922,-2.4741,2.17,0.3588,-0.2559,-0.5707,1.7465,2.9718,28.8029,7.2679,0.6924,3.1671,6.3947,9.8328,1.9442,35.9
EVIHUN,81.68,38.7,-3.8667,-2.389,2.15,0.4179,-0.2176,-0.5889,2.228,2.981,28.8721,7.1916,0.5844,3.168,6.2882,9.8177,1.9731,33
ZOSVUY,85.63,36.7,-2.7457,-1.1881,2.06,0.3763,-0.2457,-0.8472,1.8249,2.9589,28.8519,7.2846,0.6466,3.1647,6.3764,9.8113,1.9687,36
QILHOK,79.99,37.3,-4.3925,-3.2233,2.08,0.2821,-0.2674,-0.1153,1.8728,2.9967,28.7626,7.3048,0.7096,3.169,6.4181,9.8171,1.9254,33.2
YECHUK,62.27,23.8,-3.2401,-1.0487,2.13,0.3872,-0.2591,-0.5674,1.6302,2.9206,28.8376,7.3305,0.6842,3.1609,6.4406,9.82,1.9242,39.3
JESYIS,62.78,24,-3.2315,-1.0349,2.12,0.3906,-0.2579,-0.5748,1.6325,2.9255,28.8256,7.3315,0.6859,3.16,6.4346,9.8173,1.9319,42.5
YENNEK,80.5,30.5,-3.4977,-2.4015,2.07,0.4284,-0.252,-0.5919,1.6493,2.9346,28.7168,7.3164,0.6707,3.162,6.3726,9.8198,1.9354,35.6
LEGHAI,79.29,39.4,-3.8427,-2.6222,2.11,0.3762,-0.254,-0.6878,1.8267,2.9781,28.7264,7.278,0.6894,3.1611,6.3923,9.807,1.9576,32
PROSTA,62.41,24,-3.1131,-2.073,2.14,0.3752,-0.259,-0.5856,1.6515,2.9214,28.8558,7.3255,0.677,3.1609,6.4474,9.8163,1.9143,39.5
HAWYAG,62.51,26.1,-3.1405,-0.7755,2.16,0.3797,-0.2587,-0.5948,1.6571,2.9253,28.8757,7.3213,0.6809,3.1602,6.4452,9.8144,1.9008,38.5
XUHDIQ,90.62,35.1,-4.2916,-4.0347,2.05,0.4768,-0.2492,-0.5732,2.0569,2.9841,28.6029,7.2569,0.672,3.1623,6.3317,9.7419,1.9609,28.3
GUZZAD,88.65,32.2,-3.5128,-1.7279,2.04,0.4208,-0.2473,-0.6748,1.7952,2.9454,28.7968,7.2853,0.6643,3.1653,6.3753,9.7936,1.9148,41.9
YIKXUO,80.85,36.9,-3.9065,-2.837,2.06,0.3918,-0.2489,-0.0075,1.843,2.9964,28.7125,7.2865,0.709,3.1598,6.3592,9.8198,1.9541,28.5
FERQEY,62.62,35.7,-3.3691,-1.5567,2.16,0.4162,-0.2563,-0.551,1.7564,2.9617,28.8838,7.3131,0.7018,3.1576,6.4131,9.8136,1.9357,44.8
TRYTAN01,88.64,33,-4.5192,-3.764,2.17,0.4975,-0.1917,-0.5456,2.7409,3.0496,28.8785,7.1547,0.5573,3.1591,6.2368,9.7288,1.9579,18.9
VUMTIJ,81.83,31.9,-4.244,-3.8119,2.1,0.3678,-0.2554,-0.0629,1.9102,2.9773,28.7786,7.3205,0.7247,3.1682,6.3962,9.7982,1.9368,33.2
KIKSIH,80.33,38.2,-3.8093,-2.5573,2.12,0.3714,-0.2549,-0.6273,1.8424,2.9621,28.7307,7.2886,0.6935,3.1614,6.3937,9.8053,1.9429,33.2
DEBVAH,83.06,34.7,-3.3685,-2.3451,2.1,0.463,-0.2201,-0.6052,2.2093,2.9353,28.837,7.1869,0.4559,3.1767,6.2422,9.8269,1.9468,21.8
