Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
VISHEN,90.4,36,-4.6791,-4.1984,1.93,0.6066,-0.2078,-0.6052,2.2713,3.0246,28.5895,7.2725,0.7458,3.1689,6.2928,9.6625,1.9688,35.6
QOGBOD,87.98,44.4,-3.6053,-1.0505,2.02,0.2227,-0.2665,-0.0948,1.912,2.9363,28.8128,7.3016,0.6558,3.1701,6.4138,9.8464,1.9583,36
RAFMOC,85.29,31.9,-3.8879,-2.9027,1.98,0.4687,-0.2315,-0.4709,1.7932,3.0482,28.7539,7.2344,0.7067,3.1633,6.3241,9.8134,1.9854,28.7
GOCVAV,90.51,38.8,-3.5381,-1.5173,1.98,0.2144,-0.2542,-0.1851,1.7396,2.9652,28.7414,7.294,0.6232,3.1702,6.4197,9.8523,1.9588,54
MOMAZL,62.7,25.6,-3.108,-0.4061,2.08,0.3813,-0.2579,-0.5689,1.6629,2.9225,28.8575,7.3295,0.6794,3.16,6.4396,9.8164,1.9107,38.9
AFUWED,80.33,39.4,-3.7099,-2.9436,2.01,0.3914,-0.2483,-0.0206,1.9029,2.9356,28.7185,7.2661,0.677,3.1642,6.3777,9.7981,1.9378,35.1
PUCHIG,63.02,24.1,-3.1342,-2.0444,2.08,0.3837,-0.2582,-0.5821,1.6732,2.9223,28.8405,7.3314,0.6783,3.1604,6.4368,9.8158,1.9163,39.4
LOJJAW,97.56,31,-3.0788,-2.2924,1.98,0.4269,-0.2478,-0.6309,1.8215,2.9008,28.6712,7.2883,0.6079,3.1703,6.3336,9.7912,1.9223,46.5
XIJNIN,62.33,25.6,-3.4566,0.1066,2.09,0.3795,-0.2624,-0.5787,1.6126,2.9204,28.8577,7.3267,0.6868,3.1623,6.4465,9.8166,1.9204,38.1
MOYWUU,81.22,35,-3.7492,-2.3992,2.03,0.2401,-0.2691,-0.1232,1.8396,2.9691,28.7839,7.3064,0.6848,3.169,6.4325,9.8293,1.9356,34.9
DOWROY,80.82,38,-3.4022,-2.3278,2,0.253,-0.2647,-0.1567,1.85,2.963,28.789,7.2945,0.6737,3.1692,6.431,9.8226,1.94,40.8
FUWSIA,82.37,37.4,-4.195,-3.1563,2.03,0.4241,-0.2185,-0.0062,2.5158,3.0095,28.9051,7.1864,0.6043,3.1682,6.284,9.7652,1.9302,27.8
RAQJIF,62.92,24.1,-3.0883,-1.1903,2.08,0.3804,-0.2576,-0.6051,1.6696,2.9148,28.8417,7.3245,0.6739,3.16,6.44,9.8145,1.9161,39.1
NIYSUL,81.86,43.2,-3.8138,-2.6252,2.03,0.2725,-0.2613,-0.1176,1.8913,2.9868,28.7632,7.2982,0.6731,3.1672,6.4108,9.8224,1.9468,34.8
LUBRIM,79.18,32.5,-4.7149,-3.7938,2.06,0.4091,-0.229,0.1691,2.0633,3.0745,28.7359,7.1951,0.7128,3.163,6.3446,9.8005,1.9859,28.8
XUPLEZ,80.97,32.6,-3.6704,-0.8646,2.05,0.2038,-0.2696,-0.1608,1.7757,2.9319,28.8267,7.3189,0.6634,3.1671,6.4421,9.8526,1.9456,36.6
KEPFAO,83.77,31.2,-2.7797,-0.5577,2.01,0.1436,-0.2643,-0.1501,1.8842,2.8932,28.8398,7.3188,0.6164,3.1671,6.4417,9.8512,1.9501,44
ABEMEA,93.6,34.8,-3.4679,-1.5291,1.99,0.3119,-0.2402,-0.7269,1.8819,2.9955,28.7824,7.2577,0.632,3.1667,6.3838,9.8176,1.9609,47.8
IGANAI,85.55,28.7,-2.2368,-1.2244,2,0.3395,-0.2455,-0.7632,1.8088,2.8837,28.8077,7.2804,0.6168,3.1628,6.3965,9.7931,1.9257,45.6
