Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
NIRJII05,95.95,214.87,2.2,7.08,7.97,36.9,26.5,15.7,520.31,-3.0916,-1.3599,1.95,1.92,1.93,0.2989,-0.2374,0.1432,-0.7809,1.9439,2.9909,3.1879,2.0698,28.8155,7.2513,6.941,8.607,0.6142,0.5236,0.5248,3.1663,1.4107,1.2667,1.3106,6.3767,12.5187,4.1501,4.1956,4.173,9.8057,1.9308,1.9394,1.9853,1.9833,1.9669,1.2133,1.33,1.0465,0.1306,0.02,0.0244,0.0359,0.0249,0.0255,1.5316,1.5966,1.6617,0.4872,0.0985,0.1002,0.0984,0.0867,0.1035,51.4
BEHYOE,84.32,190.17,2.75,6.16,8.78,31.9,25.9,18.9,598.56,-4.8403,-4.3195,1.89,1.92,1.84,0.6247,-0.1966,-0.5926,-0.5966,2.3129,3.0421,2.1028,2.141,28.5561,7.246,8.495,8.5355,0.7562,0.5805,0.5248,3.1723,1.3489,1.3629,1.2313,6.2905,12.4459,4.1474,4.1399,4.1586,9.639,1.9702,1.884,1.9798,1.8877,1.9173,1.4696,1.6072,1.5561,0.4482,0.0901,0.0651,0.1254,0.0557,0.1119,1.5637,1.4875,1.6035,0.4294,0.0941,0.0606,0.0936,0.0714,0.1097,32.2
WAXDAC,62.3,155.3,1.75,6.16,12.04,23.8,14.7,9.4,568.82,-3.463,-2.1188,2.22,1.99,1.86,0.4013,-0.2591,-0.5895,-0.5646,1.6524,2.9321,1.9112,2.0234,28.8429,7.3283,8.6069,8.542,0.6987,0.3159,0.5249,3.159,1.2287,1.3524,1.4351,6.4391,12.3506,4.1138,4.1417,4.0951,9.8089,1.9029,1.9836,1.9716,1.9719,1.979,1.5997,1.5221,1.5845,0.3498,0.0595,0.0786,0.0807,0.0467,0.0842,1.5753,1.645,1.4855,0.3398,0.0557,0.0764,0.0767,0.0498,0.0811,42.6
CEJMAF,80.86,200.48,1.68,5.59,6.67,35,23.7,11.9,455.08,-4.6728,-3.5095,2.02,2.02,1.88,0.3364,-0.2658,-0.1198,0.184,2.0805,2.9904,3.2354,3.309,28.7273,7.3289,7.0951,6.9839,0.7236,0.4589,0.5249,3.1704,1.4191,1.3523,1.2439,6.4075,12.4892,4.1527,4.1612,4.1753,9.7669,1.9574,1.9653,1.9758,1.9153,1.9532,1.3372,1.2026,1.3358,0.0913,0.024,0.0086,0.0248,0.0112,0.0226,1.1292,1.2792,1.1221,0.1343,0.0203,0.0253,0.0383,0.0202,0.0303,30.8
CEFHIH,84.19,239.25,2,7.77,7.91,45.5,37.4,23.6,637.26,-4.1801,-3.3223,2.01,1.91,1.96,0.4715,-0.2034,-0.0653,-0.5759,2.5425,2.9504,3.1573,2.2169,28.7954,7.1678,7.0997,8.5348,0.485,0.4747,0.5249,3.1664,1.3472,1.3781,1.2301,6.2455,12.5228,4.1664,4.1595,4.197,9.7602,1.9607,1.9701,1.9315,1.9377,1.9601,1.3751,1.2352,1.2088,0.0931,0.0111,0.023,0.0203,0.0201,0.0186,1.4461,1.479,1.7261,0.4243,0.0863,0.0762,0.088,0.0849,0.0888,22.1
VUKCOW,64.9,161.58,2.46,4.88,8.32,27,18.2,11.3,488.66,-3.5892,-3.1748,2.02,2.05,1.96,0.5308,-0.2175,-0.4895,-0.4927,2.4437,2.9371,2.01,2.0106,28.9702,7.2388,8.4885,8.4847,0.5279,0.5675,0.5249,3.1733,1.3908,1.3929,1.1782,6.2796,12.4218,4.1195,4.1341,4.1682,9.7679,1.9518,1.9326,1.95,1.99,1.9434,1.5849,1.4668,1.594,0.3165,0.07,0.0493,0.0721,0.0485,0.0766,1.5062,1.6315,1.5058,0.3188,0.0581,0.0776,0.0652,0.0554,0.0626,31.3
HIWREM,95.42,202.46,1.65,7.06,8.5,31.6,24.3,18.9,637.71,-2.8327,-2.004,1.92,1.94,1.92,0.4238,-0.2447,-0.5827,-0.6839,1.91,2.9022,2.1396,2.0571,28.7183,7.2821,8.4937,8.55,0.599,0.4684,0.525,3.1696,1.3445,1.4232,1.2259,6.3389,12.4576,4.1311,4.1961,4.1304,9.7797,1.9514,1.9379,1.9473,1.9489,1.9941,1.4771,1.5306,1.6434,0.437,0.1089,0.0727,0.0843,0.0957,0.0754,1.5624,1.583,1.6243,0.3973,0.0848,0.0793,0.0796,0.0726,0.0811,38
USIJUC,83.65,210.17,1.75,8.28,13.74,32.1,26.5,20.3,771.63,-4.5023,-4.0892,1.94,1.97,1.84,0.5837,-0.213,-0.561,-0.5414,2.206,3.0123,2.0814,2.1108,28.6206,7.2786,8.4862,8.4982,0.7528,0.5517,0.525,3.1685,1.3621,1.3687,1.2317,6.3103,12.4306,4.16,4.1341,4.1365,9.6755,1.9521,1.9162,1.9859,1.8844,1.9368,1.4343,1.6585,1.5294,0.4241,0.084,0.0687,0.1056,0.0606,0.1052,1.5401,1.5118,1.5893,0.384,0.0856,0.0651,0.0825,0.0669,0.0839,32.5
EJECUT,88.08,189.69,1.77,9.31,10.63,31.4,21.9,14.6,730.75,-3.37,-1.7967,2,1.93,1.9,0.4408,-0.2488,-0.5912,-0.6549,1.9028,2.9308,2.0355,2.0315,28.753,7.2826,8.4151,8.5387,0.6624,0.4185,0.5251,3.1656,1.354,1.2476,1.4003,6.366,12.4225,4.1716,4.1179,4.133,9.7706,1.9592,1.942,1.9488,1.9582,1.9624,1.6001,1.5351,1.5466,0.3908,0.0799,0.0508,0.1087,0.0513,0.1002,1.5503,1.5247,1.6782,0.4011,0.0833,0.0689,0.0889,0.0665,0.0934,45
DUXGOT,93.34,194.91,1.88,9.15,10.81,30.4,20.9,15,714.03,-2.9511,-1.6021,1.99,1.94,1.92,0.4025,-0.246,-0.5,-0.712,1.7767,2.9042,2.1449,2.0459,28.7262,7.2762,8.4767,8.5859,0.6148,0.3814,0.5253,3.1681,1.2536,1.3773,1.3653,6.357,12.4392,4.1356,4.1785,4.1251,9.8013,1.9256,1.9815,1.978,1.9795,1.9367,1.468,1.5235,1.6506,0.3656,0.0719,0.0694,0.0761,0.0609,0.0873,1.5306,1.5918,1.6516,0.4315,0.0963,0.0659,0.1011,0.0859,0.0822,43.3
PEKJOG,83.5,196.9,2.44,10.72,7.05,35,28.9,18.6,639.42,-2.9697,-1.3821,1.99,1.97,1.91,0.2794,-0.2579,-0.1036,-0.8999,1.8373,2.9475,3.2252,1.775,28.8099,7.2733,7.0836,8.6472,0.6281,0.4188,0.5253,3.1676,1.4214,1.285,1.3011,6.413,12.4955,4.1638,4.1779,4.1538,9.8121,1.9371,1.943,1.9789,1.9736,1.9795,1.2349,1.4253,1.2007,0.0945,0.0142,0.0193,0.0274,0.0139,0.0197,1.6596,1.4788,1.7165,0.5054,0.1072,0.0698,0.1273,0.1041,0.0971,39.4
DAQCOQ,81,200.84,1.61,9.11,7.89,33.2,22,12.9,586.63,-4.3586,-3.5265,2.06,1.98,1.87,0.394,-0.2626,-0.6137,-0.0574,1.9593,2.9689,2.1017,3.1791,28.7097,7.3127,8.4865,7.1866,0.727,0.3832,0.5256,3.17,1.4184,1.3334,1.26,6.384,12.4504,4.1142,4.1788,4.1574,9.7716,1.9221,1.9694,1.9387,1.9412,2.0003,1.4977,1.51,1.7112,0.3693,0.0817,0.0732,0.0729,0.0707,0.0709,1.3492,1.2698,1.1888,0.0954,0.0114,0.0231,0.0256,0.017,0.0182,31.8
ICIQIU,99.36,203.12,2.55,8.16,8.27,34.8,24,16.1,582.73,-2.048,-1.5777,1.9,1.97,1.9,0.3716,-0.2388,-0.8515,-0.8822,2.1186,2.8564,1.8552,1.8384,28.8298,7.2863,8.5787,8.5371,0.5951,0.6039,0.5257,3.1669,1.2941,1.3766,1.3166,6.3585,12.5012,4.1563,4.2174,4.1275,9.7686,1.9271,1.9331,1.972,1.9743,1.9621,1.6988,1.6649,1.5028,0.422,0.0566,0.0818,0.0939,0.0733,0.1163,1.4577,1.674,1.7518,0.4375,0.1103,0.1061,0.0532,0.1072,0.0608,39.8
IMENIN10,82.22,193.17,2.46,7.59,10.73,31.6,22.7,16.4,676.59,-3.9271,-3.3571,2.05,1.96,1.86,0.378,-0.2552,-0.0701,-0.6296,1.912,2.9964,3.1589,2.1384,28.7262,7.307,7.0827,8.5416,0.7102,0.3775,0.5259,3.1658,1.3837,1.3507,1.2723,6.3823,12.4594,4.1455,4.1716,4.1423,9.7804,1.9297,1.9763,1.9658,1.9148,1.9939,1.3098,1.2051,1.3122,0.0953,0.0239,0.0118,0.0227,0.0118,0.0251,1.4788,1.654,1.5635,0.422,0.0837,0.0788,0.0926,0.0742,0.0926,34.7
RIRRES,93.67,221.13,2.25,11.27,8.69,36.9,27.4,18.4,689.62,-3.0306,-2.2006,2.02,1.92,1.92,0.3311,-0.2524,-0.1677,-0.6903,1.8568,2.9449,3.0529,2.1099,28.7461,7.2588,7.0784,8.561,0.639,0.3806,0.526,3.1678,1.3696,1.1992,1.4347,6.3809,12.4759,4.1654,4.1563,4.1542,9.812,1.9461,1.954,1.9843,1.971,1.9566,1.2627,1.4546,1.2114,0.0932,0.0158,0.0169,0.0267,0.0133,0.0204,1.5438,1.556,1.6685,0.4159,0.0785,0.079,0.0902,0.0742,0.094,35.7
ABIXAK,102.03,201.86,2.86,7.24,7.5,40.2,30.9,19.7,581.37,-1.5163,0.197,1.96,2.01,1.92,0.3285,-0.2359,-0.941,-0.9258,1.9508,2.8646,1.7933,1.8263,28.8483,7.2577,8.5683,8.4911,0.5561,0.5658,0.526,3.1678,1.2409,1.3908,1.3504,6.3681,12.4965,4.121,4.1988,4.1767,9.8069,1.9533,1.9227,1.9773,1.972,1.9816,1.7521,1.5057,1.6468,0.4681,0.1017,0.0664,0.1129,0.0714,0.1157,1.674,1.6099,1.6523,0.4235,0.0986,0.0714,0.1024,0.0707,0.0804,28.6
