Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
PEMXEL,78.73,173.46,1.74,8.92,7.23,32.7,23.2,15.1,600.8,-3.6341,-2.2112,1.9,2.34,2,0.468,-0.2349,-0.6863,-0.3306,1.982,2.8935,2.08,3.016,28.7296,7.2551,8.5888,7.6215,0.4819,0.5307,0.1524,3.1805,3.9738,1.378,1.399,1.1968,6.2969,12.4102,4.053,4.1843,4.173,9.8249,1.9747,1.9923,1.9693,1.9507,1.9379,3.4962,4.7441,1.4965,1.5749,1.6727,0.446,0.1015,0.0744,0.0893,0.11,0.0707,3.2001,4.0716,1.2392,1.3169,1.5154,0.0589,0.0205,0.0079,0.01,0.0176,0.0029,28.2
PENVIN,85.14,230.12,2.39,9.88,11.35,39.6,30.3,19.5,770.62,-4.1949,-2.7629,2.18,1.89,1.94,0.3899,-0.211,-0.5025,-0.0028,2.4976,3.0224,2.038,3.4196,28.9257,7.1596,8.4696,6.8896,0.5854,0.2879,0.7194,3.1646,3.9638,1.2078,1.4037,1.3523,6.2813,12.5328,4.1826,4.212,4.1382,9.796,1.8835,1.996,1.9484,1.973,1.9951,3.5259,4.6378,1.5073,1.4939,1.6367,0.3387,0.068,0.0491,0.0772,0.0485,0.096,3.125,3.7416,1.2789,1.2845,1.1781,0.1362,0.0205,0.0224,0.0381,0.0212,0.034,24.6
PEPDIA,81.49,225.28,2.49,8.29,8.41,39.1,29.5,17.8,571.91,-4.2501,-3.2823,1.89,2.19,1.95,0.4889,-0.2002,-0.5878,-0.0673,2.3661,3.0129,2.2096,3.0504,28.7829,7.1502,8.543,7.1636,0.5638,0.5324,0.3389,3.1667,3.9518,1.3447,1.3468,1.2604,6.2665,12.4789,4.1935,4.1286,4.1568,9.7657,1.943,1.9324,1.9777,1.9787,1.934,3.4922,4.6759,1.5145,1.541,1.6204,0.4197,0.1106,0.0785,0.0687,0.0987,0.0633,3.178,3.7745,1.2381,1.2742,1.2621,0.1148,0.0138,0.028,0.0172,0.0315,0.0242,14.7
PEPDOF,62.43,155.26,2.04,8.93,11.13,25.1,16.8,11.1,651.16,-3.1296,0.2142,2.14,2.06,1.87,0.3791,-0.2585,-0.5819,-0.5845,1.6421,2.9195,1.9345,1.8992,28.8406,7.3227,8.5198,8.526,0.6754,0.3736,0.4573,3.1605,4.0138,1.3176,1.3596,1.3365,6.4453,12.36,4.1139,4.1584,4.0877,9.8156,1.9046,1.9741,1.9779,1.9785,1.9805,3.5392,4.7212,1.5179,1.6863,1.517,0.3216,0.0591,0.0771,0.0684,0.0527,0.0642,3.5294,4.7138,1.6212,1.4813,1.6113,0.3413,0.0701,0.0576,0.0816,0.0492,0.0828,42.6
PEPJEB,77.19,195.47,1.74,10.74,8.78,37.1,27.3,16,741.84,-3.8066,-2.5929,1.89,2.33,2.01,0.5024,-0.2329,-0.5749,-0.3323,2.0167,2.8892,2.1028,2.9924,28.7132,7.247,8.565,7.6226,0.4671,0.4824,0.1688,3.1849,3.9681,1.3312,1.2753,1.3616,6.2815,12.3964,4.1922,4.1274,4.0767,9.8197,1.955,1.9684,1.9449,1.9661,1.9853,3.4765,4.6714,1.5009,1.5602,1.6103,0.427,0.0864,0.0648,0.1071,0.0838,0.0849,3.2037,4.0688,1.5554,1.2428,1.2706,0.0598,0.0076,0.0106,0.0199,0.0069,0.0147,25.5
PEPLUS,94.08,196.61,2.23,11.63,15.39,35,25.5,16.8,885.24,-3.2848,-2.3799,2.02,1.93,1.91,0.4227,-0.2433,-0.528,-0.7018,1.845,2.9172,2.0609,2.0366,28.7561,7.2728,8.5033,8.57,0.6397,0.3802,0.5514,3.1649,3.9967,1.357,1.2859,1.3538,6.3593,12.4294,4.1777,4.1272,4.1245,9.7886,1.9188,1.9907,1.9766,1.9607,1.9418,3.5035,4.6364,1.5025,1.4758,1.6581,0.388,0.0844,0.073,0.0782,0.074,0.0785,3.5113,4.7923,1.4682,1.6322,1.6919,0.3981,0.1039,0.0915,0.052,0.1049,0.0458,42.8
PEPQUX,98.88,195.46,2.07,6.62,11.81,30.3,19.3,12.8,643.55,-4.0329,-3.2103,2.14,1.95,1.9,0.4418,-0.2561,-0.5426,-0.5167,1.7627,2.9399,2.0503,2.1257,28.7268,7.2898,8.5153,8.5277,0.685,0.3296,0.5169,3.169,4.0067,1.4201,1.3016,1.2851,6.3523,12.4054,4.1261,4.1323,4.147,9.8005,1.942,1.9314,1.9844,1.9689,1.9739,3.5308,4.6872,1.4975,1.6084,1.5813,0.3247,0.0679,0.0645,0.0622,0.065,0.0651,3.502,4.6544,1.4785,1.5682,1.6077,0.3603,0.0754,0.0698,0.0751,0.0674,0.0726,35
PEPROS,66.84,211.86,2.88,15.12,6.36,37.4,30.1,21.3,846.75,-2.3059,-0.8423,2.03,1.95,1.88,0.1419,-0.2574,-0.2621,-0.2679,1.9365,2.9084,2.9458,2.6486,28.9411,7.2925,7.2288,7.1549,0.622,0.387,0.5261,3.1629,4.0088,1.2583,1.3625,1.388,6.4725,12.5536,4.1503,4.1918,4.2116,9.832,1.9187,1.9537,1.9775,1.9906,1.9915,3.1568,4.0271,1.4164,1.4016,1.2091,0.0783,0.008,0.0205,0.0209,0.0095,0.0194,3.1717,4.019,1.4331,1.35,1.2359,0.0771,0.0106,0.0199,0.0172,0.0092,0.0202,47.7
PEQBIW,62.96,156.8,2.38,7.11,9.31,25,21.2,17.8,606.82,-3.1562,-1.8557,2.12,2.05,1.86,0.389,-0.2578,-0.576,-0.5843,1.6786,2.9205,1.9656,1.9023,28.8494,7.3216,8.5372,8.5418,0.6781,0.4041,0.4667,3.1598,4.0137,1.2411,1.3829,1.3896,6.4361,12.3638,4.1114,4.1374,4.115,9.8111,1.9112,1.974,1.9674,1.9707,1.9879,3.5372,4.7132,1.5681,1.6489,1.4962,0.3255,0.051,0.0762,0.0749,0.0463,0.0771,3.5276,4.6915,1.5703,1.4983,1.6229,0.3652,0.0648,0.0683,0.0974,0.0502,0.0844,39.1
PEQDOH,92.86,196.6,1.56,6.74,7.97,33.7,28.3,19.7,572.64,-3.1714,-2.0272,1.93,1.95,1.91,0.4464,-0.244,-0.6727,-0.5999,1.9506,2.9338,2.0675,2.1011,28.714,7.2755,8.5413,8.4477,0.6269,0.5314,0.4478,3.1678,3.9949,1.3634,1.4214,1.2101,6.343,12.4427,4.1474,4.1803,4.1151,9.7678,1.9685,1.9382,1.9588,1.9266,1.9757,3.5104,4.7655,1.5968,1.5882,1.5804,0.3968,0.0954,0.0782,0.0665,0.0825,0.0742,3.503,4.6571,1.5023,1.5247,1.6301,0.4398,0.1181,0.0654,0.0719,0.0954,0.0889,38.8
PERBEU,62.95,207.06,2.88,7.09,8.06,31.9,32.3,24,603.28,-3.0057,-1.8785,2.1,2.07,1.86,0.4001,-0.249,-0.5638,-0.612,1.6477,2.9371,1.9544,1.775,28.8627,7.3095,8.5022,8.506,0.7024,0.4283,0.3922,3.1591,4.0057,1.3833,1.4122,1.2103,6.4235,12.3601,4.1569,4.1666,4.0366,9.8163,1.9139,1.9655,1.9695,1.9915,1.9759,3.5279,4.7053,1.6815,1.4633,1.5605,0.3305,0.0899,0.0449,0.0565,0.0635,0.0756,3.5199,4.6815,1.4606,1.6827,1.5381,0.4107,0.1148,0.065,0.0581,0.1025,0.0702,35.4
PEVNUZ01,47.59,132.63,1.79,6.53,7.61,19.9,14.6,10.1,474.96,-4.0914,-1.4296,3.02,1.86,1.84,0.3846,-0.2723,-0.5216,-0.6109,1.4595,2.938,2.0022,2.0002,28.6887,7.2986,8.4471,8.5728,0.7006,0,0.5596,3.1614,4.0289,1.2915,1.3553,1.3822,6.5159,12.3263,4.1109,4.1152,4.1002,9.7733,1.9251,1.9428,1.9436,1.9763,1.9856,3.5424,4.7111,1.5537,1.6576,1.4997,0.2681,0.0444,0.0594,0.0614,0.0311,0.0719,3.4853,4.7487,1.6114,1.4547,1.6826,0.3769,0.0936,0.0546,0.0915,0.0516,0.0856,44
PEVPIQ,86.74,185.44,3.55,8.86,7.72,32.3,26.6,20.5,682.9,-2.9911,-2.2339,1.96,2.05,1.9,0.4063,-0.2502,-0.764,-0.5237,1.8606,2.8992,1.7598,2.1181,28.8127,7.2982,8.6327,8.4812,0.6358,0.607,0.4225,3.1663,4.0014,1.278,1.3843,1.339,6.3837,12.4286,4.1635,4.1383,4.1268,9.7814,1.9443,1.9384,1.9768,1.9752,1.9466,3.5565,4.8161,1.59,1.5154,1.7107,0.3914,0.0847,0.0699,0.0783,0.077,0.0814,3.5253,4.6312,1.4504,1.6828,1.498,0.3672,0.0752,0.078,0.0829,0.056,0.075,40
